listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.nmrk.com/en-gb/properties/former-raf-scampton-lincoln-sale,"Former RAF Scampton, Lincoln  LN1 2ST",,Office,"['https://s3.amazonaws.com/buildout-production/datas/34404165/9544e04775a3f93c7111caa0511da4d0183740cb/full.jpg?1770204329', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQ0MDQxNjUvOTU0NGUwNDc3NWEzZjkzYzcxMTFjYWEwNTExZGE0ZDAxODM3NDBjYi9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MDIwNDMyOX0=']",,34552119,793.208,LN1 2ST,https://buildout.com/docs/documents/4071427?token=97bdffd07f4bacf291d0b0af48218cef4124e17a,Gerald Eve,Alex Bristow,,alex.bristow@nmrk.com,+44 20 7493 3338,,,Freehold,For Sale
https://www.nmrk.com/en-gb/properties/78-new-oxford-street-london-lease,"78 New Oxford Street, London, WI  WC1",,Office Building,"['https://s3.amazonaws.com/buildout-production/datas/34390764/8c6ba2b954018b597817e3afe4a651fee98ec63a/full.jpg?1770130468', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQzOTA3NjQvOGM2YmEyYjk1NDAxOGI1OTc4MTdlM2FmZTRhNjUxZmVlOThlYzYzYS9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MDEzMDQ2OH0=']","New Lease Terms  Location: 78 New Oxford Street is located moments from Tottenham Court Road station, providing easy access to the Elizabeth, Central and Northern lines. The property is also just a short walk away from Holborn, Goodge Street and Covent Garden Stations.  Highlights: 78 New Oxford Street offers 11,571 sq ft of newly refurbished, high-quality office space across the 1st-7th floors. The 1st and 2nd floors are fully fitted and furnished, ready for immediate occupation. The remaining floors have been delivered to a CAT A condition. The 7th floor boasts a private wrap-around terrace, while all tenants can enjoy access to a shared roof terrace.",11571,0.266,WC1,,Gerald Eve,Rhodri Phillips,,rhodri.phillips@nmrk.com,+44 7768 615296,,,Leasehold,To Let
https://www.nmrk.com/en-gb/properties/cranmore-drive-solihull-sale,"Cranmore Drive, Solihull, West Midlands  B90 4SB",1,Office Building,"['https://s3.amazonaws.com/buildout-production/datas/34206691/f4493cc7f2159b062f1260abfa4f9bdb121e628c/full.jpg?1768403486', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQyMDY2OTEvZjQ0OTNjYzdmMjE1OWIwNjJmMTI2MGFiZmE0ZjliZGIxMjFlNjI4Yy9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc2ODQwMzQ4Nn0=']",Self Contained 2 storey office building For Sale in Solihull,8537,0.196,B90 4SB,,Gerald Eve,Adrian Griffith,,adrian.griffith@nmrk.com,+44 7780 671329,,,Freehold,For Sale
https://www.nmrk.com/en-gb/properties/43-church-street-west-woking-lease,"43 Church Street West, Woking, South East  GU21 6HT",,Office Warehouse,"['https://s3.amazonaws.com/buildout-production/datas/32102567/21cccae4c307906fea89ea441ea769672231dff1/full.jpg?1742554655', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzIxMDI1NjcvMjFjY2NhZTRjMzA3OTA2ZmVhODllYTQ0MWVhNzY5NjcyMjMxZGZmMS9vcmlnaW5hbC5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1MDAsImhlaWdodCI6NTAwLCJmaXQiOiJpbnNpZGUiLCJ3aXRob3V0RW5sYXJnZW1lbnQiOnRydWV9LCJyb3RhdGUiOm51bGx9LCJ1cGRhdGVkQXQiOjE3NDI1NTQ2NTV9']","PART GROUND FLOOR, APPROX. 5,069 SQ FT fully-fitted office space Available now The accommodation benefits from natural light and is fully fitted and furnished, which currently includes a mixture of open plan and private offices, in addition to: A reception area Large kitchen and break-out area 2x phone booths 2x 6-person booths 2x private offices 1x 4-person meeting room 1x 10-person meeting room 1x 14-person boardroom with AV Project areas 3.4m floor-to-ceiling height Other on-site amenities include: On-site reception staff Changing room facilities, dryer room and lockers Showers and towel service Fitness studio Secure cycle storage 7x private, secure car parking spaces demised On-site café and break-out area  Location: The Forge is located in Woking Town, adjacent to Woking Shopping Centre, offering plenty of retail and restaurant amenities, as well as a gym, cinema, theatre and other leisure facilities. Woking Mainline Rail Station is situated approx. a 5-minute walk away, with c.16 trainsper hour providing direct connections to London Waterloo, with approx. 8 services per hour taking as little as c. 24 minutes. The M25 motorway can be reached within approx. 15 minutes via the A320, a major route linking Guildford and Chertsey. The M25 provides direct access from Woking to Heathrow Airport which is approx. 17 miles away.",4725,0.108,GU21 6HT,https://buildout.com/docs/documents/3668814?token=6fc35bb61fee110b6726c873be590eacca06cc1f,Gerald Eve,Rhodri Phillips,,rhodri.phillips@nmrk.com,+44 7768 615296,,,Leasehold,To Let
https://www.nmrk.com/en-gb/properties/rockingham-161-corby-lease,"Rockingham 161, Corby  NN17 4AZ",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/32192730/21b218da38693e5c9c7ccf3ac33219d3497daa20/full.jpg?1743616040', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzIxOTI3MzAvMjFiMjE4ZGEzODY5M2U1YzljN2NjZjNhYzMzMjE5ZDM0OTdkYWEyMC9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0MzYxNjA0MH0=']","Rockingham 161 is a high-specification warehouse benefiting from a full suite of warranties and the below specification: - Two storey offices of 8,058 sq ft - 16 dock access doors - 2 level access doors - 50m yard area - 12.5m clear internal height - 18 HGV spaces - 800kva power - FM2 warehouse flooring - 50kn per sq m floor loading - EPC A - BREEAM very good - 170 car parking spaces - 18 EV charging points  Location: Rockingham 161 is strategically located in Corby, Northamptonshire, within the well-established Earlstrees Industrial Estate. This prime location offers excellent connectivity to major transport routes, including the A43, A14 and A1(M), facilitating efficient distribution across the Midlands and beyond. Corby’s strong transport links provide direct access to key logistics hubs in the East Midlands and Birmingham.",161415,3.706,NN17 4AZ,,Gerald Eve,Sebastian Moseley,,sebastian.moseley@nmrk.com,+44 7825 868943,,,Leasehold,To Let
https://www.nmrk.com/en-gb/properties/rockingham-161-corby-sale,"Rockingham 161, Corby  NN17 4AZ",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/32192730/21b218da38693e5c9c7ccf3ac33219d3497daa20/full.jpg?1743616040', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzIxOTI3MzAvMjFiMjE4ZGEzODY5M2U1YzljN2NjZjNhYzMzMjE5ZDM0OTdkYWEyMC9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0MzYxNjA0MH0=']","The property is available on a freehold basis and a leasehold basis for a term to be agreed.  Location: Rockingham 161 is strategically located in Corby, Northamptonshire, within the well-established Earlstrees Industrial Estate. This prime location offers excellent connectivity to major transport routes, including the A43, A14 and A1(M), facilitating efficient distribution across the Midlands and beyond. Corby’s strong transport links provide direct access to key logistics hubs in the East Midlands and Birmingham.",161415,3.706,NN17 4AZ,https://buildout.com/docs/documents/4069329?token=73c64a255069bcadb7aa1083158dd861ea27d603,Gerald Eve,Sebastian Moseley,,sebastian.moseley@nmrk.com,+44 7825 868943,,,Freehold,For Sale
https://www.nmrk.com/en-gb/properties/unit-12-linford-street-business-estate-london-lease,"Unit 12, Linford Street Business Estate, London, England  SW8 4AB",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/34389760/36908c4a34c182d2a6defae9c186802bee9466e3/full.png?1770121389', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQzODk3NjAvMzY5MDhjNGEzNGMxODJkMmE2ZGVmYWU5YzE4NjgwMmJlZTk0NjZlMy9vcmlnaW5hbC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MDEyMTM4OX0=']","This newly refurbished industrial unit is finished to a high standard located in Battersea. The 12 Linford Street unit is accessible via an electric roller shutter, allowing for vehicle access into the unit, as well as a separate pedestrian door. The unit has been refurbished to a high standard, benefitting from 3-phase power, LED lighting, WC facilities, and level concrete flooring. This unit has E and B8 planning which would suit a leisure, office, industrial, or storage and distribution use.  Location: This unit is located on Linford Street Business Estate, a secure estate accessed via Stewarts Road, off Wandsworth Road. The area is an established industrial location with a range of occupiers across the subject and neighbouring estates, including traditional industrial uses, trade counters, food production and a brewery. The estate has excellent public transport links within walking distance including Wandsworth Road Overground, Battersea Power Station Underground, Battersea Park Overground and Queenstown Road Overground.",1509,0.035,SW8 4AB,,Gerald Eve,Lizzie Elliott,,lizzie.elliott@nmrk.com,+44 7827 250026,,,Leasehold,To Let
https://www.nmrk.com/en-gb/properties/unit-13-linford-street-business-estate-london-lease,"Unit 13 Linford Street Business Estate, London  SW8 4AB",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/34389755/56179c81078fa4623e1d07a9424af8594c5ae09e/full.jpg?1770121294', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQzODk3NTUvNTYxNzljODEwNzhmYTQ2MjNlMWQwN2E5NDI0YWY4NTk0YzVhZTA5ZS9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MDEyMTI5NH0=']","This industrial unit has been newly refurbished to a high standard located in Battersea. The 13 Linford Street unit is accessible via an electric roller shutter, allowing for vehicle access into the unit, as well as a separate pedestrian door. The unit has been refurbished to a high standard, benefitting from 3-phase power, LED lighting, WC facilities, and level concrete flooring. This unit has E and B8 planning which would suit a leisure, office, industrial, or storage and distribution use.  Location: This unit is located on Linford Street Business Estate, a secure estate accessed via Stewarts Road, off Wandsworth Road. The area is an established industrial location with a range of occupiers across the subject and neighbouring estates, including traditional industrial uses, trade counters, food production and a brewery. The estate has excellent public transport links within walking distance including Wandsworth Road Overground, Battersea Power Station Underground, Battersea Park Overground and Queenstown Road Overground.",1260,0.029,SW8 4AB,,Gerald Eve,Lizzie Elliott,,lizzie.elliott@nmrk.com,+44 7827 250026,,,Leasehold,To Let
https://www.nmrk.com/en-gb/properties/plot-11-12-prospero-park-ansty-coventry-lease,"Plot 11 & 12 Prospero Park, Ansty, Coventry  CV7 9JU",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/34379416/825066576617b2009d4d07d2d7f756639462f263/full.png?1770050271', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQzNzk0MTYvODI1MDY2NTc2NjE3YjIwMDlkNGQwN2QyZDdmNzU2NjM5NDYyZjI2My9vcmlnaW5hbC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MDA1MDI3MX0=']","Strategic MIdlands location less than 1 mile from the M6 (J2) and M69 Design & Build opportunities available immediately - delivery within 24 months Draft allocation for B1 & B2 use classes Targeting BREEAM Excellent & EPC A  Location: Situated on an employment site six miles to the north east of Coventry city centre and nine miles to the north west of Rugby Town Centre, Prospero Ansty Park is at the centre of the UK’s manufacturing heartland. The site is situated at Junction 2 of the M6 and Junction 1 of the M69, enabling instant access to the motorway network and national and international connections.",74540,1.711,CV7 9JU,,Gerald Eve,Ellie Crathern,,ellie.crathern@nmrk.com,+44 7385 393991,,,Leasehold,To Let
https://www.nmrk.com/en-gb/properties/plot-9-prospero-park-ansty-coventry-lease,"Plot 9 Prospero Park, Ansty, Coventry  CV7 9JU",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/32547366/a444bb81f48db20375551bc4e5ca1648d69ecd03/full.png?1747924210', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzI1NDczNjYvYTQ0NGJiODFmNDhkYjIwMzc1NTUxYmM0ZTVjYTE2NDhkNjllY2QwMy9vcmlnaW5hbC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0NzkyNDIxMH0=']","Strategic MIdlands location less than 1 mile from the M6 (J2) and M69 Design & Build opportunities available immediately - delivery within 18 months B2, B8 & Eg(iii) use classes Min 13m internal clear height 41m yard depth Targeting BREEAM Excellent & EPC A  Location: Situated on an employment site six miles to the north east of Coventry city centre and nine miles to the north west of Rugby Town Centre, Prospero Ansty Park is at the centre of the UK’s manufacturing heartland. The site is situated at Junction 2 of the M6 and Junction 1 of the M69, enabling instant access to the motorway network and national and international connections.",75000,1.722,CV7 9JU,,Gerald Eve,Ellie Crathern,,ellie.crathern@nmrk.com,+44 7385 393991,,,Leasehold,To Let
