listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
http://charterwood.com/?ref=2989,"44 FORE STREET, BODMIN, PL31 2HP",,Banking Hall Premises,"['http://charterwood.com/thumb.aspx?img=dbimages\\2989.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\2989_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\2989_b.jpg&h=320&w=320']","The property is situated at the northern end of Fore Street, the prime retail section within the town. There is a healthy mix between national, regional, and local retailers including Iceland and Costa Coffee. LOCATION: Bodmin is strategically located in the centre of the County lying adjacent to the A30 link road and A38. The town lies approximately 25 miles west of Plymouth and 24 miles from Truro. Bodmin is one of the largest towns in North Cornwall with a resident population of 15,300 (2013 Census). However, the town serves an extensive catchment population from the surrounding rural area and also benefits from a seasonal influx of tourists during the summer months. SITUATION: The property is situated at the northern end of Fore Street, the prime retail section within the town. There is a healthy mix between national, regional, and local retailers including Iceland and Costa Coffee. DESCRIPTION: The property is well maintained and presented throughout and provides development potential with the possibility of the upper floor to be self-contained including separate access to the rear that opens up to a large ground floor area which could be used for a café/restaurant business. The frontage is of ornate dressed bath sandstone finish with character stone parapet balustrade all of which provides the feeling of a character building. There are two large traditional bank windows at the front and two smaller windows to the side alley and a number of skylights incorporated within the single storey rear extension. The first floor incorporates the staff gents and ladies toilets, store rooms, locker room and staff room. ACCOMMODATION: (all dimensions and areas are approximate) Ground Floor Max depth to steps 10.2 m Max depth to rear of admin offices 19.5 m Max width 7.5 m Total area of banking hall 122.1 m² (1,314 ft²) Rear store/safe room 19.8 m² (213 ft²) First Floor Store and staff room 60.6 m² (652 ft²) Boiler room/roof space 8.1 m (87 ft²) Cloakroom 4.8m (52 ft²) WC LEASE TERMS: The property is offered on a new proportional full repairing and insuring lease for a flexible term. RENT: £20,000 per annum is sought for the premises. SALE: Offers in excess of £200,000 are sought. BUSINESS RATES: Rateable value - £15,250 (1 April 2023 to present). VAT: We understand that the property is not registered for VAT and therefore no VAT will be payable on the rent. PLANNING: Interested parties should make their own enquiries with Cornwall Council Planning Department to satisfy themselves that consent exists for the proposed use. SERVICES: Mains electricity, metered water and drainage are connected. We have not tested the services connected to the premises and the ingoing tenant/purchaser should carry out their own inspections. LEGAL COSTS: The ingoing tenant will be responsible for the landlord’s reasonable costs incurred in the preparation and execution of the lease. VIEWING: By appointment through Charterwood on (01872) 261216. Contact Chris Waters or Rosie Brenton. EPC: E (125). The Agents have not tested any apparatus, equipment, fixtures and fitting or services and so cannot verify that they are in working order or fit for the purpose. A Buyer is advised to obtain verification from their Solicitor and Surveyor. References to the tenure of the property are based on information supplied by the Seller. The Agent has not had sight of the title documents. A Buyer is advised to obtain verification from their Solicitor. 1. The particulars are set out as a general outline only for the guidance of intended purchasers or lessees, and do not constitute, nor constitute part of, an offer of contract; 2. All descriptions, dimensions, reference to condition and necessary permissions for use and occupation, and other details are given without responsibility and intending purchasers or tenants should not rely upon them as statement or representations of fact but must satisfy themselves by inspection or otherwise as to the correctness of each of them; 3. We have not tested the services nor fixtures and fittings. It will be the responsibility of potential purchasers to satisfy themselves as to their condition. 4. No person in the employment of Charterwood has any authority to make or give any representation or warranty in relation to this property. all@charterwood.com",1314.0,,PL31 2HP,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Chris Waters,,,01872261216,,,Leasehold,For Sale,2026-03-07,New
http://charterwood.com/?ref=2985,"9 MOUNT FOLLY SQUARE, BODMIN PL31 2DQ",,Office Building,"['http://charterwood.com/thumb.aspx?img=dbimages\\2985.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\2985_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\2985_b.jpg&h=320&w=320']","Well located office building comprising two-storey semi-detached building with enclosed rear garden and facing onto Mount Folly Square which lies at the eastern end of Fore Street. LOCATION: Bodmin is strategically located in the centre of the County lying adjacent to the A30 link road and A38. The town lies approximately 25 miles west of Plymouth and 24 miles from Truro. Bodmin is one of the largest towns in North Cornwall with a resident population of 14,736 (2011 Census). However, the town serves an extensive catchment population from the surrounding rural area and also benefits from a seasonal influx of tourists during the summer months. SITUATION: The property faces onto Mount Folly Square which lies at the eastern end of Fore Street, the principal retailing thoroughfare within the town. The main Local Authority car park lies a short distance to the east of the subject property. Nearby occupiers include the Bodmin Town Council offices who occupy the nearby Shire Hall. DESCRIPTION: The property comprises a two-storey semi-detached building with enclosed rear garden. The ground floor comprises an entrance hall leading through to a self-contained office suite on the right-hand side of the ground floor. On the left-hand side of the entrance hall lie two offices with a staircase leading to the first floor which provides a further two offices, kitchenette and male and female WC’s. A staircase provides access to the attic which provides open plan storage. ACCOMMODATION: (all dimensions and areas are approximate) Ground floor Offices 71.50 m² (769 ft²) Kitchenette 3.74 m² (40 ft²) WC First floor Office 19.17 m² (206 ft²) Office 25.11 m² (270 ft²) Kitchenette 7.00 m² (75 ft²) Male and Female WC’s Attic Store 44.19 m² (475 ft²) LEASE TERMS: The property is available on a new full repairing and insuring lease for a term to be agreed. RENT: £12,000 per annum. BUSINESS RATES: Rateable Value - £13,000. VAT: We understand the property is not registered for VAT. PLANNING: Interested parties should make their own enquiries with Cornwall Council Planning Department to satisfy themselves that consent exists for the proposed use. The property lies within the Bodmin Conservation Area but is not a Listed Building. SERVICES: We have not tested the services connected to the premises and the ingoing tenant/purchaser should carry out their own inspections. LEGAL COSTS: The ingoing tenant to be responsible for the landlord’s reasonable legal costs incurred in the preparation and execution of the lease. ENERGY PERFORMANCE CERTIFICATE: Certificate Reference: 7250-5609-9405-5207-7766 Report Reference: 2326-7806-8831-8309-7699 VIEWING: By appointment through Charterwood on (01872) 261216. Contact Stuart Sly (stuart@charterwood.com) or Rosie Brenton (rosie@charterwood.com) or SBC Property on (01872) 277397 Contact Barney Peters (barney@sbcproperty.com) all@charterwood.com",769.0,,PL31 2DQ,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Stuart Sly,,,01872261216,,,Leasehold,To Let,2026-03-07,New
http://charterwood.com/?ref=C1016,"56 FORE STREET, BODMIN PL31 2HR",,Retail Premises,['http://charterwood.com/thumb.aspx?img=dbimages\\C1016.jpg&h=320&w=320'],"Retail premises to let situated within the main street of Fore Street, a busy one way thoroughfare running through the town centre and in close proximity to the town's car parks. LET all@charterwood.com",,,PL31 2HR,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,,,,01872261216,,,,To Let,2026-03-07,New
http://charterwood.com/?ref=C3290,"UNIT 3, TOWN ARMS PASSAGE, BODMIN PL31 2JQ",,Grade Ii Listed Retail Premises,"['http://charterwood.com/thumb.aspx?img=dbimages\\C3290.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\C3290_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\C3290_b.jpg&h=320&w=320']","The premises are fronting the alleyway at the side of the building which leads to the Dennison Road Pay and Display Car Park. LOCATION: Bodmin is strategically located lying adjacent to the A30 trunk road and A38. The town lies approximately 25 miles west of Plymouth and 24 miles from Truro. Bodmin is one of the largest towns in North Cornwall with a residential population of 14,736 (2011 census) but has a substantial retail catchment area. SITUATION: The premises are fronting the alleyway at the side of the building which leads to the Dennison Road Pay and Display Car Park. Nearby occupiers include Costa Coffee, Boots, Dorothy Perkins and Lloyds Bank. ACCOMMODATION: (All dimensions and areas are approximate) Sales/Offices 31.19m² (336ft²) Total stores 16.58m² (178ft²) LEASE: New lease available on a proportional full repairing basis at a rent of £4,000 per annum. BUSINESS RATES: Rateable Value: £3,350 (2017 List). The property should be eligible for small business relief. For further information regarding rates payable contact Cornwall Council - Tel: 0300 1234100 VAT: All figures quoted are exclusive of VAT where applicable. SERVICES: We have not tested the services connected to the premises and the ingoing tenant should carry out their own inspections. PLANNING: Interested parties should satisfy themselves that their proposed use complies to the existing planning consent. LEGAL COSTS: The ingoing tenant will be responsible for the landlord’s reasonable legal costs incurred in dealing with the lease. ENERGY EFFICIENCY RATING: D (87) Certificate Reference Number: 1860-2431-9711-0696-3019 Report Reference Number: 8454-8812-2301-4753-5883 VIEWING: Viewing arrangements may be made through Charterwood on (01872) 261216. Contact Chris Waters – chris@charterwood.com or Rosie Brenton – Rosie@charterwood.com The Agents have not tested any apparatus, equipment, fixtures and fitting or services and so cannot verify that they are in working order or fit for the purpose. A Buyer is advised to obtain verification from their Solicitor and Surveyor. References to the tenure of the property are based on information supplied by the Seller. The Agent has not had sight of the title documents. A Buyer is advised to obtain verification from their Solicitor. 1. The particulars are set out as a general outline only for the guidance of intended purchasers or lessees, and do not constitute, nor constitute part of, an offer of contract; 2. All descriptions, dimensions, reference to condition and necessary permissions for use and occupation, and other details are given without responsibility and intending purchasers or tenants should not rely upon them as statement or representations of fact but must satisfy themselves by inspection or otherwise as to the correctness of each of them; 3. We have not tested the services nor fixtures and fittings. It will be the responsibility of potential purchasers to satisfy themselves as to their condition. 4. No person in the employment of Charterwood has any authority to make or give any representation or warranty in relation to this property. all@charterwood.com",336.0,,PL31 2JQ,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Chris Waters,,,03001234100,,,Leasehold,To Let,2026-03-07,New
http://charterwood.com/?ref=S2679-2,69 HIGHER BORE STREET,,Business / Industrial Units & Workshops,['http://charterwood.com/thumb.aspx?img=dbimages\\S2679-2.jpg&h=320&w=320'],"The site consists of a number of business and industrial units and workshops suitable for a variety of business uses. LOCATION: The property lies just under 0.5 mile west of Bodmin town centre and lies to the rear of a terrace of residential dwellings. Access to the site is off Higher Bore Street which is the main road through the town of Bodmin. DESCRIPTION: The site consists of a number of business and industrial units and workshops suitable for a variety of business uses, eg. light industrial and warehouse use, offices, art/crafts workshops, storage and garages. ACCOMMODATION: (all dimensions and areas are approximate) WORKSHOPS, OFFICES AND STORES AT REAR OF 79 HIGHER BORE STREET Unit 3 - 94.32m² - (1015ft²) - £4,000 per annum TERMS: Leases are offered on internal repairing “easy in / easy out” terms outside the 1954 Landlord and Tenant Act. Long leases are available if preferred. Units are available individually or the site can be let as a whole. There will be a quarterly service charge to cover utilities, external repairs, site maintenance and rates (see below) which will be charged proportionately to square footage occupied. RATES: The site is currently assessed as a single property so rates will be apportioned and collected. PLANNING: Interested parties should make their own enquiries with Cornwall Council Planning Department to satisfy themselves that consent exists for the proposed use. VAT: VAT will not be payable on the rent. COSTS: The ingoing tenant will be responsible for the landlord’s reasonable costs in executing the lease. VIEWING: By appointment through sole agent Charterwood on (01872) 261216. Contact Stuart Sly or Jo Counter. all@charterwood.com",1015.0,,,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Stuart Sly,,,01872261216,,,Leasehold,To Let,2026-03-07,New
http://charterwood.com/?ref=1016,56 FORE STREET,,Prime Retail Lock Up Shop,"['http://charterwood.com/thumb.aspx?img=dbimages\\1016.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\1016_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\1016_b.jpg&h=320&w=320']","The well-presented lock up shop has a glazed frontage facing on to Fore Street with an open plan sales area. LOCATION: Bodmin is strategically located in the centre of the county lying adjacent to the A30 trunk road and A38. The town lies approximately 25 miles west of Plymouth and 24 miles from Truro. Bodmin is one of the largest towns in North Cornwall with a resident population of 12,881 (2001 census) but also has a large retail catchment area. SITUATION: The property lies within the main street of Fore Street, a busy one way thoroughfare running through the town centre and in close proximity to the town’s car parks. Fore Street occupiers include Boots, Dorothy Perkins and the major banks interspersed with a mix of national, regional and local retailers. Nearby occupiers are British Heart Foundation, Specsavers and MIND in Bodmin. DESCRIPTION: The lock up shop has a glazed frontage facing on to Fore Street with an open plan sales area. Steps at the rear of the retail space lead into a spacious storage area which, in turn, leads to a staff kitchenette and WC. ACCOMMODATION: (All dimensions and areas are approximate) Internal width - 4.80m Internal depth - 9.00m Total sales area - 43.20m² (465 ft²) Storage (max) - 17.60m² (189 ft²) Kitchenette - 2.50m² ( 27 ft²) WC – Toilet and wash hand basin TERMS: A new proportional full repairing and insuring lease is available, for a term to be negotiated. Rental concessions are available subject to status. RENT: A rent in the region of £7,500 per annum is sought. RATES: Rateable Value £9,400 (2010 List) The property may be eligible for small business relief. For further details regarding rates payable contact Cornwall Council – 0300 1234171. VAT: All figures quoted are exclusive of VAT where applicable. PLANNING: Interested parties should make their own enquiries with Cornwall Council Planning Department to satisfy themselves that consent exists for the proposed use. SERVICES: We have not tested the services connected to the premises and the ingoing tenant/purchaser should carry out their own inspections. COSTS: The ingoing tenant will be responsible for the landlord’s reasonable legal costs incurred in the preparation and execution of the lease. VIEWING: Viewing arrangements may be made through Charterwood on (01872) 261216 Contact Chris Waters – chris@charterwood.com ENERGY EFFICIENCY RATING - C Certificate Reference: 0920-5964-0315-7810-8064 Report Reference: 9576-4012-0651-0800-8495 all@charterwood.com",465.0,,,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Chris Waters,,,03001234171,,,Leasehold,To Let,2026-03-07,New
http://charterwood.com/?ref=S3318,"WORKSHOP, STORES & OFFICES - UNIT 10A COOKSLAND INDUSTRIAL ESTATE, BODMIN",,,"['http://charterwood.com/thumb.aspx?img=dbimages\\S3318.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\S3318_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\S3318_b.jpg&h=320&w=320']","The property has been used as workshops and storage and comprises three buildings on a secure yard surrounded by steel fencing. LOCATION: Cooksland Industrial Estate lies on the eastern outskirts of Bodmin and has easy access onto the A38 and A30 trunk roads. Major occupiers on the estate include HSBC Private Equity European Lp and Western Electrical Wholesale. DESCRIPTION: The property has been used as workshops and storage and comprises three buildings on a secure yard surrounded by steel fencing. Workshop/Store Subdivided into two areas with windows along two side elevations, internal ceiling height 2.39m. Workshop/Store With a steel roller shutter loading door in the front elevation 2.75m wide x 2.56m high, eaves height 3.14m, male and female toilets. Lean-to A low quality storage area with internal ceiling height of 4.60m reducing to 2.75m. We understand that planning consent was previously acquired (E1/95/2277 04 Mar 1996) to replace this part with a modern building. Workshop/Storage With three roller shutter loading doors in the front elevation, an internal eaves height of 5.20m and mezzanine level storage areas of 10.53m² and 16.08m². ACCOMMODATION: (All dimensions and areas are approximate) Site Area 41.00m x 21.00m 861.00m² (0.21 acre) Workshop/Store 9.34m x 13.42m 125.3m² ( 134 ft²) Workshop/Store 9.12m x 12.82m 116.9m² (1258 ft²) Lean-to 6.91m x 5.38m 37.18m² ( 400 ft²) Workshop/Storage 13.29m x 11.25m 149.5m² (1609 ft²) 428.88m² 3401 ft² RENT/LEASE TERMS: The property Is available for a negotiable term of years, on full repairing and insuring terms at an asking rent of £20,000 per annum. BUSINESS RATES: Rateable Value £11,000 (2017 list). Subject to eligibility the property qualifies for small business rate relief. Cornwall Council are the charging authority and enquiries regarding the rates payable should be made with them - Tel: 0300 1234171. VAT: We understand that the property is not registered for VAT. And therefore no VAT will be payable on the rent. SERVICES: We understand that mains metered water, electricity and drainage are connected to the premises. A three phase electricity supply is connected to the workshop, which is also fitted with compressed air pipes. LEGAL COSTS: The tenant to contribute to the landlord’s reasonable legal costs. VIEWING: By appointment through Charterwood on (01872) 261216. Contact Chris Waters or Rosie Brenton. ENERGY EFFICIENCY RATING: THIS PROPERTY HAS A RATING OF 53 WITHIN BAND C, 73 WITHIN BAND C AND 88 WITHIN BAND D Certificate Reference Number: 9696-3057-0194-0500-6395 Report Reference Number: 0230-3203-0410-6100-6040 all@charterwood.com",134.0,0.21,,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Chris Waters,,,03001234171,,,Leasehold,To Let,2026-03-07,New
http://charterwood.com/?ref=C3443,74 FORE STREET,,First Floor Office Premises,"['http://charterwood.com/thumb.aspx?img=dbimages\\C3443.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\C3443_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\C3443_b.jpg&h=320&w=320']","Centrally located above the Bodmin Methodist Church, the first-floor accommodation comprises a reception lobby, three well proportioned offices and a WC consisting of a toilet and wash hand basin. LOCATION: Bodmin is strategically located in the centre of the County lying adjacent to the A30 link road and A38. The town lies approximately 25 miles west of Plymouth and 24 miles from Truro. Bodmin is one of the largest towns in North Cornwall with a resident population of 15,300 (2013 Census). However, the town serves an extensive catchment population from the surrounding rural area and also benefits from a seasonal influx of tourists during the summer months. SITUATION: The property lies along Fore Street within the prime retailing thoroughfare of the town in close proximity to the town’s car parks. Nearby occupiers include Boots Opticians, Superdrug, Holland and Barrett and Iceland. DESCRIPTION: Centrally located above the Bodmin Methodist Church, the first-floor accommodation comprises a reception lobby, three well proportioned offices and a WC consisting of a toilet and wash hand basin. The premises are accessed via a separate side entrance off Fore Street with immaculate facilities. ACCOMMODATION: (all dimensions and areas are approximate) Lobby/Reception 16.2m² (174ft²) Office 1 14.4m² (155ft²) Office 2 15.8m² (170ft²) Office 3 15.1m² (162ft²) Kitchen 4.5m² ( 48ft²) WC – Toilet and wash hand basin 66.0m² (709ft²) LEASE TERMS: The property is offered on a new proportional full repairing lease for a flexible term. INSURANCE: The Tenant to contribute towards the Landlord's Insurance costs. RENT: £7,000 per annum is sought for the premises. BUSINESS RATES: Rateable value - £7,200 (2017 List) VAT: We understand that the property is not registered for VAT and therefore no VAT will be payable on the rent. PLANNING: Interested parties should make their own enquiries with Cornwall Council Planning Department to satisfy themselves that consent exists for the proposed use. SERVICES: Mains electricity, metered water and drainage are connected. We have not tested the services connected to the premises and the ingoing tenant/purchaser should carry out their own inspections. LEGAL COSTS: The ingoing tenant will be responsible for the landlord’s reasonable costs incurred in the preparation and execution of the lease. NOTE: Our clients have a meeting room that may be considered for letting which can be interconnected from the offices on offer. These are located to the rear of the premises and have their own self contained access from the ground floor. VIEWING: By appointment through Charterwood on (01872) 261216. Contact Chris Waters or Rosie Brenton. EPC: THIS PROPERTY HAS A RATING OF 108 E Certificate Reference: 0297-6261-6332-9824-8150 Report Reference: 2695-4729-6623-1804-8121 all@charterwood.com",174.0,,,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Chris Waters,,,01872261216,,,Leasehold,To Let,2026-03-07,New
http://charterwood.com/?ref=S3290,"35 FORE STREET, BODMIN",,Prime Retail Premises,['http://charterwood.com/thumb.aspx?img=dbimages\\S3290.jpg&h=320&w=320'],The recently refurbished main accommodation lies within the prime Fore Street and are offered individually or as one large retail unit. In addition workshops and secondary retail units are available LET all@charterwood.com,,,,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,,,,01872261216,,,,To Let,2026-03-07,New
http://charterwood.com/?ref=C3537,/,,Industrial/Office Building With Secure Yard,"['http://charterwood.com/thumb.aspx?img=dbimages\\C3537.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\C3537_a.jpg&h=320&w=320', 'http://charterwood.com/thumb.aspx?img=dbimages\\C3537_b.jpg&h=320&w=320']","Industrial/office building with secure yard situated on Walker Lines Industrial Estate . Unit 13 is towards the northern end of the estate on the north-eastern side of Normandy Way. LOCATION: Bodmin is well located within the County and lies adjacent to the A30 and A38. Walker Lines Industrial Estate lies on the south-eastern outskirts of Bodmin and Unit 13 is situated towards the northern end of the estate on the north-eastern side of Normandy Way. SITUATION: The main building comprises a reception office, main warehouse, kitchenette, ladies and gents WC and a mezzanine office with Velux rooflights. An extension has been added to the main building. Double timber loading doors, 2.70 m wide x 2.66 m high, provide access to the main warehouse and a steel roller shutter door, 3.00 m wide x 2.50 m high, provides access to the extension. The property benefits from a generous sized secure yard with concrete block wall and steel palisade fencing. The yard contains an open sided lean-to store. ACCOMMODATION: (All dimensions and areas are approximate) Site area: 637 m² (0.158 acre) Main building 7.18 m x 18.05 m 129.60 m² (1,394 ft²) Mezzanine office 6.77 m x 5.13 m 34.73 m² ( 374 ft²) Mezzanine WC and stairwell 3.46 m x 4.25 m 14.70 m² ( 158 ft²) Warehouse extension 7.26 m x 7.13 m 51.76 m²( 557 ft²) Open-sided lean-to store 10.00 m x 4.10 m 41.00 m²( 441 ft²) ________ ________ 271.79 m² (2,924 ft²) LEASE: A new lease is offered on full repairing and insuring terms at £19,000 per annum. PRICE: Alternatively, freehold offers would be considered in excess of £275,000. LEGAL COSTS: In the case of a leasehold transaction the ingoing tenant will be responsible for the landlord’s legal costs. SERVICES: We understand the property is connected to mains electricity (including a three phase supply), mains gas, metered mains water and mains drainage. A gas fired combi-boiler exists with radiators within the ground floor reception, mezzanine office and gents WC. BUSINESS RATES: Rateable Value: £11,750 (2017 List). The qualifying occupier should be eligible for 100% small business relief. For further information regarding rates payable contact Cornwall Council - Tel: 0300 1234100 VAT: We are advised that the property is not registered for VAT. ENERGY EFFICIENCY RATING: EPC RATING OF 117 (BAND E) Certificate Reference Number: 2105-7431-3215-8345-5707 Report Reference Number: 0030-8878-6985-0602-1751 VIEWING: Viewing arrangements may be made through Charterwood on (01872) 261216. Contact Stuart Sly: stuart@charterwood.com all@charterwood.com",1394.0,0.158,,['http://charterwood.com/01.05.18 Privacy Policy.pdf'],Charterwood,Stuart Sly,,,03001234100,,,Freehold,For Sale,2026-03-07,New
