listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://propertysearch.coadyphillips.co.uk/property/1617/#Beckenham-Road-Beckenham-BR3-Commercial,"Beckenham Road, Beckenham Road BR3 United Kingdom",,Commercial,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/14056.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/14063.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/14065.jpg']","Property Description Situated in a busy shopping parade we are delighted to offer a large Class E unit that is we feel suitable for a host of uses and has for many years been a licensed betting shop. The property has a large bright open plan area suitable for either retail or office and served by all staff amenities. Clockhouse station is on the doorstep and a short walk is also Kent House station and the Beckenham Road tram stop ideal for staff and clients alike while the busy A234 provides superb exposure for marketing. The lease terms will be negotiable to suit and internal inspection is strongly advised. Viewings are strictly via appointment with the agent. Open Area/ Retail Office (37'0 x 6'11 ft - 11.28m x 2.11m) . Kitchen (9'6 x 5'11 ft - 2.9m x 1.8m) . Staff Washroom . Wc . Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1611/#Metro-Business-Centre-London-SE26-Commercial,"Metro Business Centre, Metro Business Centre Kangley Bridge Road SE26 United Kingdom",,Commercial,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13984.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13985.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13981.jpg']","Property Description Situated on this popular business park we are delighted to offer this two storey commercial unit on flexible lease terms that we feel would suit a wide range of uses and is centrally located a short walk from Lower Sydenham station. The property is Grade A office space is particularly well presented and in our opinion could accommodate as many as 10 staff with the benefit of full staff conveniences including a shower room. The unit set over two floors also designates space for separate meeting rooms and a private office and we feel serves well a business that clients can visit in comfort as well as having ideal storage space. The South Circular is very close as is access to the A21 so links to London is assured and additionally the property benefits from four parking spaces. An internal inspection to view is strongly advised as is strictly by appointment with the sole agents. Hallway Meeting Room (11'7 x 10'3 ft - 3.53m x 3.12m) . Office (23'1 x 17'1 ft - 7.04m x 5.21m) . Shower Room . WC . First Floor . Office (33'11 x 22'0 ft - 10.34m x 6.71m) . Kitchen (17'4 x 10'7 ft - 5.28m x 3.23m) . WC . Parking for up to four cars . Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,SE26,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1593/#1-Hayne-Road-Beckenham-BR3-Apartment,"1 Hayne Road, 1 Hayne Road BR3 United Kingdom",,Apartment,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13607.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13613.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13609.jpg']","Property Description Newly painted with new carpets, we are pleased to offer this one bedroom purpose built flat. Situated on the second floor of a purpose built block and located just a stones throw from Beckenham Junction. Comes with ample built in storage and a garage. The accommodation comprises entrance hall, one reception room, modern fitted kitchen with a host of appliances, and a bathroom. Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1590/#36-Southend-Road-Beckenham-BR3-Flat,"36 Southend Road, 36 Southend Road BR3 United Kingdom",,Flat,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13558.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13549.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13554.jpg']","Property Description We are delighted to offer for rent this absolutely beautiful two bedroom ground floor flat that has in our opinion been refurbished to an extremely high standard offers exceptionally spacious living accommodation a short walk from both Beckenham Junction and New Beckenham stations. This property is part of a very well maintained development and briefly comprises a large, bright lounge / dining room, a stunning bespoke fully fitted kitchen / breakfast room, stylish modern bathroom and two equally well proportioned double bedrooms The development benefits from leafy communal grounds and communal parking facilities and your earliest attention to view is well advised to avoid disappointment. Hallway . Kitchen / Breakfast room (12'4 x 10'6 ft - 3.76m x 3.2m) . Lounge / Diner (17'11 x 16'2 ft - 5.46m x 4.93m) . Bedroom One (12'6 x 12'4 ft - 3.81m x 3.76m) . Bedroom Two (13'9 x 9'5 ft - 4.19m x 2.87m) . Family Bathroom (8'0 x 6'11 ft - 2.44m x 2.11m) . Communal Gardens . Communal parking . Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1401/#Sidney-Road-Beckenham-BR3-Office,"Sidney Road, Sidney Road BR3 United Kingdom",,Office,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/10074.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/10082.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/10066.jpg']",Property Description This Grade A first floor office space it completely self contained and in a central location a short walk to two stations and Beckenham town centre. This unit in recent years has been thoughtfully designed to offer a light and spacious work unit to suit a host of uses. The unit is secure and is situated in a quiet residential area and benefits from bathroom facilities in addition to kitchen facilities and of particular note the unit benefits from a communal recreation area for that all important outdoor space for staff to unwind and relax. In our opinion this unit lends itself well to hosting up to 5 work stations comfortably and could easily be adapted for office use or a design studio and your earliest attention is strongly advised to avoid disappointment. Viewings are strictly by appointment with the agent. Office / Studio (27'9 x 21'9 ft - 8.46m x 6.63m) Bright office space with fitted kitchenette Shower room and WC (9'9 x 7'9 ft - 2.97m x 2.36m) . Communal Area A pleasant sun patio area with seating. .,,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1289/#Avenue-Road-Beckenham-BR3-Commercial,"Avenue Road, Avenue Road BR3 United Kingdom",,Commercial,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/9596.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/9595.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/9594.jpg']","Property Description This unique yard and offfices is situated in a central location a short walk from Beckenham town walking distance to a host of tram and rail stations. A secure gated property that we feel would suit a wide range of uses and is available on a long lease. The property has been let in recent years as a builders yard and previous to this has been used for office and storage space and the latest tenants used it for the safe storage of vehicles and we feel it is the security and prime position with the ability to park a number of vehicles that will draw particularly strong attention. Viewing is strongly advised and is strictly via the agents by appointment. Secure Yard (56'9 x 37'6 ft - 17.3m x 11.43m) . Storage . Storage . Office building . Office 1 (19'3 x 13'11 ft - 5.87m x 4.24m) . Kitchen (6'10 x 6'0 ft - 2.08m x 1.83m) . WC (6'4 x 3'5 ft - 1.93m x 1.04m) . Office 2 (12'4 x 10'3 ft - 3.76m x 3.12m) . Office 3 (12'0 x 7'8 ft - 3.66m x 2.34m) . Off road parking Parking to the front for up to two vehicles Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1249/#2b-Beckenham-BR3-Office,"2b, 2b Manor Road BR3 United Kingdom",,Office,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/7438.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/7440.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/7418.jpg']","Property Description Situated in the centre of Beckenham this detached three storey office building lends itself to a wide range of uses with a host of amenities on hand and in our opinion is particularly well presented with three floors of open plan office space. The property benefits from additional meeting rooms / training rooms, kitchens and staff cloakrooms and is fully compliant to suit your IT requirements and offers secure gated entry and a secure reception area. The combined floor area is over 3000 sq ft with in our opinion over 10 work stations places on each floor and feel would make a superb central head office for any business. Beckenham has direct road access to the A21 to central and South London as well as access to a number of local stations including the tram. Internal viewing is highly recommended and is strictly via appointment. Entrance hall . Lobby . Office (46'7'' x 16'1'' ft - 14.2m x 4.9m) . Kitchen (11'2'' x 4'7'' ft - 3.4m x 1.4m) . WC (6'0'' x 4'8'' ft - 1.83m x 1.42m) . First Floor . Office (47'1'' x 16'1'' ft - 14.35m x 4.9m) . Kitchen two (12'8'' x 4'2'' ft - 3.86m x 1.27m) . WC (6'6'' x 4'2'' ft - 1.98m x 1.27m) . WC (7'2'' x 4'2'' ft - 2.18m x 1.27m) . Meeting Room (15'10'' x 9'3'' ft - 4.83m x 2.82m) . Second Floor . Office (47'1'' x 14'11'' ft - 14.35m x 4.55m) . Meeting Room (14'11'' x 13'6'' ft - 4.55m x 4.11m) . Parking Parking for up to 5 cars .",3000.0,,BR3,[],Coady Phillips,,,,,,,,To Let,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1233/#Rectory-Green-Beckenham-BR3-Flat,"Rectory Green, Rectory Green BR3 United Kingdom",,Flat,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/7002.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/7001.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/6998.jpg']","Property Description Superbly located for all Beckenham amenities, we have pleasure in offering for rent this stylish, furnished, one double bedroom apartment, boasting modern interior design, built in storage, gas central heating, double glazing and off street parking with access to the well maintained communal gardens. Available for a long term let. Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,To Let,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/1063/#5-Albemarle-Road-Beckenham-BR3-Office,"5 Albemarle Road, 5 Albemarle Road BR3 United Kingdom",,Office,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/3445.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/3444.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/3446.jpg']","Property Description Situated in the heart of thriving Beckenham town centre and a short walk to both tram and rail connections this particularly well presented ground floor office unit lends it self well to a number of professional uses and is available on a long lease with potential to change use to retail STPP. The unit has undergone significant renovation in recent years and boasts separate meeting rooms, sales foor and showroom area with a wide front that enjoys significant local foot fall. Available for a long term let with flexible terms. LOCATION Albemarle Road joins the A2015 that has a direct link to the A21 and South circular for equally convenient access to South London, London Brough of Bromley and Croydon. It is served by tram services to Croydon Borough and easy access to two mainline stations providing easy access to London. Situated in a busy throughfare with retailers including Marks and Spencer and a large variety of shops, bars and restaurants. TERMS Rent: £40,000 PA Business rates £18,500 Lease (terms to be negotiated) Entrance Hall . Office floor / Showroom (46'11 x 34'6 ft - 14.3m x 10.52m) . Meeting room (23'0 x 15'9 ft - 7.01m x 4.8m) . Storage Cupboard (11'6 x 4'7 ft - 3.51m x 1.4m) Kitchen Approached by stairs to first floor Male and Female rest rooms Approached by stairs to first floor Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
https://propertysearch.coadyphillips.co.uk/property/976/#Ashbourne-Court-Beckenham-BR3-Apartment,"Ashbourne Court, Ashbourne Court 59A Albemarle Road BR3 United Kingdom",,Apartment,"['https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13939.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13932.jpg', 'https://s3.eu-central-003.backblazeb2.com/Gnomen-Pms5-I/636845967094c3a8af744da55bf82a3f/large/13936.jpg']","Property Description Conveniently located for all of Beckenhams amenities and transport links, we are pleased to offer this attractive two bedroom apartment, offering secure gated parking, a balcony, two double bedrooms, master with en suite and second bedroom with fitted wardrobes, one large reception room, fitted kitchen with a host of appliances and an additional bathroom. Early viewing advsied. Coady Phillips adhere to the Tenants Fee Act 2019 and to follow are the permitted payments from 1st June 2019 Upon applying to take up a tenancy with us you will be required pay a holding deposit of no more than one weeks rent to reserve the property. The Holding Deposit will be repayable to you within 7 days for the following reasons (i) from when the parties enter into the tenancy agreement unless the tenant has agreed in writing for the Holding Deposit to be put towards the balance of monies payable (ii) if the landlord withdraws (iii) if an agreement is not reached before the Deadline for Agreement or the agreed extended date and the tenant is not at fault, or (iv) if the landlord or the agent breaches the fee ban or acts in a way that it would be unreasonable to expect the tenant to enter into a tenancy agreement (i.e. unfair terms, harassment etc) The only reasons we as agents for the landlord will retain the deposit are: (i) the tenant withdraws their application (ii) the tenant doesnt take reasonable steps to enter into the tenancy (iii) the tenant fails a Right to Rent check (iv) the tenant provides misleading information that affects their suitability to rent a property Upon a successful application being approved by Coady Phillips tenants will be required to upon signing tenancy agreements pay a deposit of no more than five weeks rent and the first months rent in advance. Fees payable during the tenancy (i) To replace keys lost by the tenant (ii) £50 for the replacement of a tenant mid tenancy (iii) All contractual payments to include all utilities including water and energy suppliers and TV licence Coady Phillips have a CMP (client money protection policy) with Client Money Protect membership no 006733 and are also a member of The Property Ombudsman Scheme (TPO), which is a redress scheme. All deposits are protected under the two following schemes The Dispute Service (TDS) and Deposit Protection Service (DPS)",,,BR3,[],Coady Phillips,,,,,,,,,2026-03-09,New
