listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.commercialpropertypartners.co.uk/properties/3-freeston-drive-nottingham-nottinghamshire,"3 Freeston Drive, Nottingham, Nottinghamshire",,Industrial,"['https://www.commercialpropertypartners.co.uk/files/img_cache/129733/995_667_1_1e742eaa-28da-4b5c-9af6-1a68099c41c4.jpg?1757453495', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129723/995_667_1_d6ba7fe8-463f-4f47-a881-c608ec2b7046.jpg?1757453482', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129724/995_667_1_8042b67c-2b1f-45fa-9d0b-dc7b440d51a9.jpg?1757453484', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129725/995_667_1_b7666e92-5622-46a7-b2e0-4c2a298810d4.jpg?1757453486', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129726/995_667_1_5772a64c-b7c9-424a-b865-69f4c6cd361d.jpg?1757453488', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129727/995_667_1_21220e96-6ae6-4385-9be1-0fc1c8b35784.jpg?1757453490', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129728/995_667_1_192bc7e6-1142-406f-adf5-fed3b4181e36.jpg?1757453492', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129729/995_667_1_1b9e1068-df11-4a07-89c9-5b1e72cd7ea4.jpg?1757453492', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129730/995_667_1_a46429b8-9c8b-40c1-9363-ffab1cd75d8e.jpg?1757453493', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129731/995_667_1_a0da8b15-4dc5-4ac5-a479-40bdac8ee899.jpg?1757453494', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129732/995_667_1_5c80ec32-6eae-4ec9-b209-fa34096b2c74.jpg?1757453495']","The property comprises a steel portal frame warehouse with clad elevations, located on a well-established industrial estate. Key Features: - Secure large yard area - 6m clear internal height - 2 level access loading doors - LED lighting to warehouse - Office and welfare facilities - Located on a popular industrial estate",16987.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6589/property-1727-68bf9879621607.90714421.pdf'],Commercial Property Partners,Brodie Faint,,brodie@cpp.uk,01158966611,,,Leasehold,To Let,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/dog-kennels-lane-kiveton-park-sheffield-1,"Dog Kennels Lane, Kiveton Park, Sheffield",,"Land / Development, Industrial","['https://www.commercialpropertypartners.co.uk/files/img_cache/131073/995_667_1_e41442d9-9f2e-48d7-b22f-5319a457947a.jpg?1763305150', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131064/995_667_1_81bc5b79-608c-4f68-8d80-5a0b470965e1.jpg?1763305140', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131065/995_667_1_69aa7ba5-a889-4add-97d9-e99624619838.jpg?1763305142', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131066/995_667_1_f5225ae3-fca1-45e2-9443-a2856d0f61b2.jpg?1763305143', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131067/995_667_1_14406dd3-6660-42d6-b42e-b88ddb7b6087.jpg?1763305144', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131068/995_667_1_edef23d3-fa78-436c-bd7d-008c3b4488f8.jpg?1763305145', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131069/995_667_1_21e3bd70-0f3e-46c2-8cd6-5534bda5d249.jpg?1763305146', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131070/995_667_1_a65ef54a-603a-4f10-a475-6e11fbe292a2.jpg?1763305148', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131071/995_667_1_66f2f8f1-4c9e-4587-bba3-a28ff1388b28.jpg?1763305149', 'https://www.commercialpropertypartners.co.uk/files/img_cache/131072/995_667_1_9c13592f-0e57-4eb3-965e-cc48d751e067.jpg?1763305150']","The property comprises a secure, self-contained site extending to approximately 0.68 acres of hard-surfaced yard, fronting directly onto Dog Kennels Lane. The yard is enclosed by perimeter fencing, providing good security and ease of access for commercial or industrial operations. Situated on the site is a detached office/reception building extending to approximately 2,430 sq ft at ground floor level.",,0.68,,['https://www.commercialpropertypartners.co.uk/files/document/6728/property-1749-69169b3ebcaf31.45294728.pdf'],Commercial Property Partners,Ed Norris MRICS,,ed@cpp.uk,01142709160,,,,To Let,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/manchester-road-ashton-under-lyne-greater-manchester,"Manchester Road, Ashton-Under-Lyne, Greater Manchester",,Industrial,"['https://www.commercialpropertypartners.co.uk/files/img_cache/132506/995_667_1_9036490f-2b76-43f7-9515-d5fadc0ea14c.jpg?1769570228', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132502/995_667_1_3ebec657-ccbb-4225-8795-928bbf5b9a7b.jpg?1769570227', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132503/995_667_1_d25b31ee-ab12-4ce3-a099-6125eeca2249.jpg?1769570228', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132504/995_667_1_863e3bdc-103b-458a-8eb1-69e0d05b23ee.jpg?1769570228', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132505/995_667_1_3d8668d3-4828-471a-8085-c01830a51682.jpg?1769570228']","Roadside/Trade Counter unit with prominence onto Manchester Road, Ashton under Lyne.",10746.0,,,[],Commercial Property Partners,Jack Sullivan,,Jack@cpp.uk,,,,,For Sale,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/1-ashville-close-queens-drive-industrial-estate-nottingham-nottinghamshire,"1 Ashville Close, Queens Drive Industrial Estate, Nottingham, Nottinghamshire",,Industrial,"['https://www.commercialpropertypartners.co.uk/files/img_cache/132697/995_667_1_23e0aec7-6160-42af-8add-722afaa322af.jpg?1770204365', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132693/995_667_1_e772c6a9-becb-4319-9e08-1fcc68f2b380.jpg?1770204364', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132694/995_667_1_f24a3ea9-dcc3-46d2-a931-d7a9fc774c19.jpg?1770204364', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132695/995_667_1_175c2a34-b6fa-4062-b286-03feb65a22d5.jpg?1770204365', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132696/995_667_1_da69da70-8851-44d4-bfbf-8209c11454fa.jpg?1770204365']","This unit is an end of terrace, steel portal frame building with brick and blockwork elevations surmounted by a profile cladding system. The roof is pitched, and features translucent panels to some 20% cover. Internally the premises feature a 2-storey office/ancillary block and externally dedicated forecourt parking and loading is provided. The property benefits from the following:- - 5.70m internal eaves - Full height level access loading. - Warehouse Lighting - Staff Breakout, WCs and Shower - Generous concrete forecourt / yard / onsite parking - Storage Racking (Can be retained by an incoming occupier by negotiation)",7369.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6921/property-1746-6982b6477dbeb9.17541360.pdf'],Commercial Property Partners,Brodie Faint,,brodie@cpp.uk,01158966611,,,Leasehold,To Let,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/18-oakholme-road-sheffield-south-yorkshire,"18 Oakholme Road, Sheffield, South Yorkshire",995000,"Resi Development, Office","['https://www.commercialpropertypartners.co.uk/files/img_cache/132998/995_667_1_0bd684f6-5b74-41ce-adfb-8c7f4e809c14.jpg?1770704408', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132987/995_667_1_946e5a9d-1e30-4008-87fa-eaa909a55d6e.jpg?1770704395', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132988/995_667_1_03607e2f-565c-4738-b412-eb3063c90433.jpg?1770704397', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132989/995_667_1_d8fe201e-d133-46af-84f5-d81bbc831edc.jpg?1770704398', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132990/995_667_1_bad5d842-91c3-455a-86e3-435e0eaf31d9.jpg?1770704400', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132991/995_667_1_961c76a1-6137-4e56-83c2-8c26769529c6.jpg?1770704401', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132992/995_667_1_5ad2d81f-ce29-4256-83c0-8b02f3f06e31.jpg?1770704402', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132993/995_667_1_cc46c4d6-0387-446c-a77e-3db125f44f0a.jpg?1770704403', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132994/995_667_1_b9ee595c-5352-4430-85d6-e878dfa10b36.jpg?1770704404', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132995/995_667_1_4800fa0f-09b3-4c30-9e46-3c97f8882b1f.jpg?1770704406', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132996/995_667_1_0a86b9f0-4dd0-4457-ad94-c869e6312cb2.jpg?1770704408', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132997/995_667_1_4bde1383-91b9-4057-b16b-6302b0f03dbf.jpg?1770704410']","This property comprises a detached period building, with several outbuildings, on a substantial site area. The property would require significant internal repair however the 19th century features, slate roof, and large grounds make this an attractive development opportunity, subject to any necessary planning consents.",8942.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6953/property-1788-698a9fa2496d73.68651681.pdf'],Commercial Property Partners,Rob Darrington MRICS,,rob@cpp.uk,01142709163,,,Freehold,For Sale,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/36-regent-street-nottingham-nottinghamshire,"36 Regent Street, Nottingham, Nottinghamshire",850000,"Office, Investment","['https://www.commercialpropertypartners.co.uk/files/img_cache/132500/995_667_1_ce9b3140-4cf7-440b-95c1-1d4549c6167b.jpg?1769570197', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132484/995_667_1_7021e912-8c6a-41a7-aaeb-8804e1f74d51.jpg?1769570189', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132485/995_667_1_5b5ac247-7ab0-4279-aab1-3478c70073c0.jpg?1769570189', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132486/995_667_1_3e6cb247-8ce1-4064-80fa-5930674fa71e.jpg?1769570190', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132487/995_667_1_6f071218-1e70-45f4-a009-1213f8187a33.jpg?1769570190', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132488/995_667_1_b9bcb0e0-e9a9-484c-8d0b-adceaadfe9b0.jpg?1769570190', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132489/995_667_1_0ac04f94-37a6-4fbb-878b-3709da508043.jpg?1769570191', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132490/995_667_1_8b323429-6d67-4297-b61c-80a68b197a99.jpg?1769570193', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132491/995_667_1_6b1370e0-5fb4-40d0-beb7-01e099d5c9bc.jpg?1769570194', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132492/995_667_1_83b936a2-cb67-4e2d-90aa-25e3ccdcd332.jpg?1769570194', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132493/995_667_1_f7f2f995-e780-4bd3-afde-64f4b833cf60.jpg?1769570195', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132494/995_667_1_381421a1-4c58-4306-9935-e5b90f11b786.jpg?1769570195', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132495/995_667_1_4c1c9748-7220-4e39-864b-6ac1a1eccf98.jpg?1769570195', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132496/995_667_1_c07d273d-5e5a-4f06-8997-b90cc08be2d2.jpg?1769570196', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132497/995_667_1_82caf163-ea54-484f-ac4e-52a685b80458.jpg?1769570196', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132498/995_667_1_0be61580-e028-4683-aa25-04e9a4259959.jpg?1769570196', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132499/995_667_1_29f9aecc-2d25-4f68-bae1-c756a42aa3b4.jpg?1769570196']","The property dates back to the late 1800's, built of traditional materials and represents a stunning and well maintained building from its era. Many of the original characteristics still feature within the property such as ornate plasterwork, high-ceilings, sash windows, fire-places and exposed wooden floors. The accommodation is cellular in layout providing a series of rooms of varying sizes from a lower-basement level through to a third upper floor accessed via a central staircase with attractive lighting and cosmetic finishes throughout to reflect a professional environment. The core space is serviced by a ground floor staffed reception area, WCs, kitchenette and shower room. The property benefits from visitor parking to the front for 3-4 cars and a walled staff car park to the rear (accessed from College Street) which holds 10 spaces.",0.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6900/property-1752-69797bcdc5efa3.23080864.pdf'],Commercial Property Partners,Sean Bremner MRICS,,sean@cpp.uk,01158966611,,,Freehold,For Sale,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/baker-street-sheffield,"Baker Street, Sheffield",,Industrial,"['https://www.commercialpropertypartners.co.uk/files/img_cache/133278/995_667_1_2b58fa28-03ab-4b2e-a0d6-b122a33279b5.jpg?1771571282', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133271/995_667_1_4110b461-0bcd-408f-86b4-252150d04d46.jpg?1771571274', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133272/995_667_1_b6798183-c9df-4311-a521-6a7adf61e433.jpg?1771571275', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133273/995_667_1_925629b7-d36c-42a4-b192-16e55d924c55.jpg?1771571276', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133274/995_667_1_261524fe-939b-4d9c-991f-f10b9f1ee59a.jpg?1771571277', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133275/995_667_1_056f8f4b-d9c0-4829-9e6c-65bde6f6a7e3.jpg?1771571279', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133276/995_667_1_18abf89e-6cad-4a2b-998c-83b06cfbf8f6.jpg?1771571280', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133277/995_667_1_31ee0b44-8a64-4bfe-a7ea-7c23ef15ce77.jpg?1771571281']","The unit comprises a modern extension which has historically been linked to the adjoining unit. The unit has now been subdivided with a separate access leading to a secure and perimeter fenced hardstanding area. Internally the unit provides an eaves height of 7.5 m with an integral WC, kitchen and small office. Additional office space is available at the location if required. The property benefits from the following:- Roller shutter access 10t Overhead Crane (full length) 7.5 m eaves. Secured perimeter fenced yard area WCs/Office accommodation",8925.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6990/property-1724-6997ce424827e9.13068014.pdf'],Commercial Property Partners,Ed Norris MRICS,,ed@cpp.uk,01142709160,,,,To Let,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/brierley-park-close-sutton-in-ashfield-nottinghamshire,"Brierley Park Close, Sutton-In-Ashfield, Nottinghamshire",,Industrial,"['https://www.commercialpropertypartners.co.uk/files/img_cache/132865/995_667_1_e8f75380-cfc2-4954-b348-756425713eb4.jpg?1770351578', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132855/995_667_1_0ba8d9d4-d065-4d2c-8631-11d5eb97bd2e.jpg?1770351569', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132856/995_667_1_c2b685da-910a-4f9a-9c1e-2beeb6fb37a7.jpg?1770351570', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132857/995_667_1_1ecc1fe3-1356-4ace-8fce-cad32972baba.jpg?1770351571', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132858/995_667_1_ae0516b1-b504-4df2-b00a-0555ff93324e.jpg?1770351572', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132859/995_667_1_8d07bc98-e79a-4151-8aa4-1bdc343c0994.jpg?1770351574', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132860/995_667_1_57da78f5-c524-442d-88a9-57fd25ac690e.jpg?1770351574', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132861/995_667_1_ee82a4c0-6914-4eec-9a46-b02260f0948d.jpg?1770351575', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132862/995_667_1_ea014f11-7446-495e-b772-336a626e6858.jpg?1770351576', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132863/995_667_1_44bc633e-e186-4505-9a84-e6f8e0921776.jpg?1770351576', 'https://www.commercialpropertypartners.co.uk/files/img_cache/132864/995_667_1_c1134729-b522-48f1-9254-97c7fc552e99.jpg?1770351576']","The unit is of steel portal frame construction, over-clad with profiled metal sheeting to a pitched roof incorporating translucent roof lights. The warehouse provides a clear span layout with excellent internal eaves height, ideal for storage or light industrial use. Key Features Include: - 6m internal eaves height - LED lighting - 2 Level access loading Doors with canopy - Dedicated loading yard - Separate parking area - Single storey office/canteen/welfare facilities",38578.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6939/property-1762-69855963703177.42133128.pdf'],Commercial Property Partners,Brodie Faint,,brodie@cpp.uk,01158966611,,,Leasehold,To Let,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/balby-carr-bank-doncaster-south-yorkshire,"Balby Carr Bank, Doncaster, South Yorkshire",,"Land / Development, Industrial","['https://www.commercialpropertypartners.co.uk/files/img_cache/129265/995_667_1_7ef7c44b-ddd2-4b1d-9ab5-e43a5c29ec32.jpg?1755749582', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129263/995_667_1_68caad03-45bd-4aa4-a500-c794b95db3ce.jpg?1755749579', 'https://www.commercialpropertypartners.co.uk/files/img_cache/129264/995_667_1_fe451c95-3bf6-4d2b-b661-2ec602cb6996.jpg?1755749581']","Two adjoining plots of 1.26 acres and 1.37 acres, available separately or combined to create a total 2.63-acre site. The land can be surfaced to meet occupier requirements, with build-to-suit opportunities available. Flexible terms are offered.",,1.26,,['https://www.commercialpropertypartners.co.uk/files/document/6530/property-1718-68a68be1eafe85.98497857.pdf'],Commercial Property Partners,Ed Norris MRICS,,ed@cpp.uk,01142709160,,,,To Let,2026-02-23,New
https://www.commercialpropertypartners.co.uk/properties/83-fitzwilliam-street-sheffield-south-yorkshire,"Fitzwilliam Street, Sheffield, South Yorkshire",,"Industrial, Retail / Leisure, Trade Counter","['https://www.commercialpropertypartners.co.uk/files/img_cache/133311/995_667_1_f9253503-eb94-4de7-953b-2cabc8c383d1.jpg?1771643462', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133308/995_667_1_85513ff6-3c67-44c8-8601-e5fe0e22a682.jpg?1771643458', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133309/995_667_1_a307ff8e-1625-448b-9bfb-d569a62dd65a.jpg?1771643460', 'https://www.commercialpropertypartners.co.uk/files/img_cache/133310/995_667_1_389bf84d-9313-4ed3-9d5f-d9500857cd74.jpg?1771643461']","A terrace of four high-quality, newly refurbished business/trade counter units are now available, offering prominence onto Fitzwilliam Street. Each unit has been upgraded with new insulated roofing and cladding, along with electrically operated insulated roller shutter doors. The accommodation includes glazed pedestrian entrances to the front, full-height roller shutter loading doors to the rear, and an internal eaves height of approximately 6 metres. Designated parking is available at the rear of the property, accessed via Bowdon Street.",1432.0,,,['https://www.commercialpropertypartners.co.uk/files/document/6995/property-1714-69991ffc4ee380.94345928.pdf'],Commercial Property Partners,Ed Norris MRICS,,ed@cpp.uk,01142709160,,,,To Let,2026-02-23,New
