listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.cradick.co.uk/property/133443?view=card,Ashford 4 Stanhope Court TN23 5EW,,,['https://neo.completelyretail.co.uk/media/property/133/133443/CG_Unit_4_Stanhope_Court_Ashford_picture_2023-06-15-10-47-56.jpg'],"The subject property is surrounded by predominantly residential properties. The subject parade comprises a fish & chip shop/café, a Morrisons local convenience store, a Chinese takeaway and a Turkish takeaway. The property benefits from shared parking in front of the parade which allows for approximately 12-14 cars.",1267.0,,TN23 5EW,['https://neo.completelyretail.co.uk/media/property/133/133443/CG_4_Stanhope_Court_Ashford_brochure_2026-01-15-16-50-25.pdf'],Cradick Retail,Jack Pearman,,jpearman@cradick.co.uk,01892 707511,,,Leasehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/138748?view=card,"Ashford Canterbury Road, TN24 8QQ",,,[],"6.6a edge of town site for sale. Individual plots are available from 0.75a. Suitable for retail, leisure, self-storage, car showroom etc (STP)",287496.0,,TN24 8QQ,['https://neo.completelyretail.co.uk/media/property/138/138748/CG_Canterbury_Road_Ashford_brochure_2024-03-19-10-04-12.pdf'],Cradick Retail,Andrew Morrish MRICS,,amorrish@cradick.co.uk,01273 617141,,,Freehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/133121?view=card,"Ashford Unit 6 Elwick Place, TN23 1AX",,,['https://neo.completelyretail.co.uk/media/property/133/133121/CG_Unit_6_Elwick_Place_Ashford_picture_2023-05-26-16-54-17.jpg'],"Located on the ground floor of the Elwick Place development underneath the Travelodge, this unit is open plan and in shell condition.",3034.0,,TN23 1AX,['https://neo.completelyretail.co.uk/media/property/133/133121/CG_Unit_6_Elwick_Place_Ashford_brochure_2026-02-20-10-11-08.pdf'],Cradick Retail,Jack Pearman,,jpearman@cradick.co.uk,01892 707511,,,Leasehold,To Let,2026-02-23,New
https://www.cradick.co.uk/property/136965?view=card,"Ashford Unit 7A Elwick Place, TN23 1AX",,,['https://neo.completelyretail.co.uk/media/property/136/136965/CG_Unit_7A_Elwick_Place_Ashford_picture_2024-01-05-17-33-37.jpg'],"Located on the ground floor of the Elwick Place development, this unit is open plan and in shell condition.",1355.0,,TN23 1AX,['https://neo.completelyretail.co.uk/media/property/136/136965/CG_Unit_7A_Elwick_Place_Ashford_brochure_2026-02-20-10-12-04.pdf'],Cradick Retail,Jack Pearman,,jpearman@cradick.co.uk,01892 707511,,,Leasehold,To Let,2026-02-23,New
https://www.cradick.co.uk/property/133122?view=card,"Ashford Unit 7B Elwick Place, TN23 1AX",,,['https://neo.completelyretail.co.uk/media/property/133/133122/CG_Unit_7B_Elwick_Place_Ashford_picture_2023-11-10-14-58-03.jpg'],"Located on the ground floor of the Elwick Place, this unit is open plan and in shell condition.",995.0,,TN23 1AX,['https://neo.completelyretail.co.uk/media/property/133/133122/CG_Unit_7B_Elwick_Place_Ashford_brochure_2026-02-20-10-13-04.pdf'],Cradick Retail,Alex Standen,,astanden@cradick.co.uk,01892 707577,,,Leasehold,To Let,2026-02-23,New
https://www.cradick.co.uk/property/137197?view=card,"Ashford Unit 7C Elwick Place, TN23 1AX",,,['https://neo.completelyretail.co.uk/media/property/137/137197/CG_Unit_7C_Elwick_Place_Ashford_picture_2024-01-08-18-01-17.jpg'],"Located on the ground floor of the Elwick Place development, providing just over 3,000 sq. ft. of space, this unit is open plan and in shell condition.",1765.0,,TN23 1AX,['https://neo.completelyretail.co.uk/media/property/137/137197/CG_Unit_7C_Elwick_Place_Ashford_brochure_2026-02-20-10-13-44.pdf'],Cradick Retail,Alex Standen,,astanden@cradick.co.uk,01892 707577,,,,To Let,2026-02-23,New
https://www.cradick.co.uk/property/146288?view=card,"Bexhill-on-Sea 11-13 Devonshire Road, TN40 1AH",,,['https://neo.completelyretail.co.uk/media/property/146/146288/CG_11-13_Devonshire_Road_Bexhill-on-Sea_picture_2026-01-23-09-22-44.jpg'],The property occupies a prominent corner town centre location at the junction of Devonshire Road with St Leonards Road and within easy walking distance of Bexhill railway station. The property is arranged over the basement and ground floors.,4416.0,,TN40 1AH,['https://neo.completelyretail.co.uk/media/property/146/146288/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-23-09-41-00.pdf'],Cradick Retail,Josh Heap BSc (Hons),,jheap@cradick.co.uk,01892 707502,,,Leasehold,To Let,2026-02-23,New
https://www.cradick.co.uk/property/146289?view=card,"Bexhill-on-Sea 11-13 Devonshire Road, TN40 1AH",,,['https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_picture_2026-01-23-09-31-19.jpg'],"A prominent former banking hall with 1st, 2nd and 3rd floor offices suitable for PD conversion to residential (STP).",11515.0,,TN40 1AH,"['https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-29-09-43-52.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-22-14-16-17.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-22-14-17-05.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-22-14-17-36.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-22-14-17-57.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146289/CG_11-13_Devonshire_Road_Bexhill-on-Sea_brochure_2026-01-22-14-18-35.pdf']",Cradick Retail,Josh Heap BSc (Hons),,jheap@cradick.co.uk,01892 707502,,,Freehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/137584?view=card,"Canterbury Unit 4B Simmonds Road, Wincheap Retail Park, CT1 3RA",,,['https://neo.completelyretail.co.uk/media/property/137/137584/CG_Unit_4B_Simmonds_Road_Wincheap_Retail_Park_Canterbury_picture_2024-02-01-15-33-22.jpg'],The property is arranged over the ground floor only and benefits from 101 shared customer car parking spaces.,10581.0,,CT1 3RA,['https://neo.completelyretail.co.uk/media/property/137/137584/CG_Unit_4B_Simmonds_Road_Wincheap_Retail_Park_Canterbury_brochure_2025-09-09-17-02-45.pdf'],Cradick Retail,Josh Heap BSc (Hons),,jheap@cradick.co.uk,01892 707502,,,Leasehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/130523?view=card,"Chippenham Bath Road, SN14 0AF",,,['https://neo.completelyretail.co.uk/media/property/130/130523/CG_Bath_Road_Chippenham_picture_2022-12-01-15-19-30.jpg'],"New Retail Warehouse/Trade Counter Development (stp). May suit alternative uses (excluding drive-thru). Adjacent to McDonalds, Busy Bees and Sainsbury’s/Argos. 3,000-6,000 sq ft.",3000.0,,SN14 0AF,['https://neo.completelyretail.co.uk/media/property/130/130523/CG_Bath_Road_Chippenham_brochure_2023-08-07-17-18-23.pdf'],Cradick Retail,Andrew Morrish MRICS,,amorrish@cradick.co.uk,01273 617141,,,Leasehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/145464?view=card,"Chobham 80-82 High Street, GU24 8LZ",,,['https://neo.completelyretail.co.uk/media/property/145/145464/CG_80-82_High_Street_Chobham_picture_2025-06-26-15-34-34.jpg'],"The property is arranged as a ground floor double-fronted shop unit. The subject property is situated in a very prominent position on the high street, on the principal thoroughfare from the village’s principal car park which offers over 200 spaces.",1775.0,,GU24 8LZ,['https://neo.completelyretail.co.uk/media/property/145/145464/CG_80-82_High_Street_Chobham_brochure_2026-02-20-10-53-48.pdf'],Cradick Retail,Alex Standen,,astanden@cradick.co.uk,01892 707577,,,Leasehold,To Let,2026-02-23,New
https://www.cradick.co.uk/property/139920?view=card,"Crowborough 2 London Road, TN6 2TT",,,['https://neo.completelyretail.co.uk/media/property/139/139920/CG_2_London_Road_Crowborough_picture_2024-06-03-15-01-28.jpg'],The property comprises a ground floor lock up shop with a two bedroom self contained flat above. To the rear there are additional residential units which are not included in the sale.,504.0,,TN6 2TT,['https://neo.completelyretail.co.uk/media/property/139/139920/CG_2_London_Road_Crowborough_brochure_2026-02-20-11-09-46.pdf'],Cradick Retail,Alex Standen,,astanden@cradick.co.uk,01892 707577,,,Freehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/145728?view=card,"East Grinstead 48 London Road, RH19 1AB",,,['https://neo.completelyretail.co.uk/media/property/145/145728/CG_48_London_Road_East_Grinstead_picture_2025-09-02-10-56-05.jpg'],"The property comprises a ground floor lock up shop with rear access, and separate first floor two bedroom maisonette.",912.0,,RH19 1AB,['https://neo.completelyretail.co.uk/media/property/145/145728/CG_48_London_Road_East_Grinstead_brochure_2026-02-20-11-27-58.pdf'],Cradick Retail,Alex Standen,,astanden@cradick.co.uk,01892 707577,,,Freehold,For Sale,2026-02-23,New
https://www.cradick.co.uk/property/146313?view=card,"East Grinstead 8-10 London Road, RH19 1AG",,,['https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_picture_2026-02-09-15-49-51.jpg'],"The property comprises a well configured retail shop built in c.1920, arranged over ground, first and second floors, with an extensive double frontage to London Road. The property is prominently located within the town centre.",3518.0,,RH19 1AG,"['https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_brochure_2026-02-05-10-58-44.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_brochure_2026-02-05-09-46-42.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_brochure_2026-02-05-09-47-12.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_brochure_2026-02-05-09-47-34.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_brochure_2026-02-05-09-47-57.pdf', 'https://neo.completelyretail.co.uk/media/property/146/146313/CG_8-10_London_Road_East_Grinstead_brochure_2026-02-05-09-48-23.pdf']",Cradick Retail,Josh Heap BSc (Hons),,jheap@cradick.co.uk,01892 707502,,,Freehold,For Sale,2026-02-23,New
