listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://cuthbertwhite.com/properties/30-semple-street,30 Semple Street,,Office,"['https://cuthbertwhite.com/application/files/1317/4602/7937/30_Semple_Street_-_Availability.png', 'https://cuthbertwhite.com/application/files/1217/4602/6682/30_Semple_Street_-_External_2.jpg', 'https://cuthbertwhite.com/application/files/8317/4602/6683/30_Semple_Street_-_External_1.jpg', 'https://cuthbertwhite.com/application/files/8917/4602/6684/30_Semple_Street_-_reception.jpg', 'https://cuthbertwhite.com/application/files/8517/4602/6685/30_Semple_Street_-_breakout.jpg', 'https://cuthbertwhite.com/application/files/2417/4602/6685/30_Semple_Street_-_breakout_2.jpg', 'https://cuthbertwhite.com/application/files/4117/4602/6684/30_Semple_Street_-_Lower_Ground.jpg', 'https://cuthbertwhite.com/application/files/3517/4602/6683/30_Semple_Street_-_Ground.jpg', 'https://cuthbertwhite.com/application/files/7817/4602/6683/30_Semple_Street_-_Internal.jpg', 'https://cuthbertwhite.com/application/files/8417/4602/6684/30_Semple_Street_-_shower.jpg', 'https://cuthbertwhite.com/application/files/8017/4602/6684/30_Semple_Street_-_bike_store.jpg']","New prime grade A office accommodation with outstanding green credentials in Edinburgh's thriving Exchange District. Edinburgh's newest office development boasts outstanding green credentials, great facilities and bright, flexible and adaptable spaces. The redevelopment of 30 Semple Street provides exceptional modern office accommodation with the highest environmental and sustainability accreditations in Scotland. Buildings are too often completely demolished. By stripping back to the original frame, 30 Semple Street has saved 3,300 tons of CO2, more than 50% of the carbon that would have been used in reconstruction. All new class-leading energy efficient systems, stunning contemporary facades, crisp aesthetics and amenities of the highest quality. Available Accommodation: ​​​​*Ground Floor North - 2,992 sq ft and Ground Floor South - 2,800 sq ft. Ground Floor North and Lower Ground Floors must be let together as they are interconnected.",2992.0,,,['https://cuthbertwhite.com/download_file/2086/643'],CuthbertWhite,Chris Cuthbert,,chris@cuthbertwhite.com,+447989395165,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/orchard-brae-house,Orchard Brae House,,Office,"['https://cuthbertwhite.com/application/files/3916/8716/7430/Orchard_Brae_House_-_CGI_External_3.jpg', 'https://cuthbertwhite.com/application/files/7716/9572/6565/Orchard_Brae_House_-_Reception-.jpg', 'https://cuthbertwhite.com/application/files/9616/9572/6565/Orchard_Brae_House_-_Speed_Gates-.jpg', 'https://cuthbertwhite.com/application/files/9916/9572/6566/Orchard_Brae_House_-_Cafe-.jpg', 'https://cuthbertwhite.com/application/files/4416/9572/6562/Orchard_Brae_House_-_Common_Area-.jpg', 'https://cuthbertwhite.com/application/files/4116/8716/7428/Orchard_Brae_House_-_Office.jpg', 'https://cuthbertwhite.com/application/files/6416/8725/8034/Orchard_Brae_House_-_CGI_Office_1.jpg', 'https://cuthbertwhite.com/application/files/9716/9572/6564/Orchard_Brae_House_-_Gym-.jpg', 'https://cuthbertwhite.com/application/files/6916/9572/6564/Orchard_Brae_House_-_Lockers-.jpg', 'https://cuthbertwhite.com/application/files/8716/9572/6566/Orchard_Brae_House_-_Bike_Store.jpg', 'https://cuthbertwhite.com/application/files/2316/9572/6566/Orchard_Brae_House_-_Yoga_Studio-.jpg', 'https://cuthbertwhite.com/application/files/6416/9572/6565/Orchard_Brae_House_-_Wellbeing_Suite-.jpg', 'https://cuthbertwhite.com/application/files/5816/9572/6563/Orchard_Brae_House_-_Dog_Park-.jpg', 'https://cuthbertwhite.com/application/files/5316/9572/6564/Orchard_Brae_House_-_Picnic_Area-.jpg']","OBH offers Grade A office accommodation over 6 floors with a dedicated amenity level. Common areas have recently undergone renovation to modernise the spaces and the available office suites have gone through a defurbishment - stripping back the spaces to create stylish, contemporary and flexible suites that offer desirable design choices. Who could resist having their office, gym, yoga studio and favourite café all in one place. And that’s not all, once a month we host wellness talks with qualified doctors, have a sanctuary garden, a platinum scored cycle hub, free electric bikes, parenting room, tenant newsletter and much, much more. Your canine friends are also more than welcome. The whole of OBH is a dog friendly space, including the café, and there is even a dedicated and safe dog walking area. Available Accommodation:",1422.0,,,"['http://cuthbertwhite.com/application/files/9917/2043/7969/OBH_Brochure_July_2024_-_Garden_Floor.pdf', 'https://cuthbertwhite.com/application/files/9917/2043/7969/OBH_Brochure_July_2024_-_Garden_Floor.pdf', 'https://cuthbertwhite.com/download_file/2145/604']",CuthbertWhite,Nick White James Metcalfe,,nick@cuthbertwhite.com,+447810117888,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/gf-obh,"Garden Floor, OBH",,Office,"['https://cuthbertwhite.com/application/files/5816/9572/6563/Orchard_Brae_House_-_Dog_Park-.jpg', 'https://cuthbertwhite.com/application/files/7117/2190/0064/OBH_-_1.jpg', 'https://cuthbertwhite.com/application/files/1317/2190/0064/OBH_-_2.jpg', 'https://cuthbertwhite.com/application/files/1617/2190/0065/OBH_-_3.jpg', 'https://cuthbertwhite.com/application/files/2417/2190/0065/OBH_-_4.jpg', 'https://cuthbertwhite.com/application/files/8717/2190/0064/OBH_-_5.jpg', 'https://cuthbertwhite.com/application/files/9916/9572/6566/Orchard_Brae_House_-_Cafe-.jpg', 'https://cuthbertwhite.com/application/files/8716/9572/6566/Orchard_Brae_House_-_Bike_Store.jpg', 'https://cuthbertwhite.com/application/files/2316/9572/6566/Orchard_Brae_House_-_Yoga_Studio-.jpg', 'https://cuthbertwhite.com/application/files/6416/9572/6565/Orchard_Brae_House_-_Wellbeing_Suite-.jpg', 'https://cuthbertwhite.com/application/files/9616/9572/6565/Orchard_Brae_House_-_Speed_Gates-.jpg', 'https://cuthbertwhite.com/application/files/7716/9572/6565/Orchard_Brae_House_-_Reception-.jpg', 'https://cuthbertwhite.com/application/files/5316/9572/6564/Orchard_Brae_House_-_Picnic_Area-.jpg', 'https://cuthbertwhite.com/application/files/6916/9572/6564/Orchard_Brae_House_-_Lockers-.jpg', 'https://cuthbertwhite.com/application/files/9716/9572/6564/Orchard_Brae_House_-_Gym-.jpg']","Orchard Brae House (OBH) is located on Queensferry Road, a key east/west arterial route providing direct access to Edinburgh city centre. It offers Grade A office accommodation over 6 floors with a dedicated amenity level. The property has recently been refurbished to an exacting standard. The office suite is located at garden level and is available on a sub-let basis. It is fully-fitted (furniture available by separate negotiation) with superb natural light, a high quality kitchen/break-out area and a stunning entrance area. Several good quality meeting rooms are also available. Who could resist having their office, gym, yoga studio and favourite café all in one place. And that’s not all, once a month we host wellness talks with qualified doctors, have a sanctuary garden, a platinum scored cycle hub, free electric bikes, parenting room, tenant newsletter and much, much more. Your canine friends are also more than welcome. The whole of OBH is a dog friendly space, including the café, and there is even a dedicated and safe dog walking area. Available Accommodation:",6232.944,,,['https://cuthbertwhite.com/download_file/1780/737'],CuthbertWhite,Nick White James Metcalfe,,nick@cuthbertwhite.com,+447810117888,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/edinburgh-quay2,Edinburgh Quay2,,Office,"['https://cuthbertwhite.com/application/files/1916/1841/7934/Edinburgh_Quay_2_-_Car_Park.jpg', 'https://cuthbertwhite.com/application/files/9417/4039/3814/Quay_2_-_External.jpg', 'https://cuthbertwhite.com/application/files/1417/4039/3815/Quay_2_-_Internal.jpg', 'https://cuthbertwhite.com/application/files/5517/4039/3814/Quay_2_-_Internal_2.jpg', 'https://cuthbertwhite.com/application/files/3017/4039/3816/Quay_2_-_Reception.jpg', 'https://cuthbertwhite.com/application/files/3217/4039/3816/Quay_2_-_WC.jpg', 'https://cuthbertwhite.com/application/files/6817/4039/3814/Quay_2_-_External_2.jpg', 'https://cuthbertwhite.com/application/files/1816/1841/7930/Edinburgh_Quay_2_-_Bike_Rack.jpg']",Available Accommodation:,4703.824,,,['https://cuthbertwhite.com/download_file/1959/443'],CuthbertWhite,Nick White James Metcalfe,,nick@cuthbertwhite.com,+447810117888,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/charlotte-square-collection,Charlotte Square Collection,,Office,"['https://cuthbertwhite.com/application/files/1417/4162/1652/26_Charlotte_Square_-_Internal_6.jpg', 'https://cuthbertwhite.com/application/files/7116/6905/0210/TCSC.jpg', 'https://cuthbertwhite.com/application/files/3116/9209/2138/14_Charlotte_Square.jpg', 'https://cuthbertwhite.com/application/files/5416/7109/8475/18_Charlotte_Square_-_External_Annotated.jpg', 'https://cuthbertwhite.com/application/files/6016/2739/4904/19_Charlotte_Square_-_External_1.jpg', 'https://cuthbertwhite.com/application/files/2116/1841/8115/20-21_Charlotte_Square.jpg', 'https://cuthbertwhite.com/application/files/2716/1841/8120/23_Charlotte_Square.jpg', 'https://cuthbertwhite.com/application/files/2517/4162/0954/8_Charlotte_Square_-_Internal_1.jpg', 'https://cuthbertwhite.com/application/files/8717/4162/0954/8_Charlotte_Square_-_Internal_2.jpg', 'https://cuthbertwhite.com/application/files/4617/4162/0955/8_Charlotte_Square_-_Internal_3.jpg', 'https://cuthbertwhite.com/application/files/9617/4162/0955/8_Charlotte_Square_-_Internal_4.jpg', 'https://cuthbertwhite.com/application/files/4617/4162/0955/8_Charlotte_Square_-_Internal_5.jpg', 'https://cuthbertwhite.com/application/files/3417/4162/0956/8_Charlotte_Square_-_Internal_6.jpg', 'https://cuthbertwhite.com/application/files/3517/4162/0956/8_Charlotte_Square_-_Internal_7.jpg', 'https://cuthbertwhite.com/application/files/5517/4162/0909/9_Charlotte_Square_-_Internal_1.jpg', 'https://cuthbertwhite.com/application/files/6517/4162/0909/9_Charlotte_Square_-_Internal_2.jpg', 'https://cuthbertwhite.com/application/files/8517/4162/0910/9_Charlotte_Square_-_Internal_3.jpg', 'https://cuthbertwhite.com/application/files/6217/4162/0910/9_Charlotte_Square_-_Internal_4.jpg', 'https://cuthbertwhite.com/application/files/6417/4162/0910/9_Charlotte_Square_-_Internal_5.jpg', 'https://cuthbertwhite.com/application/files/8917/4162/0911/9_Charlotte_Square_-_Internal_6.jpg', 'https://cuthbertwhite.com/application/files/4117/4162/0911/9_Charlotte_Square_-_Internal_7.jpg', 'https://cuthbertwhite.com/application/files/5617/4162/0911/9_Charlotte_Square_-_Internal_8.jpg', 'https://cuthbertwhite.com/application/files/4217/4162/0912/9_Charlotte_Square_-_Internal_9.jpg', 'https://cuthbertwhite.com/application/files/8417/4162/0986/26_Charlotte_Square_-_Internal_1.jpg', 'https://cuthbertwhite.com/application/files/5017/4162/0986/26_Charlotte_Square_-_Internal_2.jpg', 'https://cuthbertwhite.com/application/files/7117/4162/0987/26_Charlotte_Square_-_Internal_3.jpg', 'https://cuthbertwhite.com/application/files/4417/4162/0987/26_Charlotte_Square_-_Internal_4.jpg', 'https://cuthbertwhite.com/application/files/1017/4162/0987/26_Charlotte_Square_-_Internal_5.jpg']","The Collection is home to a number of leading financial, professional and institutional bodies to include Cazenove Capital, Interpath, Liontrust, Kiltearn Partners, Global Energy Group, Baxters, Ruffer, RICS and Hampden & Co, amongst others, whilst the Square itself remains one of Edinburgh’s architectural gems and a key focal point within the UNESCO World Heritage Site, easily accessible by train, tram, bus or car. Private car parking is available with the majority of townhouses (by way of additional cost) whilst access to Charlotte Square Gardens can be provided subject to separate agreement. Please visit the Charlotte Square Collection website for further information. Accommodation Available:",639.0,,,"['https://charlottesquarecollection.com/wp-content/uploads/2024/10/8-Charlotte-Square.pdf', 'https://charlottesquarecollection.com/wp-content/uploads/2025/03/9-Charlotte-Square.pdf', 'https://cuthbertwhite.com/download_file/2119/0', 'https://charlottesquarecollection.com/wp-content/uploads/2024/10/14-Charlotte-Square.pdf', 'https://cuthbertwhite.com/download_file/2118/0', 'https://charlottesquarecollection.com/wp-content/uploads/2025/01/26-Charlotte-Square.pdf']",CuthbertWhite,Nick White,,nick@cuthbertwhite.com,+447810117888,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/quartermile-two,Quartermile Two,,Office,['https://cuthbertwhite.com/application/files/2217/0066/5743/Quartermile_2_-_External_6.jpg'],,6769.0,,,['https://cuthbertwhite.com/download_file/2246/681'],CuthbertWhite,Nick White James Metcalfe,,nick@cuthbertwhite.com,+447810117888,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/6-hope-street,6 Hope Street,,Office,"['https://cuthbertwhite.com/application/files/5417/5689/3581/6_Hope_Street_-_Kitchen.jpg', 'https://cuthbertwhite.com/application/files/4117/5689/3580/6_Hope_Street_-_External.jpg', 'https://cuthbertwhite.com/application/files/9717/5689/3581/6_Hope_Street_-_Meeting_Room_1.jpg', 'https://cuthbertwhite.com/application/files/6417/5689/3581/6_Hope_Street_-_Meeting_Room_2.jpg', 'https://cuthbertwhite.com/application/files/7717/5689/4817/6_Hope_Street_-_Internal.jpg', 'https://cuthbertwhite.com/application/files/7417/5689/3581/6_Hope_Street_-_Meeting_Room_3.jpg']","Stunning refurbished category A listed part townhouse office space in Edinburgh's Unesco World Heritage Site, spanning 2,472 sq ft across the Lower Ground, Ground and First Floors of a 5-storey mid-terrace building. This self-contained office boasts a striking sandstone facade with large windows and high floor to ceiling heights across the ground and first floors, offering an abundance of natural light throughout. The property features two main entrances from Hope Street: one at lower ground level and another via steps from street level. Its exterior showcases quality stonework, while the interior artfully blends contemporary and period design elements. Recently refurbished to a high standard, the office offers a mix of open-plan and cellular accommodation. Available Accommodation: ​​​​",734.959,,,['https://cuthbertwhite.com/download_file/2157/775'],CuthbertWhite,James Metcalfe Nick White,,james@cuthbertwhite.com,+447786623282,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/101-george-street-edinburgh,101 George Street,,Office,"['https://cuthbertwhite.com/application/files/9017/4532/5053/101_George_Street_-_Boardroom.jpg', 'https://cuthbertwhite.com/application/files/9917/4532/5165/101_George_Street_-_External.jpg', 'https://cuthbertwhite.com/application/files/8117/3764/1895/101_George_Street_5F_Entrance.jpg', 'https://cuthbertwhite.com/application/files/2217/3764/1896/101_George_Street_5F_Main.jpg', 'https://cuthbertwhite.com/application/files/1317/3764/1895/101_George_Street_5F_Main_2.jpg', 'https://cuthbertwhite.com/application/files/4517/3764/1896/101_George_Street_5F_Main_3.jpg', 'https://cuthbertwhite.com/application/files/4717/3218/9617/101_George_St_-_4th_Floor_2.jpg', 'https://cuthbertwhite.com/application/files/2017/3218/9617/101_George_St_-_4th_Floor_3.jpg', 'https://cuthbertwhite.com/application/files/1017/3218/9616/101_George_St_-_4th_Floor_1.jpg', 'https://cuthbertwhite.com/application/files/7617/3764/1896/101_George_Street_Reception_1.jpg', 'https://cuthbertwhite.com/application/files/8017/3764/1896/101_George_Street_Reception_2.jpg', 'https://cuthbertwhite.com/application/files/8417/3218/9936/IMG_1963.jpg', 'https://cuthbertwhite.com/application/files/5717/3218/9936/IMG_1968.jpg', 'https://cuthbertwhite.com/application/files/4617/4532/5053/101_George_Street_-_5th_floor_2.jpg', 'https://cuthbertwhite.com/application/files/2417/4532/5053/101_George_Street_-_5th_floor_1.jpg']","101 George Street is prominently located in Edinburgh's city centre with excellent amenities and bus, tram and rail links nearby. Waverley Station can be reached within 10 minutes on foot and the Princes Street tram halt within 5 minutes. The building boasts period features with recently refurbished common parts. The building also includes a communal outdoor terrace and concierge service, as well as lift access. Refurbishment of the 5th floor suites has recently been completed. This includes new LED lighting, carpets, paintwork and refurbishment of the tea prep areas. Available Accommodation:",850.348,,,['https://cuthbertwhite.com/download_file/2074/716'],CuthbertWhite,James Metcalfe Chris Cuthbert,,james@cuthbertwhite.com,+447786623282,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/17-17a-queensferry-street,17 & 17a Queensferry Street,800000,Office,"['https://cuthbertwhite.com/application/files/1217/6166/2538/17-17a_Queensferry_Street_-_External_Outline.jpg', 'https://cuthbertwhite.com/application/files/2917/6166/2538/17-17a_Queensferry_Street_-_External_1.jpg', 'https://cuthbertwhite.com/application/files/5717/6166/2539/17-17a_Queensferry_Street_-_Internal_1.jpg', 'https://cuthbertwhite.com/application/files/1317/6166/2539/17-17a_Queensferry_Street_-_Internal_2.JPEG', 'https://cuthbertwhite.com/application/files/9317/6166/2539/17-17a_Queensferry_Street_-_Internal_3.JPEG', 'https://cuthbertwhite.com/application/files/1217/6166/2539/17-17a_Queensferry_Street_-_Internal_4.jpg', 'https://cuthbertwhite.com/application/files/8517/6166/2539/17-17a_Queensferry_Street_-_Internal_5.JPEG', 'https://cuthbertwhite.com/application/files/4917/6166/2540/17-17a_Queensferry_Street_-_Signage.jpg']","17 & 17a Queensferry Street occupies a prominent position in Edinburgh’s West End, close to the junction of the City’s busiest arterial routes of Queensferry Street, Shandwick Place, Lothian Road and Princes Street with bus and tram stops all nearby. The subject property comprises a restaurant premises over basement, ground and first floors in a four storey stone built Grade B Listed property. The restaurant provides a total of 65 covers over ground and first floors with an attractive bar at ground floor, a kitchen and preparation area on first floor together with customer ladies and gentlemen WC`s. The basement provides further storage, staff areas and staff WC facilities. Historically the property has been home to a number of well-known and successful French restaurants including Petit Paris, Pierre Victoire and L’Escargot Bleu before being operated by the highly acclaimed Dulse, created by award winning Scottish chef Dean Banks Available Accommodation:",694.0,,,['https://cuthbertwhite.com/download_file/2220/779'],CuthbertWhite,Stephen Kay James Metcalfe,,stephen@cuthbertwhite.com,+447786623282,,,,For Sale,2026-02-24,New
https://cuthbertwhite.com/properties/the-tower-7-advocates-close,"The Tower, Advocate's Close",,Office,"['https://cuthbertwhite.com/application/files/5817/6287/6855/The_Tower_7_Advocates_Close_-_Internal_5.jpg', 'https://cuthbertwhite.com/application/files/4817/6287/6853/The_Tower_7_Advocates_Close_-_External.jpg', 'https://cuthbertwhite.com/application/files/5017/6287/6854/The_Tower_7_Advocates_Close_-_Internal_1.jpg', 'https://cuthbertwhite.com/application/files/2217/6287/6855/The_Tower_7_Advocates_Close_-_Internal_2.jpg', 'https://cuthbertwhite.com/application/files/8717/6287/6855/The_Tower_7_Advocates_Close_-_Internal_3.jpg', 'https://cuthbertwhite.com/application/files/9217/6287/6855/The_Tower_7_Advocates_Close_-_Internal_4.jpg']","The Tower, 7 Advocate's Close, is a striking and self-contained office building located within one of Edinburgh’s most historic closes. Combining period character with modern specifications, the property offers a rare opportunity for occupiers seeking distinctive space in the heart of the Old Town. Arranged over three floors with its own dedicated entrance, The Tower provides a flexible and practical working environment enhanced by a private roof terrace, excellent natural light, and a specification tailored to contemporary business needs. 7 Advocate’s Close is one of the most historic and atmospheric lanes in Edinburgh, dating back to the 15th century. Positioned within the Old Town, the property offers a unique setting that blends heritage character with central convenience.",1469.0,,,['https://cuthbertwhite.com/download_file/2244/781'],CuthbertWhite,James Metcalfe Nick White,,james@cuthbertwhite.com,+447786623282,,,,For Sale,2026-02-24,New
