listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
Confidential Instruction – Care Home in Leicestershire,Confidential Instruction – Care Home in Leicestershire,5000000,,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Confidential Instruction – Care Home in Leicestershire,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
"Closed LD and MH Care Home, Previously Reg 18","Closed LD and MH Care Home, Previously Reg 18",625000,,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],"Closed LD and MH Care Home, Previously Reg 18",,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Impressive Care Home – Reg 22,Impressive Care Home – Reg 22,1595900,,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Impressive Care Home – Reg 22,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Attractive Care Home – Reg 18 UNDER OFFER,Attractive Care Home – Reg 18 UNDER OFFER,975000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Attractive Care Home – Reg 18 UNDER OFFER Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
CONFIDENTIAL INSTRUCTION – Care Home in Nottinghamshire,CONFIDENTIAL INSTRUCTION – Care Home in Nottinghamshire,995000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],CONFIDENTIAL INSTRUCTION – Care Home in Nottinghamshire Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Fabulous Care Home – Reg 23,Fabulous Care Home – Reg 23,1500000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Fabulous Care Home – Reg 23 Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Highly Regarded Care Home – Reg 20,Highly Regarded Care Home – Reg 20,1300000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Highly Regarded Care Home – Reg 20 Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Residential Care Home – Reg 41 UNDER OFFER,Residential Care Home – Reg 41 UNDER OFFER,1800000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Residential Care Home – Reg 41 UNDER OFFER Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Confidential Instruction – Group of Care Homes in Northern Ireland,Confidential Instruction – Group of Care Homes in Northern Ireland,3550000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Confidential Instruction – Group of Care Homes in Northern Ireland Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Closed Care Home – Prev Reg 18,Closed Care Home – Prev Reg 18,,"Residential Care Home, Vacant",['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],"Closed Care Home – Prev Reg 18 Residential Care Home, Vacant",,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Confidential Instruction – Care Home in Gloucestershire UNDER OFFER,Confidential Instruction – Care Home in Gloucestershire UNDER OFFER,4500000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],Confidential Instruction – Care Home in Gloucestershire UNDER OFFER Residential Care Home,,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Vacant Dementia Care Home – Prev Rev 25 UNDER OFFER,Vacant Dementia Care Home – Prev Rev 25 UNDER OFFER,1000000,"Elderly Mental Infirm/Dementia, Vacant",['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],"Vacant Dementia Care Home – Prev Rev 25 UNDER OFFER Elderly Mental Infirm/Dementia, Vacant",,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
Vacant LD Care Home – Prev Reg 11 UNDER OFFER,Vacant LD Care Home – Prev Reg 11 UNDER OFFER,500000,"Learning Disability, Vacant",['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],"Vacant LD Care Home – Prev Reg 11 UNDER OFFER Learning Disability, Vacant",,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
"Residential Care Home, Reg 22 UNDER OFFER","Residential Care Home, Reg 22 UNDER OFFER",750000,Residential Care Home,['https://www.dccare.co.uk/app/themes/dc-care/dist/images/default-listing-image_023bb960.png'],"Residential Care Home, Reg 22 UNDER OFFER Residential Care Home",,,,[],DC Care,,,,,,,,,2026-02-25,Deleted
