listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.dlpsurveyors.co.uk/product/9004041/plot-g11-north-road-bridgend-industrial-estate-bridgend-cf31-3rl,"PLOT G11 NORTH ROAD, BRIDGEND INDUSTRIAL ESTATE, BRIDGEND, CF31 3RL",,,"['https://www.dlpsurveyors.co.uk/images/DSCF2920.jpg', 'https://www.dlpsurveyors.co.uk/images/DSCF2921.jpg', 'https://www.dlpsurveyors.co.uk/images/productcontent/9004041/250by188_126_Property_Main_Image_DSCF2914.jpg']","Location (CF31 3RL) A plot suitable for development which is situated towards the north-east of the estate and has frontage to both Bennett St. and North Rd. - Generally level brownfield site; - Frontage to Bennett St. & North Rd; - Suitable for a variety of uses (subject to planning); - Site can be sub-divided or extended with adjacent site; All mains services including water, electricity, gas & telecoms are available in the vicinity. Rent from £30,000 per annum per acre. Large plot suitable for development Frontage to both Bennett St. & North Rd. Can be sub-divided or extended",,5.3,CF31 3RL,['https://www.dlpsurveyors.co.uk/media/PLOT-G11.pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004042/plot-g12-kingsway-bridgend-industrial-estate-bridgend-cf31-3ry,"PLOT G12 KINGSWAY, BRIDGEND INDUSTRIAL ESTATE, BRIDGEND, CF31 3RY",,,"['https://www.dlpsurveyors.co.uk/images/productcontent/9004042/250by188_127_Property_Main_Image_DSCF2909.jpg', 'https://www.dlpsurveyors.co.uk/images/DSCF2911.jpg', 'https://www.dlpsurveyors.co.uk/images/DSCF2910.jpg']","Location (CF31 3RY) This development plot is situated towards the eastern end of the estate with frontage onto Kingsway, one of the main arterial routes onto the estate, and good visibility from the adjacent A473. A plot suitable for development comprising: - Level brown-field site; - Existing frontage to Kingsway; - Suitable for development; - Could be used for variety of uses (subject to planning); - Site can be sub-divided; - Good visibility from A473 (adj.) Mains services including water, electricity, gas & telecoms are available in the vicinity. Prominent development plot Good visibility to A473 Direct access onto Kingsway",,4.3,CF31 3RY,['https://www.dlpsurveyors.co.uk/media/Plot G12 Nov 15(2).pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004043/unit-2-alexandra-industrial-estate-rumney-cardiff-cf3-1ey,"UNIT 2 ALEXANDRA INDUSTRIAL ESTATE, RUMNEY, CARDIFF, CF3 1EY",,,"['https://www.dlpsurveyors.co.uk/images/IMG_7750.jpg', 'https://www.dlpsurveyors.co.uk/images/IMG_7700.jpg', 'https://www.dlpsurveyors.co.uk/images/IMG_7696.jpg']","Location (CF3 1EY) The Alexandra Industrial Estate is located in Rumney, Cardiff about 3 miles east of the city centre and in an established commercial area. There is good access to the M4 motorway via the A48 Eastern Avenue and A4161 Southern Way linking to junctions 29 and 29a. Access to the estate from Southern Way is along the B4487 Newport Road and up Rumney Hill. After approximately 1 mile turn right at the traffic lights and proceed down Wentloog Road (B4239) for ½ mile whereby the estate is situated on the left hand side. Alexandra Industrial Estate The Alexandra Industrial Estate offers a range of differing sized business units within a secure environment. It is situated to the east of Cardiff city centre with convenient access to other nearby estates including Lamby Way, Capital Business Park, Springmeadow Business Park, & The Laurels. Description Unit 2 comprises a mid- terrace workshop which benefits from the following: • Steel portal frame constriction; • Minimum eaves height 6.3m.; • High bay lighting; • Roller shutter loading door 5.0m.(w); • Solid concrete floor; • 9x car parking spaces allocated; Accommodation (Gross Internal Areas) TOTAL GIA 7,271 sq.ft. Inc: Ground Floor Office/Ancil. + Mezzanine Storage Gantry Cranes There are 2x 3t, gantry cranes in-situ which will require attention. Mains Services Unit 2 benefits from the provision of mains services including 3 phase electricity, water and drainage. User Unit 2 benefits from B1, B2, & B8 Use Classes consent and is deemed suitable for light and general industrial type uses, and storage & distribution. On Site Security The Estate is fully enclosed with access via 2 remotely controlled electric gates. Surveillance cameras in operation 24 hours which is paid via a security charge - £3,182 pa. + VAT. Estate Service Charge/Buildings Insurance Each tenant contributes towards the Estate Service Charge for the upkeep of the common parts of the estate. The budget figure for 2025/26 is £8,980 pa. + VAT. The Landlord insures the building and recovers the annual premium from the tenant - further details available upon request. Energy Performance Certificate 85 – Band D Terms The unit will be available on a new full repairing and insuring lease for a minimum term of 3 years. Quoting Rent £36,355 pa. Rateable Value (2023) To be re-assessed. Business Support For further information please contact: Welsh Assembly Government (Business Wales) on 03000 60 3000 www.businesswales.gov.wales or Cardiff Council on 029 2087 2087 www.cardiff.gov.uk Legal Costs Tenant to pay Landlord £250 non-refundable contribution to Legal costs. Thereafter each party responsible for their own legal costs. VAT All figures quoted are exclusive of VAT. Viewing For further information or to arrange an inspection please contact the joint agents: Mid-Terrace Workshop of 7,271 Sq.Ft. Gantry Craneage Within Secure Estate With Fenced Boundary & Automatic Gates",7271.0,,CF3 1EY,"['https://www.dlpsurveyors.co.uk/media/U2 AIE JUL 25.pdf', 'https://www.dlpsurveyors.co.uk/media/UNIT 2 AIE JUN 25.pdf']",DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004045/unit-23-ogmore-crescent-bridgend-industrial-estate-bridgend-cf31-3te,"UNIT 23 OGMORE CRESCENT, BRIDGEND INDUSTRIAL ESTATE, BRIDGEND, CF31 3TE",,,"['https://www.dlpsurveyors.co.uk/images/SAM_1566.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_1568.JPG']","Location (CF31 3TE) Bridgend is one of the premier business locations in South Wales, situated midway between Cardiff and Swansea. The town is also the preferred location for many existing large employers, including the headquarters for South Wales Police The unit is on the popular 300 acre Bridgend Industrial Estate which benefits from direct access onto the A473 dual carriageway, with J.35 to the M4 approximately 2 miles to the east. The unit is situated within Ogmore Crescent towards the western end of the estate, close to York Road and the Cowbridge Road entrance to the estate. Other nearby occupiers on this part of the estate include Mirror Image, Cynin Group, Coity Engineering, and YC Plastics. Description Ogmore Crescent is an established location within the Bridgend Industrial Estate that contains a variety of different types of occupiers. Unit 23 is a mid-terraced unit and benefits from the following: • steel portal frame construction; • electrically operated roller shutter door (3.3m. x 4.4m.); • minimum eaves height of 4.3m. rising to 5.2m.; • 2 storey office/ancillary accommodation; • Extensive mezzanine storage area; • front loading with 5 marked car parking bays; Accommodation (Gross Internal Area) TOTAL GIA 4,129 Sq.Ft. Inc.: Main Workshop 2,470 Sq.Ft. Grd. fl. offices/ancil. 199 Sq.Ft. 1st Floor Office/Ancil 199 Sq.Ft. Mezzanine Floor 1,141 Sq.Ft. Energy Performance Certificate (EPC) The property has an EPC rating of 99 which is within band D. Mains Services We understand that there is 3 phase electricity, mains gas, mains water, and mains drainage are connected to the property. User The property is situated on the Bridgend Industrial Estate, an established industrial estate for B1, B2, and B8 users. Rateable Value (2023) Workshop & Premises - £13,500 Rates Payable (2025/26) - £7,668 pa. Terms The property will be available on a new full repairing and insuring lease from March 2026 for a minimum term of 3 years. Quoting Rent £19,995 pa. Business Support For further information please contact: Welsh Assembly Government (Flexible Support for Business) on 03000 60 3000 Bridgend County Borough Council on 01656 815 315 or business@bridgend.gov.uk Legal Costs Each party are to be responsible for their own legal costs incurred in this matter. VAT All figures quoted are exclusive of VAT. Viewing For further information or to arrange an inspection please contact the sole agents: Mid-Terrace Workshop + Forecourt Can be Combined With Unit 24 (Adj.) On Popular Estate Close To J.35 M$",3003.0,300.0,CF31 3TE,['https://www.dlpsurveyors.co.uk/media/U23 OGMORE JAN 26.pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004046/no1-the-portway--porthcawl-cf36-3xb,"NO.1 THE PORTWAY, PORTHCAWL, CF36 3XB",,,"['https://www.dlpsurveyors.co.uk/images/SAM_4974.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_4955.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_4977.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_4963.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_4956.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_4966.JPG']","Location (CF36 3XB) Porthcawl is a popular tourist and commuting town on the South Wales coast in Bridgend County Borough. It has a population of c. 16,000 and is just 6 over 6 miles to the south-west of Bridgend, and 25 miles west of Cardiff. Porthcawl has a promenade and several beaches, with a number of hotels and a large caravan park at nearby Trecco Bay. Main access to the town is via the A4229 which links the town to junction 37 of the M4 The property itself is prominently situated immediately adjacent to the A4106 roundabout within Porthcawl town centre. The large Hillsborough Place car park is adjacent and the main John Street retail area situated to the rear. Description Th property comprises a detached 2 storey complex within the town centre that has recently been extensively refurbished. The building is within a secure fenced site with on-site car parking available. Types Of Occupiers The available suites are suitable for a variety of office-based occupiers. Also within the complex are other alternate types of uses including a tanning studio, and pizza delivery service. Accommodation A series of individual office suites have been created at both ground and first floor level. These range in size from 90 sq.ft. up to larger suites of 355 sq.ft. although suites can be combined. See attached schedule for current availability. On-Site Car Parking There are up to 9 car parking spaces available on site. These are available on a ‘first come first served’ basis. In addition the large Hillsborough Place car park is situated adjacent. Business Rates Each occupier is to be responsible for the payment of business rates t the local authority. However due to the size of each suite it is expected that occupiers may be able to apply for business rates relief. Services Available Each of the office suites has both broadband and landline telephone connections which are fed off the main building server. In addition all occupiers have the option of hiring the communal boardroom suite on a pre-book basis. Communal kitchen facilities are free to use for all occupiers. Further information is available on request. Please note that there are no secretarial services being offered. Tenure Each of the suites are available on rolling annual tenancy agreements although fixed longer terms of occupation are also available on request. All occupancies are to be outside of the Security Of Tenure provisions of the Landlord & Tenants Acts. Business Support For further information please contact: Welsh Assembly Government (Flexible Support for Business) on 03000 60 3000 Bridgend County Borough Council on 01656 815 315 or business@bridgend.gov.uk Legal Costs The standard flexible rolling contracts will be issued ‘in-house’. Nonetheless each party are to be responsible for their own legal costs incurred. VAT All figures quoted are exclusive of VAT which will be charged. Viewing For further information or to arrange an inspection please contact the sole agents: Individual Suites Available From 90 Sq.Ft. Upwards Centrally Located Within Secure Fenced Site On-Site Car Parking Available Suitable for External Storage/Parking",90.0,,CF36 3XB,"['https://www.dlpsurveyors.co.uk/media/PORTWAY AUG 25.pdf', 'https://www.dlpsurveyors.co.uk/media/PORTWAY AVAILABILITY AUG 25.pdf']",DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004047/storehaus-litchard-industrial-estate-bridgend-cf31-2al,"'STOREHAUS', LITCHARD INDUSTRIAL ESTATE, BRIDGEND, CF31 2AL",,,"['https://www.dlpsurveyors.co.uk/images/WP_20160503_001.jpg', 'https://www.dlpsurveyors.co.uk/images/WP_20160503_003.jpg', 'https://www.dlpsurveyors.co.uk/images/WP_20160503_008.jpg', 'https://www.dlpsurveyors.co.uk/images/WP_20160503_009.jpg', 'https://www.dlpsurveyors.co.uk/images/WP_20160503_006.jpg']","Location (CF31 2AL) ‘Storehaus’ is centrally located and prominently situated on the Litchard Industrial Estate, Brackla. It is easily accessible being within two miles of Junction 36 of the M4 motorway at Sarn Park and 4 miles from Junction 35 of the M4 motorway at Pencoed. ‘Storehaus’ fronts onto Main Avenue, Litchard, and directly opposite ‘Gatehouse Source & Supply’. Description ‘Storehaus’ comprises a series of 12 small storage/incubator units constructed within a larger steel portal framed unit. The pods are arranged as 2x. internal terraces at ground floor level, with each ‘pod’ benefitting from the following: Secure Full Height Blockwork Walls; Double Pedestrian Door Access To Each Pod; Individual Door Locking System; Central Access Corridor; Automatic Sensor Lighting; Air Extraction Facilities; Temperature Controlled; Communal WC Facilities; Accessibility ‘Storehaus’ offers occupiers a secure environment which is accessible 24 hours a day/7 days a week. Each occupier has access to the communal entrance, with unique locking facilities for each individual unit. Accommodation The full range of available accommodation and terms can be seen on the attached schedule. Individual ‘pods’ are available although can be combined to suit occupiers requirement needs. Occupiers can scale storage space up or down as needs change. Security Provision ‘Storehaus’ offers a safe a secure environment within a secure fenced compound. In addition the facility benefits from a series of cameras and an alarm system, giving occupiers all round security and peace of mind. Flexible Leasing Arrangements Each ‘pod’ is available on a flexible leasing arrangement to suit all occupiers. There are no lengthy contracts and access to new units can be provided at short notice on ‘easy in easy out’ terms. Rents A full list of rents can be seen from the attached schedule. Significantly all rents are ‘all inclusive’ insofar as the following charges are included in the overall cost: occupancy rentals; security costs; estate service charge; business rates. Mains Services Mains electricity is available, with each unit having its own sub-metered supply whereby individual occupiers are only responsible for the electricity they consume. User We have been advised that ‘Storehaus’ has an overall consent for Use Classes B1, B2, B8 as defined by the Town & Country (Use Classes Order 1987). As such each ‘pod’ is suitable for a variety of storage and light industrial uses. Incubator/Storage Units From 28 sq.m. (301 sq.ft.) On-Site Car-Parking Within Secure Fenced Site & 24 Hour Security Flexible Occupancy Agreements Available",300.0,,CF31 2AL,['https://www.dlpsurveyors.co.uk/media/STOREHAUS JUL 16(1).pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004048/unit-2-raven-close-bridgend-industrial-estate-bridgend-cf31-3rf,"UNIT 2 RAVEN CLOSE, BRIDGEND INDUSTRIAL ESTATE, BRIDGEND, CF31 3RF",,,"['https://www.dlpsurveyors.co.uk/images/SAM_5415.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_5416.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_5420.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_5418.JPG']","Location (CF31 3RF) The Bridgend Industrial Estate comprises a large mixed use development comprising a number of large stand-alone industrial facilities, smaller estates, offices, development plots and a small ‘retail quarter’. In total the estate extends to an estimated 3 million sq feet of commercial space on approximately 300 acres. Raven Close is situated towards the western end of the estate and is prominently situated adjacent to Western Avenue, one of the main arterial routes on the Estate. Neighbouring occupiers include Tool Station, Greggs (the bakers), Raven Flooring & Spartan Motor Factor Specification A prominent mid- terrace unit comprising: • Portal frame construction; • Brick/block/sheet elevations; • Insulated pitched roof; • Vehicular access door; • Generous car parking. EPC The unit has an EPC rating within “band D” (88). Business Rates Rateable value (2023) £18,250. Services Mains services are either connected to the property. Terms: Available on a new full repairing and insuring lease for a term to be agreed. Rent £34,500 pa. Service Charge An estate service charge is payable by the tenant to contribute towards the maintenance of the common parts of the estate. Legal Costs Each party to be responsible for their own legal costs. VAT All figures quoted are exclusive of VAT. Modern Trade Counter Unit Popular Location Fronting Western Avenue Other Tenants Include Tool Station, Greggs, & Spartan Motor Factors",4446.0,300.0,CF31 3RF,"['https://www.dlpsurveyors.co.uk/media/UNIT 2 RAVEN JUN 25.pdf', 'https://www.dlpsurveyors.co.uk/media/U2RC EPC JUL 24.pdf']",DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004050/plot-g1-north-road-bridgend-industrial-estate-bridgend-cf31-3tp,"PLOT G1 NORTH ROAD, BRIDGEND INDUSTRIAL ESTATE, BRIDGEND, CF31 3TP",,,"['https://www.dlpsurveyors.co.uk/images/DSCF6706.JPG', 'https://www.dlpsurveyors.co.uk/images/DSCF6707.JPG', 'https://www.dlpsurveyors.co.uk/images/DSCF6708.JPG']","Locatio n(CF3 3TP) The Bridgend Industrial Estate comprises a large mixed use development comprising a number of large stand-alone industrial facilities, smaller estates, offices, development plots and a small ‘retail quarter’. Plot G1 is situated to the north west of the estate with frontage onto North Road. Specification This comprises an undeveloped plot of land that is suitable for development or adapted for outside storage. Generally level site; Frontage to North Road; Could be used for a variety of uses (subject to planning) Services Mains services including water. electricity, gas and telecoms are available in the vicinity. Estate Service Charge All tenants contribute to a service charge for the general management of the estate and maintenance of the common areas. Terms The plot is available on a lease for a term to be agreed. Undeveloped plot suitable for development Frontage to North Road Immediately Available",,0.8,CF31 3TP,['https://www.dlpsurveyors.co.uk/media/Plot G1 North Road JAN 16(1).pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004052/land-at-nantgarw-adj-a470a4054-nr-cardiff--cf15-7tb,"LAND AT NANTGARW, (Adj. A470/A4054), Nr. CARDIFF, CF15 7TB",,,['https://www.dlpsurveyors.co.uk/images/Picture1.png'],"Location (CF15 7TB) The site is located in a very prominent position adjacent to the A470 dual carriageway at Nantgarw, just 3 miles north of Junction 32 of the M4 at Coryton, Cardiff. As a result this area is one of the busiest and most sought-after commercial locations in South Wales. The site is situated to the east of the slip toad for the A470, and with close proximity to the busy roundabout which serves the A470, A4054 and the A468. The Treforest Industrial Estate & Parc Nantgarw (business parks), plus Coleg Y Cymoedd are just to the north west of the site. Description The undeveloped site is irregularly shaped and has a gradual slope across the from the north-east to the south-west of c. 1.5 metres. The site is in an elevated position and has good road frontage to the A4054 Caerphilly Road. The rear part of the site is wooded and abuts the embankment for the A470. Accommodation (Gross Site Area) TOTAL SITE AREA 0.9 ac. 0.36 ha. Mains Services Whilst the site is currently un-serviced we understand that mains services, including electricity, foul and water are available in the vicinity. Occupiers are advised to make their own utility services investigations. . Potential Types Of Development The site is potentially suitable for a variety of commercial development and uses (subject to planning). Potential uses include: • C1 use (hotel/motel); • Restaurant; • Electric Vehicle Charging Station; • Automated Car Wash; • General Light Industrial Development; • Builders Yard; • Trade Counter Use. Other potential uses may also include: • Social Housing; • Student Accommodation; • Specialist Support Services Interested parties are advised to make their own enquiries with the planning department at RCT County Borough Council on 01443 425 000 or via their website www.rctcbc.gov.uk or email planningservices@rctcbc.gov.uk Tenure The site is immediately available for sale on a freehold basis. Quoting Price Offers are invited in the region of £400,000. Our clients may also consider offers that are ‘subject to planning’. Business Support For further information please contact: Welsh Assembly Government (Flexible Support for Business) on 03000 60 3000 The Business Advice & Guidance Hub at RCT County Borough Council on 01443 281124 or regeneration@rctcbc.gov.uk Legal Costs Each party are to be responsible for their own legal costs incurred in this matter. VAT All figures quoted are exclusive of VAT. Viewing For further information or to arrange an inspection please contact the sole agents. Prominent Development Site Total Gross Site Area c. 0.9 ac. (0.36 ha.) Prime Development Site Suitable For Variety Of Uses (Subject To Planning) Adjacent To A470 Dual Carriageway",,0.9,CF15 7TB,['https://www.dlpsurveyors.co.uk/media/TYLA GWYN JUN 23.pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,Freehold,For Sale,2026-02-26,Old
https://www.dlpsurveyors.co.uk/product/9004053/unit-3-litchard-industrial-estate-brackla-bridgend-cf31-2al,"UNIT 3 LITCHARD INDUSTRIAL ESTATE, BRACKLA, BRIDGEND, CF31 2AL",,,"['https://www.dlpsurveyors.co.uk/images/SAM_3359.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_3346.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_3358.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_3348.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_3344.JPG', 'https://www.dlpsurveyors.co.uk/images/SAM_3345.JPG']","Location (CF31 2AL) The unit is centrally located on the Litchard Industrial Estate, Brackla, which lies within two miles of Junction 36 of the M4 motorway at Sarn Park and 4 miles from Junction 35 of the M4 motorway at Pencoed. The Litchard & Brackla Industrial Estates are popular trading locations and include a variety of occupiers including Morris Engineering, One Stop shop and Tile and Bath Co close to the entrance of the estate. The property fronts onto Main Avenue, Litchard Industrial Estate, and directly opposite ‘SAS’. Description The property comprises a mid-terraced workshop / storage unit benefitting from the following: • Concrete-framed construction; • Double pitched roof with min. eaves 2.9 m.; • Dock loading door with 250 sq.ft. internal loading bay; • Inter-connected firs floor office/ancillary accommodation. Accommodation (Gross Internal Area) Main Storage Area 12,758 Sq.Ft. Office/Ancillary 1,905 Sq.Ft. TOTAL AVAILABLE 14,663 Sq.Ft. Mains Services The property benefits from the provision of mains services including 3x phase electricity. Business Rates (2023) To be re-assessed. Energy Performance Certificate (EPC) To be re-assessed. User The property has an overall consent for Use Classes B1, B2, B8 as defined by the Town & Country (Use Classes Order 1987). Tenure The unit is available on a new full repairing and insuring lease for a term to be agreed. Further flexible short term agreements will be considered. Quoting Rent £58,650 pa. (£4.00 psf.) Further Information For Business (2023) For further information please contact: Welsh Assembly Government (Business Wales) on 03000 60 3000 www.businesswales.gov.wales Bridgend County Borough Council on 01656 815 315 or business@bridgend.gov.uk. VAT All figures quoted are exclusive of VAT. Legal Costs Each party are to be responsible for their own legal costs incurred in this matter. Viewing For further information or to arrange an inspection please contact the sole letting agents. Workshop/Storage Unit With Ancillary Offices Inc. First Floor Inter-Connecting Offices Of 1,905 Sq.Ft. Established Trading Location close to M4 Flexible Lease Terms Available",14663.0,,CF31 2AL,['https://www.dlpsurveyors.co.uk/media/U3 LITCHARD AUG 24.pdf'],DLP Surveyors,Michael Bruce MRICS,,michael@dlpsurveyors.co.uk,+447920144603,,,,To Let,2026-02-26,Old
