listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.cs-re.co.uk/properties/1-moorland-road-bath-somerset-ba2-3pj/,"1 Moorland Road, Bath, Somerset, BA2 3PJ",475000,"Investment, Residential, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/01a11643-ca88-4a16-8aa9-10209d97449e_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/69ea8551-6d90-48d5-a6fe-bba480cb5a56_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/46113f08-116d-4be4-a820-ace3d1c57bee_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/75f2d8e8-2f71-4406-8848-953bbba48642_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/59178d8f-da20-4da4-8b8d-ce8d4a982dcf_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/d4fcb6fe-5cc3-4467-9a32-edc86166b50a_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/a0df6f24-caa7-46c9-a666-5a259828daec_web.jpg']","FREEHOLD INVESTMENT FOR SALE Mixed use investment Located on popular local retail parade Total annual gross rent of £27,750 Ground floor let until January 2030 Ground floor tenant in occupation since 2016 First floor let on 12 month AST DESCRIPTION The ground floor comprises a lock-up business (Class E) unit, currently in operation as a café. The sales space is open plan with additional storage accommodation as well as commercial kitchen and WC to the rear. Included with the property demised to the tenant is a small forecourt which is used as an outside seating area, together with a gated path to the side of the property which leads to a small garden. The first floor is accessed through a separate pedestrian entrance at the rear of the property and comprises a two bedroom flat with good levels of natural light to all rooms. The flat is considered to have potential to be used for student accommodation subject to necessary statutory consents.",1252.0,,BA2 3PJ,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/24762_8p4s7p14n472qc5r.pdf'],ETP Property,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.cs-re.co.uk/properties/1-2-piccadilly-place-london-road-bath-bath-and-north-east-somerset-ba1-6pl/,"1-2 Piccadilly Place, London Road, Bath, Bath and North East Somerset, BA1 6PL",160000,"Investment, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/332d332e-1538-430d-9762-1a5d5868ca36_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/857fbb18-bd83-447c-a277-48965b31c157_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/babc9d25-b934-480d-8110-bd7dbe600453_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5998bfff-90fc-458a-9474-8428398e1e81_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/9a85083e-769b-40ff-a7cd-6165dbdffa38_web.jpg']","FREEHOLD FOR SALE Double Shop Front Let to Dorothy House until 06 September 2028 £160,000 for the Freehold Interest DESCRIPTION 1-2 Piccadilly is an attractive semi-detached, three storey Grade II Listed property with Bath stone elevation under a slate title roof. Internally the property comprises two residential flats on the first and second floors with commercial accommodation on the ground floor. The ground floor shop is self-contained from the upper floors and comprises a U-shaped sales area which benefits from two shop windows facing onto London Road. Ancillary storage and WC facilities are located at the rear of the ground floor.",972.0,,BA1 6PL,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/25145_z1a0023g9by4s97i.pdf'],ETP Property,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.cs-re.co.uk/properties/1-2-4-signal-box-yard-lower-bristol-road-bath-somerset-ba2-3jq/,"1, 2 & 4 Signal Box Yard, Lower Bristol Road, Bath, Somerset, BA2 3JQ",,"Cafe, Office, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/33f3e84b-bee9-4625-b212-0558059da91a_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/51df7039-e827-416a-b884-5e4923286e2f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/949d8177-26c5-423f-89fe-fe00cf22d3ef_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/d08d92b1-f22b-447e-b8ae-da1096f684db_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/babd56ae-cd50-41a6-8d01-cc2b7213b3ef_web.jpg']","Three newly constructed ground floor commercial units available to let forming part of the Signal Box Yard development, which includes 316 build-to-rent apartments. The units form part of a block of four commercial spaces and benefit from direct frontage onto Lower Bristol Road, one of the main routes into Bath. The units are finished to a shell specification, providing a flexible layout for a range of potential uses, subject to planning. Tenant incentives are available to assist with the cost of fit-out works.",,,BA2 3JQ,[],ETP Property,,,,,,,Leasehold,To Let,2026-02-26,New
https://www.cs-re.co.uk/properties/10-templeback-bristol-city-of-bristol-bs1-6fl/,"10 Templeback, Bristol, City Of Bristol, BS1 6FL",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/61f2b8d1-c4a3-4b46-9269-f15b3547957f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/619f344c-557f-4fcb-9b4c-52a28ab06c7f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/65708e09-7486-45fc-b406-356d1ec97bda_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5ab31e60-3672-46b3-b7ae-608c03d28fd2_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/b3b7e77b-f373-46a5-82b8-35bc61887072_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/555a85c4-d134-48c6-a04d-0ffe0ee67c10_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/c761c456-f3bd-40f5-b945-a27462261d04_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/a435029d-0264-4441-b4e3-e6fc2d85d41f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/dbc68b21-2fac-4504-86d2-b8abb4bc5cdd_web.jpg']","10 Templeback is a modern office building located in the core of Bristol City Centre. The 4th floor has been refurbished and benefits from VRF AC, new LED lighting, new ceiling grid and an abundance of light and wonderful views overlooking the Floating Harbour. The ground floor suite is due to be refurbished in Q1 2026. The building benefits from a refurbished double height reception and a new shower block in the basement offering an additional six showers and high quality changing area.",5000.0,,BS1 6FL,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/21289_zdsb4i2453n02542.pdf'],ETP Property,,,,,,,Leasehold,To Let,2026-02-26,New
https://www.cs-re.co.uk/properties/11-st-jamess-parade-bath-bath-and-north-east-somerset-ba1-1ul/,"11 St. James’s Parade, Bath, Bath and North East Somerset, BA1 1UL",,"Office, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/fcad162d-22e8-49e4-ab81-ee692797d73d_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/2aa13d8d-6643-44c0-ac29-b22746a676ae_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/ced6a324-42a7-46d2-b769-53fc80823d1e_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/2c3a08c3-395d-4fd5-a843-5d46e138e18c_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/50ae1c81-3b72-44e7-ad68-86daa75da37a_web.jpg']","Grade II Listed Class E Unit This Grade II Listed property comprises open plan ground floor retail and is accessed through a shared entrance. The property benefits from good levels of natural light with a glazed frontage onto St James Parade and windows at the rear. Ancillary storage, kitchenette and W/C facilities are located on the Lower Ground Floor.",1409.0,,BA1 1UL,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26732_2xrtic17027c69o0.pdf'],ETP Property,,,,,,,Leasehold,To Let,2026-02-26,New
https://www.cs-re.co.uk/properties/12-trim-street-bath-bath-and-north-east-somerset-ba1-1hb/,"12 Trim Street, Bath, Bath And North East Somerset, BA1 1HB",350000,"Investment, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/a8c71b97-dc4f-4269-8c3f-ef074e730e02_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/c1fb9c4c-b87a-464f-86b9-577ccd2dea7c_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/50d1b2ca-9ada-418b-88a3-b59a24351fd7_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/3460f437-9a93-4377-a016-444d5aa1ac80_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/431127ab-0bc4-474d-acc4-a4a3aad5897f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/e43f48d7-cdc5-4c64-a3a3-af8efb81f88f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/90804f3e-144a-4276-9c9c-fcc8cf705927_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/6be81ad7-2991-493c-acb1-4c3ab76505c3_web.jpg']","The premises comprise a Grade II Listed mid-terrace period retail unit with a double frontage on Trim Street and Upper Borough Walls. The premises benefit from open plan retail accommodation on ground floor with a single WC, kitchenette facilities and ancillary storage at lower ground floor level. PLANNING The property is considered to have planning consent under Use Class E (Commercial, Business & Service) of the Town & Country Planning Act (Use Classes Order) 2020. Interested parties are advised to make their own planning enquiries with the local planning authority, Bath and North East Somerset Council.",816.0,,BA1 1HB,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26244_262eo910632834dy.pdf'],ETP Property,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.cs-re.co.uk/properties/124-rodway-road-patchway-bristol-gloucestershire-bs34-5pg/,"124 Rodway Road, Patchway, Bristol, Gloucestershire, BS34 5PG",175000,"Investment, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/59658255-a045-4f0f-9370-59e20fcb2a62_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5f8b85bc-a6b5-474a-a76c-acaba75da56c_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/d94bc3aa-b9fb-4618-bc45-98461852945b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f03fb280-68ed-4848-8179-c5aa2ca787aa_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/faacc0ec-b0a2-4c0f-90ed-423e54764645_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/634acc7b-4345-4028-b99d-12897cdcf22c_web.jpg']","FREEHOLD INVESTMENT FOR SALE – By Informal Tender PROPOSAL For sell by way of informal tender with sealed bids to be received no later than Friday 5th September 2025 at 5pm. GUIDE PRICE Offers in excess of £175,000. DESCRIPTION The property comprises a 2-storey building arranged as a retail unit (currently in use as a betting shop) on the ground floor with redundant flat on the first floor to which there is no access. Internally, the ground floor provides open plan sales space with ancillary storage and WCs located at the rear. We were unable to access the first floor but understand it comprises a two-bedroom flat. The tenant is responsible for reinstating the internal staircase at lease expiry. To the side and rear are gardens and a garage, which provide some scope for development, subject to the necessary consents & agreements.",2296.0,,BS34 5PG,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/24496_355i85998odza964.pdf'],ETP Property,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.cs-re.co.uk/properties/124-wells-road-bath-somerset-ba2-3ah/,"124 Wells Road, Bath, Somerset, BA2 3AH",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/9d9d7282-c856-4f98-86bd-527ad8f937cc_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/87c92222-09c3-4740-b9bd-a5e6a29fb2f2_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/43ef01e8-acc1-43fb-abe0-7ad16174698e_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/cc011176-b868-409c-8513-aaa17053e776_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/1e8e123c-73dc-4af5-9fd0-5928260b2924_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/8032249f-d72b-4bd8-9879-9fca4bc135f9_web.jpg']","124 Wells Road is a terraced building providing office accommodation over ground, first and second floors. The ground and second floors are available either as a whole or as separate floors and provide open plan office accommodation which benefit from suspended ceilings, perimeter trunking and air conditioning. Two car parking spaces are available with the property in a barrier-controlled car park to the rear, subject to negotiation.",734.0,,BA2 3AH,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26230_viygp75x72f138i6.pdf'],ETP Property,,,,,,,Leasehold,To Let,2026-02-26,New
https://www.cs-re.co.uk/properties/132a-walcot-street-bath-bath-and-north-east-somerset-ba1-5bg/,"132A Walcot Street, Bath, Bath and North East Somerset, BA1 5BG",,"Office, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/a947767b-78be-40da-b214-6af0fc21b6f6_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/447b0554-abfc-44ba-a710-5d9c269ba4cb_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/1528f2c6-c84d-4410-8a89-dc088d27831c_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/b5a8a4bb-af5e-48be-a29a-c23189d2cba1_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f8894b94-e312-4716-880e-4532589818d5_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/62d1c5f1-a696-41ed-844c-b073b3de23d7_web.jpg']","TO LET – Class E Unit DESCRIPTION The premises offers quality sales or office space on the ground floor. The lower ground floor provides ancillary storage, fitted kitchenette, WC facilities and rear access to the office. The premises would be well suited for a retail or office occupier requiring a window display.",740.0,,BA1 5BG,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/24082_vd0nvfd73rv4o7o8.pdf'],ETP Property,,,,,,,Leasehold,To Let,2026-02-26,New
https://www.cs-re.co.uk/properties/18-18a-monmouth-place-bath-bath-and-north-east-somerset-ba1-2ay/,"18-18a Monmouth Place, Bath, Bath And North East Somerset, BA1 2AY",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/71ec628d-6d6e-4a88-8eeb-bc044fd76dcd_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/827fc9ac-f952-4e16-9c69-a5ddad7d3a6f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/fcf49c9e-2c57-485d-9105-d7f7888dafa5_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/819989ca-a080-4895-923d-2b15f2e8fd18_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/d4c10dfd-89a8-44e9-8d8f-e8d776e85430_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f53e4283-d3b1-43b2-bf17-f51e6f68c1b2_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/ceddb41b-f908-4fd5-9c6d-126983f8a7c1_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/ff398a53-0ec1-435a-93ae-9fd2336a37c3_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/13392567-e27a-47c6-8bec-53a13ec68566_web.jpg']","The property comprises newly refurbished office accommodation at ground and first floor levels of a Grade II Listed building with Class E use consent. The current configuration provides a reception office, meeting room, storage room, kitchen and two WC’s off a lobby area at ground floor and office use at first floor and mezzanine level (from first floor). There is a steel spiral staircase to the rear of the ground floor which provides access to the first floor and up to the mezzanine. The rooms at first floor benefit from good levels of natural light from font and rear windows and a number of skylights.",2031.0,,BA1 2AY,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/22578_88930q4ff1504jbf.pdf'],ETP Property,,,,,,,Leasehold,To Let,2026-02-26,New
