listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.firstcity.co.uk/properties/property/254:282--290-linthouse-lane-wednesfield-wolverhampton-wv11-3tt,"282 -290 LINTHOUSE LANE, WEDNESFIELD, WOLVERHAMPTON, WV11 3TT",,"Investment,Retail,Residential,Other","['https://www.firstcity.co.uk/images/properties/396-Linthouse Lane Picture1.jpg', 'https://www.firstcity.co.uk/images/Linthouse_Lane_Picture1.jpg', 'https://www.firstcity.co.uk/images/Linthouse_Lane_Picture2.png']","Parade of retail units and two residential flats - Occupiers include Beauty Parlour, Takeaway and Coffee Shop Prominent Position Freehold Investment Current Income circa £49,720.00 p.a. LOCATION The property is located circa 2 miles (3.2 km) north-east of Wolverhampton City Centre situated near the junction of Woodend Road and Linthouse Lane with off road parking in the surrounding area. The area serves as a key local convenience centre for residents in the immediate vicinity and the nearby Ashmore Park Estate with a popular public house which serves food and provides a sense of community. There are excellent transport links into Wolverhampton City Centre and the property is in close proximity to the Motorway. Just a short distance away is New Cross Hospital, Wednesfield Village and the popular Bentley Bridge retail park. DESCRIPTION The properties form a parade of shops & two self contained residential flats with other similar parades in close proximity with several neighbouring retailers comprising Optician, Off Licence, Gift Shop and Restaurants. There are two self contained residential flats to the first floor. 282 -290 sits in a prominent position and is opposite a local pub and restaurant. TENANCIES Occupiers include a Beauty Parlour, Takeaways and Coffee Shop generating a rental income of circa £49,720.00 p.a. The Tenants are long established. The low passing rent provides growth potential. Further information can be obtained by contacting First City Ltd. VAT We understand that VAT does not apply to this transaction. ASKING PRICE We are instructed to seek unconditional offers in excess of £900,000.00 (Nine Hundred Thousand Pounds) subject to contract and exclusive of VAT for our client’s freehold interest. LEGAL COSTS Each party will be responsible for their own legal costs. VIEWINGS Viewings by appointment only. All enquiries through Agents First City ‘The Property Consultancy’ on 01902 710999 quoting reference 5559. Ask for Neil Hazlehurst neil@firstcity.co.uk EPC Energy Performance Certificates available on request.",,,WV10 0LF,"['https://www.firstcity.co.uk/images/brochures/254-5559 Linthouse Lane details.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,Freehold,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/253:randall-lines-building-molineux-street-wolverhampton-wv1-1rn,"RANDALL LINES BUILDING, MOLINEUX STREET, WOLVERHAMPTON, WV1 1RN",,"Residential,Other","['https://www.firstcity.co.uk/images/properties/394-Picture1.jpg', 'https://www.firstcity.co.uk/images/Picture2.png', 'https://www.firstcity.co.uk/images/Picture_3_-_Location_Plan_1.png', 'https://www.firstcity.co.uk/images/Picture_4_-_Location_Plan_2.png']","Existing Building Extending Over Six Floors Currently Comprising 290 Bedrooms Plus an area that has previously been used as a Nursery 58,548ft2 (5,439m2) On Site Extending To 1.626 acres (0.65 ha) City Centre Location in Heart Of The University’s Molineux City Campus LOCATION The property located on Molineux Street close to its junction with Camp Street. It is one of a number of prominent buildings belonging to the University. Neighbouring uses include student accommodation, an Asda Supermarket and “The Molineux” home to Wolverhampton Wanderers Football Club. Wolverhampton City Centre is located approximately 17 miles to the north west of Birmingham City Centre. The City Centre is well served by public transport and benefits from a mainline railway station, bus terminal and a tram service connecting the City with Birmingham and several other large centres along its route. Access to the motorway network can be gained at junction 2 of the M54 motorway which is approximately 4 miles to the north and junction 10 of the M6 motorway which is approximately 7 miles to the east. Wolverhampton is a sub-regional centre of the West Midlands with a population of 249,740 (2011 Census). It was awarded City status in 2000. The University of Wolverhampton has its main Campus in the City Centre. This is broadly divided into two sites, City Campus North and South. The Randall Lines Building forms part of City Campus North also referred to as Molineux. DESCRIPTION The property comprises a substantial detached building extending over six floors. It is of modern design comprising three interconnected rectangular buildings. The site is quite steeply sloped rising from Molineux Street up to Stafford Street which borders the eastern boundary. There is lift access to all floors combined with staircase cores. The ground floor was previously partially used as a children’s nursery. The remaining ground floor and the rest of the building provide bedroom accommodation with shared facilities and ancillary accommodation, 290 bedrooms in total. We are advised that the building was constructed in the 1960’s. ACCOMMODATION SCHEDULE Description m 2 ft 2 Ground Floor 619 6,662 First Floor 999.38 10,757 Second FLoor 1002.51 10,791 Third Floor 1002.51 10,791 Fourth Floor 1002.51 10,791 Fifth Floor 813.45 8,756 TOTAL 5,439 58,548 NB: Measurements provided by client and understood to be on GIA basis. PLANNING The site lies within the jurisdiction of the City of Wolverhampton Council. The site was developed as student accommodation for the University but would be suitable for alternative uses or redevelopment subject to planning permission. SERVICES We understand that all mains services are available to the property. Interested parties to carry out their own enquiries. EPC The property’s current EPC rating is 78D valid until 27th June 2033. GUIDE PRICE AND METHOD OF SALE Offers invited in the region of £2,000,000 excluding VAT. The property is being offered for sale on an informal tender process. Offers to be confirmed in writing by completing a proforma available upon request no later than midday on Friday 6th March 2026. The successful applicant will be offered an exclusivity agreement in return for a non-refundable but deductible payment of £50,000 once heads of terms have been agreed. Tender forms are available upon request. TENURE The freehold interest is for sale with vacant possession. Restrictive covenants as to use will be included in the Transfer of the property relating to the following: • The property shall be used as purpose-built student accommodation for a minimum of 25 years from first occupation. • As a material consideration of the sale, the development shall deliver a minimum of 150 ensuite student bedspaces • The student accommodation requirement shall be secured by such legal mechanism or mechanisms as the seller considers appropriate, including a restrictive covenant, a planning obligation, and/or an overage or clawback provision. LEGAL COSTS Each party will bear their own legal costs in this transaction VIEWING Viewings by appointment only. All enquiries to First City ‘The Property Consultancy’ on quoting reference 5564. Ask for Christopher Bywater",58548.0,1.626,WV1 1RN,"['https://www.firstcity.co.uk/images/brochures/253-5564 Randall Lines details.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,Freehold,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/252:the-courtyard-maypole-street-wombourne-wv59jb,"The Courtyard, Maypole Street, Wombourne, WV59JB",,Retail,"['https://www.firstcity.co.uk/images/properties/392-Picture1.jpg', 'https://www.firstcity.co.uk/images/5518_1.jpeg', 'https://www.firstcity.co.uk/images/5518_2.jpeg', 'https://www.firstcity.co.uk/images/5518_3.jpeg', 'https://www.firstcity.co.uk/images/5518_4.jpeg', 'https://www.firstcity.co.uk/images/5518_site_plan.jpeg']","Village Centre Double Gated Entrance Facing The Village Cricket Ground Flexible Accommodation Over Two Floors Measuring 566 sqft LOCATION The property is located fronting Maypole Street, Wombourne, in the centre of the village and overlooking the cricket ground. There is a wide range of retail outlets in the village of Wombourne. The property has the particular benefit of a shared side access which leads to a small private car park at the rear. DESCRIPTION The property is thought to date from the mid-18 th Century. The premises are approached through a gated courtyard entrance. The premises comprise an area of approximately 314 sqft of ground floor space plus additional first floor of approximately 252 sqft. ACCOMMODATION Description FT 2 M 2 Ground Floor 314 29.14 First Floor 252 23.38 Total 566 52.52 RATING The Valuation Office website lists the building as £3,200. SERVICES We understand that water and electricity are available to the premises. Interested parties should make their own enquiries with the relevant utility providers. LEASE TERMS No less than 3 years, full repairing and insuring lease. USE Retail shop or offices but other uses are invited. RENTAL £6,500 (Six Thousand, Five Hundred Pounds) per annum. EPC To be commissioned. LEGAL COSTS Each party will be responsible for their own legal costs. VIEWINGS Viewings by appointment only. All enquiries to First City ‘The Property Consultancy’ on 01902 710999 quoting reference 5518. Ask for Neil Hazlehurst E: neil@firstcity.co.uk",566.0,,WV5 9JB,"['https://www.firstcity.co.uk/images/brochures/252-5518 Details.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/251:4-compton-road-wolverhampton-wv3-9ph,"4, COMPTON ROAD, WOLVERHAMPTON, WV3 9PH",,Office,"['https://www.firstcity.co.uk/images/properties/390-Photo 1.jpg', 'https://www.firstcity.co.uk/images/Photo%201.jpg', 'https://www.firstcity.co.uk/images/Site%20Plan.png', 'https://www.firstcity.co.uk/images/Location%20Plan.png']","Refurbished offices in Period property Prominent position in gateway location 1,772ft2 (164.65m2) Courtyard providing parking for up to 6 cars LOCATION The property occupies a prominent position on one of the major gateways to the City, namely Compton Road (A454). It enjoys easy access to Chapel Ash and is within a few minutes walk of the City Centre. It falls within the “Oaks Conservation Area” and is more or less opposite the former Eye Infirmary. DESCRIPTION The property presents and impressive double fronted elevation to Compton Road standing behind wrought iron railings. It is thought to date from the Georgian Period being constructed of brick with rendered elevations under a pitched slate roof. In recent years it has been refurbished and now provides well planned office accommodation with the added benefits of: • Secure car parking • Security grills to the ground floor • Alarm systems (intruder and fire) • Intercom • Wiring for CCTV system ACCOMMODATION Ground Floor 665ft2 (61.74m2) First Floor 688ft2 (63.93m2) Second Floor 419ft2 (38.98m2) SERVICES We understand that all mains services are available to the property. Space heating is provided by storage heaters. TENURE The property is available on a new lease on full repairing and insuring terms. RATEABLE VALUE The rateable value is £10,750 meaning that prospective tenants may be eligible to apply for small business relief. EPC The Energy Performance Rating is D91 expiring 27 October 2035. RENT £24,000 per annum (£2,000 per month). VIEWING Strictly through the sole letting agents First City ‘The Property Consultancy’ on 01902 710999 quoting reference 5514.",1772.0,,WV3 9PH,"['https://www.firstcity.co.uk/images/brochures/251-5514 DETAILS.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,,To Let,2026-02-27,New
https://www.firstcity.co.uk/properties/property/250:former-truflo-ltd-offices-westwood-road-witton-birmingham-west-midlands-b6-7jf,"FORMER TRUFLO LTD OFFICES, WESTWOOD ROAD, WITTON, BIRMINGHAM, WEST MIDLANDS, B6 7JF",,"Development Site,Residential,Office,Other","['https://www.firstcity.co.uk/images/properties/388-image 1.jpeg', 'https://www.firstcity.co.uk/images/image_1.jpeg', 'https://www.firstcity.co.uk/images/image_2.jpeg', 'https://www.firstcity.co.uk/images/image_3.jpeg', 'https://www.firstcity.co.uk/images/image_4.jpeg']","Property planning permission for mixed used offices and residential (16 flats) Located within close proximity to a range of services and facilities and close to Birmingham City Centre. Ground floor offices (5,277ft2) could potentially provide a further 8 flats (subject to planning permission) LOCATION The site is located on Westwood Road within the Aston area of Birmingham close to the borders of Erdington and Witton. The site is 3 miles of Birmingham City Centre. Witton train station is approximately a 9 -minute walk (0.4 miles) from the site. Aston Hall and Villa Park the home of Aston Villa Football Club is 0.8 miles from the site. The site is within walking distance to a plethora of local convenience stores. Other community services such as schools, Dr’s, dentist, churches, parks, places of employment and public houses are all within a 1-mile radius of the site. DESCRIPTION The property is a three-storey building located at Westwood Road. The building is an office (use class E) currently vacant and previously been occupied as headquarter offices by IMI Truflo Marine. The immediate area has both residential and commercial uses. PLANNING The site benefits from approval for 16 flats (Reference number: 2024/02285/PA Application to determine if prior approval is required for a proposed change of use from Commercial, Business & Service (Use Class E) at first, second, third and fourth floor to 16 no. flats (Use Class C3). granted by Birmingham City Council in July 2024. Schedule of Accomodation Floor Use Size Number of Properties Ground Floor Office 490.26m2 (5,277sq2) First Floor Residential 1-bedroom flat (42.5m2 – 53m2) 8 Second Floor Residential 1-bedroom flat (42.5m2 – 48m2) 4 Third Floor Residential 1-bedroom flat (42.5m2 – 48m2) 4 Total 16 TENURE The property is freehold and will be sold with the benefit of vacant possession. VAT We understand that the Landlord has not elected to waive the VAT exemption and therefore VAT will not be charged on the sale price. ASKING PRICE Offers are invited in the region of £850,000 for the freehold interest with vacant possession. SERVICES Interested parties should make their own enquiries of the relevant statutory providers in connection to mains water, electricity and drainage being available at the property. LEGAL COSTS Each party to be responsible for any costs. VIEWINGS Viewing by appointment only. All enquires to First City the ’Property Consultancy’ on 01902 710999 quoting reference 5407. Ask for Christopher Bywater chris@firstcity.co.uk or Chontell Buchanan chontell@firstcity.co.uk.",5277.0,,B6 7JF,"['https://www.firstcity.co.uk/images/brochures/250-5407Property Particulars Westwood Road Birmingham.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,Freehold,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/249:office-suite-6-smithfield-centre-whitburn-street-bridgnorth-wv16-4qn,"OFFICE SUITE 6, SMITHFIELD CENTRE WHITBURN STREET BRIDGNORTH WV16 4QN",,Office,['https://www.firstcity.co.uk/images/properties/386-image 3.jpeg'],"Office unit in prominent location in centre of Bridgnorth Approximately 111.48 m2 (1,200 ft2) EPC rating D85 LOCATION The Smithfield Centre fronts onto Whitburn Street at the north edge of the Town Centre close to the Sainsburys retail development. The property is opposite the junction between Whitburn Street and Old Smithfield. At this point Whitburn Street becomes part of the one way system which leads into the north end of High Street. Bridgnorth is located in south Shropshire and is a popular historic tourist market town situated approximately 20 miles south east of Shrewsbury by the A458, Telford is approximately 20 miles north west with access via the A442 and Wolverhampton City Centre is approximately 15 miles to the east via the A458. Birmingham is approximately 30 miles to the east. DESCRIPTION First floor office premises suitable for alternative uses subject to the relevant consent. Internally the property offers a combination of cellular and open plan accommodation which could be adapted to suit prospective tenants requirements. ACCOMMODATION The gross internal area is approximately 111.48m2 (1,200 ft2) plus shared toilet and kitchen facilities. TENURE The premises are available to let by way of a new lease. Lease terms are available upon request. SERVICES We understand that mains electricity, water and drainage are connected to the property. Electric heating. BUSINESS RATES The rateable value of the premises is £5,300. LEGAL COSTS All parties to bear their own legal costs. Potential occupiers will be expected to meet the Landlord’s legal fees should they withdraw after solicitors have been instructed. RENTAL Rental offers based on £12,500 pa plus a service charge to cover insurance and external repairs. We understand that VAT will not be chargeable. VIEWINGS Strictly through the sole letting agent First City ‘The Property Consultancy’ on 01902 710999 or via email chris@firstcity.co.uk. Please quote reference 5479.",1200.0,,WV16 4QN,"['https://www.firstcity.co.uk/images/brochures/249-5479 Unit 6 Smithfield Centre Bridgnorth.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/248:bowling-green--adjacent-land-mortice-green-wolverhampton,"BOWLING GREEN & ADJACENT LAND, MORTICE GREEN, WOLVERHAMPTON",,Development Site,"['https://www.firstcity.co.uk/images/properties/384-layout image.jpeg', 'https://www.firstcity.co.uk/images/site_plan.jpeg', 'https://www.firstcity.co.uk/images/layout_image.jpeg', 'https://www.firstcity.co.uk/images/Elevation.jpeg']","Approximately 0.32 hectares (0.79 acres) Land with planning permission for 15 dwellings Located within close proximity to a range of services and facilities LOCATION The site is located on Woden Road within 1.7 miles of Wolverhampton City Centre. Wolverhampton Train Station is 1 mile from the site providing nationwide access. The site is within walking distance of the Cannock Road (A460) and Wednesfield Road (A4124) which have a number of local convenience stores. Bentley Bridge retail park is approximately 1.2 miles from the site. St Stephen’s C of E Primary School and Woden Road Doctors surgery are located with a short walk of the site. DESCRIPTION The site is approximately 0.32 ha and rectangular in shape. It is the site of a former bowling green once retained for the use of employees of the Chubb locks and M&B brewery. The site is relatively flat and consists of grassed areas and hardstanding. There are no structures on the site currently. PLANNING The site benefits from planning permission for 15 dwellings (planning application reference: 24/01244/FUL) granted by City of Wolverhampton Council in July 2025. A S.106 Agreement is attached to the permission, please see document for more details. SCHEDULE OF ACCOMMODATION House Type Gross Internal Floor Area(sqm) No. of Dwellings A 2 storey house: Units 1,2 74 2 B 2 storey house: Units 12,13,14,15 127.1 4 C 2 bedroom apartments: Units 3, 4 71.5 2 2 bedroom apartments: Units 6,7,8,9 70 4 1 bedroom apartments: Units 5,10,11 42 3 Total 1208.4 15 TENURE The property is freehold and will be sold with the benefit of vacant possession. VAT We understand that the Landlord has not elected to waive the VAT exemption and therefore VAT will not be charged on the sale price. ASKING PRICE Offers are invited in the region of £400,000 for the freehold interest with vacant possession. SERVICES Interested parties should make their own enquiries of the relevant statutory providers in connection to mains water, electricity and drainage being available at the property. LEGAL COSTS Each party to be responsible for any costs. VIEWINGS Viewing by appointment only. All enquires to First City the ’Property Consultancy’ on 01902 710999 quoting reference 5461. Ask for Christopher Bywater chris@firstcity.co.uk or Chontell Buchanan chontell@firstcity.co.uk.",,0.791,WV10 0BX,"['https://www.firstcity.co.uk/images/brochures/248-5461 Mortice Green Wolverhampton Particulars.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,Freehold,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/247:unit-e-f--g-tractor-spares-industrial-estate-strawberry-lane-wolverhampton-west-midlands-wv13-3rs,"Unit E, F & G TRACTOR SPARES INDUSTRIAL ESTATE, STRAWBERRY LANE, WOLVERHAMPTON, WEST MIDLANDS, WV13 3RS",,Industrial,"['https://www.firstcity.co.uk/images/properties/382-Unit E, F & G image.jpg']","Floor area approximately 17,760 sqft (1,649.94m2) Recently Refurbished office accommodation on site parking with fenced yard with CCTV Roadside frontage LOCATION The premises are located on an industrial estate in Willenhall, Wolverhampton, less than 0.5 miles from the A454 which provides access to J10 of the M6 and Wolverhampton where junctions 1 and 2 of the M54 can be reached with ease. Wolverhampton Railway Station 2.1 miles M6, J10 3.7 miles M54, J1 4.9 miles Walsall Railway Station 5.2 miles Birmingham New Street Station 14.2 miles DESCRIPTION The premises comprise a self-contained industrial unit and ancillary offices. The warehouse is accessed from a secure yard via roller shutter doors, the office has an office facing the highway. ACCOMMODATION Unit Sq Mtrs Sqft E, F & G 1,649.94 7,760 OUTSIDE Tarmacadam surfaced forecourt providing parking and loading area. SERVICES Mains water, drainage and electricity is provided within the unit. RENTAL Rents raging from £3.50 to £4.00 per sqft. SERVICE CHARGE A service charge is levied in respect of the maintenance of the common areas. The rate per square foot is available upon application. INSURANCE The landlord insures the buildings and the cost is recovered from the tenants. VAT VAT is payable LEASE TERMS The premises are available on an effective full repairing and insuring lease for a term of no less than three years. Incentives are available. LEGAL COSTS Each party is responsible for their own legal costs. VIEWING By appointment with the sales agent “First City The Property Consultancy” on 01902 710999 quoting reference 4966. EPC An EPC has been commissioned.",17760.0,,WV13 3RS,"['https://www.firstcity.co.uk/images/brochures/247-4966 Tractor Spares Industrial Estate, Strawberry Lane.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/246:unit-c--d-tractor-spares-industrial-estate-strawberry-lane-wolverhampton-west-midlands,"Unit C & D TRACTOR SPARES INDUSTRIAL ESTATE, STRAWBERRY LANE, WOLVERHAMPTON, WEST MIDLANDS",,Industrial,['https://www.firstcity.co.uk/images/properties/380-Unit C & D image.jpg'],"Floor area approximately 10,220 sqft (949.46 sqm). May split. On Site Parking Office Accommodation Fenced Site with CCTV LOCATION The premises are located on an industrial estate in Willenhall, Wolverhampton, less than 0.5 miles from the A454 which provides access to J10 of the M6 and Wolverhampton where junctions 1 and 2 of the M54 can be reached with ease. Wolverhampton Railway Station 2.1 miles M6, J10 3.7 miles M54, J1 4.9 miles Walsall Railway Station 5.2 miles Birmingham New Street Station 14.2 miles DESCRIPTION The premises comprise self-contained industrial units and ancillary offices. The units are accessed from a secure yard via roller shutter doors. ACCOMMODATION Units Sq Mtrs Sqft C & D 10,220 949.46 OUTSIDE Tarmacadam concrete surfaced forecourt providing parking and loading area. SERVICES Mains water, drainage and electricity is provided within the unit. RENTAL Rents ranging from £3.50 to £4.00 per sqft. SERVICE CHARGE A service charge is levied in respect of the maintenance of the common areas. The rate per square foot is available upon application. INSURANCE The landlord insures the buildings and the cost is recovered from the tenants. VAT VAT is payable. LEASE TERMS The premises are available on an effective full repairing and insuring lease for a term of no less than three years. Incentives are available subject to lease terms. LEGAL COSTS Each party is responsible for their own legal costs. VIEWING By appointment with the sales agent “First City The Property Consultancy” on 01902 710999 quoting reference 4966. EPC An EPC will be commissioned upon the completion of the refurbishment works.",10220.0,,,"['https://www.firstcity.co.uk/images/brochures/246-Marketing Details - Units C & D.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,,For Sale,2026-02-27,New
https://www.firstcity.co.uk/properties/property/245:unit-3a-tractor-spares-industrial-estate-strawberry-lane-wolverhampton-west-midlands-wv13-3rs,"Unit 3A, TRACTOR SPARES INDUSTRIAL ESTATE, STRAWBERRY LANE, WOLVERHAMPTON, WEST MIDLANDS, WV13 3RS",,Industrial,['https://www.firstcity.co.uk/images/properties/378-unit 3A image.jpg'],"Floor Area approximately 2,606 sqft (242.10 sqm) On Site Parking Incentives Available Fenced Site with CCTV LOCATION The premises are located on an industrial estate in Willenhall, Wolverhampton, less than 0.5 miles from the A454 which provides access to J10 of the M6 and Wolverhampton where junctions 1 and 2 of the M54 can be reached with ease. Wolverhampton Railway Station 2.1 miles M6 3.7 miles M54 4.9 miles Walsall Railway Station 5.2 miles Bimringham New Street Station 14.2 miles DESCRIPTION The premises comprise self-contained industrial units and ancillary offices. The units are accessed from a secure yard via roller shutter doors. ACCOMMODATION Units Sq Mtrs Sqft 3A 242.10 2,606 OUTSIDE Tarmacadam concrete surfaced forecourt providing parking and loading area. SERVICES Mains water, drainage and electricity is provided within the unit. RENTAL Rents ranging from £4.00 to £4.50 per sqft. SERVICE CHARGE A service charge is levied in respect of the maintenance of the common areas. The rate per square foot is available upon application. INSURANCE The landlord insures the buildings and the cost is recovered from the tenants. VAT VAT is payable. LEASE TERMS The premises are available on an effective full repairing and insuring lease for a term of no less than three years. Incentives are available subject to lease terms. LEGAL COSTS Each party is responsible for their own legal costs. VIEWING By appointment with the sales agent “First City The Property Consultancy” on 01902 710999 quoting reference 4966. EPC An EPC has been commissioned.",2606.0,,WV13 3RS,"['https://www.firstcity.co.uk/images/brochures/245-Marketing Details - Unit 3A.pdf', 'https://www.firstcity.co.uk/images/firstcity_location_map.pdf']",First City,,,,,,,,For Sale,2026-02-27,New
