listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.avisonyoung.co.uk/properties/5966-the-gherkin-30-st-mary-axe-for-lease,30 St Mary Axe,,Office.Office,"['https://cdn.sharplaunch.com/website-46602/6733927c4a5f7/1920w/ec44200590d6d7e14f00c8547ba75faf-05ca5e5da151745c6ae72ad350d8f08d-letting4506.jpeg', 'https://cdn.sharplaunch.com/website-46602/67339288c05be/1920w/7cf7c442c3e6f14e49f23ceffcd42a15-2017-06-27-j2-gherkin-9982.jpg', 'https://cdn.sharplaunch.com/website-46602/6733927f16cbf/1920w/4b34855baa431c901524cc194daefd9a-2017-06-27-j2-gherkin-0025.jpg', 'https://cdn.sharplaunch.com/website-46602/67339289c419d/1920w/ed4cdf6809d58d6d9de84bf3c2ef1c05-2017-06-27-j2-gherkin-0102.jpg', 'https://cdn.sharplaunch.com/website-46602/6733928aa1d32/1920w/72ba1438139081b21fe6df80129ad422-2017-06-27-j2-gherkin-9962.jpg', 'https://cdn.sharplaunch.com/website-46602/6733928b90ff4/1920w/a3d57f03606ab9c9464028e1b5cc7505-2017-06-27-j2-gherkin-9930.jpg', 'https://cdn.sharplaunch.com/website-46602/6733928c8388d/1920w/04b4a8bd2df8955bb787fc05393a02fe-entrance-20lobby-201.jpg', 'https://cdn.sharplaunch.com/website-46602/6733928d79d10/1920w/204428a7323a5ae85c46b11627b6ac1d-entrance-20lobby-202.jpg', 'https://cdn.sharplaunch.com/website-46602/67339290e7708/1920w/e83f5202084bc4edd27b407bfe3ea46f-2017-06-27-j2-gherkin-5692.jpg', 'https://cdn.sharplaunch.com/website-46602/67339291bd918/1920w/6ed9638c09f9623f82e7580d79044791-2017-06-27-j2-gherkin-5726.jpg', 'https://cdn.sharplaunch.com/website-46602/67339292a7c13/1920w/070b5816a15d42909967f40102e04a28-2017-06-27-j2-gherkin-5781.jpg', 'https://cdn.sharplaunch.com/website-46602/67339293cdb88/1920w/e1bee350a78a3fa7b56629e5dadcac42-2017-06-27-j2-gherkin-5891.jpg', 'https://cdn.sharplaunch.com/website-46602/67339294c5681/1920w/e14106e503ce53f3223b33b4569f7453-2017-06-27-j2-gherkin-5902.jpg']","The Gherkin cuts a stunning figure in the city skyline as well as offering amazing views across the city; making it an attractive place to work. 

The available office space has been refurbished to Category B standard offering a generous amount of de",33691,,EC3A 8AF,['https://cdn.sharplaunch.com/website-46602/673392872b22e/317c7b4e1ea23b0099397e839af67568.pdf'],Avison Young,James Walker,,,07957388184,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13937-st-georges-house-lever-street-for-lease,Lever Street,,Office.Office,[],"St George's House is a newly refurbished office building with a host of upgrades offering a bright, open-plan workspace in a convenient location. Originally constructed in 1996, the building has undergone extensive works and offers exceptional Grade ",1556,,WV2 1EZ,['https://cdn.sharplaunch.com/website-46604/673392c9accfe/6cb61fc38b9b762ad5398eb9b1cc6396-file-1393756721658141093.pdf'],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13943-aqueous-ii-aston-cross-business-village-rocky-lane-for-lease,Rocky Lane,,Office.Office,"['https://cdn.sharplaunch.com/website-46607/673392f2ac82d/1920w/1b6799955c5f02a1ff5d3c52071534af-file-1394327551715965647.jpeg', 'https://cdn.sharplaunch.com/website-46607/67a4df010cedf/1920w/d4436d7bbf04a03d4b3058e762090615-aqueous-ii-proposed-business-centre.png', 'https://cdn.sharplaunch.com/website-46607/673392f368206/1920w/72eb46f3ffba8760079f1a63982d0735-file-1394333311715965647.jpeg', 'https://cdn.sharplaunch.com/website-46607/67a4df01cc1ae/1920w/817477d943e900dea8acfcd54f48bac1-aqueous-ii-ground-floor.png', 'https://cdn.sharplaunch.com/website-46607/673392ef1f490/1920w/129ea4b5cb10ba1a4898cc0beca43dd1-file-1394386061715965647.jpeg', 'https://cdn.sharplaunch.com/website-46607/673392efef1ac/1920w/dbadda15acc7d18d54483ae1d1bd7aab-file-1394386421715965647.jpeg', 'https://cdn.sharplaunch.com/website-46607/673392f41692e/1920w/166dd69597d7bdc3312b5645453d1983-file-1394386981715965648.jpeg', 'https://cdn.sharplaunch.com/website-46607/673392f4ae289/1920w/9701b6788c0aa44b7536af72854c0c69-file-1394328671715965648.jpeg']","Aqueous II comprises a modern six storey office building constructed behind a glazed and partial brick façade. Situated at Aston Cross Business Village, the building recently underwent a comprehensive refurbishment.

Aqueous II offers outstanding spa",2542,,B6 5RQ,"['https://cdn.sharplaunch.com/website-46607/67a4defdee0ff/aa562ca78cca310f3aee4090c65ec618-brochure-aqueous-ii.pdf', 'https://cdn.sharplaunch.com/website-46607/6914a18f0e1be/0fa0cab6aeb9cbb8e41be9c27af1136e-aqueous-ii-a5-web-compressed.pdf', 'https://cdn.sharplaunch.com/website-46607/67a4deff724e0/4627e7a2825fc6edbe691f05e6c85e4f-aqueous-ii-proposed-business-centre.png', 'https://cdn.sharplaunch.com/website-46607/67a4df003b079/cd4c6fca04a55b69b70f9399bc01d060-aqueous-ii-ground-floor.png']",Avison Young,Charlotte Fullard,,,07909484996,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13964-evesham-house-whittington-hall-whittington-road-for-lease,Whittington Road,,Office.Office,"['https://cdn.sharplaunch.com/website-46609/68945c812db99/1920w/cc77c2a1778d933d9c865919d672a76f-8725-whittington-hall-ground-60-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945c84e825a/1920w/c0b439c4cf2f4056ef0875fa61703d7a-8725-whittington-hall-ground-65-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945c84194bb/1920w/2159bbda8555f164ca7b10352d2eecc1-8725-whittington-hall-ground-64-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945c85ac39c/1920w/cf83bcdbb8ab49c1ddb7bc85ab18fe25-8725-whittington-hall-ground-63-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945c8675038/1920w/155d1527648e7113f60ca72213e4a9fe-8725-whittington-hall-ground-68-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945c8860c1c/1920w/f483fbaf03211bfe132d58113ebeb408-8725-whittington-hall-ground-71-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945cf1cc96f/1920w/967e9cc454e8b0b41f2d74cc70de4079-8725-whittington-hall-aerial121-medium.jpg', 'https://cdn.sharplaunch.com/website-46609/68945cfcbbaf1/1920w/16bfb2a8507b46aea7a8809b3ca6b7ec-8725-whittington-hall-aerial33-medium.jpg']","The available space is located on the ground floor and provides refurbished, open plan office accommodation. The offices have perimeter trunking, comfort cooling, suspended ceilings and recessed LED lighting. The building is located in an attractive ",1385,,WR5 2ZX,['https://cdn.sharplaunch.com/website-46609/689062c197851/5504542ec84d593692d7c8a22352a4d1-brochure-evesham-house-825.pdf'],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13974-wolverhampton-business-park-for-lease,Wolverhampton Business Park,,Office.Office,"['https://cdn.sharplaunch.com/website-46611/67339317f152d/1920w/14a2b440a855ccb1a0d93ab7a11ea11e-file-1397452421715965722.jpeg', 'https://cdn.sharplaunch.com/website-46611/6733931a7416c/1920w/7d6405abc6c3c3f11b4667c343074468-file-1397433931715965723.jpeg', 'https://cdn.sharplaunch.com/website-46611/67339318bd789/1920w/f72ff9e5338d61ad8cda669a03a17960-file-1397488921715965723.jpeg', 'https://cdn.sharplaunch.com/website-46611/6733931b348a0/1920w/6d7a112220cf86623c68a72370cb6cab-file-1397486691715965723.jpeg', 'https://cdn.sharplaunch.com/website-46611/6733931bd768f/1920w/5a912244d35d62c5e8d273fd70679a91-file-1397433661715965724.jpeg', 'https://cdn.sharplaunch.com/website-46611/6733931c7aab2/1920w/add07ea44f60e8230f15765e79d98cdb-file-1397468421715965724.jpeg', 'https://cdn.sharplaunch.com/website-46611/6733931d2f907/1920w/4032718553258b90630bd45682fc1ac5-file-1397487081715965724.jpeg']","A high quality business park development situated off Junction 2 of the M54 Motorway. Design and build plots available to suit business needs, on a freehold or leasehold basis. The site offers a range of amenities close by including a gym, hotel and ",110000,,WV10 6NX,['https://cdn.sharplaunch.com/website-46611/673393196d26b/b50b3cbc77acf1a57f41f3b7d5d9491e-file-1397425951658141146.pdf'],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13979-business-centre-for-lease,Business Centre,,Office.Office,"['https://cdn.sharplaunch.com/website-46612/673393213a96b/1920w/24ac000d2f5d04268eeedfd770f282c3-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/67339321d2245/1920w/8f6f619d0158a190d1ffd1099b60d32f-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/673393227aa4e/1920w/09e0063190094000f3d8a4eeb329a396-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/6733932328dd2/1920w/1049721c1408f8401cd7cbec20a621be-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/67339323c6c5a/1920w/c5f5cfb3980368c968640e3d5ea03bcf-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/673393245e029/1920w/4576a9a7ce32fa7af48f715e5f937bb2-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/67339324e66a8/1920w/1d3cb62f6dee845907eb82660cf1251b-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/673393258e936/1920w/d4f9ee5fcbd2dc9dbdfd83937c674636-letting13979.jpeg', 'https://cdn.sharplaunch.com/website-46612/6733932627464/1920w/f33b8cc1c41cdbae0aec1eedd1505ce6-letting13979.jpeg']","Serviced or managed offices provides you with an easy and affordable solution to elevate your business profile. The Colmore Building which is a stunning Landmark building located in the prime business district of the City of Birmingham, with a stunni",2000,,B4 6AT,[],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13980-waterside-centre-birmingham-business-park-solihull-parkway-for-lease,Solihull Parkway,,Office.Office,"['https://cdn.sharplaunch.com/website-46613/67339329c6703/1920w/2ea2e6e1d077cc8204a60d258c972664-file-1398032641715965734.jpeg', 'https://cdn.sharplaunch.com/website-46613/6733932ae8b7b/1920w/e6c8e2c1af2eadb443af33452f4bbd82-file-1398035431715965734.jpeg', 'https://cdn.sharplaunch.com/website-46613/6733932a5ee82/1920w/d2edcb36bdc87e3cae911f2937631c8c-file-1398069891715965734.jpeg', 'https://cdn.sharplaunch.com/website-46613/6733932b78d93/1920w/059521620bcfa5bbcc59056a2ad41531-file-1398093101715965735.jpeg', 'https://cdn.sharplaunch.com/website-46613/6733932c241c3/1920w/7c3181f8a9d1f6ff90fc8df9370cab4a-file-1398029191715965735.jpeg']","Bright, modern serviced offices to let in the Waterside Centre, a distinctive office building overlooking a lake in attractive landscaped grounds. Offices have been furnished to a high standard and features include management services, IT support, me",2000,,B37 7YN,[],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13981-eleven-chadwick-business-centre-brindleyplace-brunswick-square-for-lease,Brunswick Square,,Office.Office,[],"Chadwick Business Centre at Eleven Brindleyplace offers premium specification workspaces, newly renovated communal areas and a relaxed and inspiring work environment. Offices benefit from excellent natural light with floor-to-ceiling glazing and the ",2000,,B1 2LP,[],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13985-colmore-row-for-lease,Colmore Row,,Office.Office,"['https://cdn.sharplaunch.com/website-46616/67339339965e4/1920w/7ed7d908039474a784075a1d4bb4447d-letting13985.jpeg', 'https://cdn.sharplaunch.com/website-46616/6733933a3888a/1920w/fd0b429e377db87f88d36d64b46f4d19-letting13985.jpeg', 'https://cdn.sharplaunch.com/website-46616/6733933ac623b/1920w/47548d2a1db1dfb66683ca917614f45e-letting13985.jpeg', 'https://cdn.sharplaunch.com/website-46616/6733933b618d3/1920w/f25697c6cb6a85063ea61f87d969106c-letting13985.jpeg', 'https://cdn.sharplaunch.com/website-46616/6733933be9ba4/1920w/e5d4a33883d05c0936b8c59f70130f55-letting13985.jpeg']","Quality serviced offices, boasting spectacular views across the city, the flexible office space is ideal for a range of commercial occupiers with its contemporary and high specification design.",10000,,B3 2QD,[],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
https://www.avisonyoung.co.uk/properties/13986-landmark-3-brindleyplace-for-lease,3 Brindleyplace,,Office.Office,"['https://cdn.sharplaunch.com/website-46617/6733933fdf406/1920w/72b9f786cc61291fdc01c16f6deb1415-file-1398635071715965736.jpeg', 'https://cdn.sharplaunch.com/website-46617/673393412c124/1920w/0c94faf899bb31377c34254cd6ba79f8-file-1398685221715965737.jpeg', 'https://cdn.sharplaunch.com/website-46617/6733934083c25/1920w/8ab65ce925a14fa40808673b50d6b317-file-1398675891715965737.jpeg', 'https://cdn.sharplaunch.com/website-46617/67339341bdbc7/1920w/7e0477b2b0e97a742d3fc69f551f026b-file-1398635801715965738.jpeg', 'https://cdn.sharplaunch.com/website-46617/673393425259a/1920w/6a6d5952165a852178db2c7771d27cd3-file-1398690661715965738.jpeg', 'https://cdn.sharplaunch.com/website-46617/67339342ed3a2/1920w/befd809c0734bead5a8e275f9003a8a3-file-1398692431715965738.jpeg', 'https://cdn.sharplaunch.com/website-46617/6733934383c3e/1920w/add95dd7091c6a3fd69e98602b30bac4-file-1398613661715965739.jpeg', 'https://cdn.sharplaunch.com/website-46617/673393443eb66/1920w/8dbeb11146df4378652e0faa2eda2db8-file-1398618271715965739.jpeg']",Cutting-edge Grade A office space in a statement building set in a secure professional working environment overlooking the central square in Brindleyplace. Fully serviced and furnished offices to suit a range of businesses. Superfast internet and wal,5000,,B1 2JB,[],Avison Young,Andrew Venables,,,07721 483 159,,,Leasehold,To Let
