listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://search.galepriggen.co.uk/properties/300058-holyer-house-london,"20-21 Red Lion Court, London, EC4A 3EB",,Offices,"['https://as-images.imgix.net/b0d7061f5ef80fb6839433f2bc3c63f4-386aba8d096cee09bf240a26a85d2f1fhh4.jpg', 'https://as-images.imgix.net/fc5903fe2a2b02cd8f61805983ccf10b-ef561a8e121b5f7f633300aaab672efahh3.jpg', 'https://as-images.imgix.net/e896b93d82478b371f1a08fd8b994dd3-bb5ae15c262c497254c4eb94f4b0e841hh6.jpg', 'https://as-images.imgix.net/996a73e845a0445e234b41a3105eb764-551a3b3d2be2e07e218d4f320f4f0fdeimage002.jpg', 'https://as-images.imgix.net/1867c3d8bc7cf88a64eac5379b42d48e-4d166a466bad9fac19d30507a1798925rl1.jpg', 'https://as-images.imgix.net/c312948c8e6eb2c19e23bcecc05f40ba-160be28498170b6e0211d456972a4a78hh2.jpg', 'https://as-images.imgix.net/2ee1c037612292ea35d2f0bf1664cfc1-c6a36499e9592dd11e28ee9563009328hh5.jpg']","Holyer House has undergone a comprehensive redevelopment. The building boasts dynamic office accommodation, fantastic end of trip facilities and a stunning communal roof terrace. In addition to this, incoming tenants will benefit from a passenger lift, bookable meeting rooms and excellent transport links. The 3rd and 4th floors are available, which have great natural light, kitchenette and exposed services Key Points: Newly refurbished Air Conditioned Showers & Lockers Secure Bike Storage Communal Roof Terrace Bookable Meeting Rooms Furnished Managed Solution Available",944.0,,EC4A 3EB,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/b6da1926ceac3f6b2580efb20043c877-dded9a5c52282c610739a13e33b19aca2412008holyerhousebrandbrochurev6.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/db14430d8cdd89aaea924ae8e216895f.pdf']",Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/318548-108-great-russell-street-london,"London, WC1B 3NA",,Offices,"['https://as-images.imgix.net/cc3c266ea8d4d1badb6e623d99f0dd22-img-6785.jpg', 'https://as-images.imgix.net/05667fb521b7a7b4abae884f761c1afa-img-6777.jpg', 'https://as-images.imgix.net/7f7461f06ce68349428395412cfdf7cd-img-6775.jpg', 'https://as-images.imgix.net/c73f06815e205549c5ac534ecb5423a3-img-6772.jpg', 'https://as-images.imgix.net/8154c9cf1bde776b22b8e6aeba9d49f7-street-view-disposal-318548.jpg', 'https://as-images.imgix.net/65b49a331071c3dcfd0c460c8159586f-img-6776.jpg', 'https://as-images.imgix.net/f1f5ca1d990876a0115a3ea0ecf20fc9-img-6782.jpg', 'https://as-images.imgix.net/3beb78744afe9d4bf55cda5c21d1002c-img-6773.jpg']","The available accommodation is arranged over the 1st to 4th floors, with each floor predominantly featuring an open-plan layout. WC and shower provisions are located on the 3rd floor level. The building benefits from fantastic floor-to-ceiling heights throughout the building along with great levels of natural light and comfort cooling through-out. Key Points: Self-contained Comfort cooled Shower Perimeter trunking Fibre connectivity",1610.0,,WC1B 3NA,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/edcd1985e4dcc6ced678c4a9d92c0adf.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/c799526bc37d2ac1116d51afd664107f-lease-plan-great-russell-street.pdf']",Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/331219-26-great-queen-street-london,"London, WC2B 5BL",,Offices,"['https://as-images.imgix.net/4b1fe340fb92af01905567b87a7caed3-img-6862-1.jpg', 'https://as-images.imgix.net/5270a07d62dcb04485099e3578726fe1-img-6854.jpg', 'https://as-images.imgix.net/3b5a05bc04a04e83885154cf9005179e-img-6847.JPG', 'https://as-images.imgix.net/975807b075d8c11550108658ed97441a-img-6857.jpg', 'https://as-images.imgix.net/d4147bd95766eab2ddb5e902b5cabdab-img-6853.jpg', 'https://as-images.imgix.net/96d17f9cedb9411862b8cd41d23d7558-26greatqueenstreet02222022-094825.jpg', 'https://as-images.imgix.net/f1c2ccd8dbfbb87506e7329e98e5689a-img-6858.jpg', 'https://as-images.imgix.net/cce0bc1b93b5dc729dfa3547af7e9ea0-img-6852.jpg', 'https://as-images.imgix.net/7ff0c45b46e05aff86238c8a2a990628-img-6849.jpg', 'https://as-images.imgix.net/389003ec0b4d33e7dcd61c7f7b57413e-img-6856.jpg', 'https://as-images.imgix.net/c0ea228e6759293befc1ccba8d9bbeba-img-6850.jpg']","A self contained basement suite, currently arranged as a large open plan area, with a separate secure storage room, and an area of below-pavement vault storage. The space is lofty - 3m to the suspended ceiling; 3.5m to the slab - with windows front and rear affording reasonable levels of natural light for a basement. There is passenger lift access from the main building entrance hall, and an external staircase from street level exclusively serving the demise. The unit is ideal for secure storage purposes. Key Points: Storage unit Passenger lift Rent inclusive of service charge Own entrance",1430.0,,WC2B 5BL,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/6e125959c039caac3131cb3c995d84ea.pdf'],Gale Priggen & Co,Tim Gale,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/337195-47-fleet-street-london,"London, EC4Y 1BJ",2000000,Other / Offices,"['https://as-images.imgix.net/5f1a8030d6ea70f5cd6cf4e03a1d1d83-attachment.jpg', 'https://as-images.imgix.net/d2299afe2ac22677548113fc3fdbd56e-attachment-2.jpg', 'https://as-images.imgix.net/ffeaec922b039ab2323874d4e47f9c0f-attachment-19.jpg', 'https://as-images.imgix.net/2201757a9cfc3b3f722f0f577b9d82d2-attachment-6.jpg', 'https://as-images.imgix.net/285d2e1699d7bf122e0a5f9e02fdafca-attachment-9.jpg', 'https://as-images.imgix.net/fd050574dae7841ad26739325e87cc45-attachment-1.jpg', 'https://as-images.imgix.net/cf781ad8e52d03e33467856f3bcec56b-attachment-3.jpg', 'https://as-images.imgix.net/fab5ec7e58bfc65e2c9dcd7fcf3c528d-attachment-13.jpg', 'https://as-images.imgix.net/ac6bbfcb565b729b299ed6b70e1f3b89-attachment-20.jpg', 'https://as-images.imgix.net/f100cfe22083c457cc6b71e31fb7fbb3-attachment-5.jpg', 'https://as-images.imgix.net/93ef7800bd4fd3c58a9c58ace7519b01-attachment-4.jpg']","Comprising of a 6-level period property, totaling 4,529 sq ft / 421 sq m (NIA) / 6,081 sq ft / 565 sq m (GIA), the building benefits from a principal revenue stream from the wine bar on the lower two floors, whilst the upper parts offer an office refurbishment opportunity for a developer, investor or occupier, and significant value-add opportunities. The famous wine bar and eatery El Vino, dating back more than 100 years, occupies the ground floor and basement. Now owned by Davy’s Wine Merchants - which itself was established in 1870 - the premises are a true piece of Fleet Street history. The self-contained upper parts present a range of opportunities for a purchaser. The floors are in need of comprehensive works to upgrade and reimagine the accommodation, whether for re-letting or occupation as an owner-occupier. Subject to obtaining the necessary consents, there may be scope to extend the premises to the rear and reconfigure the circulation space, to include potentially installing a passenger lift. Further details, plans and general information are available from the Data Room, which can be accessed below by visiting the Marketing Website or going to https://tinyurl.com/su2scxhv Key Points: El Vino, an historic and famous wine bar and eatery, dating back more than 100 years, occupies the lower floors, on a lease expiring in 2036. Fully self-contained upper parts, arranged over 1st-4th floors, offering an office refurbishment opportunity for a developer, investor or occupier. Potential for extending to the rear and conversion for a range of alternative uses. Although not a Listed building, the property is situated within the Fleet Street Conservation Area. Lies within the Fleet Street Quarter Business Improvement District, an area witnessing an unprecedented level of development and upgrading public spaces.",4529.0,,EC4Y 1BJ,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/d4bf60156f7f929ddc100bdfeb377eb9-47-fleet-street-investment-brochure-v03.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/0b4e64708f0886c4694603e00baa43b4.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/2effc0cb2a91892f620f36cd7525dbe9-energy-performance-certificate-epc-find-an-energy-certificate-gov.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/00f01e3d74d7efd1b49eb355ee7e9be0-energy-performance-certificate-epc-find-an-energy-certificate-gov-2.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/e1e0a50cb8b560d892a4254dcb318d2c-p1570-b-070318.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/fabe28f6d8d0bcc84be55fee4e6bd189-p1570-g-070318.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/14cf1edc5472c1f70e7b13376eeda675-p1570-1f-011117.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/51dbd134fd1ce963fd47868946ab09a4-p1570-2f-081117.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/eaf800516b42f2c0aced93c69b959635-p1570-3f-081117.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/0f9534dba7c4a6e6821b32fdfba65123-p1570-4f-081117.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/8f5d8648d9e9b79b2ebde0dbec03ac5a-47-fleet-street-investment-brochure.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/8e9a45f80613d4746c5afd8c8d59c328-lease-47-fleet-street-summary-12122022-copy.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/7e57aacacfa622fa937fb982260ff4b7-47-fleet-street-heritage-significance-report.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/27f6460b3bac6ac7593f1623ecb956ae-land-registry-official-copies.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/96275f9125f393fc6a4f254e652a4be8-fleet-street-conservation-area-character-summary-and-management-strategy-spd.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/e8871118d2ba80992a460bafb230c5c1-47-fleet-street-pre-app-draft.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/437c5a67ad30f0c9da449fd8acf36936-47-fleet-st-ec4-external-repairs-2012.pdf']",Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,For Sale,2026-02-27,New
https://search.galepriggen.co.uk/properties/180743-6-new-bridge-street-london,"London, EC4V 6AB",,Offices,"['https://as-images.imgix.net/f62fe44ce5f579437e15b6d0b6affded-6-new-bridge-street-matterport-still-03.jpg', 'https://as-images.imgix.net/893e832b4256d64a863f52eaa153cef1-6-new-bridge-street-matterport-still-05.jpg', 'https://as-images.imgix.net/b9752bdcd9ea9ea39ce69eb457874362-Old%20Schoolhouse.jpg', 'https://as-images.imgix.net/f059c471928b5e1991772243e4af27b9-IMG_4309.jpg', 'https://as-images.imgix.net/956eabe209cf8f0287752afa44d6fcdf-6-new-bridge-street-matterport-still-01.jpg', 'https://as-images.imgix.net/7f076d0f4cb9c7569e7caefc6d15bef4-IMG_4316.jpg', 'https://as-images.imgix.net/e31b62eb3ffa32eda3856d84cf92a8d0-6-new-bridge-street-matterport-still-15.jpg', 'https://as-images.imgix.net/357a3f668a3ef75e1e80e2cab5ac8b33-6-new-bridge-street-matterport-still-13.jpg', 'https://as-images.imgix.net/ecbb2ef267f3d566729715cb9ea4c307-6nbs-gfae-02.jpg', 'https://as-images.imgix.net/cbc309ed3cc4f9003f6d64774ba5a7f2-6-new-bridge-street-matterport-still-02.jpg', 'https://as-images.imgix.net/d785af382fe8d2c24288f68236080ee9-6newbridge34.jpg', 'https://as-images.imgix.net/938def64f2f91991ed049300221fcfc3-6-new-bridge-street-matterport-still-10.jpg', 'https://as-images.imgix.net/ef964cba229c57054e66600ea28ba729-6-new-bridge-street-matterport-still-17.jpg', 'https://as-images.imgix.net/401ada7adb193886a7314389980b51eb-231130-6nbs-marketing-plan.jpg', 'https://as-images.imgix.net/1fb903d5c47a35b22a1b2b4450dc2e46-6-new-bridge-street-matterport-still-18.jpg', 'https://as-images.imgix.net/6d93a79f5b6127bc174e8233c57161d1-NewBridgeSt_ContactSheetjpg3.jpg', 'https://as-images.imgix.net/ae9af67755e9725a45d836ebd19ce5d9-6-new-bridge-street-matterport-still-08.jpg', 'https://as-images.imgix.net/7a5f91fc307eb3edb452dadceb90892a-6-new-bridge-street-matterport-still-06.jpg', 'https://as-images.imgix.net/d009bc78ed03e6e11876f895a7ae7b04-6-new-bridge-street-matterport-still-07.jpg', 'https://as-images.imgix.net/0d8f89c45701c0ec8ee246f49ea1d37a-6-new-bridge-street-matterport-still-19.jpg', 'https://as-images.imgix.net/f7b517d8d6fd4043f02ecd38dd0bcce9-6nbs-gfae-01.jpg', 'https://as-images.imgix.net/3b6fc5937571dc825e0a1e1642a6cc1f-6-new-bridge-street-matterport-still-04.jpg', 'https://as-images.imgix.net/a8ca8c0b1160be39b093101851fb6b79-NewBridgeSt_ContactSheet.jpg', 'https://as-images.imgix.net/cee9661f8109c56254f4f4b48dcefaf2-6-new-bridge-street-matterport-still-09.jpg']","The accommodation is approached via a bright, manned entrance hall, which has recently been refreshed; alternatively, a tenant can make use of a private entrance direct from Bride Lane. The suite is arranged to provide 4 meeting rooms, with open plan office accommodation currently fitted for 40 workstations, plus a large fitted kitchen/breakout area. The space is fully cabled, with a separate (cooled) comms room. Key Points: 3/4 meeting rooms, open plan & fitted kitchen/breakout area Own private entrance available from Bride Lane Fully fitted and furnished throughout - 40 workstations, but scope to increase Full managed option available VRF air conditioning Fully cabled, with separate (cooled) comms room Fibre enabled - immediate connection available A V systems wired to meeting rooms and breakout area Shower facilities and DDA WC & Shower Secure cycle storage Fully accessible raised floor Metal tiled suspended ceiling with L E D lighting Newly refreshed manned building reception Security alarm system",3807.0,,EC4V 6AB,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/d72c9a941bde65a15fa4c41aadba8e9f.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/d54d7e3d089b9b2b1cdf55c622bf46af-epc-6-new-bridge-street-ec4v-6ab.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/bd789042886d7d6b4213ba2983faa607-6newbridgestreetasbuiltplans-gnd.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/00cf0115d41f0612e7a6ecf9470ac41f-231130-6nbs-marketing-plan.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/e3260a5ab0da8c0295a2fc0fa05e47f6-elevate-preconnect-flyer-6-new-bridge-st.pdf']",Gale Priggen & Co,Tim Gale,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/353251-the-staple-inn-estate-9-staple-inn-london,"London, WC1V 7QH",,Offices,"['https://as-images.imgix.net/a8178bc1eaf4ce6e09c45c1d7abea3b0-img-8208.jpg', 'https://as-images.imgix.net/975e21977493fa799cbafd1b7a81b685-img-8205.jpg', 'https://as-images.imgix.net/5e3a3f7f5389ace85c53287f954a9e8a-StapleInnCourtyard06282021_151405.jpg', 'https://as-images.imgix.net/2d473c2db96777373e1db89c841ec214-005.JPG', 'https://as-images.imgix.net/5a6eb07ff437983c6331e3d5d66e1ebe-img-8206.jpg', 'https://as-images.imgix.net/22286831509772593d5c0fb10f1d501b-img-8209.jpg', 'https://as-images.imgix.net/9b8322da70c3dcec8cb94c9ba7a937ec-External.jpg', 'https://as-images.imgix.net/d454d07218de2ae815569e34f200c6e6-img-8212.jpg']","Parts of Staple Inn were originally constructed in the 16th Century and it is a unique office environment, with the buildings arranged around a central, landscaped and cobbled courtyard, with attractive gardens to the rear. The available unit is on the first floor of No 10 Staple Inn, and boasts fantastic natural light with views over both the courtyard and gardens to the rear. The unit is predominantly open plan with kitchen and 2 meeting rooms. Key Points: Comfort cooling Fitted with 2 meeting rooms Flexible leasing terms Gas C/H Attractive courtyard setting Perimeter trunking On-site building management Bike racks 24 hr access",1088.0,,WC1V 7QH,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/262275a90a85c4e9aaac8b035017e392.pdf'],Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/353239-1-3-staple-inn-london,"The Staple Inn Estate, London, WC1V 7QH",,Offices,"['https://as-images.imgix.net/835d0e9452ed1909a0f65fc470eaa8a6-img-8197.jpg', 'https://as-images.imgix.net/c12aa8a2c4201ff9f531fb3d88bd8ad8-img-8295.jpg', 'https://as-images.imgix.net/5e3a3f7f5389ace85c53287f954a9e8a-StapleInnCourtyard06282021_151405.jpg', 'https://as-images.imgix.net/2d473c2db96777373e1db89c841ec214-005.JPG', 'https://as-images.imgix.net/fc6cf348cfc4bfdb052ad76c57096bf5-img-8203.jpg', 'https://as-images.imgix.net/511d491800c0d1c3b7bf840ddd38e8df-img-8202.jpg', 'https://as-images.imgix.net/9b8322da70c3dcec8cb94c9ba7a937ec-External.jpg', 'https://as-images.imgix.net/23e12b9d683a1670c822017622ba55bc-img-8204.jpg', 'https://as-images.imgix.net/e274e94c80b66cd7ec9d4416b77c509c-img-8198.jpg']","Parts of Staple Inn were originally constructed in the 16th Century and it is a unique office environment, with the buildings arranged around a central, landscaped and cobbled courtyard, with attractive gardens to the rear. The available unit is on the 2nd floor of No 1-3 Staple Inn, and boasts fantastic natural light with views across the central courtyard and gardens to the rear. The unit is arranged in open plan, with 3 meeting rooms a fully fitted kitchen and has comfort cooling throughout. Key Points: Solid timber floors Comfort cooling 3 x meeting rooms Fully fitted kitchen Attractive courtyard setting Perimeter trunking On-site building management 24 hr access Bike Racks",1947.0,,WC1V 7QH,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/019370eb67dd3f462a44f81032d5365f.pdf'],Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/234317-1-3-staple-inn-london,"The Staple Inn Estate, London, WC1V 7QH",,Offices,"['https://as-images.imgix.net/68ca5cd6b9b8555a9ace340264249af3-img-5403.jpg', 'https://as-images.imgix.net/764787007c548c12c86550727d5a5089-13-staple-inn-1st-floor-photo-6.jpg', 'https://as-images.imgix.net/5e3a3f7f5389ace85c53287f954a9e8a-StapleInnCourtyard06282021_151405.jpg', 'https://as-images.imgix.net/2d473c2db96777373e1db89c841ec214-005.JPG', 'https://as-images.imgix.net/ebd2c956cd80e1a920f80f2d3fece676-13-staple-inn-1st-floor-photo-9.jpg', 'https://as-images.imgix.net/0976968806589df1e77d0b544455b348-13-staple-inn-1st-floor-photo-8.jpg', 'https://as-images.imgix.net/119f49d265618ea1e6c2d951e8937fc8-13-staple-inn-1st-floor-photo-2.jpg', 'https://as-images.imgix.net/9b8322da70c3dcec8cb94c9ba7a937ec-External.jpg', 'https://as-images.imgix.net/b7ef234c2638074bd4681a544bfd1a17-13-staple-inn-1st-floor-photo-4.jpg', 'https://as-images.imgix.net/4391f03eaa9e518b353d58f90a657285-13-staple-inn-1st-floor-photo-3.jpg', 'https://as-images.imgix.net/f3e6ce4d85aa62d0bc985be5c4ff830a-13-staple-inn-1st-floor-photo-5.jpg', 'https://as-images.imgix.net/a900221809ecfd913a873abf000a81c6-13-staple-inn-1st-floor-photo-1.jpg', 'https://as-images.imgix.net/4aa4450e9465a09ee74bb25a588faf7e-13-staple-inn-1st-floor-photo-7.jpg']","Parts of Staple Inn were originally constructed in the 16th Century and it is a unique office environment, with the buildings arranged around a central, landscaped and cobbled courtyard, with attractive gardens to the rear. The available unit is on the 1st floor of No 1-3 Staple Inn, and boasts fantastic natural light with views across the central courtyard and comfort cooling. The unit is arranged in open plan, with a fully fitted kitchen. Key Points: Solid timber floors Comfort cooling Fully fitted kitchen Attractive courtyard setting Perimeter trunking On-site building management 24 hr access Bike Racks",1245.0,,WC1V 7QH,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/1cda86c87150c4e310c275b46f26441b.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/31b53a9f5c0bb55e37dceadb55373ce7-13-staple-inn-open-plan20250409122250.pdf']",Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/278226-149-fleet-street-london,"London, EC4A 2BU",,Offices,"['https://as-images.imgix.net/ad8d913459daff2bc4900406d4bcb809-img-6789.jpg', 'https://as-images.imgix.net/87053335a94876b8cb90fa89e9fcb9ed-img-6787.jpg', 'https://as-images.imgix.net/ec45d893eb7c3cf953ffacd9805b7134-img-6793.jpg', 'https://as-images.imgix.net/a8ccb130442df6a331a6226ec5d84a88-img-6790.jpg', 'https://as-images.imgix.net/e569967c04f1e19e61091c17606e36ef-img-6794.jpg', 'https://as-images.imgix.net/bef8357890ad37854b4fadf27766560a-img-5953.jpg', 'https://as-images.imgix.net/5cc8aa77fe41086c3f71b32c6e709e1a-img-6788.jpg']",The offices are situated on the 2nd floor of this conveniently located period property. The floor is arranged to provide 2 separate rooms on either side of a central service core.. Key Points: Rent just £39.50 psf Comfort cooled Newly refurbished Tea point Passenger lift Entryphone system Can be let separately,400.0,,EC4A 2BU,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/c5e5430edf5d25c69e02f048d7446e67.pdf'],Gale Priggen & Co,Tim Gale,London,,020 7404 5043,,,,To Let,2026-02-27,New
https://search.galepriggen.co.uk/properties/331674-52-54-rosebery-avenue-london,"London, EC1R 4RP",,Offices,"['https://as-images.imgix.net/5bda2edd0df054a39a6d88a3ff61d812-img-8179.jpg', 'https://as-images.imgix.net/fbe345cae948421c7cf5a6c182b74036-img-8176.jpg', 'https://as-images.imgix.net/ae5ffbc2ab6e16d617bdc69880d51335-img-8164.jpg', 'https://as-images.imgix.net/3b508a1088a7d22cd543cdefd66e3339-img-8177.jpg', 'https://as-images.imgix.net/03ed02871aca362629a031c09f9f9f0e-img-8166.jpg', 'https://as-images.imgix.net/741436f46ad4b322bd443de6a8de5fef-img-8173.jpg', 'https://as-images.imgix.net/a41397ddae7e2076f3afd1da78f384f9-img-8170.jpg', 'https://as-images.imgix.net/5e241143049721dd0449fc34e5e83a1c-img-8169.jpg', 'https://as-images.imgix.net/28cc5611669d7f388af5b2b68d136a38-img-8163.jpg', 'https://as-images.imgix.net/4ead59fe7bb5b101e2f19e7c8af3beeb-img-8165.jpg', 'https://as-images.imgix.net/306b1d21bbeaade4f37203993c437d4f-img-8172.jpg', 'https://as-images.imgix.net/8a2886f9aeef9f682ef9651c4c2c0838-6.jpg', 'https://as-images.imgix.net/ec74f95bc970ea685b565a912e385b3a-img-8167.jpg']","The available unit is found on the 3rd floor of this characterful former warehouse building. The unit is to be fitted to provide predominantly open plan accommodation with 12 desks, a 8 person meeting room, a breakout area and reception along with a tea point providing fridge and dishwasher. Key Points: Fully fitted 12 desks 8 person meeting room Teapoint Break out area Zoom booth Timber floors Whitewashed brickwork Exposed timber beams",1324.0,,EC1R 4RP,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/pdf/ff31cc98e89d8ef4cb286132afe4d04f.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/a821ee68f075dd5bb3b0d006472f0c77-gensurco-house-03-ga.pdf']",Gale Priggen & Co,Clarke Buxton,London,,020 7404 5043,,,,To Let,2026-02-27,New
