listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.gvproperty.co.uk/property/humber-international-enterprise-park-hiep-the-port-of-hull-hu12-8ds/?results=3065-5851-4297-6420,"Humber International Enterprise Park (HIEP), The Port of Hull,  Hull ,  HU12 8DS",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2024/08/CGI-annotated-1-1024x427.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/08/CGI-1024x663.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Masterplan.jpg']","Freeport Tax Assisted Zone 
 Design and Build opportunities from 25,000 to 2,000,000 sq ft 
 Power supply potential to Site of up to 100 MVA 
 Potential quayside access to the Port of Hull via road and rail 
 Outline planning for A1-5, B1, B2 and B8, C1, D1 and D2 
 Unrivalled green energy initiatives",25000,212.0,HU12 8DS,https://www.gvproperty.co.uk/wp-content/uploads/2024/08/HIEP-Development-Brochure.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
https://www.gvproperty.co.uk/property/sherburn-rail-freight-terminal-sherburn-in-elmet-leeds-ls25-6lh/?results=6394-5851-4297-6420,"Gascoigne Interchange, Sherburn in Elmet,  Leeds ,  LS25 6LH",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2022/04/CGI2-1024x576.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/04/CGI1-1024x634.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/04/Site-June-25-1024x514.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/04/Trains-1024x576.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/04/CGI3.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/04/Masterplan-1024x768.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/04/Site-1.jpg']","185 acre site 
 Built to suit opportunities of up to 1m sq. ft 
 Up to 50 MVA power supply 
 Dedicated rail terminal 
 Northern Sidings – up to 600m sidings and can provide a dedicated railhead 
 Southern Sidings – can accommodate multi-user railhead with up to 775m sidings and handling areas 
 Fully secure site with 24 hour monitored gatehouse 
 Outline planning consent for B2, B8 and E use classes",130000,185.0,LS25 6LH,https://www.gvproperty.co.uk/wp-content/uploads/2022/04/Gascoigne-Interchange-Brochure-2026.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,For Sale
https://www.gvproperty.co.uk/property/greenbox-thirsk-yo7-3he/?results=6394-3065-4297-6420,"Greenbox,  Thirsk ,  YO7 3HE",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2024/02/Aerial-1024x719.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/02/CGI-1024x512.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/02/21-300-View-1-copy-1.0--1024x576.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/02/21-300-View-2-copy-1.0--1024x576.jpg']","Situated just off Junction 49 of the A1(M) Motorway 
 49 acre greenfield development site 
 Haunch heights of up to 18 metres 
 5.5 MVA power supply 
 All buildings to have the highest ESG Credentials",100000,49.0,YO7 3HE,https://www.gvproperty.co.uk/wp-content/uploads/2024/02/Greenbox-Thirsk-1.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,For Sale
https://www.gvproperty.co.uk/property/iport-doncaster-dn11-0ps/?results=6394-3065-5851-6420,"iPort,  Doncaster ,  DN11 0PS",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2022/07/Iport-dec-23-1024x633.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/07/Iport-2-1024x512.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/07/Iport-1024x512.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/07/Aerial-Aug-25-1024x658.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/07/Masterplan-Aug-25-1024x595.jpg']","337 acre Greenfield development site 
 Outline Planning Permission for up to 6 million sq ft of B8 floorspace 
 Dedicated International Rail Freight Terminal with 775m siding capability and Euro Gauge access 
 Junction 3 M18 within 0.25 mile 
 iPort Rail Brochure",80000,337.0,DN11 0PS,https://www.gvproperty.co.uk/wp-content/uploads/2022/07/iPort-Doncaster-1.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
https://www.gvproperty.co.uk/property/ip4-iport-doncaster-dn11-0bf/?results=6394-3065-5851-4297,"iP4, iPort,  Doncaster ,  DN11 0PS",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Iport-Ip4-1024x720.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Masterplan-3-1024x534.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Aerial-2-1024x609.jpg']",,846250,,DN11 0PS,https://www.gvproperty.co.uk/wp-content/uploads/2024/08/iPort-Doncaster-IP4.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
https://www.gvproperty.co.uk/property/symmetry-park-darlington-dl1-4pt/?results=6394-3065-5851-4297-6420,"Symmetry Park,  Darlington ,  DL1 4PT",,,['https://www.gvproperty.co.uk/wp-content/uploads/2022/07/TRITAX-Symmetry-Darlington_Annotated-CGI-Jun-24-1024x724.jpg'],"North East of England’s gateway to Scotland 
 Prominent location adjacent to the A66 
 36.34 acres remain which can cater for buildings up to 525,000 sq ft 
 Strategically located between the A1(M) and the A19 
 Circa 15 miles from Teesport. The 6th largest port in the UK",50000,90.0,DL1 4PT,https://www.gvproperty.co.uk/wp-content/uploads/2022/07/Symmetry-Park-Darlington.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
https://www.gvproperty.co.uk/property/gateway-45-aire-valley-way-leeds-west-yorkshire-ls9-0ps/?results=6394-3065-5851-4297-6420,"Gateway 45, Aire Valley Way,  Leeds ,  LS9 0PS",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2025/08/Brochure-CGI.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2025/08/Masterplan-1024x889.jpg']","Situated adjacent to Junction 45 of the M1 Motorway 
 165 acre consented development site 
 2.64 million sq. ft of logistics & manufacturing space",50000,165.0,LS9 0PS,https://www.gvproperty.co.uk/wp-content/uploads/2025/08/Gateway-45.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
https://www.gvproperty.co.uk/property/barnsley-340-dearne-valley-parkway-barnsley-south-yorkshire-s74-9lh/?results=6394-3065-5851-4297-6420,"Barnsley 340, Dearne Valley Parkway,  Barnsley ,  S74 9LH",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2022/05/new-1024x576.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/05/new1-1024x576.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/05/Barnsley340_Groundviews_Feb2024_0046-1024x683.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/05/new2-1024x683.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/05/new3-1024x683.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2022/05/new4-1024x683.jpg']","Eaves height of 15 metres 
 34 dock level loading doors (inc 8 euro docks) 
 4 ground level loading doors 
 55 demised HGV parking spaces 
 315 demised car parking spaces 
 50 kN per sq. m floor loading 
 Security gatehouse 
 Modern ancillary office accommodation of circa 22,000 sq. ft 
 1.8 MVA power supply 
 Net Zero Carbon Construction 
 BREEAM Excellent 
 EPC A",344910,,S74 9LH,https://www.gvproperty.co.uk/wp-content/uploads/2022/05/Barnsley-340-4.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,For Sale
https://www.gvproperty.co.uk/property/ip8-iport-doncaster-dn11-0bf/?results=6394-3065-5851-4297-6420,"iP8, iPort,  Doncaster ,  DN11 0PS",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2023/03/Warehouse-1024x683.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2023/03/Warehouse1-1024x683.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2023/03/Offices-1-1024x683.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2023/03/Aerial-1-1024x609.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2023/03/iP8-StephSimmonsPhotos-124551-1024x683.jpg']","Available Now 
 Eaves height of 15 metres 
 Loading via 36 standard dock, 4 extra height dock + 3 ground level doors 
 53 metre depth secure yard and loading area with automated sliding gate 
 46 HG parking spaces 
 Separate parking 
 Floor loading of 50 kN per sq. m 
 High quality ancillary offices 
 Highly energy efficient design targeting BREEAM Very Good and EPC A rating 
 Dedicated International Rail Freight Terminal with 775m siding capability and Euro Gauge access",328500,,DN11 0PS,https://www.gvproperty.co.uk/wp-content/uploads/2023/03/iPort-Doncaster-iP8-3.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
https://www.gvproperty.co.uk/property/ip5-iport-doncaster-dn11-0bf/?results=6394-3065-5851-4297-6420,"iP5, iPort,  Doncaster ,  DN11 0PS",,,"['https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Iport-ip5-1024x706.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Aerial-1-1024x609.jpg', 'https://www.gvproperty.co.uk/wp-content/uploads/2024/08/Masterplan-2-1024x697.jpg']",,323500,,DN11 0PS,https://www.gvproperty.co.uk/wp-content/uploads/2024/08/iPort-Doncaster-iP5.pdf,GV&Co,Andrew Gent,,andrew@gvproperty.co.uk,0113 200 3981,,,,To Let
