listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.nmrk.com/en-gb/properties/northolt-68-belvue-road-northolt-lease,"Northolt 68 , Belvue Road, Northolt, England  UB5 5QQ",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/32262887/81b3c3c604f05a299589803f004ad4e9adc4ed15/full.jpg?1744383991', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzIyNjI4ODcvODFiM2MzYzYwNGYwNWEyOTk1ODk4MDNmMDA0YWQ0ZTlhZGM0ZWQxNS9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0NDM4Mzk5MX0=']","Leasehold - The premises are available by way of a new full repairing and insuring lease for a term of years to be negotiated. Any lease will be contracted outside the provisions of the 1954 Landlord and Tenant Act Part II (as amended). The owners may consider a freehold sale from a credible party.  Location: The property is situated on the Belvue Road which is connected to the Mandeville Road A312 which has direct links onto the A40 leading into Central London and Uxbridge and also in close proximity is the M25 motorway network. The unit is also in close proximity to Northolt Underground station which is on the Central Line, leading into Central London and the wider underground network.",68492,,UB5 5QQ,https://buildout.com/docs/documents/4091474?token=f9553b7de6a601dca2b347984660beb3ccf29d87,HDH (Harper Dennis Hobbs),Joshua Pater,,joshua.pater@nmrk.com,+44 20 3486 3473,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/103-wigmore-street-london-lease,"103 Wigmore Street, London, England  W1U 1QS",,Office Building,"['https://s3.amazonaws.com/buildout-production/datas/32487046/a99a2aaa2fb0b44e7b5c6a1b2b7db1a7bef26800/full.jpg?1747227792', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzI0ODcwNDYvYTk5YTJhYWEyZmIwYjQ0ZTdiNWM2YTFiMmI3ZGIxYTdiZWYyNjgwMC9vcmlnaW5hbC5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1MDAsImhlaWdodCI6NTAwLCJmaXQiOiJpbnNpZGUiLCJ3aXRob3V0RW5sYXJnZW1lbnQiOnRydWV9LCJyb3RhdGUiOm51bGx9LCJ1cGRhdGVkQXQiOjE3NDcyMjc3OTJ9']","2 new Grade A office suites set across the 5th floor. The building benefits from 3 passenger lifts within a newly refurbished lift lobby. There is an onsite property management team and concierge. 5th Floor West - 5,018 sq ft 5th Floor East - 4,703 sq ft  Location: Perfectly positioned near Bond Street, Elizabeth Line, and on the doorstep of the vibrant Marylebone Village,  103 Wigmore Street exemplifies a harmonious fusion of sophistication and versatility.",4822,,W1U 1QS,https://buildout.com/docs/documents/4051373?token=ad68d9bf12422482478d845c69c2a3ca36ba9bc3,HDH (Harper Dennis Hobbs),Rhodri Phillips,,rhodri.phillips@nmrk.com,+44 7768 615296,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/401-n-wabash-ave-chicago-lease,"401 N Wabash Ave, Chicago, IL  60611",,Street Retail,"['https://s3.amazonaws.com/buildout-production/datas/33643375/0ceb26021c7e002e56c7dde9a3cca286473c644b/full.jpg?1761922803', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzM2NDMzNzUvMGNlYjI2MDIxYzdlMDAyZTU2YzdkZGU5YTNjY2EyODY0NzNjNjQ0Yi9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc2MTkyMjgwM30=']",,11586,,,https://buildout.com/docs/documents/3730271?token=94e55bf7de0db1d88c5a9e275db6f21b8978a61f,HDH (Harper Dennis Hobbs),Jim Schutter,,james.schutter@nmrk.com,+1(312)224.3210,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/trinity-house-oxford,"Trinity House, Gransington Road, Oxford  OX4 2SU",,Lab,"['https://s3.amazonaws.com/buildout-production/datas/31893302/2dd9ccc8c8aade282465c0e213f3e40c4c00321c/full.jpg?1740128373', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzE4OTMzMDIvMmRkOWNjYzhjOGFhZGUyODI0NjVjMGUyMTNmM2U0MGM0YzAwMzIxYy9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0MDEyODM3M30=']","Located at the gateway to the Oxford Business Park, Trinity by Breakthrough is a new addition to Oxford’s thriving research community. Designed to be one of the most sustainable laboratory environments in the world, this amenity-filled building will set a new standard of quality and intentional design, with a focus on purpose-built spaces for science.  Location: Trinity by Breakthrough is situated at the entrance of Oxford Business Park, a renowned mixed-use business environment spanning approximately 88 acres. The area hosts a diverse range of business sectors, including prominent life science companies like Oxford Biomedica, OMass Therapeutics, and Cancer Research UK. Located just under 2 miles southeast of Oxford's city center within the Ring Road, Trinity enjoys excellent road and rail connectivity. Direct access to the Eastern Bypass (A4142), the M30, and the A34 provides convenient routes to the M4, linking London to the East and Bristol to the West. Additionally, the forthcoming Cowley Branch line railway station, a brief 10-minute walk away, will offer direct trains to London from 2026, further enhancing transportation accessibility for businesses at Trinity by Breakthrough.  Highlights: 70% Max Lab to Office ratio Floor plates are fully customisable StudioLabs on the 1st floor Spacious 4.4m floor-to-ceiling heights 220 internal bicycle parking spaces 130 internal car parking spaces 25% electric vehicle parking 8 ACH in Lab Zones Private collaboration zones including plaza and terraces 1000 sqm of living wall BREEAM Outstanding EPC A",17700,,OX4 2SU,,HDH (Harper Dennis Hobbs),Paddy Shipp,,paddy.shipp@nmrk.com,+44 20 3486 3725,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/camlife-4-fulbourn-lease,"CamLIFE 4, Fulbourn, England  CB21 5BQ",,Office Building,"['https://s3.amazonaws.com/buildout-production/datas/34695780/19084070004e36b300f9f735f8aa8e6d4e3eca30/full.jpg?1772730791', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQ2OTU3ODAvMTkwODQwNzAwMDRlMzZiMzAwZjlmNzM1ZjhhYThlNmQ0ZTNlY2EzMC9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MjczMDc5MX0=']","Cam4 is a multi-tenanted building which features a manned reception and a shared central core with shower and end of journey amenity. Bike storage and car parking is located to the rear of the property.  Location: CamLIFE has an outstanding location, 12 mins from Cambridge station, Cambridge Biomedical Campus and Addenbrooke's Hospital. Easily accessible by cycle, bus and car.  Highlights: CAT A and fitted office space available for immediate occupation New amenity offer at the Workshop offering gym, collaboration space, as well as meeting rooms Manned reception / concierge services Designated bike and vehicle parking adjacent to the building WCs and shower facilities within the building Parking ratio of 1:550 sq. ft",4291,,CB21 5BQ,,HDH (Harper Dennis Hobbs),Rupert Dando,,rupert.dando@nmrk.com,+44 7813 624276,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/5-10-brandon-road-london-lease,"5-10 Brandon Road, London, England  N7 9AA",,Laboratory / Office,"['https://s3.amazonaws.com/buildout-production/datas/34695206/e65d259fc238e05691eed33acf3fbbc63d61cd0e/full.jpg?1772728877', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQ2OTUyMDYvZTY1ZDI1OWZjMjM4ZTA1NjkxZWVkMzNhY2YzZmJiYzYzZDYxY2QwZS9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MjcyODg3N30=']","MAYDE, 5-10 Brandon Road offers 113,000 sq. ft of combined GMP manufacturing, laboratory and office space in the heart of London's innovation district. With a variety of size, specification and level of fit out available, the state-of-the-art building provides established, early stage and growing companies the space to innovate and operate. As a tenant of the building, you will have access to a wide range of amenities both within the site and its immediate vicinity, including communal areas, end of journey facilities and an onsite cafe; as well as Kadans' team of experts who bring their extensive knowledge to the design and delivery of new space.  Location: Kings Cross contains a vibrant mix of buildings and public spaces, playing host to many major technology and research centres such as Google, Facebook, AstraZeneca and The Francis Crick Institute. Excellent transport links across London, the UK and the rest of Europe mark Kings Cross as a standout location for organisations seeking to create a London hub, with life science at the front of this movement. MAYDE is the first of four buildings being developed within the Tileyard Quarter, which will deliver in total 350,000 sq. ft of GMP manufacturing and laboratory accommodation. We are excited the building has now completed, offering the opportunity to acquire space in this growing hub within London's science and creative district.  Highlights: Within the King's Cross science and tech cluster Immediate options to take either a fully fitted option, or lab enabled Cat A space Flexible layout, enabling highly technical laboratory and pilot plant equipment Communal areas, breakout spaces and onsite cafe Generous dimensions with a 7.4m slab-to-slab on ground floor and 3.8 - 4.1 on upper floors Significant power and M&E capabilities BREEAM Excellent and Wiredscore GOLD",1469,,N7 9AA,,HDH (Harper Dennis Hobbs),Paddy Shipp,,paddy.shipp@nmrk.com,+44 20 3486 3725,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/4-brandon-road-london-lease,"4 Brandon Road , London, England  N7 9AA",,Laboratory / Office,"['https://s3.amazonaws.com/buildout-production/datas/34695438/617b07b058128ec4a39594cce85e581ff1ed1744/full.jpg?1772729619', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQ2OTU0MzgvNjE3YjA3YjA1ODEyOGVjNGEzOTU5NGNjZTg1ZTU4MWZmMWVkMTc0NC9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MjcyOTYxOX0=']","Versa, located at 4 Brandon Road, is the second of four buildings within Kadans' new science and innovation district called Tileyard Quarter. Versa combines high-quality R&D laboratories with offices spaces in a modern design. The flexible layout of the building enables you to shape your space, allowing you to grow while focusing on innovation. The building offers 51,600 sq ft of advanced technical infrastructure, which can accommodate up to 60% laboratory space. Features include a minimum of 6 air changes per hour, minimum 1.2mVA power to the site, onsite loading bay and dedicated tenant risers / plant designation. The building is built with future-proof design and, given its size, is perfect for multiple innovative life sciences companies as well as a single client headquarter building.  Location: Kings Cross contains a vibrant mix of buildings and public spaces, playing host to many major technology and research centres such as Google, Facebook, AstraZeneca and The Francis Crick Institute. Excellent transport links across London, the UK and the rest of Europe mark Kings Cross as a standout location for organisations seeking to create a London hub, with life science at the front of this movement. MAYDE is the first of four buildings being developed within the Tileyard Quarter, which will deliver in total 350,000 sq. ft of GMP manufacturing and laboratory accommodation. We are excited the building has now completed, offering the opportunity to acquire space in this growing hub within London's science and creative district.  Highlights: Completion Q2 2026 High quality CL2 laboratory and office spaces Within the King's Cross Life Sciences cluster Support with fit out Targeting BREEAM Excellent and WiredScore / SmartScore accreditation Flexible layout, with communal areas and breakout rooms",51600,,N7 9AA,,HDH (Harper Dennis Hobbs),Paddy Shipp,,paddy.shipp@nmrk.com,+44 20 3486 3725,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/22-station-road-cambridge-lease,"22 Station Road, Cambridge, England  CB1 2JD",,Office Building,"['https://s3.amazonaws.com/buildout-production/datas/34693089/b681fab704adf42c05862e0894448336d5176410/full.jpg?1772718400', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQ2OTMwODkvYjY4MWZhYjcwNGFkZjQyYzA1ODYyZTA4OTQ0NDgzMzZkNTE3NjQxMC9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc3MjcxODQwMH0=']","22 Station Road is a 64,800 sq. ft office building, providing Grade A space over six floors and excellent views over Cambridge city centre. With a ground floor concierge reception, end of journey facilities and secure parking at basement level, the building provides a good variety of amenity. In addition, the building incorporates a green roof and roof terrace. The available 3rd and 4th floor suites comprise 5,676 and 5,792 sq. ft respectively, both benefitting from a good quality fit out, with fully accessible raised floors and suspended ceilings throughout (furniture is not included). Each suites benefits from 3 parking spaces within the secure basement car park.  Location: Located at the centre of Cambridge's CB1 development on prime pitch, Station Road has attracted an impressive array of occupiers including Amazon, Apple, Microsoft, WeWork and Deloitte. The building itself is located within easy walking distance of Cambridge city centre, and just 2 minute's walk (250 metres) from Cambridge station, providing access to London Kings Cross (48 minutes) and Liverpool Street (1h 15 minutes).  Highlights: Centrally located in Cambridge's CB1 development Neighbouring occupiers include Amazon, Apple, Microsoft, WeWork and Deloitte Fully accessible office space with raised floors and suspended ceilings throughout Good quality fit out (furniture not included) Undercroft parking provides 3 spaces per suite WCs on each floor, with showers in the basement Undercover bike storage",5676,,CB1 2JD,,HDH (Harper Dennis Hobbs),Rupert Dando,,rupert.dando@nmrk.com,+44 7813 624276,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/477-malton-avenue-slough-lease-1593072,"477 Malton Avenue, Slough, England  SL1 4QU",,Manufacturing,"['https://s3.amazonaws.com/buildout-production/datas/34131223/2601604aaf4646f1b2482626a4c4bb588963bbe4/full.png?1767692545', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzQxMzEyMjMvMjYwMTYwNGFhZjQ2NDZmMWIyNDgyNjI2YTRjNGJiNTg4OTYzYmJlNC9vcmlnaW5hbC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc2NzY5MjU0NX0=']","A single storey warehouse/industrial unit available to let situated on the established Slough Trading Estate. 477 Malton Avenue benefits from multiple access routes from Buckingham Avenue, which is the main throughfare through Slough Trading Estate.",6468,,SL1 4QU,https://buildout.com/docs/documents/4037659?token=3380a901de410be9fabf88582b4da60898c00a39,HDH (Harper Dennis Hobbs),Chloe Sweetland,,chloe.sweetland@nmrk.com,+44 7385 933686,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/50-whitby-road-slough-lease,"50 Whitby Road, Slough, England  SL1 3DW",,Warehouse/Distribution,"['//assets.buildout.com/assets/plugins/photo_placeholder-623024d78d77741a2e8b3318edee992ccd44bf2abfffe503a77470578eff2a60.png', '//assets.buildout.com/assets/plugins/photo_placeholder-623024d78d77741a2e8b3318edee992ccd44bf2abfffe503a77470578eff2a60.png']",A prominent warehouse / office unit available to let situated on the established Slough Trading Estate. Additional information to be added.,2110,,SL1 3DW,,HDH (Harper Dennis Hobbs),Chloe Sweetland,,chloe.sweetland@nmrk.com,+44 7385 933686,,,Leasehold,To Let,2026-03-09,New
