listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://inglebytrice.co.uk/property/100-new-bridge-street/?conventional,100 New Bridge Street London EC4,,,"['https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-2.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-4.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-5.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-photo-6.jpg']","Helical’s latest flagship scheme is the extensive redevelopment of 100 New Bridge Street. The building is designed to meet the needs of today’s leading occupiers, offering top-tier environmental and wellness credentials. Featuring 9,700 sq ft of terraces with stunning views of St. Paul’s Cathedral, it stands as a premier, best-in-class development. 100 New Bridge Street is located on the western side of the City of London, an area known for its historic and financial significance. The building is positioned close to several major landmarks, including St Paul’s Cathedral, Blackfriars Bridge and the River Thames, making it an attractive spot for professionals and visitors alike. 9,700 sq ft of terraces Double height reception Net Zero carbon building Market leading SMART technology 347 cycle storage spaces and visitor bike parking Luxury changing rooms EPC A *targeted",50000.0,,EC4,['https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-New-Bridge-Street-Brochure.pdf'],Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/paradise/?conventional,Paradise London SE11,,,"['https://inglebytrice.co.uk/wp-content/uploads/2023/03/exterior.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-008.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-001.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-002.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-003.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-004.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-006.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-005.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-007.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-009.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-010.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/06/FCBS-PAR-011.jpg']","Paradise is a new six-storey office building with a timber structure that locks away c.60 years of tenant operating emissions, setting a new standard for sustainable workspace. The best possible carbon choice for you and your people. Located in the heart of Lambeth with direct access to numerous landmarks, abundant green open spaces with sporting facilities, a wide spectrum of well-known office occupiers, and an excellent range of residential accommodation. All within a 15 minute walk: 6 fitness facilities, 5 green spaces, 10 galleries, 23 restaurants and 16 bars. 250m2 of PV panels + zero carbon electricity Air conditioning (occupational density 1 person per 8 sq. m BREEAM 2018 Outstanding (targeted) Showers / lockers / extensive bicycle storage CO2 detectors within the office spaces to ensure good air quality Life cycle carbon 543kg CO2e/sqm vs RIBA 2030 target of 750kg CO2e/sqm Completed in April 2025 EPC: A",10000.0,,SE11,['https://inglebytrice.co.uk/wp-content/uploads/2023/03/Paradise-Condensed-Pack2024.pdf'],Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/arbor-bankside-yards/?conventional,"Arbor, Bankside Yards London SE1",,,"['https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-2.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-4.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-9.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-6.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-7.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Arbor-photo-5.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor_LVL-11_Boardroom-Photo-6.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor_LVL-11_Entrance-Photo-7.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor_LVL-11_OpenPlan-V2-Photo-8.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor_LVL-11_Reception-Photo-9.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor_LVL-11_Teapoint_V1-Photo-10.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor_LVL-11_Teapoint_V2-Photo-11.jpg']","Arbor is a new office building in the centre of Bankside Yards, a £2.5 billion development by Native Land that completes the exciting regeneration of Thames South Bank. Arbor’s dramatic ‘mega-frame’ steel industrial design provides epic volume with superb public spaces. Arbor is designed as a fully electric building with solar panels and high-tech triple glazing. There are terraces on every other floor from level 4 upwards. Arbor forms a part of Bankside Yards, a £2.5bn billion destination development that completes the exciting regeneration of South Bank. This is a new Riverside sanctuary. Arbor benefits from outstanding transport links and unique on site amenities with new retail, restaurants and leisure due to be delivered within the historic railway arches. 1:8 occupational density 327 bicycle spaces/27 showers/327 lockers Private terraces on every other floor 2.91m floor to ceiling heights Carbon Zero in operation 5* wellness space on lower ground floor Charging ports for ebikes and scooters WELL – platinum Wired Score Platinum BREEAM: Excellent EPC: A (24)",13516.0,,SE1,"['https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor-Summary-Brochure.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor-Full-Brochure.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2021/06/Arbor-L11-presenter.pdf']",Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/tower-42/?conventional,Tower 42 London EC2,,,"['https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-1-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-1-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-2-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-3-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-4-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/IMG_9372.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/IMG_9384.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/IMG_9391.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/IMG_9404.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-6-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-7-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-9-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-8-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-5-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-10-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/Tower-42-photo-11.jpeg']","Tower 42 is a landmark building, offering 324,000 sq ft of high-quality office space spread over 42 floors in the heart of the City of London. T42 has a Platinum Wired Score Certification for ‘best-in-class’ internet infrastructure. www.tower42.com Tower 42 lies on the east side of Old Broad Street, amongst the City high rise cluster, within close proximity of The Bank of England and The Royal Exchange. Bank (Central and Northern Line), Moorgate (Northern, Circle, Metropolitan, Hammersmith and City lines) and Liverpool Street (Northern & Central) Underground and Mainline stations are just a short walk away. The Elizabeth Line (Crossrail) will be available from both Liverpool Street and Moorgate stations once open. All inclusive “Plug and Play” terms or Cat A with high quality fit out Lease flexibility available from 12 months + Highly efficient column free floor plates Fully air conditioned & raised floor N+1 power resilience Cycle racks and showers 19 x 18 person lifts 24 hour access and security WiredScore Platinum EPC: B (46)",2773.0,,EC2,"['https://inglebytrice.co.uk/wp-content/uploads/2018/11/Tower-42-25-Old-Broad-Street-particulars-17.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2025/10/EIB_Tower42_MarketingBrochure_St11.2_LR-1.pdf']",Ingleby Trice,Francis Cundell,,f.cundell@inglebytrice.co.uk,07939 598545,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/international-house/?conventional,International House London E1,,,"['https://inglebytrice.co.uk/wp-content/uploads/2018/11/10219-image-F.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-exterior08.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-interior06.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-interior30.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-interior41.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-interior84.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-interior97.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-interior100.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-exterior05.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/International-House-photo-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/05/8645918-exterior03.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/International-House-photo-5.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/International-House-photo-7.jpg']","The part 4th floor of International House is the most recent refurbishment on the successful St Katharine Dock Estate. With a rare triple aspect, genuine industrial character and stunning views over both the Marina and the Tower of London, the part 4th floor will appeal to a range of occupiers. International House itself is a showcase of intelligent design meets industrial heritage. The expansive reception with feature timber reception desk is genuinely ‘activated’ by the well used coffee shop and breakout space on the Marina side. The end-of-commute facilities are also exceptional with a generous provision of bike racks as well as showers. International House is located on the western edge of the St Katharine Docks Estate, overlooking Tower Bridge, the Tower of London and the Dock. Transport by Overground & Underground: 2 minutes’ walk from Tower Gateway DLR – 3 minutes’ walk from Tower Hill (Direct access to all main terminals: Waterloo, King’s Cross & London Bridge via Circle & District lines) – 7 minutes’ walk from Fenchurch Street (Mainline trains) – 8 minutes’ walk from Aldgate (Circle & Metropolitan lines) – 10 minutes’ walk from Monument (Circle & District lines) – 11 minutes’ walk from London Bridge (Northern & Jubilee lines). By Boat: Riverbus services to St Katharine’s Pier every 15 minutes – 2 minutes’ walk from Tower Pier with Riverbus service every 10 minutes. Exposed VRF air conditioning 3m floor to ceiling height Low profile feature LED lighting Metal tile raised floor New glazing Male and female showers, lockers and changing rooms 231 secure bicycle racks Impressive ‘active’ reception with breakout space and coffee shop Wiredscore Gold EPC: B (38)",1793.0,,E1,"['https://inglebytrice.co.uk/wp-content/uploads/2018/11/International-House-St-Katharine-Docks-L4-brochure.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/International-House-St-Katharine-Docks-particulars-5.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2018/11/3-1012053-St-Katherine-Docks-Availability-v2665-1.pdf']",Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/71-queen-victoria-street/?conventional,71 Queen Victoria Street London EC4,,,"['https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-2.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-4.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-5-e1732881720359.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-6-e1732881758955.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-7-e1732881864149.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-8-e1732881903557.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-9.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-photo-10.jpg']","71 Queen Victoria Street is an impressive modern office building prominently located on the south side of the Cannon Street, Queen Victoria Street crossing. The 3rd floor is either available in its existing partially fitted condition at a rent of £49.50 per sq. ft pax or in a refurbished Cat A condition at a rent of £57.50 per sq. ft pax. 71 Queen Victoria Street is ideally located just metres from Mansion House Station (District & Circle Lines) and a 3 minute walk from Cannon Street Station (Overground Services and District and Circle Lines). Additionally, St. Paul’s (Central Line) and Bank Stations (Central, DLR, Northern, Waterloo & City Lines) are both a 5 minute walk away. Splits available from 7,000 sq ft Available in refurbished Cat A condition or fully fitted by the Landlord 4 pipe fan coil air conditioning Fully raised floor 72 cycle spaces and 9 showers available Impressive double height ground floor reception with commissionaire Located opposite Mansion House tube station EPC B (42)",7000.0,,EC4,['https://inglebytrice.co.uk/wp-content/uploads/2024/11/71-Queen-Victoria-Street-particulars-2.pdf'],Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/100-cannon-street/?conventional,100 Cannon Street London EC4,,,"['https://inglebytrice.co.uk/wp-content/uploads/2024/11/Image-1-hero.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-2.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-4.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-5.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-6.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-7.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-8.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-9.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-10.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-11.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-12.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-13.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-14.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-15.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-16.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-17.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-18.jpg']","100 Cannon Street is a fully flexible and versatile office building on a prime street in the core of the City of London, offering 14,234 sq ft of available office space. The building offers occupiers a spacious and luminous environment across its different floors. 100 Cannon Street benefits from being set on a prominent corner position on the south side of Cannon Street. 100 Cannon Street is perfectly located for moving around the City, with Cannon Street station (National Rail, Circle and District Line) under a minutes’ walk away (100 metres) and the newest Bank Station entrance directly opposite (Central, Northern, Waterloo & City and DLR). The area is well served by a renowned amenity offering, including Bloomberg Arcade, One New Change, The Royal Exchange (all within a short walk), and a wide variety of shops and restaurants close by. Please note the 5th and 7th floor rents are guide rents. New Cat A on Level 1 including LED lighting / New landlord fit out on all other floors Manned reception 24 hour access Raised floor Two passenger lifts Bicycle storage & showers EPC C (51)",2216.0,,EC4,"['https://inglebytrice.co.uk/wp-content/uploads/2024/11/SCD_100_Cannon_Street_brochure_021025.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/100-Cannon-Street-Particulars-7.pdf']",Ingleby Trice,Malcolm Trice,,m.trice@inglebytrice.co.uk,07791 049792,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/devon-house/?conventional,Devon House London E1,,,"['https://inglebytrice.co.uk/wp-content/uploads/2024/01/Devon-house-1-scaled.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/10/Devon-House-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/10/Devon-House-photo-2.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/10/Devon-House-photo-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/10/Devon-House-photo-4.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2018/10/Devon-House-photo-5.jpg']","Devon House is a new, exciting office refurbishment by CDL, situated on the south side of the St Katharine Docks Estate. The Estate is located adjacent to Tower Bridge and overlooks the River Thames. It benefits from many local shops, restaurants and bars including Honest Burger, Cote, Ping Pong, Zizzi, Starbucks, CAU and The Dickens Inn. Transport by Overground & Underground: 2 minutes’ walk from Tower Gateway DLR – 3 minutes’ walk from Tower Hill (Direct access to all main terminals: Waterloo, King’s Cross & London Bridge via Circle & District lines) – 7 minutes’ walk from Fenchurch Street (Mainline trains) – 8 minutes’ walk from Aldgate (Circle & Metropolitan lines) – 10 minutes’ walk from Monument (Circle & District lines) – 11 minutes’ walk from London Bridge (Northern & Jubilee lines) or Liverpool Street (National Rail, Circle, Elizabeth, Hammersmith and City, Metropolitan and Central Lines.) By Boat: Riverbus services to St Katharine’s Pier every 15 minutes – 2 minutes’ walk from Tower Pier with Riverbus service every 10 minutes. The third floor will be available Q1 2026. 3.2-3.5m office ceiling heights Part of a vibrant waterside community Stiff + Trevillion designed reception with agile working area and access to riverside courtyard 21 showers & 190 lockers 97 bike spaces EPC: B (50)",3605.0,,E1,"['https://inglebytrice.co.uk/wp-content/uploads/2018/10/Devon-House-St-Katharine-Docks-particulars-5.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2024/04/St-Katharine-Docks-Availability.pdf']",Ingleby Trice,Jake Halstead,,j.halstead@inglebytrice.co.uk,07989 481012,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/10-fleet-place/?conventional,10 Fleet Place London EC4,,,"['https://inglebytrice.co.uk/wp-content/uploads/2020/10/10-Fleet-Place-photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2020/10/10-Fleet-Place-Office.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-2.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2020/10/10-Fleet-Place-Reception.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-4.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-5.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-6.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-7.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2020/10/10-Fleet-Place-Showers-WC.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2024/11/10-Fleet-Place-photo-9.jpg']","10 Fleet Place is a high quality, office development which forms part of the successful Fleet Place Estate. The current refurbishment includes a re-imagined reception, providing a striking new arrival experience, brand-new best in class end of commute facilities and a contemporary Category A finish being delivered to the 6th floor. Please note the internal images of the office floors are not 6th floor but a representative floor. Transport Information 30 seconds’ cycle from Cycleway C6 (Bike) 2 minutes’ walk from City Thameslink (Overground) 6 minutes’ walk from St Paul’s (Central Line) Newly refurbished Powerful VAV air conditioning Contemporary metal tile suspended ceiling Feature slat ceiling finish to lift exists Efficient LED lighting 2.7m+ floor to ceiling heights Fully raised floors New hotel-style end of commute facilities Reception reinvigorated to deliver an impressive arrival experience Dual backup generators EPC: B",19864.0,,EC4,['https://inglebytrice.co.uk/wp-content/uploads/2020/10/10-Fleet-Place-particulars-4.pdf'],Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
https://inglebytrice.co.uk/property/the-scalpel-52-lime-street/?conventional,"The Scalpel, 52 Lime Street London EC3",,,"['https://inglebytrice.co.uk/wp-content/uploads/2025/02/The-Scalpel-27th-Floor-Photo-1.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-31.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-12.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-23.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-3.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-27.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-42.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-41-rotated-e1750675455711.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-5.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-11.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-30.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-34.jpg', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/Scalpel-Day-2-35.jpg']","This newly refurbished office on the 27th floor has been fully fitted comprising 76 desks, 7 meeting rooms of varying sizes, and a spacious breakout area. The stunning views of London’s skyline make it an inspiring place to work. The Scalpel is a landmark building with a BREEAM rating of ‘excellent’. The building consists of a prominent triple-height manned reception , 24/7 security and state of the art end of trip facilities. The building also benefits from a premium gym offering by RebelGym. Set on the corner of Leadenhall and Lime street, the tower provides an unparalleled HQ location in the heart of the City cluster with easy access to the rest of the city. Nearby stations include, Bank, Liverpool Street, Aldgate, Cannon Street, Fenchurch Street and Monument. New Landlord Cat A+ fit out 76 desks 7 Meeting Rooms BREEAM ‘Excellent’ Triple-height Reception 396 Cycle spaces & 40 showers Fantastic views of the City EPC B (28)",9189.0,,EC3,"['https://inglebytrice.co.uk/wp-content/uploads/2025/02/The-Scalpel-52-Lime-St-particulars-9.pdf', 'https://inglebytrice.co.uk/wp-content/uploads/2025/02/The-Scalpel-52-Lime-St-brochure.pdf']",Ingleby Trice,James Heyworth-Dunne,,jhd@inglebytrice.co.uk,07779 327071,,,,To Let,2026-02-19,Old
