listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://jaggardmacland.co.uk/properties/unit-1-mead-business-centre-176-178-berkhampstead-road-chesham-buckinghamshire-hp5-3ee,"Unit 1 Mead Business Centre, 176-178 Berkhampstead Road, Chesham, Buckinghamshire, HP5 3EE",,"Office, Commercial","['https://jaggardmacland.co.uk/media/images/property/74842/_1104x621_crop_center-center_none_ns/fded2c8b-3816-4a37-9f70-83b1abe8a36f.jpg', 'https://jaggardmacland.co.uk/media/images/property/74842/_1104x621_crop_center-center_none_ns/992c7163-42c1-4ae2-9a04-6cef0a709044.jpg', 'https://jaggardmacland.co.uk/media/images/property/74842/_1104x621_crop_center-center_none_ns/8bdb29cc-95cc-4f80-bdd1-ce889b597960.jpg']","The property is part of a development of small office/workshop units located on Berkhampstead Road in Chesham. The property is two storeys with 4 dedicated parking spaces and the ability to park in the visitors' spaces with a parking permit. Mead Business Centre is strategically located in Chesham, Buckinghamshire, offering an excellent balance between accessibility and a pleasant working environment. Situated just off the A416, the property provides convenient road connections to Amersham, Hemel Hempstead, and the wider Buckinghamshire area, with easy access to the M25 and M40 motorways. Chesham Underground Station, served by the Metropolitan Line, is within close proximity, providing direct links to Central London. The property is arranged over ground and first floors. Internally the property has been fitout for the current tenants use as part storage and part offices, but the specification allows it to be used for either offices or workshop/storage. The property provides a mix of solid and raised floors with suspended ceiling and LED lights. Night storage heaters are installed for heating, however split air conditioning units are also installed for heating and cooling. There is a service charge for the communal areas which currently runs at £400 per quarter. B 36 Each party to bear their own legal costs",1173.0,,HP5 3EE,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1261_7jumg59nhhe7ww9j.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,,To Let,2026-02-17,New
https://jaggardmacland.co.uk/properties/85-high-street-great-missenden-buckinghamshire-hp16-0al,"85 High Street, Great Missenden, Buckinghamshire, HP16 0AL",395000,Retail,"['https://jaggardmacland.co.uk/media/images/property/65259/_1104x621_crop_center-center_none_ns/1059dfba-cf1c-4b00-acb2-44a46f6ebafe.jpg', 'https://jaggardmacland.co.uk/media/images/property/65259/_1104x621_crop_center-center_none_ns/e2d1a86a-4dc6-4505-8ce5-0ccca7563b0e.jpg', 'https://jaggardmacland.co.uk/media/images/property/65259/_1104x621_crop_center-center_none_ns/2e6c73f5-8976-47dc-9e5d-8a5b2a05cc84.jpg']","The property comprises a two storey terrace building located in the heart of Great Missenden. The property consists of three separate units. A ground floor retail unit leased as a convenience store, a ground floor office used as an osteopath and a first floor flat. Mixed use investment providing an income of £26,440 per annum. Great Missenden is a picturesque and historic village nestled in the heart of the Chiltern Hills, Buckinghamshire. Great Missenden Railway Station offers direct rail services to London Marylebone in approximately 40 minutes, making it a highly desirable location for businesses seeking proximity to the capital while enjoying the charm of a countryside setting. The subject property is located in a prime High Street position adjacent the famous Roald Dahl Museum within the Great Missenden conservation area. 85 High Street - C 85a High Street - D 85b High Street - TBC Each party to bear their own legal costs",1295.0,,HP16 0AL,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1219_h93q7l5m975351y4.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,Freehold,For Sale,2026-02-17,New
https://jaggardmacland.co.uk/properties/111-113-friary-road-london-greater-london-se15-1py,"111-113 Friary Road, London, Greater London, SE15 1PY",850000,"Retail, Investment, Commercial","['https://jaggardmacland.co.uk/media/images/property/71682/_1104x621_crop_center-center_none_ns/6a43549c-3a15-4739-8574-0b2da50b94d5.jpg', 'https://jaggardmacland.co.uk/media/images/property/71682/_1104x621_crop_center-center_none_ns/f7efd66b-7dc6-43d1-8e22-4ebfb4c10754.jpg', 'https://jaggardmacland.co.uk/media/images/property/71682/_1104x621_crop_center-center_none_ns/bf5bfc91-a569-4824-8444-36a3ad2a1b34.jpg']","The property is brick built over two floors with a flat roof to the front and a pitched roof to the rear with a large lantern rooflight providing lots of natural light. There is a small, tarmacked area to the front used for car parking. The property currently has uses under class B1 and sui generis. There is the possibility for conversion subject to planning permission/change of use and plans have previously been drawn up for the addition of a second floor and conversion to four one-bedroom flats, one two-bedroom flat and two two-bedroom duplex apartments. 111-113 Friary Road is located in a predominantly residential area of Peckham in the London Borough of Southwark with parks and schools in the near vicinity. The property has excellent public transport services. Queens Road Peckham station is approximately 10 to 15 minutes' walk away for overground rail services via the Windrush Line within Zone 2. Peckham Rye Station is also easily accessible and offers services on the Thameslink Line as well as the Windrush Line. Other public transport services include several bus routes nearby. The property has access to the A2 to the north and the A202 to the south for transport links into Central London. The ground floor is currently used as storage for vehicles with a workshop to the rear. The first floor is currently used as storage and office space. An EPC is being commissioned and will be available upon request once complete Each party to bear their own costs Asking price - £850,000",4079.0,,SE15 1PY,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1247_0727u73mht6wr6hg.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,Freehold,For Sale,2026-02-17,New
https://jaggardmacland.co.uk/properties/13-nightingales-corner-amersham-buckinghamshire-hp7-9pz,"13 Nightingales Corner, Amersham, Buckinghamshire, HP7 9PZ",525000,"Retail, Investment","['https://jaggardmacland.co.uk/media/images/property/72404/_1104x621_crop_center-center_none_ns/30f91459-7bb7-42bd-84e5-5a04576dc065.jpg', 'https://jaggardmacland.co.uk/media/images/property/72404/_1104x621_crop_center-center_none_ns/c0ced8bc-f603-4deb-b4b4-a96b7856d26a.jpg', 'https://jaggardmacland.co.uk/media/images/property/72404/_1104x621_crop_center-center_none_ns/41bb8af7-2c04-47b1-bc10-3be1e7348e86.jpg']","The property is a mid-terrace retail unit in a local parade in Little Chalfont. The subject property is three storeys with a Chinese restaurant on the ground floor and residential accommodation above. The property is brick built under a pitched tiled roof. The property has not waived the VAT exemption and therefore VAT is not payable on the purchase price. 13 Nightingales Corner occupies a prominent position within a well-established retail parade in the heart of Little Chalfont, an affluent commuter village in the Chiltern Hills, Buckinghamshire. The property is situated at the junction of White Lion Road (A404) and Cokes Lane, forming part of a local shopping hub known as Nightingales Corner. This vibrant local centre comprises a range of independent retailers, cafés, and service providers, serving the local residential population. Ground floor restaurant with residential flat over two floors above. D 76 - Expiring July 2027 Each party to bear their own legal costs Asking Price - £525,000 Represents a net initial yield of 5.47% based on purchaser's costs of 4.50%",1558.0,,HP7 9PZ,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1249_lm28k6hz94014unv.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,Freehold,For Sale,2026-02-17,New
https://jaggardmacland.co.uk/properties/99-high-street-winchester-hampshire-so23-9ah,"99 High Street, Winchester, Hampshire, SO23 9AH",,Retail,"['https://jaggardmacland.co.uk/media/images/property/66307/_1104x621_crop_center-center_none_ns/1c210f65-324b-4065-ab79-792f5780f6d5.jpg', 'https://jaggardmacland.co.uk/media/images/property/66307/_1104x621_crop_center-center_none_ns/9af820b5-294f-4130-acc4-aafdb3c5c96a.jpg', 'https://jaggardmacland.co.uk/media/images/property/66307/_1104x621_crop_center-center_none_ns/705ca6df-9356-4bfd-9d3d-ae66e7af11af.jpg']","This class E premises is a 4-storey commercial property with a fully glazed traditional shop front. Constructed in 1874, 99 High Street is a mid-terrace double fronted building with brick elevations and a part-pitched roof. The ground floor is a contemporary space, complimented with air conditioning and spot lighting, with direct access via the rear of the premises. Internal stairs lead up to the first, second and third floors, with the ground and first floor being the most suitable for a retail sales area. Floor 2 and 3 are suitable for a range of uses within class E, such as office space or stock rooms. A kitchen and multiple WC's are included. The subject property is found in a prime trading position on Winchester's pedestrianised High Street, near to well-established businesses including ASK Italian, Waterstones, Russell & Bromley, The Ivy, Moss Bros, Lloyds Bank, Seasalt Cornwall and Jigsaw. Open-plan air-conditioned ground floor retail space First, second and third floors provide very useful ancillary storage, offices, staff areas, kitchen and WC facilities E 107 Each party is expected to bear their own legal costs in this transaction. Available on a new lease by negotiation.",1536.0,,SO23 9AH,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1226_k8cznd8412berdd3.pdf'],Jaggard Macland,Carrie Collinson,,cc@jaggardmacland.co.uk,01494 689607,,,,To Let,2026-02-17,New
https://jaggardmacland.co.uk/properties/signature-house-post-office-lane-beaconsfield-buckinghamshire-hp9-1fn-2,"Signature House, Post Office Lane, Beaconsfield, Buckinghamshire, HP9 1FN",,Office,"['https://jaggardmacland.co.uk/media/images/property/62154/_1104x621_crop_center-center_none_ns/fc685ecc-88cb-4fff-a6d1-93cb1b72a45b.jpg', 'https://jaggardmacland.co.uk/media/images/property/62154/_1104x621_crop_center-center_none_ns/2b39a142-e735-4fef-95d6-5fd1eddb0b5b.jpg', 'https://jaggardmacland.co.uk/media/images/property/62154/_1104x621_crop_center-center_none_ns/219e4e91-62bb-4e67-88de-968e29556111.jpg']","Superbly presented self contained office building providing mostly open plan accommodation with lift, w/c and kitchen/break out facilities on each floor. The building offers a fully fitted space with desktop display monitors, chairs and desks available. Each floor also benefits from partitioned private offices and meeting rooms. Ready for an occupier to utilise immediately. Signature House also benefits from a private car park with 7 spaces. Subject to Contract - Updated July 24 Located in the heart of Beaconsfield, an affluent town located in the Chilterns. Beaconsfield has excellent transportation links via both road and rail networks. Beaconsfield Mainline Train Station is within a few mins walking distance from the property, serving the Chiltern line with regular services into London Marylebone (In under 30 mins). The property is also well located by road, with the M40 Motorway (J2) within a few mins driving distance, with the M25 accessible within 10 mins. Predominantly open plan with private meeting rooms, break out areas, w/c and kitchen facilities. C 52 Each party to bear their own professional costs. Available on a sub lease for a term until December 2028 or longer by separate negotiation.",4124.0,,HP9 1FN,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1216_67q8j817pi762731.pdf'],Jaggard Macland,Simon Harper,,srh@jaggardmacland.co.uk,07801 109649,,,,To Let,2026-02-17,New
https://jaggardmacland.co.uk/properties/9-21-bell-road-hounslow-tw3-3nr,"53 - 59 Grove Road, Hounslow, Greater London, TW3 3NR",,Retail,"['https://jaggardmacland.co.uk/media/images/property/8513/_1104x621_crop_center-center_none_ns/3bced403-e74c-4e93-9082-3a6a1f301716.jpg', 'https://jaggardmacland.co.uk/media/images/property/8513/_1104x621_crop_center-center_none_ns/654c4245-f97a-4078-8e1d-10e03980c012.jpg', 'https://jaggardmacland.co.uk/media/images/property/8513/_1104x621_crop_center-center_none_ns/2076e146-f183-4062-b3a2-9f619a618e55.jpg']","New build commercial accommodation with potential to be taken as one larger unit or available as up to four individual areas. Units are finished to a shell and core condition. Final fit out must be conducted to a BREEAM Excellent standard. Subject to Contract - Updated September 2023. Located on the ground floor of a prestigious mixed-used development which will provide 127 residential apartments with ground-floor commercial space. Prominently located on the corner of Bell Road and Grove Road in the heart of Hounslow. The properties would suit a number of uses including retail, restaurant or leisure. The commercial units benefit from use of a rear loading area and an eaves height of approx 17 ft or 5 m. Within walking distance of Hounslow Central underground station and within a mile of Hounslow mainline train station. Close to Hounslow centre with many restaurants, retailers and offices. Several large car parks are also located within minutes of the property. Available as one larger unit or available as up to four individual areas: TBC TBC Each party to bear their own professional costs. New Lease to be agreed. Our clients would consider selling their long leasehold interest. 125 year long leasehold available. The units are currently under construction and will be handed over in shell and core condition.",10731.0,,TW3 3NR,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1189_2see1g446ek9j1s9.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,Leasehold,For Sale,2026-02-17,New
https://jaggardmacland.co.uk/properties/unit-2-fellows-square-edgware-road-nw2-6gp,"Unit 2 Fellows Square, Edgware Road NW2 6GP",,Retail,"['https://jaggardmacland.co.uk/media/images/property/7736/_1104x621_crop_center-center_none_ns/1add289b-2fa7-4afc-a43d-8e311a0747ba.jpg', 'https://jaggardmacland.co.uk/media/images/property/7736/_1104x621_crop_center-center_none_ns/a2ef7c5c-d825-4013-8bb1-a2ad8db30561.jpg', 'https://jaggardmacland.co.uk/media/images/property/7736/_1104x621_crop_center-center_none_ns/a0c7de53-165b-4e46-ac17-698337ca4540.jpg']","A development of 230 residential units and 5 commercial units. Two units already let to a resident's gym and creche use respectively. Three commercial units remaining to let. All prominent premises fronting Edgware Road and would potentially suit office and retail uses alike. All vacant units are ready for an occupier to conduct a fit out and will be handed over in shell and core condition. Subject to Contract - Updated February 2023 Located on the mixed-use development of Fellows Square, Cricklewood. Within half a mile of Cricklewood centre with many restaurants, retailers, and offices. The property also benefits from good communications being within a mile of Cricklewood Train Station and being minutes from junction 1 of the M1 Motorway. Unit 2 comprises 2,163 sq ft of ground-floor accommodation that would suit a number of different occupiers. C 68 Each party to bear their own professional costs.",2163.0,,NW2 6GP,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1018_583249s14uw73j63.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,,To Let,2026-02-17,New
https://jaggardmacland.co.uk/properties/the-mill-house-1-soho-mills-wooburn-green-high-wycombe-buckinghamshire-hp10-0pf,"The Mill House, 1 Soho Mills, Wooburn Green, High Wycombe, Buckinghamshire, HP10 0PF",1000000,"Investment, Office, Commercial","['https://jaggardmacland.co.uk/media/images/property/72974/_1104x621_crop_center-center_none_ns/b67b8103-4296-4613-8c6d-653858e28f67.jpg', 'https://jaggardmacland.co.uk/media/images/property/72974/_1104x621_crop_center-center_none_ns/fdb281a3-4482-47e2-81b7-7113061a933f.jpg', 'https://jaggardmacland.co.uk/media/images/property/72974/_1104x621_crop_center-center_none_ns/51c8a981-a61c-4f5b-a390-24f6dae21b7a.jpg']","The Mill House is situated at the entrance of Soho Mill Industrial Estate. It is understood that the property was originally the estate office for a local paper mill and benefitted from a complete refurbishment during 2021. The Mill House offers accommodating office space over two floors. Wooburn Green is an attractive village in Buckinghamshire, located about 4 miles south-east of High Wycombe. The village is surrounded by open countryside, yet easily-connected to the affluent towns of Beaconsfield, Marlow, Cookham, and Bray. The property is arranged over ground and first floors. All offices benefit from full climate control. E 115 Each party to bear their own legal costs Asking price - £1,000,000",3783.0,,HP10 0PF,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1256_0vg710dd1450bfo1.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,Leasehold,For Sale,2026-02-17,New
https://jaggardmacland.co.uk/properties/pocketts-yard-high-street-cookham-maidenhead-berkshire-sl6-9sl,"Pocketts Yard, High Street, Cookham, Maidenhead, Berkshire, SL6 9SL",325000,"Retail, Investment, Commercial","['https://jaggardmacland.co.uk/media/images/property/71074/_1104x621_crop_center-center_none_ns/d32e4271-bf11-4f21-9d86-ad859614d29c.jpg', 'https://jaggardmacland.co.uk/media/images/property/71074/_1104x621_crop_center-center_none_ns/7c749409-1901-448f-9b7d-fee8a94094f1.jpg', 'https://jaggardmacland.co.uk/media/images/property/71074/_1104x621_crop_center-center_none_ns/783a5c7f-2013-4ad3-ae05-132a122ee343.jpg']","The property consists of a terraced building with two retail units on the ground floor and two flats above. There is a gated undercroft which leads to a rear courtyard with a further flat and an office (this has been removed from the title). The three flats have been sold off and are subject to Leases of 125 years from 24 June 1996. They each pay £100 PA ground rent. There are five parking spaces with one demised to each unit. Cookham is a Thames-side village and civil parish on the north-eastern edge of Berkshire, England, 2.9 miles (5 km) north-north-east of Maidenhead. Pocketts Yard is situated to the south of the High Street and approximately 170 metres west of Sutton Road and 320 metres south-west of the River Thames. We have not measured the retail units, however understand that these have a gross internal area of: Unit 1 @ 52 sq.m. Unit 2 @ 46 sq.m. These should be confirmed by any purchaser. It is understood that each of the flats comprise a kitchen, reception room, bathroom and two bedrooms. Each property contributes towards a service charge. Unit 1: C 51 Unit 2: C 59",1054.862,,SL6 9SL,['https://jaggardmaclandcrm.agencypilot.com/crm/store/documents/other/1241_c138rj3t7x4dppg9.pdf'],Jaggard Macland,Chris Mockett,,cm@jaggardmacland.co.uk,07557 338774,,,Freehold,For Sale,2026-02-17,New
