listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://ucarecdn.com/def15276-59dd-406d-8da4-42054e4b4470/NewStantonParkSouthMay2025FINAL.pdf,"New Stanton South, Ilkeston",30000000,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/681b2317820dbfd97ebefc0b_Screenshot%202025-05-06%20120351.png,55.62-Acre Freehold Industrial Open Storage Asset offering rapid strong reversionary and repositioning potential,,55.62,,['https://ucarecdn.com/def15276-59dd-406d-8da4-42054e4b4470/NewStantonParkSouthMay2025FINAL.pdf'],Kimmre,,,,,,,Freehold,For Sale,2026-02-18,Old
https://ucarecdn.com/13c3d677-a3a2-4efa-899d-74d6c65f488c/MalmaisonDundeeBrochureFinal.pdf,Malmaison hotel- Dundee,15685000,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/690b6c166b4644191a633411_DJI_0373.JPG,"Long let, RPI linked hotel investment in the centre of Dundee",,,,['https://ucarecdn.com/13c3d677-a3a2-4efa-899d-74d6c65f488c/MalmaisonDundeeBrochureFinal.pdf'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://ucarecdn.com/6327bbe1-8ee8-4c1d-b44c-c0762ca2e031/PremierInnHamiltonFinalBrochure.pdf,Premier Inn - Hamilton,10360000,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/690b7033b233a1f255599e95_Screenshot%202025-10-01%20132916.png,Long Leased - Index Linked Premier Inn hotel investment,,,,['https://ucarecdn.com/6327bbe1-8ee8-4c1d-b44c-c0762ca2e031/PremierInnHamiltonFinalBrochure.pdf'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://ucarecdn.com/c67f1252-582e-4892-941b-fbbd60b36203/SouthOckendonNextSept2023FinalBrochure.pdf,"Next, South Ockendon",32000000,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/654e6a23aca99e1dd69b4a15_Aerial%20South%20Ockendon.JPG,"Cross docked 169,147 sq ft GIA M25 logistics warehouse, let to Next plc with 2.5 years UXT.",169147.0,,,['https://ucarecdn.com/c67f1252-582e-4892-941b-fbbd60b36203/SouthOckendonNextSept2023FinalBrochure.pdf'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://ucarecdn.com/bf60b3bd-1141-41ac-bf43-18ec22d45ddd/14918VRNSPBrochureV43.pdf,"Plot 2, New Stanton Park, J25 M1, DE7 4QY",,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/682ad79c615207d102f65be7_CGI1.jpg,FH Land - 68 acres with outline planning consent for over 1.3m sq ft including the ability to construct a single logistics unit of c.1m sq ft.,,68.0,DE7 4QY,['https://ucarecdn.com/bf60b3bd-1141-41ac-bf43-18ec22d45ddd/14918VRNSPBrochureV43.pdf'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://ucarecdn.com/049e998e-e8b4-4367-972a-cecf08235d88/17193KIMWoodbridgeBrochureV3.pdf,"3-5 Woodbridge Meadows, Guildford, GU1 1BA",,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/682ada423b7864bf3224db90_Guildford%20-%20Woodbridge.jpg,Rarely available LLH land sale - 1.033 acres in Central Guildford,,1.033,GU1 1BA,['https://ucarecdn.com/049e998e-e8b4-4367-972a-cecf08235d88/17193KIMWoodbridgeBrochureV3.pdf'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://www.kimmre.com,Project Hamlet - Pre let hotel portfolio,54000000,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/68b1a96d7bd8cf3ccd7c02c6_Banbury.png,"Portfolio of 6, pre let, long lease, budget hotels, all set on new 25 year leases with 5 yearly indexation. Let to Premier Inn and Travelodge. All consented or existing hotels being repurposed for a new tenant.",,,,['https://www.kimmre.com'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://ucarecdn.com/afbccba0-5aff-4f95-9ac8-3b999a5286ac/InformationMemorandum_DRAFTcompressed.pdf,Westington Estate - Hotel JV and Operator Selection,,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/68b1aecf8d0c3d2fda92e04e_Westington.jpeg,An Operating Partner and JV funding selection process for a new luxury hotel in the heart of the Cotswolds.,,,,['https://ucarecdn.com/afbccba0-5aff-4f95-9ac8-3b999a5286ac/InformationMemorandum_DRAFTcompressed.pdf'],Kimmre,,,,,,,,For Sale,2026-02-18,Old
https://ucarecdn.com/034d579f-f7d0-452a-9cbc-eaa7db466715/15185_KIM_The_Choice_Portfolio_V5.pdf,Hotel ground rent portfolio sale,,,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/627929316e0db265ff9cc5c1_17-Harrogate-93.jpg,Freehold ground rent portfolio comprising 3 hotels with RPI reviews,,,,['https://ucarecdn.com/034d579f-f7d0-452a-9cbc-eaa7db466715/15185_KIM_The_Choice_Portfolio_V5.pdf'],Kimmre,,,,,,,Freehold,For Sale,2026-02-18,Old
https://www.kimmre.com/lettings/8-masthead-industrial-estate-crossways-business-park-dartford-da2-6qg,"8 Masthead Industrial Estate, Crossways Business Park, Dartford, DA2 6QG",,Multi-let-Estate,https://cdn.prod.website-files.com/613f1fe15099f72a6911ea1a/6911f22c1328a00c203e4545_externalcgi.jpg,"Refurbished to Grade A specification. The property is situated in a prominent location within the established Masthead Industrial Estate. The estate is adjacent to the Queen Elizabeth II Bridge with direct access to Junction 1A of the M25. Refurbished to Grade A specification The property is situated in a prominent location within the established Masthead Industrial Estate. The estate is adjacent to the Queen Elizabeth II Bridge with direct access to Junction 1A of the M25. Unit 8 is a modern detached warehouse that sits on its own self-contained site and will be fully refurbished to a high standard. The warehouse benefits from two full height roller shutter doors accessed off a secure yard and an eaves height of 7.7 metres. The offices are on the first floor and comprise an open-plan space, which is air-conditioned and benefits from carpeting and a suspended ceiling with new LED lighting. 7.7 M clear internal eaves height LED ceiling lighting 2 Level Loading access doors 1 HGV space 36 car parking spaces 6 van spaces 2 EV Charging Bays 22M maximum yard depth 500 KVA power supply",21766.0,,DA2 6QG,[],Kimmre,Jody Smith,,jody.smith@kimmre.com,020 3198 9644,,,,To Let,2026-02-18,Old
