listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://lmrealestate.co.uk/properties/17central-walthamstow/,"17&Central, Walthamstow",,,"['https://neo.completelyretail.co.uk/media/scheme/4/4888/cg_17_and_central_walthamstow_picture_2025_03_19_10_43_11_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4888/CG_The_Mall_Walthamstow_Walthamstow_picture_2017_05_03_10_42_58_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4888/CG_The_Mall_Walthamstow_Walthamstow_picture_2017_05_03_10_43_38_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4888/CG_The_Mall_Walthamstow_Walthamstow_picture_2017_04_24_14_31_12_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4888/CG_The_Mall_Walthamstow_Walthamstow_picture_2017_05_03_10_44_18_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4888/CG_The_Mall_Walthamstow_Walthamstow_picture_2017_04_24_14_31_33_p8_1800x1440.jpg']","A vibrant shopping centre located in North East London, with 65 units across 260,000 sq ft. 17&Central is located just 20 minutes from central London and is the true heart of the community, offering not only a range of retail but also a kids soft play, a great selection of food and beverage kiosks in Crate Walthamstow. An exciting introduction is a new residential development – 2 residential buildings offering 495 new build flats.",260000.0,,,"['https://neo.completelyretail.co.uk/media/scheme/4/4888/cg_17_and_central_walthamstow_brochure_2025_06_11_09_11_07.pdf', 'https://neo.completelyretail.co.uk/media/scheme/4/4888/cg_17_and_central_walthamstow_site_plan_2025_12_03_10_05_49.pdf']",Lunson Mitchenall,Matthew Maynard,,matthewm@lmrealestate.co.uk,020 7478 4974,,,,For Sale,2026-03-07,New
https://lmrealestate.co.uk/properties/18-king-william-street-greater-london/,"18 King William Street, Greater London",,,"['https://neo.completelyretail.co.uk/media/scheme/21/21840/CG_18_King_William_Street_London_picture_2024-01-23-12-08-40_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/21/21840/CG_18_King_William_Street_London_picture_2024-01-23-12-08-46_p8_1800x1440.jpg']","18 King William Street is the perfect space for a potential 21st century leisure extravaganza. Whether it be a bar, restaurant, retail store or luxury boutique the space is perfectly positioned under 18 King William Street in the heart of London’s business district. The space is surrounded on all sides by famous landmarks. The Bank of England can be found a few minutes walk north, the Walkie Talkie building to the east, London Bridge to the south and St Paul’s Cathedral to the west. The area is both a tourist hotspot and home to seemingly endless offices, providing a constant throng of passing footfall - ideal for potential retail & leisure space. 18 King William Street is seriously well connected - it is only a minutes’ walk from Monument tube station and is literally next door to the new TFL Bank Station Entrance which will open in early 2023. Large available space like this in The City of London is rare - the current status of the space means that it’s a blank canvas ready for a tenant to paint a masterpiece. Spaces are available on both the ground floor and basement levels.",,,,['https://neo.completelyretail.co.uk/media/scheme/21/21840/CG_18_King_William_Street_London_brochure_2024-01-23-11-38-20.pdf'],Lunson Mitchenall,Ruvan Sangra (F&B / Leisure),,ruvans@lunson-mitchenall.co.uk,07881 350 919,,,,For Sale,2026-03-07,New
https://lmrealestate.co.uk/properties/245-hammersmith-road-hammersmith/,"245 Hammersmith Road, Hammersmith",,,[],"245 Hammersmith Road is speculative 240,000 sq ft office building with 10,000 sq ft of retail and leisure space The building will sit in front of a new Urban Park, covering a surface so large it could fit 150 red London busses. A funicular lift and stairs connect the Plaza to the Urban Park and this will provide a meeting point for the community to gather for year-round social activities and cultural events, such as pop-up markets and outdoor screenings",240000.0,605.407,,[],Lunson Mitchenall,Ruvan Sangra (F&B / Leisure),,ruvans@lunson-mitchenall.co.uk,07881 350 919,,,,,2026-03-07,New
https://lmrealestate.co.uk/properties/braehead-shopping-centre-glasgow/,"Braehead Shopping Centre, Glasgow",,,"['https://neo.completelyretail.co.uk/media/scheme/3/3756/CG_intu_Braehead_Glasgow_picture_2018-12-17-17-06-13_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/3/3756/CG_intu_Braehead_Glasgow_picture_2018-08-14-14-15-59_p8_1800x1440.jpg']","Braehead is Scotland’s most popular retail and leisure destination and spans 1.1 million sq ft (102,193 sq m) of retail, leisure and F&B space, with 7,900 fee car spaces and exceptional public transport connections. Braehead is a unique, independent proposition for brands looking to capitalise on Scotland’s premier retail and leisure catchment. Offering 120 international and UK brands over two levels, Braehead’s highly sought-after brands achieve top sales figures within west-central Scotland. The centre sees an annual footfall of approx 16.5 million",1099995.233,,,"['https://neo.completelyretail.co.uk/media/scheme/3/3756/CG_Braehead_Shopping_Centre_Glasgow_brochure_2022-01-26-11-41-33.pdf', 'https://neo.completelyretail.co.uk/media/scheme/3/3756/CG_Braehead_Shopping_Centre_Glasgow_site_plan_2022-01-26-11-41-10.pdf']",Lunson Mitchenall,Alexandra Higham,,alexandrah@lmrealestate.co.uk,020 7478 4982,,,,For Sale,2026-03-07,New
https://lmrealestate.co.uk/properties/broadway-shopping-centre-bexleyheath/,"Broadway Shopping Centre, Bexleyheath",,,"['https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_7_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_8_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CG_Broadway_Shopping_Centre_Bexleyheath_picture_2017_04_24_09_56_59_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_9_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_10_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_11_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_12_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/CR_SC_4881_The_Broadway_Shopping_Centre_Bexleyheath_picture_2_p8_1800x1440.jpg']","Located in Bexleyheath, just 12 miles from central London, Broadway Shopping Centre and Retail Park is a thriving community hub attracting a high concentration of commuter based residents and shoppers. This is one of our regeneration assets where we are looking to introduce a greater mix of uses which will include residential and leisure.",,,,"['https://neo.completelyretail.co.uk/media/scheme/4/4881/cg_broadway_shopping_centre_bexleyheath_brochure_2026_02_10_15_02_40.pdf', 'https://neo.completelyretail.co.uk/media/scheme/4/4881/cg_broadway_shopping_centre_bexleyheath_site_plan_2026_02_10_15_03_09.pdf']",Lunson Mitchenall,Matthew Maynard,,matthewm@lmrealestate.co.uk,020 7478 4974,,,,For Sale,2026-03-07,New
https://lmrealestate.co.uk/properties/cabot-circus-bristol/,"Cabot Circus, Bristol",,,"['https://neo.completelyretail.co.uk/media/scheme/3/3804/CG_Cabot_Circus_Bristol_picture_2017_04_04_10_29_52_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/3/3804/CR_SC_3804_Cabot_Circus_Bristol_picture_1_p8_1800x1440.jpg']",,,,,"['https://neo.completelyretail.co.uk/media/scheme/3/3804/cg_cabot_circus_bristol_site_plan_2026_03_02_12_03_31.pdf', 'https://neo.completelyretail.co.uk/media/scheme/3/3804/cg_cabot_circus_bristol_site_plan_2026_03_02_12_03_46.pdf']",Lunson Mitchenall,Ruvan Sangra (F&B / Leisure),,ruvans@lunson-mitchenall.co.uk,07881 350 919,,,,For Sale,2026-03-07,New
https://lmrealestate.co.uk/properties/chantry-place-norwich/,"Chantry Place, Norwich",,,"['https://neo.completelyretail.co.uk/media/scheme/3/3879/CR_SC_3879_intu_Chapelfield_Norwich_picture_1_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/3/3879/CR_SC_3879_intu_Chapelfield_Norwich_picture_2_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/3/3879/CR_SC_3879_intu_Chapelfield_Norwich_picture_3_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/3/3879/CR_SC_3879_intu_Chapelfield_Norwich_picture_4_p8_1800x1440.jpg']","Chantry Place is the prime shopping destination in Norwich and comprises 530,000 sq. ft. of retail and leisure space. Norwich has a total retail expenditure of £5.4bn within the total catchment area and there are over 30,000 students across the UEA, Norwich University of the Arts and City College Norwich. Chantry Place is anchored by a 140,000 sq ft Frasers and Sports Direct and comprises 91 shops, cafes and restaurants along with a 1,000 space shopper’s car park. Other retailers within the centre include Zara, H&M, Apple, Boots, Urban Outfitters, JD Sports, Oliver Bonas and Office. Recent openings strengthening the F&B offer in Chantry Square have included Mowgli, Black Sheep Coffee and Wingstop",530000.0,,,[],Lunson Mitchenall,Hayley Gisborne,,hayleyg@lmrealestate.co.uk,07793 803 521,,,,To Let,2026-03-07,New
https://lmrealestate.co.uk/properties/coopers-square-shopping-centre-burton-upon-trent/,"Coopers Square Shopping Centre, Burton Upon Trent",,,"['https://neo.completelyretail.co.uk/media/scheme/3/3936/CR_SC_3936_Coopers_Square_Shopping_Centre_Burton_Upon_Trent_picture_1_p8_1800x1440.jpg', 'https://neo.completelyretail.co.uk/media/scheme/3/3936/CR_SC_3936_Coopers_Square_Shopping_Centre_Burton_Upon_Trent_picture_2_p8_1800x1440.jpg']","Cooper Square Shopping Centre in Burton on Trent is a famous brewery town located off the A38. Next has recently opened a new 25,000 sq ft store and H&M are now trading from a new 20,000 sq ft store. Key retailers include River Island, Next, Ernest Jones, Monsoon, Clarks and JD Sports",25000.0,,,['https://neo.completelyretail.co.uk/media/scheme/3/3936/CG_Coopers_Square_Shopping_Centre_Burton_Upon_Trent_brochure_2019-01-11-14-06-37.pdf'],Lunson Mitchenall,Matthew Maynard,,matthewm@lmrealestate.co.uk,020 7478 4974,,,,To Let,2026-03-07,New
https://lmrealestate.co.uk/properties/cottis-yard-epping/,"Cottis Yard, Epping",,,[],"One part of a multiple site development across the town by Qualis Commercial, the scheme is a planning consented mix of multi-storey car parking and commercial uses. Cottis Lane totals circa 21,000 sq ft facing on to a new landscaped public urban square in the heart of the town.",21000.0,,,[],Lunson Mitchenall,Andrew Reavley,,andrewr@lmrealestate.co.uk,07775 613 160,,,,,2026-03-07,New
https://lmrealestate.co.uk/properties/county-mall-crawley/,"County Mall, Crawley",,,['https://neo.completelyretail.co.uk/media/scheme/3/3948/CG_County_Mall_Crawley_picture_2023-05-24-12-28-27_p8_1800x1440.png'],"County Mall, Crawley benefits from excellent transport links located 5 miles from Gatwick Airport, whilst the adjacent train station provides a direct link into Central London within 40 mins. The scheme dominates the retail offer comprising 480,000 sq.ft from 70 units. The annual footfall is circa 8m pa and rising, it also benefits from 1,700 car parking spaces. The scheme is anchored by Primark, Boots and Next, whilst other national retailers include Superdry, River Island, JDSports, Costa, Pandora.",480000.0,,,[],Lunson Mitchenall,Sam Mowbray,,samm@lmrealestate.co.uk,020 7478 4965,,,,To Let,2026-03-07,New
