listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.markjenkinson.co.uk/property/37472,"34 Derby Street, Ince, Wigan, Lancashire, WN3 4TJ",85000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/1219/b5e8560c-41ed-48f4-9787-2edbd868758a_web.jpg?v=1766102461', 'https://www.markjenkinson.co.uk/property-images/1219/b5e8560c-41ed-48f4-9787-2edbd868758a_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/ca72bdea-fb66-4be8-8ca9-c088f0bb6ef4_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/57a06753-055a-4d22-9fc4-223056125a3f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/34d68d3b-a631-4374-b3cd-20f230e70c8d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/d532579b-517d-4e24-9c33-beb533a629f7_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/56e22a24-d3ab-44d7-95ea-ab1c741f5b88_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/c83dae19-dad9-40fa-ac6f-8465ae299c89_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/f7837c1e-2859-45a2-bb36-c8bc3a08c04e_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/c0f053ea-7992-451f-b3c7-6cd81fde8e1d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/977268fd-f20a-464a-8f3a-4c48f40424d7_web.jpg']","A two bedroom terrace property benefiting from UPVC double glazing and gas central heating with enclosed rear yard. The property is located in an established residential area, less than 2 miles from Wigan town centre and within 5 miles of the M6 motorway. The property is offered with vacant possession and would be suitable for an owner-occupier or investor. Ground Floor: Living Room, Kitchen First Floor: 2 Bedrooms, Bathroom There is an enclosed yard to the rear of the property. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = C 5. The property is listed with a Council Tax assessment in Band A. November 2025 Online Auction 26th November 2025 000 10:00am",,,WN3 4TJ,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37473,"95 Tunstall Lane, Wigan, Lancashire, WN5 9HR",115000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0121/4a7b4eb4-f4b6-40a1-bdb7-d54c1bad180b_web.jpg?v=1768953746', 'https://www.markjenkinson.co.uk/property-images/0121/4a7b4eb4-f4b6-40a1-bdb7-d54c1bad180b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/0d876c06-2b51-495a-9378-8a94e53308b3_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/4dc1ef45-9af8-42b5-b2d5-0cedd09be94e_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/0c42ce8c-6cbd-4c0a-a063-d1d6d1ca5e67_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/3976deea-2eb7-4e6d-b550-b35892fa96bf_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/89d12446-a525-498c-8b4d-0a51816634fe_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/98706d19-8141-4d54-ac85-f338ad51280b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/a39e4f9a-33ca-4207-b63d-53d85361dc99_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/2b3d8cbc-ff88-4897-b773-72d76fc42f36_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/db112402-ef8e-4c39-8e40-cff1defc266c_web.jpg']","A three bedroom terrace property benefiting from UPVC double glazing and gas central heating with front courtyard garden and large enclosed rear yard. The property is located in an established residential area, less than 2 miles from Wigan town centre and approximately 1.5 miles from the M6 motorway. The property is offered with vacant possession and would be suitable for an owner-occupier or investor. Ground Floor: Living Room, Kitchen, Bathroom First Floor: 3 Bedrooms There is a courtyard garden to the front of the property and a large enclosed yard to the rear. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = D 5. The property is listed with a Council Tax assessment in Band A. November 2025 Online Auction 26th November 2025 000 10:00am",,,WN5 9HR,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37474,"14 Hey Street, Ince, Wigan, Lancashire, WN3 4UG",115000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0121/31400bd3-8a1e-47f5-9d5f-46349be45042_web.jpg?v=1768953748', 'https://www.markjenkinson.co.uk/property-images/0121/31400bd3-8a1e-47f5-9d5f-46349be45042_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/03922e4b-3552-4d33-8a42-93adcad1a9a8_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/4d98a364-834c-4616-92e7-852b3bf41091_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/21db91db-d47b-4e8b-8809-88995bf49a62_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/da0cfbb8-6a99-45f6-b664-ddb40a70643d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/291ae25c-ae9d-45ee-9834-c65ab470765e_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/1265ad28-5a88-4ee7-9532-a37f12e32e38_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/3f207a9a-fe0f-4561-acb2-06f896f05173_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/11c050cf-ce64-4ad0-b400-98b51a591a10_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/182c72db-6ee4-460c-87b8-f2ca0132e8c8_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/9849cfe5-8f6c-4fc0-812b-fc9271f36a77_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/e8b6a078-6396-4be7-865d-b32e6cabcc0f_web.jpg']","A three bedroom terrace property benefiting from UPVC double glazing and gas central heating with a large enclosed rear yard. The property is located in an established residential area, less than 2 miles from Wigan town centre and approximately 5 miles from the M6 motorway. The property is offered with vacant possession and would be suitable for an owner-occupier or investor. Ground Floor: Living Room, Kitchen, Bathroom First Floor: 3 Bedrooms There is a large enclosed yard to the rear of the property. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = C 5. The property is listed with a Council Tax assessment in Band A. November 2025 Online Auction 26th November 2025 000 10:00am",,,WN3 4UG,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37475,"9 Sole Street, Wigan, Lancashire, WN1 3YE",80000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0107/07153c5d-1e04-48f6-b4ec-1ae0f781ae2c_web.jpg?v=1767744155', 'https://www.markjenkinson.co.uk/property-images/0107/07153c5d-1e04-48f6-b4ec-1ae0f781ae2c_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/23537e33-f514-472d-9d74-de2830325c5d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/90599318-ade6-4316-ab1f-9d0420d40bd6_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/894568fb-9c4d-473f-a1a7-166bdb2a4802_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/3c9999d0-26fc-4326-8bad-7dfea1d8ec42_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/83cb0be5-3a06-4f5f-8e6b-7353dde52ae8_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/f04bc406-e3df-4875-a350-3da8c8180769_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/9b126971-94a0-455d-95a6-c530f70d7977_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0107/07c7590e-0ef4-4a39-9abc-838d90749a1a_web.jpg']","A two bedroom terrace property benefiting from UPVC double glazing and gas central heating with enclosed rear yard. The property is located in an established residential area, approximately 1 mile from Wigan town centre and 4.5 miles from the M6 motorway. The property is offered with vacant possession and would be suitable for an owner-occupier or investor. Ground Floor: Living Room, Kitchen, Bathroom First Floor: 2 Bedrooms There is an enclosed yard to the rear of the property. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = C 5. The property is listed with a Council Tax assessment in Band A. November 2025 Online Auction 26th November 2025 000 10:00am",,,WN1 3YE,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37477,"2 Cross Street, Orrell, Wigan, Lancashire, WN5 0AH",70000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/1219/cca24e36-8468-4409-ac14-cc8052fd3583_web.jpg?v=1766102473', 'https://www.markjenkinson.co.uk/property-images/1219/cca24e36-8468-4409-ac14-cc8052fd3583_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/07c12eb8-24cc-4da9-99fc-235df90c47ac_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/fc6e6fb6-21c7-43ef-b399-19a49eb302c9_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/d4b48736-45cb-4cac-814b-eea650ff193e_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/4ac141ba-be90-4508-8a4c-a68cb9b03964_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/c8951e0c-a2e8-4168-9e1a-4901ec82ff3f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/57cd603b-4bd8-457a-8c12-5a08036ac4ba_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/c00a16fc-51ab-4f67-aa52-290c17bc147c_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1219/161c3a8e-39ec-48ef-a435-2a208bb5a3b9_web.jpg']","A two bedroom terrace property benefiting from UPVC double glazing and gas central heating with enclosed side yard. The property is located in an established residential area, approximately 2.5 miles from Wigan town centre and less then 1 mile from the M6 motorway. The property is offered with vacant possession and would be suitable for an owner-occupier or investor. Ground Floor: Living Room, Kitchen First Floor: 2 Bedrooms, Bathroom There is an enclosed yard to the side of the property. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = TBC 5. The property is listed with a Council Tax assessment in Band A. November 2025 Online Auction 26th November 2025 000 10:00am",,,WN5 0AH,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37478,"69 Meredith Street, Crewe, Cheshire, CW1 2PN",80000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0121/002dbe76-d3e7-40b4-92bf-cb2521ed42b1_web.jpg?v=1768953750', 'https://www.markjenkinson.co.uk/property-images/0121/002dbe76-d3e7-40b4-92bf-cb2521ed42b1_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/06fd95d2-e89c-477b-9c5b-46ab1c24af51_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/fe33f9c5-fb6e-4c29-8eff-b564a6c68297_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/07666caf-fc48-41f3-8c04-c6f05a4389d9_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/a4c4c2ae-6b81-4552-8937-a3ed4e4284a4_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/0b83bed9-c96b-4204-8cb2-5846c6d3e18d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/962c2863-1f8f-4963-bd9f-ce2c9f85ba9d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/120d2576-24f8-437d-8746-80d43b7962f8_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/1301cbea-34ad-4bdc-a62a-c16a4dd650e2_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0121/83da03d4-0020-491a-a0cb-d6718ba02c32_web.jpg']","A two bedroom terrace property benefiting from UPVC double glazing and gas central heating with enclosed rear yard. The property is located in an established residential area, a short distance from Crewe town centre and just over 1 mile from Crewe Train Station. The property is offered with vacant possession and would be suitable for an owner-occupier or investor. Ground Floor: Living room, Dining Room, Kitchen First Floor: 2 Bedrooms, Bathroom There is an enclosed yard to the rear of the property. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = D 5. The property is listed with a Council Tax assessment in Band A. November 2025 Online Auction 26th November 2025 000 10:00am",,,CW1 2PN,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37496,"9 Towngate, Great Harwood, Blackburn, Lancashire, BB6 7NE",140000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0123/dab77e5c-09ac-4748-8055-450e46d1702e_web.jpg?v=1769126482', 'https://www.markjenkinson.co.uk/property-images/0123/dab77e5c-09ac-4748-8055-450e46d1702e_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/fa63445d-ff23-4094-8753-b81bcab95822_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/1bce9890-e806-4e93-97e8-218275de8176_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/34bfe0e2-f836-4985-a23e-25db2d2bc708_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/45d23ebd-b391-427f-b8c3-a07d8868e823_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/c5763c94-6096-4a7a-a0ce-7df929629f8d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/47394be0-132a-480c-9f45-e22eb6e7e95b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/90c3fcae-8bac-4d71-a6be-dbaf586ebb81_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/12e57b94-476b-42af-a45e-40549ab6390f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/df9534ef-13a2-46e1-a9bf-96d65ab6a513_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/629a4c0a-6764-40b8-8801-e0bd4e398425_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/ced7aebb-389b-4cc3-9493-060fb3bd6d2d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/13816761-fad3-49b6-929d-e298ad69f70c_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/274ed166-04e8-4e6e-b32f-de022709b28d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/bc87ad85-4de6-41fb-a448-0c1662c353c0_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/6e7dadd8-9b39-475d-88e6-1f26d4284efb_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/273889e0-c87b-4f9e-af15-0cac9c88dcff_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0123/07d5e366-774a-4623-8f95-2fdb6f98fbe9_web.jpg']","A town-centre, mixed-use property arranged as a bar premises with residential accommodation above. This stone-fronted, end-terrace and attractive property fronts Towngate in Great Harwood, forming part of a parade, and is now sold with vacant possession due to retirement. There is some on-road parking to the front, with car parks nearby. The property is currently trading as a café/wine-bar on weekends but will be sold with vacant possession. It offers a well-presented servery and seating area to the ground floor, with a W.C. that has basic disability facilities. To the rear is a covered outdoor seating over two levels. A rear staircase leads to the residential accommodation, which briefly comprises a kitchen, living room, and bathroom to the first floor, with a large bedroom on the second floor. The property benefits from a combi-boiler and is generally well-presented, offering approximately 95 Sq M (1,022 Sq Ft) of accommodation*. The property offers an opportunity for occupiers to acquire their own bar premises or for investors to repurpose and/or let. The parade of properties fronts Church Street which runs through the centre of Great Harwood. There are a number of nearby independent brands trading, as well as residential properties providing footfall. Transport links are provided by the M65 and A680. Blackburn is located approximately 5 miles to the south-west. The property is sold on a 999 year leasehold commencing 1910. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = C. 5. All alcoholic and beverages are not part of the sale, but can be bought separately if required by the new owners. 6. *Floor areas provided by the vendor and should not be solely relied upon. November 2025 Online Auction 26th November 2025 000 10:00am",1022.0,,BB6 7NE,[],Mark Jenkinson & Son,,,,,,,Leasehold,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/37348,"16 Lauderdale Street, Preston, Lancashire, PR1 8JL",98000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/1224/bdb76538-f054-4a5e-94e7-e48794165b80_web.jpg?v=1766534422', 'https://www.markjenkinson.co.uk/property-images/1224/bdb76538-f054-4a5e-94e7-e48794165b80_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/65aa5e01-9aae-4ec5-b403-dc29145be271_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/a95d0da9-2a51-4f0b-8c3c-868f313daded_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/925a2253-e329-4bbb-9227-19fe3824a6f2_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/ace7e285-a94c-445d-b896-04b4c981250f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/052d760b-ee9d-4214-92a0-e2fdec20b0ae_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/d4423dd3-fa21-4914-a867-e97a80d177aa_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/b4797b48-899e-45ae-bcae-e64e59d43414_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/e1108fa1-cd51-409d-a444-8fc98e903a18_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/121ef84a-3e6f-4029-abc4-cdc41558c5e5_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/4fa65c87-ac34-48d6-bd66-17c3f4e552c1_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/a8641085-483a-4f5e-8e26-a3e9bc3238f8_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/4f1ec16d-e717-4a92-845f-d913b17dc6d1_web.jpg', 'https://www.markjenkinson.co.uk/property-images/1224/08e10727-b895-43c4-809b-fbf66fd314ff_web.jpg']","A vacant two bedroom mid terrace property benefitting from UPVC double glazing and central heating but requiring some cosmetic updating in parts. Internally the accommodation comprises a kitchen and two reception rooms on the ground floor with two bedrooms and bathroom on the first floor. Externally there is a rear yard. The property fronts onto Lauderdale Street in an established and popular residential location just a short walk from Preston City Centre. Ground Floor Entrance Hall, Kitchen, Living Room, Dining Room First Floor Bedrooms x 2, Bathroom Rear yard 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = D October 2025 Online Auction 29th October 2025 000 10:00am",,,PR1 8JL,[],Mark Jenkinson & Son,,,,,,,,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/36628,"Kireka House, 527 Fulwood Road, Sheffield, South Yorkshire, S10 3QB",995000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0927/728d3421-e51e-4776-9bff-68b8fb585629_web.jpg?v=1758927675', 'https://www.markjenkinson.co.uk/property-images/0927/728d3421-e51e-4776-9bff-68b8fb585629_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/6b8dc940-b3bd-493f-bc35-a2edd4ad32c7_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/cb960d4b-97d1-4edb-b4c6-582ad3912d92_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/8fd0527a-38df-4646-a152-60ef8c942c15_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/17cf8375-bdfd-4a9e-96d4-d00dfb6e63d6_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/58fb21f5-b928-470c-bf73-5d0d8977b249_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/1e648db3-6f6a-4ec7-a29b-cbfd9e2076c4_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/f0f410a9-a3fa-43d1-87b7-3b22aee026d2_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/a34fcf2e-1104-49c9-8d2a-225c26421191_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/1d7a8fe5-7cef-4210-abec-2219480462c5_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/1d6db263-c571-4f85-a566-efbbef5431c1_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/1a6e0489-bfee-42b5-834b-ab401b29a964_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/9cd3e362-1e90-4f4b-a4d0-6b91aa1175ee_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/ac431aa4-2bc3-4c16-9251-8af6999c4723_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/341bf445-f758-4280-b97d-a3aae5f37690_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/52605300-766a-4842-b33a-17838a1e85b9_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/f669d918-543f-40a6-8d6b-70bdd62ec21f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/0588af34-7db5-4637-b8c9-c512039a4a3b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/b6ae04c2-1545-4426-9292-6a203b1e719f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/ad2ce494-0356-470e-b21e-5874da9f515d_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/24f857dd-3393-4e29-abff-5b78eb011501_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/267f8fdb-93eb-431f-8a29-73caaddeb81e_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/3656387e-a759-4004-ae7c-e8911f93bd47_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/9cac9590-78ad-4865-aa3f-60a82488803b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/08675662-0f91-42dc-8d78-c83a81f5252c_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/94e9f18b-7de7-4a8d-befa-bd951d60d101_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/1dcd0922-3653-4083-8ac4-674168d45cb6_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/89de884f-ed4c-4571-9cbf-e7775b38ae32_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/df7db5cd-183a-4107-b617-50467088c70b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0927/0588cba5-bc20-4f08-9538-c6246de0b6da_web.jpg']","MAGNIFICENT DETACHED HOUSE - An outstanding opportunity to acquire a superb 6 bedroom detached family residence of spacious proportions, occupying a Freehold plot in this highly sought after residential area of South West Sheffield The accommodation amounts to 360 sqm (4,263 sqft) over four levels and includes a large second floor room that could form a master bedroom suite or be split to provide a further bedroom if required. The property retains a great deal of character and requires general upgrading, but offers excellent potential to decorate and equip to provide a superb family house in ones of Sheffield's most sought after residential areas. Kireka House stands in a beautiful level plot with formal lawned garden and the buyer of the rear plot (being sold separately) will be responsible for creating and paying for a new driveway off Sefton Road and the construction of a replacement double garage. Kireka House occupies a prominent, elevated position on Fulwood Road - opposite Stumperlowe Park Road and close to the turning onto Belsize Road, with vehicular access to the rear from Sefton Road. Summary - Approximately 396 sqm (4,263 sqft) over four levels Ground Floor Reception Hallway, Cloakroom/WC, Lounge, Sitting Room, Dining Room, Kitchen, Breakfast Room, Utility Room, Store & WC Basement 4 Cellars & Store First Floor 4 Bedrooms, Dressing Room, 2 Bathroom/WCs & 1 Shower Room/WC Second Floor Large former Games Room /Potential Bedroom Suite, Bedroom & Shower Room/WC The property stands in well maintained formal gardens with pedestrian access to the front at two points off Fulwood Road and new vehicular access from Sefton Road to a yet to be constructed double detached garage. The rear plot is being sold separately and benefits from full planning consent for the ""Demolition of garage and erecting of dwellinghouse including garage erection and double garage and other associated works"" Ref 24/01877/FUL (13th September 2024) It will be the responsibility of the buyer of the plot to create a new access and double garage off Sefton Road for the sole use of Kireka House, at their expense. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars. 4. Energy Performance Certificate = E. May 2025 Online Auction 28th May 2025 000 12:00pm",4263.0,,S10 3QB,[],Mark Jenkinson & Son,,,,,,,Freehold,For Sale,2026-03-07,Old
https://www.markjenkinson.co.uk/property/35981,"43 Main Street, Aughton, Sheffield, South Yorkshire, S26 3XH",285000,Create Account / Login My Account,"['https://www.markjenkinson.co.uk/property-images/listing/450x338/0116/c129f550-797d-4d81-86cd-6d3213dd7bd3_web.jpg?v=1768521645', 'https://www.markjenkinson.co.uk/property-images/0116/c129f550-797d-4d81-86cd-6d3213dd7bd3_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0116/28fdecec-977b-49f8-85d6-b8ef7b9fe125_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0116/35a0a8f7-a954-4390-b9b5-54af33815f8f_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0116/6e5c5ec5-a1ef-4d9d-853c-c08e765a7768_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0116/f6b1328f-d828-4a01-abae-4851a7a0602b_web.jpg', 'https://www.markjenkinson.co.uk/property-images/0116/aa7659f3-c4e7-41ac-b340-39c8d52a9dba_web.jpg']","LAND FOR SALE - POTENTIAL FOR DEVELOPMENT OF COMMUNITY USE (subject to planning) - lease options also available. The site includes an attractive double fronted stone built cottage in the heart of this popular village location, set in a freehold site of 0.74 acre comprising former garden and scrubland. The site is allocated for Community Use in the local plan and offers potential for a variety of development within that use. The cottage is currently residential let by way of a 12 month Assured Shorthold Tenancy until 8th June 2026 at £995 pcm The popular village of Aughton lies approximately 1.5 miles to the south of Rotherham town centre and enjoys excellent links to the motorway network including junction 31 of the M1 and junction 32 at the start of the M18, enabling access to a number of regional centres including Sheffield, Doncaster as well as Rotherham. Local facilities are close by and the property is located in the heart of the village just before the junction of Main Street and Hall Road. Ground Floor Sitting Room, Living Room, Kitchen, Office, Rear Porch & Understairs Store First Floor 3 Bedrooms & Bathroom/WC The site is identified on the adjoining plan and includes a driveway to the cottage with rear outbuildings as well as the former garden/orchard area behind and to the side. Approximately 0.30 ha (0.74 acres). The site is allocated for ""Community Use"" within the local plan and therefore interest in the site is limited to that use. Development at the site will require planning permission and interested parties are advised to make their own enquiries. 1. All the information provided on our website is for indicative purposes only. 2. Please be aware that these details are often updated and subject to change at any time. 3. You must not rely on the information and should view full particulars and any addendums on the auctioneer's website. 4. Energy Performance Certificate = D. November 2024 Online Auction 6th November 2024 000 10:00am",,0.74,S26 3XH,[],Mark Jenkinson & Son,,,,,,,Freehold,For Sale,2026-03-07,Old
