listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://property.nps.co.uk/propertyInfo/4955/Unit-1-Speedwell-Units-Nelson-Road-Industrial-Estate-Dartmouth-Industrial-388-sq-ft-3605-sq-m,"Unit 1 Speedwell Units Nelson Road, Industrial Estate, Dartmouth, TQ6 9SZ",,Industrial,"['https://nps.agencypilot.com/store/property/357+6929_web.jpg', 'https://nps.agencypilot.com/store/property/357+6923_web.jpg', 'https://nps.agencypilot.com/store/property/357+6924_web.jpg', 'https://nps.agencypilot.com/store/property/357+6926_web.jpg', 'https://nps.agencypilot.com/store/property/357+6927_web.jpg']","Unit available on a new 6-year lease - term may be negotiable. | Rent - £7,500 per annum plus VAT. | Internal area of 905 sq ft (84 sq m). | The unit is 5.85m wide and 14.33m deep.",388.0,,TQ6 9SZ,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI0YzV%2FidSJFgcbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRAs6KdQT6vRTrSVksvqo%2B6rGoUMz3Lvkp0blxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3xC3CoXHpX25Q%3D%3D'],NPS Property,Izabela Wrobel,,izabela.wrobel@norsegroup.co.uk,,,,,To Let,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4956/Unit-2-Speedwell-Units-Nelson-Road-Industrial-Estate-Dartmouth-Industrial-388-sq-ft-3605-sq-m,"Unit 2 Speedwell Units Nelson Road, Industrial Estate, Dartmouth, TQ6 9SZ",,Industrial,"['https://nps.agencypilot.com/store/property/357+6930_web.jpg', 'https://nps.agencypilot.com/store/property/357+6931_web.jpg', 'https://nps.agencypilot.com/store/property/357+6932_web.jpg', 'https://nps.agencypilot.com/store/property/357+6933_web.jpg', 'https://nps.agencypilot.com/store/property/357+6934_web.jpg']","Unit available on a new 6-year lease - term may be negotiable. | Rent - £7,500 per annum plus VAT. | Internal area of 905 sq ft (84 sq m). | The unit is 5.85m wide and 14.33m deep.",388.0,,TQ6 9SZ,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI3BxfqBQSFY38bGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRA5bkqbZ3AKrKEDBgfyQLNyK%2Bt9TK91%2BKublxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3yeiPqWgvIhvQ%3D%3D'],NPS Property,Izabela Wrobel,,izabela.wrobel@norsegroup.co.uk,,,,,To Let,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4932/Sidemoor-And-Moortown-Picnic-Sites-A361-Knowstone-South-Molton-Devon-Industrial-Parking-Leisure-Land-Investment-Development-Land-224-hectares-554-acres,"Sidemoor And Moortown Picnic Sites A361, Knowstone, South Molton, Devon, EX36 4RZ",,Industrial,"['https://nps.agencypilot.com/store/property/357+6734_web.jpg', 'https://nps.agencypilot.com/store/property/357+6735_web.jpg', 'https://nps.agencypilot.com/store/property/357+6736_web.jpg', 'https://nps.agencypilot.com/store/property/357+6737_web.jpg', 'https://nps.agencypilot.com/store/property/357+6738_web.jpg', 'https://nps.agencypilot.com/store/property/357+6739_web.jpg', 'https://nps.agencypilot.com/store/property/357+6740_web.jpg', 'https://nps.agencypilot.com/store/property/357+6741_web.jpg', 'https://nps.agencypilot.com/store/property/357+6742_web.jpg', 'https://nps.agencypilot.com/store/property/357+6743_web.jpg', 'https://nps.agencypilot.com/store/property/357+6744_web.jpg', 'https://nps.agencypilot.com/store/property/357+6745_web.jpg', 'https://nps.agencypilot.com/store/property/357+6746_web.jpg', 'https://nps.agencypilot.com/store/property/357+6747_web.jpg', 'https://nps.agencypilot.com/store/property/357+6748_web.jpg', 'https://nps.agencypilot.com/store/property/357+6749_web.jpg']",Offers are requested by the 27th February 2026 at 12:00 | The sites are available separately or as a joint acquisition. | Freehold and leasehold offers will be considered | Retention of the public facilities on the Moortown Site Supported,,5.54,EX36 4RZ,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI22BEHdxwvAtMbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRAEF6dx1QilQDrtMGSIiqwe2zGw3pTbSqVblxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3xSdAJDvZLFpQ%3D%3D'],NPS Property,Helen Bond Description,,helen.bond@norsegroup.co.uk,,,,Freehold,For Sale,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4905/Duchy-Square-Centre-Unit-RF15-Tavistock-Road-Princetown-Devon-B1-Workshop-645-sq-ft-5992-sq-m,"Duchy Square Centre Unit RF15, Tavistock Road, Princetown, Devon, PL20 6QF",,B1 - Workshop,"['https://nps.agencypilot.com/store/property/357+6430_web.jpg', 'https://nps.agencypilot.com/store/property/357+6628_web.jpg', 'https://nps.agencypilot.com/store/property/357+6629_web.jpg', 'https://nps.agencypilot.com/store/property/357+6630_web.jpg', 'https://nps.agencypilot.com/store/property/357+6631_web.jpg', 'https://nps.agencypilot.com/store/property/357+6632_web.jpg']","Units RG10, RG14/15, RF09, RF11 RF12 and RF15 are available | Inclusive rent including heating | All units qualify for small business rates relief | Six month minimum lease term, very flexible thereafter.",645.0,,PL20 6QF,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI2YjydTyLDN1sbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRA3WZ6HKeMURbqG9jOMT6qmhIFael72qaJblxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3w68Qzlz1LaEw%3D%3D'],NPS Property,Izabela Wrobel,,izabela.wrobel@norsegroup.co.uk,,,,,To Let,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4865/Roundswell-Enterprise-Park-Roundswell-Enterprise-Park-Barnstaple-Devon-Development-Industrial-Development-Land-044-to-309-hectares-109-to-764-acres,"Roundswell Enterprise Park Barnstaple, Devon, EX31 3NP",,Development,"['https://nps.agencypilot.com/store/property/357+6914_web.jpg', 'https://nps.agencypilot.com/store/property/357+6590_web.jpg', 'https://nps.agencypilot.com/store/property/357+6915_web.jpg', 'https://nps.agencypilot.com/store/property/357+6916_web.jpg']","Four Freehold Sites with Outline Planning Consent for B1, B2 & B8 | Site 1 = 1.25 ha (3.09 acres) Site 2a = 0.52 ha (1.28 acres) | Site 2b = 0.44 ha (1.09 acres) Site 4 = 0.98 ha (2.42 acres) | See Brochure for Key Objectives",,1.09,EX31 3NP,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI1oPBSRS7oSfcbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRAU0OUbPU8cbAxxucLbFIgufhnIXTHiEK7blxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3z5mYigyW6e8Q%3D%3D'],NPS Property,Mark Reynolds,,mark.reynolds@norsegroup.co.uk,,,,Freehold,For Sale,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4898/Ivybank--45-St-Davids-Hill-Exeter--Residential-Development-Residential-refurbishmentConversion-111-acres-045-hectares,"Ivybank 45 St David's Hill, Exeter , EX4 4DN",,Residential,"['https://nps.agencypilot.com/store/property/357+6371_web.jpg', 'https://nps.agencypilot.com/store/property/357+6372_web.jpg', 'https://nps.agencypilot.com/store/property/357+6373_web.jpg', 'https://nps.agencypilot.com/store/property/357+6374_web.jpg', 'https://nps.agencypilot.com/store/property/357+6375_web.jpg', 'https://nps.agencypilot.com/store/property/357+6379_web.jpg', 'https://nps.agencypilot.com/store/property/357+6380_web.jpg']",A substantial detached 3 storey property with other buildings on site | Both conditional and unconditional offers are invited | Potential for development subject to planning | The site area approximately 1.11 acre c.(.4ha) site,,1.11,EX4 4DN,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI1lqTpdQI%2FxeMbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRABaKIn%2BydYGLwm2u%2Bo1wTFwItOrXpIEANblxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3yL4Q2zL37EaA%3D%3D'],NPS Property,Izabela Wrobel,,izabela.wrobel@norsegroup.co.uk,,,,,For Sale,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4940/Former-Lemonford-Depot--Bickington-Newton-Abbot-Devon-Development-039-hectares-096-acres,"Former Lemonford Depot Bickington, Newton Abbot, Devon, TQ12 6PQ",,Development,"['https://nps.agencypilot.com/store/property/357+6841_web.jpg', 'https://nps.agencypilot.com/store/property/357+6842_web.jpg', 'https://nps.agencypilot.com/store/property/357+6843_web.jpg', 'https://nps.agencypilot.com/store/property/357+6844_web.jpg', 'https://nps.agencypilot.com/store/property/357+6845_web.jpg', 'https://nps.agencypilot.com/store/property/357+6846_web.jpg', 'https://nps.agencypilot.com/store/property/357+6847_web.jpg', 'https://nps.agencypilot.com/store/property/357+6848_web.jpg', 'https://nps.agencypilot.com/store/property/357+6849_web.jpg']","The site is secluded from the main road by trees. | Subject to planning, interested parties must make their own enquiries. | Viewings by appointment only, please contact SW Norse. | Offers are invited for the freehold.",,0.96,TQ12 6PQ,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI0%2BeRj6llPjgcbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRAce7lEuC4pxcz5ItNOHRNTsPlnV4bd3TvblxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3x3BcSHSZ%2Bsng%3D%3D'],NPS Property,Izabela Wrobel,,izabela.wrobel@norsegroup.co.uk,,,,Freehold,For Sale,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4924/Site-At-Lea-Combe-Lyme-Road-Axminster-Devon-Development-Land-Residential-Land-0-hectares-,"Site At Lea Combe Lyme Road, Axminster, Devon, EX13 5BD",,Development,"['https://nps.agencypilot.com/store/property/357+6671_web.jpg', 'https://nps.agencypilot.com/store/property/357+6672_web.jpg', 'https://nps.agencypilot.com/store/property/357+6673_web.jpg', 'https://nps.agencypilot.com/store/property/357+6674_web.jpg', 'https://nps.agencypilot.com/store/property/357+6675_web.jpg']",Best and Final Offers Invited by Wednesday 2nd April 12 Noon | Identified in the emerging Local Plan as a site for 9 residential units | Please Contact South West Norse for further details,,0.0,EX13 5BD,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI2uJdSE4ZTRXMbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRAF%2F3w4Mw7YhAXFUsfM0c6SOTUJINZO4Gw54Rj38faoAyXvYUdSz08W5%2BY3Fia615fFQcQtgiCL1Jw3Gzs20FQdg%3D%3D'],NPS Property,Helen Bond Description,,helen.bond@norsegroup.co.uk,,,,,For Sale,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4916/St-Georges-Road-Barnstaple-Development-105-hectares-259-acres,"St Georges Road, Barnstaple, EX32 7AU",,Development,"['https://nps.agencypilot.com/store/property/357+6578_web.jpg', 'https://nps.agencypilot.com/store/property/357+6580_web.jpg', 'https://nps.agencypilot.com/store/property/357+6581_web.jpg', 'https://nps.agencypilot.com/store/property/357+6582_web.jpg', 'https://nps.agencypilot.com/store/property/357+6583_web.jpg', 'https://nps.agencypilot.com/store/property/357+6584_web.jpg', 'https://nps.agencypilot.com/store/property/357+6585_web.jpg', 'https://nps.agencypilot.com/store/property/357+6586_web.jpg', 'https://nps.agencypilot.com/store/property/357+6587_web.jpg', 'https://nps.agencypilot.com/store/property/357+6588_web.jpg', 'https://nps.agencypilot.com/store/property/357+6758_web.jpg']",An opportunity to acquire former office and youth club premises | For sale by informal tender | Potential for development subject to planning | The pre-application consultation available,,2.59,EX32 7AU,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI3vriDb06a028bGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRARQtA%2BZdhCzFrjvocJJtKeGg19RJSfc%2BsblxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3zvBEI1CaedJA%3D%3D'],NPS Property,Helen Bond Izabela Wrobel Description,,helen.bond@norsegroup.co.uk,,,,,For Sale,2026-03-10,New
https://property.nps.co.uk/propertyInfo/4907/Land-At-Old-Bideford-Road-Roundswell-Barnstaple-Care-Home-Development-Development-Land-098-hectares-242-acres,"Land At Old Bideford Road Roundswell, Barnstaple, EX31 2DS",,Care Home,['https://nps.agencypilot.com/store/property/357+6446_web.jpg'],"Site with outline planning permission for Extra Care development | Seeking an experienced Extra Care housing provider to develop the site | Outline planning for up to 63 units, site area 0.979 ha (2.42 acres) | Located in Roundswell, Barnstaple",,2.42,EX31 2DS,['https://nps.agencypilot.com/redirect.aspx?qx=n3U%2B8pNHQI0%2FpIODPt88csbGQqqe1H%2FUbiA5EomSA5sibE53XTcm9iu%2FTTxJ3vBjpSvZIwXnZ5NkBBVGnsTIEq7kGqmBtuAygBpRCYSrNgTfenRMJkohNkN4syeeg4X0KkVZqQWjXbUcA4%2F2TaEswsWKxMxOwoRA%2BLdXCOTwUSe6aSNh2lQbKynOF%2FNpYYlSblxU7qMA2KOjbKfYsf5OotWSUlTa0X5B%2BlG55PcRK3x8raymT5TcpQ%3D%3D'],NPS Property,Mark Reynolds,,mark.reynolds@norsegroup.co.uk,,,,,For Sale,2026-03-10,New
