listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://pjsbuilds.co.uk/projects/listed-building-extension-lambourn/,"Lambourn, Berkshire",,Listed Building,"['https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Building-and-Maintenance-before.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Building-and-Maintenance-25.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-25.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-31.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Building-and-Maintenance-before-3.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Building-and-Maintenance-12.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-9-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-27.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-22.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-17.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-16.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-6-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Building-and-Maintenance-27.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-1-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-3-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-10.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-30.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-29.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-28.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/07/Listed-Building-Extension-in-Berkshire-PJS-Builds-7-1.jpg']","After acquiring a planning permission for the 150 m2 extension to a listed farm house property situated in Lambourn, Berkshire, we looked to engage traditional building methods to complement the existing historic character of the building. A new timber frame structure helped in delivering a dramatic interior and natural stone walls allowed for the extension to seamlessly blend with the existing structure and add a visual impact to the exterior. PROJECT LOCATION: LAMBOURN, BERKSHIRE DURATION: 7 MONTHS MMKM ARCHITECTURE AND INTERIORS COMPLETION: 2019 The newly built internal areas created a large central hall space with steel french doors opening onto the garden. New contemporary roof glazing, set within the exposed timber frame, ensured the development was clearly identifiable as a new addition. The new bedroom accommodation, and accompanying ensuite bathrooms, added hidden play areas for the homeowners’ children, up at high level in the eaves, accessible only by a quirky sliding library-style ladder. The entire development looked to embrace patina and textured materials- from exposed plasterwork in the new boot room, to refurbished reclaimed internal doors, shutters and window sills. Photography: Ben Pipe Photography 09AM – 4PM CLOSED Copyright © 2023-2025 PJS Building & Maintenance Ltd. All rights reserved",1614.585,,M2,[],PJS,,,,,,,,,2026-03-09,Old
https://pjsbuilds.co.uk/projects/malcolm-road/,Ground Floor Remodel & Kitchen Extension,,Extension,"['https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-rbefore_1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-after_1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-65.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-64.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-before_2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-after_2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-36.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-53.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-47.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-61.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-40.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-33.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-46.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-44.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-37.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-13.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-29.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-20.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-22.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Malcolm-Road-refurbishment-PJS-Builds-18.jpg']","Sketch Architects, working with PJS Builds, had executed a complete ground floor remodel with kitchen extension to a family home in a conservation area of South West London’s Wimbledon. In order to preserve the precious garden space the extension had been kept to a minimum. Previously, the main living room comprised two rooms joined together, compromising the layout of the room. Kitchen and dining room, down a long, narrow hallway, were on separate levels. PROJECT LOCATION: WIMBLEDON, Conservation Area DURATION: 8 MONTHS ARCHITECT: SKETCH ARCHITECTS COMPLETION: NOVEMBER 2022 The new design, with lowered and levelled floors changed that, at the same time creating an easy access to the garden and a good ceiling height of 3 metres in the kitchen area. A series of creative doorways, which include pocket, panelled and glazed doors, that open and close interiors, improved the flow throughout the property and helped to invite plenty of natural light indoors. A small street facing garage to the side of the property has been converted into a boot room and separate utility which links through to the rear of the house and the new kitchen space. Bespoke larder and joinery elements are fitted with pocket doors that can conceal the rear lounge or open it up to reveal the sitting room at the front of the property. Thanks to clever execution of a series of small, yet significant, changes the renovation succeeded in complete revamp of this Edwardian dwelling into a functional and practical space centred around cooking and entertaining the owners love so much. 09AM – 4PM CLOSED Copyright © 2023-2025 PJS Building & Maintenance Ltd. All rights reserved",,,,[],PJS,,,,,,,,,2026-03-09,Old
https://pjsbuilds.co.uk/projects/brompton-square/,Grade II Listed Chelsea Properties,,Loft Conversion,"['https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-20.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-14.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-9.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-7.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-11.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-10.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-23.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-21.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-22.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-24.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-19.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-18.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Brompton-Square-refurbishment-17.jpg']","We recently completed work on two Grade II listed terrace houses situated at Brompton Square. The original listed features had been preserved and their existing non-original mansard structures and dormer windows were removed. The non-original additions were replaced with brickwork to match the existing condition, and a new mansard at loft level. PROJECT LOCATION: CHELSEA DURATION: 12 MONTHS ARCHITECT: MMKM PHOTO: FRENCH + TYE COMPLETION: OCTOBER 2023 The kitchen leads to a large dining space with integrated seating, and the rooms are filled with natural light. Beautiful fluted marble detailing is prominently featured throughout the interiors. These changes improved the heritage asset, they also added additional living spaces to each of the properties. 09AM – 4PM CLOSED Copyright © 2023-2025 PJS Building & Maintenance Ltd. All rights reserved",,,,[],PJS,,,,,,,,,2026-03-09,Old
https://pjsbuilds.co.uk/projects/passivhaus-retrofit-london/,"Lambeth, London",,PassivHaus Retrofit,"['https://pjsbuilds.co.uk/wp-content/uploads/2023/06/Lambeth-before-3.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/Lambeth-after-3.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8147.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/PassivHaus-retrofit-renovation-London-PJS-Builds-7.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/PASSIVHAUS-BEFORE-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/PASSIVHAUS-AFTER-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/PassivHaus-retrofit-renovation-London-PJS-Builds-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8194-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8066.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8174.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8302.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/PassivHaus-retrofit-renovation-London-PJS-Builds-6.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8299.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/PassivHaus-retrofit-renovation-London-PJS-Builds-2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8238.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8246-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2023/06/221004-RDA-140-8232.jpg']","This 1960’s Brutalist/Modernist property situated in Lambeth, London, underwent a complete makeover in order to meet the Passivhaus standards for retrofit and make it function in a modern and sustainable way aiming towards achieving net zero. The three storey property was designed in the ‘upside-down’ style common in the 1960s, with an open plan living space and terrace sitting above the bedrooms on the first floor and ground floor parking and utility area. PROJECT LOCATION: LAMBETH, LONDON DURATION: 5 MONTHS ARCHITECT: RDA ARCHITECTURE + INTERIORS COMPLETION: 2023 An entire house was gutted and redesigned, combining the original design aesthetic with contemporary approach to make it work in today’s environment. Hence majority of its features, decoration and even new furniture and fittings are a massive bow towards the original vision for this property. To improve the energy efficiency of the house, apart from installation of the new energy efficient glazing, all the walls, internally and externally, were insulated to passivhaus standards. On top of that the air-source heat pump, Tesla powerwall, MVHR and hot water tank were installed, and the roof was covered in solar tiles. 09AM – 4PM CLOSED Copyright © 2023-2025 PJS Building & Maintenance Ltd. All rights reserved",,,,[],PJS,,,,,,,,,2026-03-09,Old
https://pjsbuilds.co.uk/projects/onslow-road/,"Victorian, terraced property in Richmond",,Refurbishment,"['https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Rd-before_2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road-after_2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-room-design-2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-entrance-area-3.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Rd-before_1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road-after_1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-roof-and-house-extension.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-room-design.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-room-design-with-fireplace.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-new-kitchen-and-glazed-roof.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-living-and-dining-room-design.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-kitchen-extension.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-front-room-design.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-entrance-door.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-entrance-area.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Onslow-Road_Richmond-luxury-refurbishment-entrance-area-2.jpg']","PJS Builds worked with the Studio Pike architectural designers to execute this stunning transformation of a Victorian terraced house in South West London. The ground floor was extended to the rear in order to accommodate a new, open plan kitchen, living and dining areas. Thanks to the clever use of glazing with clerestory windows, and large glazed, industrial style doors, the indoors can now take a full advantage of natural light. PROJECT LOCATION: Richmond DURATION: 7 MONTHS ARCHITECT: STUDIO PIKE COMPLETION: JANUARY 2022 The entire ground floor was reconfigured and adjusted in order to accommodate the utility room. The works also included a partial reconfiguration and refurbishment of the first floor in order to form a new bathroom to the rear of the property and to relocate the study to the front of the property, where the bathroom was previously featured. 09AM – 4PM CLOSED Copyright © 2023-2025 PJS Building & Maintenance Ltd. All rights reserved",,,,[],PJS,,,,,,,,,2026-03-09,Old
https://pjsbuilds.co.uk/projects/queens-road/,Richmond,,Extension,"['https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-before-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-after-1.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-wardrobe_15.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-staircase-storage_21.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-before-2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-after-2.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-kitchen_32.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation_31.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-wardrobe_14.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-bespoke-wardrobe_25.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation_26.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation_28.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation_27.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-staircase_22.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-bathroom_9.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-bathroom_8.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation_30.jpg', 'https://pjsbuilds.co.uk/wp-content/uploads/2024/07/Queens-Road-Richmond-renovation-kitchen_34.jpg']","The refurbishment of this detached Richmond property involved a ground floor extension with a first floor corner infill extension, and the redesign of the dormer / loft layout with the addition of a new roof. PROJECT LOCATION: RICHMOND DURATION: 10 MONTHS ARCHITECT: COMPLETION: DECEMBER 2023 The existing house was reconfigured as per the architect’s plans and fully refurbished. A new, revised loft layout included a reconfigured roof, with new dormers. Glazing has been replaced throughout, and the oriel window with a seat was added in the open plan kitchen / living area to create a perfect relaxing / reading nook with a view for the entire family to enjoy. 09AM – 4PM CLOSED Copyright © 2023-2025 PJS Building & Maintenance Ltd. All rights reserved",,,,[],PJS,,,,,,,,,2026-03-09,Old
https://www.nmrk.com/en-gb/properties/northolt-68-belvue-road-northolt-lease,"Northolt 68 , Belvue Road, Northolt, England  UB5 5QQ",,Warehouse/Distribution,"['https://s3.amazonaws.com/buildout-production/datas/32262887/81b3c3c604f05a299589803f004ad4e9adc4ed15/full.jpg?1744383991', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzIyNjI4ODcvODFiM2MzYzYwNGYwNWEyOTk1ODk4MDNmMDA0YWQ0ZTlhZGM0ZWQxNS9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0NDM4Mzk5MX0=']","Leasehold - The premises are available by way of a new full repairing and insuring lease for a term of years to be negotiated. Any lease will be contracted outside the provisions of the 1954 Landlord and Tenant Act Part II (as amended). The owners may consider a freehold sale from a credible party.  Location: The property is situated on the Belvue Road which is connected to the Mandeville Road A312 which has direct links onto the A40 leading into Central London and Uxbridge and also in close proximity is the M25 motorway network. The unit is also in close proximity to Northolt Underground station which is on the Central Line, leading into Central London and the wider underground network.",68492,,UB5 5QQ,https://buildout.com/docs/documents/4091474?token=f9553b7de6a601dca2b347984660beb3ccf29d87,Newmark,Joshua Pater,,joshua.pater@nmrk.com,+44 20 3486 3473,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/103-wigmore-street-london-lease,"103 Wigmore Street, London, England  W1U 1QS",,Office Building,"['https://s3.amazonaws.com/buildout-production/datas/32487046/a99a2aaa2fb0b44e7b5c6a1b2b7db1a7bef26800/full.jpg?1747227792', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzI0ODcwNDYvYTk5YTJhYWEyZmIwYjQ0ZTdiNWM2YTFiMmI3ZGIxYTdiZWYyNjgwMC9vcmlnaW5hbC5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1MDAsImhlaWdodCI6NTAwLCJmaXQiOiJpbnNpZGUiLCJ3aXRob3V0RW5sYXJnZW1lbnQiOnRydWV9LCJyb3RhdGUiOm51bGx9LCJ1cGRhdGVkQXQiOjE3NDcyMjc3OTJ9']","2 new Grade A office suites set across the 5th floor. The building benefits from 3 passenger lifts within a newly refurbished lift lobby. There is an onsite property management team and concierge. 5th Floor West - 5,018 sq ft 5th Floor East - 4,703 sq ft  Location: Perfectly positioned near Bond Street, Elizabeth Line, and on the doorstep of the vibrant Marylebone Village,  103 Wigmore Street exemplifies a harmonious fusion of sophistication and versatility.",4822,,W1U 1QS,https://buildout.com/docs/documents/4051373?token=ad68d9bf12422482478d845c69c2a3ca36ba9bc3,Newmark,Rhodri Phillips,,rhodri.phillips@nmrk.com,+44 7768 615296,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/401-n-wabash-ave-chicago-lease,"401 N Wabash Ave, Chicago, IL  60611",,Street Retail,"['https://s3.amazonaws.com/buildout-production/datas/33643375/0ceb26021c7e002e56c7dde9a3cca286473c644b/full.jpg?1761922803', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzM2NDMzNzUvMGNlYjI2MDIxYzdlMDAyZTU2YzdkZGU5YTNjY2EyODY0NzNjNjQ0Yi9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc2MTkyMjgwM30=']",,11586,,,https://buildout.com/docs/documents/3730271?token=94e55bf7de0db1d88c5a9e275db6f21b8978a61f,Newmark,Jim Schutter,,james.schutter@nmrk.com,+1(312)224.3210,,,Leasehold,To Let,2026-03-09,New
https://www.nmrk.com/en-gb/properties/trinity-house-oxford,"Trinity House, Gransington Road, Oxford  OX4 2SU",,Lab,"['https://s3.amazonaws.com/buildout-production/datas/31893302/2dd9ccc8c8aade282465c0e213f3e40c4c00321c/full.jpg?1740128373', 'https://d33y5rc9xva21v.cloudfront.net/eyJidWNrZXQiOiJidWlsZG91dC1wcm9kdWN0aW9uIiwia2V5IjoiZGF0YXMvMzE4OTMzMDIvMmRkOWNjYzhjOGFhZGUyODI0NjVjMGUyMTNmM2U0MGM0YzAwMzIxYy9vcmlnaW5hbC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjUwMCwiaGVpZ2h0Ijo1MDAsImZpdCI6Imluc2lkZSIsIndpdGhvdXRFbmxhcmdlbWVudCI6dHJ1ZX0sInJvdGF0ZSI6bnVsbH0sInVwZGF0ZWRBdCI6MTc0MDEyODM3M30=']","Located at the gateway to the Oxford Business Park, Trinity by Breakthrough is a new addition to Oxford’s thriving research community. Designed to be one of the most sustainable laboratory environments in the world, this amenity-filled building will set a new standard of quality and intentional design, with a focus on purpose-built spaces for science.  Location: Trinity by Breakthrough is situated at the entrance of Oxford Business Park, a renowned mixed-use business environment spanning approximately 88 acres. The area hosts a diverse range of business sectors, including prominent life science companies like Oxford Biomedica, OMass Therapeutics, and Cancer Research UK. Located just under 2 miles southeast of Oxford's city center within the Ring Road, Trinity enjoys excellent road and rail connectivity. Direct access to the Eastern Bypass (A4142), the M30, and the A34 provides convenient routes to the M4, linking London to the East and Bristol to the West. Additionally, the forthcoming Cowley Branch line railway station, a brief 10-minute walk away, will offer direct trains to London from 2026, further enhancing transportation accessibility for businesses at Trinity by Breakthrough.  Highlights: 70% Max Lab to Office ratio Floor plates are fully customisable StudioLabs on the 1st floor Spacious 4.4m floor-to-ceiling heights 220 internal bicycle parking spaces 130 internal car parking spaces 25% electric vehicle parking 8 ACH in Lab Zones Private collaboration zones including plaza and terraces 1000 sqm of living wall BREEAM Outstanding EPC A",17700,,OX4 2SU,,Newmark,Paddy Shipp,,paddy.shipp@nmrk.com,+44 20 3486 3725,,,Leasehold,To Let,2026-03-09,New
