listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://pk3.agency/property/co-op-food-ivc-kilburn-place-didcot-oxfordshire-ox11-9sh/,"Co-Op Food & IVC, Kilburn Place, Didcot, Oxfordshire, OX11 9SH",2720000,Retail and Leisure Retail and Leisure,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/f_auto,q_auto/v1770910987/pk3/properties/images/Screenshot_2026-02-12_at_15-42-57_Coop_IVC_Didcot_2026_052026-02-11.pdf_zk3ugf.webp']","New build convenience store and veterinary practice investment in Didcot, South Oxfordshire 
 
 Didcot is a town in South Oxfordshire located approximately 15 miles south of Oxford, 15 miles northwest of Reading 
 
 The property is situated on Jim Cantore Way approximately 1 mile to the north of Didcot town centre 
 
 Located nearby to the access for Nobel Park, a major residential development of 634 residential dwellings 
 
 The property comprises the ground floor units of a recently developed four storey residential led development 
 
 Units 1-3 let to Co-Operative Group Food Limited for a term of 15 years wef 5th September 2025 
 
 Initial rent of £120,000 per annum to be reviewed five yearly in line with CPI annually compounded (1-3% cap and collar) 
 
 Unit 4 let to Independent Vetcare Limited for a term of 15 years wef 25th September 2025 
 
 Initial rent of £53,500 per annum to be reviewed five yearly in line with CPI annually compounded (1-4% cap and collar) 
 
 Total rental income of £173,500 per annum 
 
 AWULT of 14.60 years to expiries (no breaks) 
 
 Long leasehold for a term of 999 years at a peppercorn ground rent",,,OX11 9SH,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_auto,q_auto/v1770911005/pk3/properties/brochures/Coop_IVC_Didcot_2026_052026-02-11_uico5b.pdf']",PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/nationwide-36-38-albion-street-leeds-ls1-6hx/,"Nationwide, 36-38 Albion Street, Leeds LS1 6HX",4025000,Retail and Leisure Retail and Leisure,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/f_auto,q_auto/v1770910809/pk3/properties/images/Screenshot_2026-02-12_at_15-39-07_Nationwide_Leeds_052026-02-04.pdf_aodxaq.webp']","Prime high street retail investment in Leeds city centre 
 
 Leeds is the principal commercial and cultural centre for West Yorkshire, located 24 miles southwest of York, 33 miles north of Sheffield, 40 miles east of Manchester 
 
 The property is situated on the prime pitch of Albion Street, directly adjacent to the entrance to Trinity Leeds 
 
 Leeds ranks as one of the UK’s strongest retail centres, with over 2.5 million sq ft of retail floor area 
 
 The property comprises an attractive three storey retail premises 
 
 Total floor area of 11,422 sq ft 
 
 Let to Nationwide Building Society wef 15th November 2018, expiring 14th November 2033 (7.9 years unexpired) 
 
 Rental income of £300,000 per annum 
 
 Deed of Variation recently agreed at the tenant’s request to remove the break clause (6 months rent free granted in return) 
 
 Freehold",11422.0,,LS1 6HX,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_auto,q_auto/v1770910789/pk3/properties/brochures/Nationwide_Leeds_052026-02-04_u5pxyr.pdf']",PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/starbucks-unity-j5-of-m18-motorway-doncaster-dn8-5gs/,"Starbucks, Unity - J5 of M18 Motorway, Doncaster DN8 5GS",2310000,Retail and Leisure Retail and Leisure,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/f_auto,q_auto/v1770910596/pk3/properties/images/Screenshot_2026-02-12_at_15-36-27_Starbucks_Doncaster_032026-01-22.pdf_pgne9i.webp']","Prime new build drive thru unit with EV charging in Doncaster, South Yorkshire 
 
 Located adjacent to Doncaster North Services at Junction 5 of the M18 Motorway 
 
 Situated within Unity, a new build mixed-use development by Waystone and Hargreaves Land 
 
 The property comprises a new build drive thru unit with EV charging capacity 
 
 New build drive thru unit of c.1,800 sq ft 
 
 Drive thru let to Starbucks Coffee Company (UK) Ltd 
 
 Fully repairing and insuring lease for a term of 20 years from Practical Completion 
 
 Initial rent of £115,000 (c.£63.88 psf) 
 
 Rent to be reviewed five yearly to RPI annually compounded (1-3% cap and collar) 
 
 A total of 6 x EV charging bays let to E.On Drive Infrastructure UK Limited (guaranteed by E.ON Drive Infrastructure GMBH) for a term of 20 years 
 
 Initial rent of £20,000 per annum on 4 of the 6 bays with a further £10,000 per annum on the two remaining  bays following installation 
 
 Annual rent reviews to CPI (1-3% cap and collar) 
 
 Total rental income of £135,000 per annum 
 
 Practical completion due March 2026 
 
 Freehold",1800.0,,DN8 5GS,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_auto,q_auto/v1770910614/pk3/properties/brochures/Starbucks_Doncaster_032026-01-22_lawpcs.pdf']",PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/12-14a-bath-street-hale-altrincham-wa14-2ej/,"12-14a Bath Street, Hale, Altrincham WA14 2EJ",1000000,Offices Offices,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/f_auto,q_auto/v1770910473/pk3/properties/images/Screenshot_2026-02-12_at_15-33-59_BathSt_Hale_032026-01-13.pdf_dh1lbp.webp']","Unique opportunity to acquire a selfcontained boutique office accommodation in the heart of affluent Hale 
 
 All inclusive plug and play office suites from 2 to 14 persons 
 
 Total area of 3,206 sq ft (GIA) sq ft across 
 
 7 suites in current configuration 
 
 Fully let with a total topped up passing rent of £110,148 per annum 
 
 Net income of £89,930 per annum 
 
 Freehold",3206.0,,WA14 2EJ,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_auto,q_auto/v1770910446/pk3/properties/brochures/BathSt_Hale_032026-01-13_pd9pzi.pdf']",PK3 Agency,,,james@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/asda-express-mesnes-road-wigan-wn1-2dd/,"Asda Express, Mesnes Road, Wigan WN1 2DD",1640000,Retail and Leisure Retail and Leisure,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/f_auto,q_auto/v1770910193/pk3/properties/images/Screenshot_2026-02-12_at_15-29-26_ASDAExpress_Wigan_041769162536000.pdf_ev9tpe.webp']","Prime convenience store investment inWigan, Greater Manchester 
 
 Wigan is a major town in Greater Manchester with a borough population of over 329,000 
 
 Prominent roadside location in a densely populated residential area 
 
 Purpose built convenience store 
 
 Total gross internal floor area of 4,404 sq ft (409.3 sq m) 
 
 Securely let to Asda Stores Limited 
 
 New full repairing and insuring lease for a term of 15 years wef 2nd October 2025, expiring 1st October 2040 
 
 Initial rental income of £100,000 per annum (£22.70 psf) 
 
 Rent to be reviewed 5 yearly in line with CPI (2-4% cap and collar) annually compounded 
 
 Tenant option to renew for a further 15 years. 
 
 Held majority Freehold",4404.0,,WN1 2DD,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_auto,q_auto/v1770910213/pk3/properties/brochures/ASDAExpress_Wigan_041769162536000_b2ajom.pdf']",PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/burger-king-starbucks-green-oaks-way-widnes-wa8-6ub/,"Burger King & Starbucks, Green Oaks Way, Widnes WA8 6UB",4310000,Automotive Automotive,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/v1767968641/pk3/properties/images/b59dec3f-8087-4d61-8b36-83b4aa1a074a.webp']","Long income drive thru and EV charging investment in Widnes, Merseyside Prime location directly outside Green Oaks Shopping Centre, fronting Green Oaks Way New-build, purpose-built drive thru units with 14 x EV charging stations Total combined floor area of 3,643 sq ft with onsite parking for 56 vehicles Unit A to be let to BK UK Devco Limited (t/a Burger King) for a term of 20 years wef Practical Completion subject to tenant break option on 15th anniversary Initial rent of £95,000 per annum (£52.78 psf). Rent to be reviewed 5 yearly upwards only in line with OMRV. First review with subject to a minimum uplift to £110,000 per annum Unit B to be let to 23.5 Degrees Limited (t/a Starbucks) for a term of 20 years wef Practical Completion subject to tenant break option on 15th anniversary Initial rent of £120,000 per annum (£65.11 psf). Rent to be reviewed 5 yearly in line with CPI compounded annually (1-3% cap and collar), capped at 10% over any 5-year period 14 x EV charging stations let to a National EV Operator for a term of 25 years wef Practical Completion subject to tenant break option in year 15 Initial rent of £49,000 per annum (£3,500 per charger) to be reviewed 5 yearly rent reviews in line with CPI annually compounded (1-3% cap and collar) Total contracted rent of £264,000 per annum New long leasehold title for a term of 150 years at peppercorn Opportunity for a forward commitment to purchase",3643.0,,WA8 6UB,"['https://res.cloudinary.com/dlmchvauy/raw/upload/f_auto,q_auto/v1767968643/pk3/properties/brochures/bce59426-3fac-4253-a604-36326db9ad87.pdf']",PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/caff-nero-16-st-anns-square-manchester-m2-7hq/,"Caffè Nero, 16 St Anns Square, Manchester M2 7HQ",1120000,Retail and Leisure Retail and Leisure,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/v1767968636/pk3/properties/images/6e811786-fa8c-43d6-81e4-8f377a778b34.webp']","Prime retail investment in Manchester City Centre Manchester has established itself as the capital of the north, being the largest financial and business centre outside of London, with the economy doubling in value over the last 20 years with a £62bn GVA The city boasts the largest student population within Europe spread across four universities with a population of over 100,000 students St Ann’s Square is considered as one of Manchester City Centres most historic and recognisable public spaces and sits within the heart of the prime retail core The square serves as a key pedestrian throughfare, connecting Deansgate, New Cathedral Street and the Arndale Shopping Centre attracting approximately 30,000 pedestrians on weekends The property comprises a ground floor retail unit and forms part of four storey building of traditional brick construction under a pitched roof. Total floor area of 2,768 sq ft (841 sq ft ITZA) Let to Nero Holdings Limited t/a Caffé Nero 10-year FRI lease wef 15 March 2024, expiring on 14 March 2034 (subject to tenant break option on the sixth anniversary) £80,000 per annum (£95 psf ITZA) on 15 March 2028 Rent to be reviewed on 15 March 2029 on a OMRV basis New long leasehold title for a term of 999 years at peppercorn",2768.0,,M2 7HQ,['https://res.cloudinary.com/dlmchvauy/raw/upload/v1767968637/pk3/properties/brochures/4b30ed2b-612e-4b42-9940-0a486760ece5.pdf'],PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/withers-court-chipping-norton-oxfordshire-ox7-5ab/,"Withers Court, Chipping Norton, Oxfordshire OX7 5AB",2020000,Retail and Leisure Retail and Leisure,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/v1767968621/pk3/properties/images/a649284d-8319-4f66-961f-563e12977c64.webp']","Highly reversionary prime retail and residential investment in Chipping Norton, Oxfordshire. Chipping Norton is a charming market town in Oxfordshire, approximately 20 miles north west of Oxford, 30 miles to the east of Gloucester and 65 miles northwest of London. The immediate locality is made up of attractive period era buildings and provide a mix of commercial and residential dwellings. The property comprises a terrace of high street retail premises of between 3 - 4 storeys, upper floor residential apartment and a separate light industrial workshop to the rear. The ownership includes Your Co-Op food store and parking to the rear (sold off LLH). Total site area of 2.25 acres. Total gross internal floor area of 20,053 sq ft. Let to 9 tenants including The Sue Ryder Care, QD Market Towns and other independent businesses / private individuals. Vendor to provide 12 month rental top ups on the vacant units. AWULT of 3.7 years to expiry, 0.85 years to breaks. Total topped up rental income of £193,200 per annum. Estimated rental value of £297,500 per annum. Freehold",20053.0,2.25,OX7 5AB,['https://res.cloudinary.com/dlmchvauy/raw/upload/v1767968623/pk3/properties/brochures/58d398e9-13a9-48cd-9e75-e7c0d2c8c3a2.pdf'],PK3 Agency,,,mark@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/fluidpower-group-up-limited-caddick-road-knowsley-liverpool-l34-9hp/,"Fluidpower Group UP Limited, Caddick Road, Knowsley, Liverpool L34 9HP",2000000,Industrial Industrial,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/v1767968596/pk3/properties/images/2152882f-e9af-4630-b0c7-b363e13efe0d.webp']","HQ industrial sale and leaseback investment in Knowsley, Merseyside. Knowsley is an established industrial location in the Northwest. Excellent transport communications, with easy access onto Junction 4 of the M57 Motorway, which connects A580 East Lancs Road with M62 Motorway. Industrial premises providing a total gross internal floor area of 30,321 sq ft. The property occupies a total site area of 1.45 acres. From completion the property will be let to Fluidpower Group UK Limited. Fluidpower manufactures and distributes fluid power components and have owner occupied the site since 2012. 10 year lease term from completion. Initial rent of £171,640 per annum (£5.66 psf). 5 yearly upward only rent reviews to RPI annually compounded (1-3% collar and cap). Tenant option to determine on the anniversary of 5th year (subject to break penalty of 6 months rent). Freehold.",30321.0,1.45,L34 9HP,['https://res.cloudinary.com/dlmchvauy/raw/upload/v1767968598/pk3/properties/brochures/42935789-8dda-49b7-9cf3-64ea47dd66fd.pdf'],PK3 Agency,,,mark@pk3.agency,,,,,For Sale,2026-02-20,Old
https://pk3.agency/property/starbucks-heys-lane-great-harwood-blackburn-bb6-7ua/,"Starbucks, Heys Lane, Great Harwood, Blackburn BB6 7UA",2120000,Automotive Automotive,"['https://res.cloudinary.com/dlmchvauy/image/upload/f_webp,q_auto:best,w_800,h_600,c_fill/v1767968638/pk3/properties/images/b061b2c3-3c0a-48e1-8dac-3ccf29a462d0.webp']","New build drive thru unit with EV charging in Great Harwood, Blackburn Blackburn is the core centre of the wider unitary authority area and the second largest town in Lancashire with a population of 154,700 (2021 census) Excellent transport connectivity being located approximately 3 miles from Junction of the M65 Motorway Well located adjacent to Aldi supermarket, nearby to Tesco Superstore and Morrisons Supermarket The property comprises a new build drive thru unit with 6x EV charging bays New build drive thru unit of 1,840 sq ft Total site area of c.0.35 acres Drive thru let to Starbucks Coffee Company (UK) Ltd Fully repairing and insuring lease for a term of 20 years from Practical Completion Low initial rent of £100,000 (£54.00 psf) Rent to be reviewed five yearly to RPI (1-3% cap and collar) EV charging let to E.ON Drive Infrastructure UK Limited (rent guaranteed by E.ON Drive Infrastructure GMBH) for 20 years Initial rent of £24,000 per annum (£4,000 per EV bay) Annual rent reviews to CPI (1-3% cap and collar) Total rental income of £124,000 per annum",1840.0,0.35,BB6 7UA,['https://res.cloudinary.com/dlmchvauy/raw/upload/v1767968640/pk3/properties/brochures/8a73f46b-0615-4d4e-b75a-2def6dd8a25c.pdf'],PK3 Agency,,,sam@pk3.agency,,,,,For Sale,2026-02-20,Old
