listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://pantherplc.com/wp-content/uploads/2019/10/PERTH-220-224-High-Street-_Graham-Sibbald-JUNE-2019.pdf,"220-224 HIGH STREET, PERTH, PH1 5PA",,"Leisure, Retail / Shops",['https://pantherplc.com/wp-content/uploads/2019/10/220_High_Street_Perth-169x125.jpg'],"£29,950 Per Annum Class 3 unit to let on busy high street location",2050.0,,PH1 5PA,['https://pantherplc.com/wp-content/uploads/2019/10/PERTH-220-224-High-Street-_Graham-Sibbald-JUNE-2019.pdf'],Panther Securities,Richard Swan,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2019/03/SCUNTHORPE-177-187-HIGH-STREET-AGENT-PARTICULARS-12.03.2019.pdf,"FORMER RIFT BAR, 177-187 HIGH STREET, SCUNTHORPE",,Leisure,['https://pantherplc.com/wp-content/uploads/2019/03/177-187-HIGH-STREET-SCUNTHORPE-169x95.jpg'],"£68,500 per annum Two storey former restaurant/bar premises with a A4 planning consent.",8912.0,,,['https://pantherplc.com/wp-content/uploads/2019/03/SCUNTHORPE-177-187-HIGH-STREET-AGENT-PARTICULARS-12.03.2019.pdf'],Panther Securities,Richard Swan,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2013/07/BURTON-UPON-TRENT-204-205-Station-Street-Raybould-and-Sons.pdf,"STATION STREET, BURTON ON TRENT",,Offices,['https://pantherplc.com/wp-content/uploads/2013/07/Untitled94f60661b26fc3-169x126.jpg'],"£29,950 pax Double fronted, ground floor lock-up unit with ancillary staff/storage accommodation",1132.0,,,['https://pantherplc.com/wp-content/uploads/2013/07/BURTON-UPON-TRENT-204-205-Station-Street-Raybould-and-Sons.pdf'],Panther Securities,Jack Bispham,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2013/07/MILDENHALL-20a-and-20b-Market-Place-HAZELLS.pdf,"20A & 20B MARKET PLACE, MILDENHALL, IP28 7EF",,Offices,['https://pantherplc.com/wp-content/uploads/2013/07/MILDENHALL-20A-20B-MARKET-PLACE-photo114be015d010276-169x126.jpg'],"£17,500 pax per suite Two first floor suites with various offices and meetings rooms, WC’s and a communal car park with parking for one vehicle per suite.",3228.0,,IP28 7EF,['https://pantherplc.com/wp-content/uploads/2013/07/MILDENHALL-20a-and-20b-Market-Place-HAZELLS.pdf'],Panther Securities,,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2019/02/PERTH-72-St-John-Street-1.pdf,"72 ST. JOHN STREET, PERTH, PH1 5SP",,Retail / Shops,['https://pantherplc.com/wp-content/uploads/2019/02/Brook-taverner-perth-169x127.jpg'],ROA Self contained ground floor retail unit with basement storage.,2709.0,,PH1 5SP,['https://pantherplc.com/wp-content/uploads/2019/02/PERTH-72-St-John-Street-1.pdf'],Panther Securities,Richard Swan,,,01707 667300,,,,,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2018/08/Springburn-Shopping-Centre-BROCHURE-merged.pdf,"SPRINGBURN SHOPPING CENTRE, GLASGOW",,Retail / Shops,['https://pantherplc.com/wp-content/uploads/2018/08/SIGNAGE-169x113.jpg'],"POA 32 units of varying sizes totalling over 75,000 sq ft and benefiting from 270 car parking spaces.",,,,['https://pantherplc.com/wp-content/uploads/2018/08/Springburn-Shopping-Centre-BROCHURE-merged.pdf'],Panther Securities,Richard Swan,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2018/08/BRADFORD-34-DARLEY-STREET-Heaney-Micklethwaite-1.pdf,"34 DARLEY STREET, BRADFORD BD1 3HN",,Retail / Shops,['https://pantherplc.com/wp-content/uploads/2018/08/34-DARLEY-STREET-169x106.jpg'],"£20,000 pax Large corner retail unit with additional basement storage/staff area.",1831.0,,BD1 3HN,['https://pantherplc.com/wp-content/uploads/2018/08/BRADFORD-34-DARLEY-STREET-Heaney-Micklethwaite-1.pdf'],Panther Securities,Jack Bispham,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2017/01/Falkirk-31.03.2022.pdf,"HIGH STREET, FALKIRK",,Retail / Shops,['https://pantherplc.com/wp-content/uploads/2017/01/0045-169x127.jpg'],"See brochure Various retail units, arranged over multiple floors, with ancillary storage space.",,,,['https://pantherplc.com/wp-content/uploads/2017/01/Falkirk-31.03.2022.pdf'],Panther Securities,Richard Swan,,,01707 667300,,,,,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2014/01/NEWCASTLE-36-40-Clayton-Street-Naylors-particulars-04.02.2019.pdf,"36-40 CLAYTON STREET, NEWCASTLE UPON TYNE, NE1 5PF",,Retail / Shops,['https://pantherplc.com/wp-content/uploads/2014/01/36-40-Clayton-Street-Newcastle-169x123.jpg'],"£70,000 pax 5 storey corner retail unit with a total floor area circa 8,400 sq ft.",5777.0,,NE1 5PF,['https://pantherplc.com/wp-content/uploads/2014/01/NEWCASTLE-36-40-Clayton-Street-Naylors-particulars-04.02.2019.pdf'],Panther Securities,Jack Bispham,,,01707 667300,,,,To Let,2026-03-09,New
https://pantherplc.com/wp-content/uploads/2014/01/BRADFORD-26-Darley-Street-DMA.pdf,"26 DARLEY STREET, BRADFORD, WEST YORKSHIRE, BD1 3HH",,Retail / Shops,['https://pantherplc.com/wp-content/uploads/2014/01/Darley-and-Duke-Street-Bradford-BD1-3ND-27.02.16.-07-169x113.jpg'],"£32,500 pax Large retail unit split over four floors.",6364.0,,BD1 3HH,['https://pantherplc.com/wp-content/uploads/2014/01/BRADFORD-26-Darley-Street-DMA.pdf'],Panther Securities,Jack Bispham,,,01707 667 300,,,,To Let,2026-03-09,New
