listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.potterassociates.co.uk/property/254/,WINDSOR – PRESTIGE OFFICES – PRE-LET SOUGHT,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_709e5819397745b78919bf6bac4d37abmv2.png', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_f1f0115c4f3745228d8548d82a21cf45mv2.png']","Proposed prestige two-storey office development within Windsor Town Centre with an approximate floor area of 20,000 sq ft (1,858 sq. m). Windsor & Eton Central and Riverside rail stations are a short walk providing excellent access to London (via the Elizabeth line and Waterloo) along with access to the West (Reading and the South West). Windsor has excellent road communications with Junction 6 of the M4 being a 5-minute drive which provides links to the M25 London orbital Motorway and the rest of the nations network.",20000.0,,,[],Potter Associates,,,,,,,,,2026-02-20,Old
https://www.potterassociates.co.uk/property/minton-place-victoria-street-windsor-berkshire-sl4-1eg/,Minton Place Victoria Street Windsor Berkshire SL4 1EG,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2024/02/73DD71A3-281F-440A-8987-C1FA75828CCC-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/1E6490CF-2BA8-40C5-8E5E-F99761B50749-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000500-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/761726B4-177A-4364-8CF7-6A831D9C8B80-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/L1000496-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000496-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000495-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000497-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/L1000491-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/L1000493-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/L1000499-copy-2-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/393CF873-6079-421D-A24E-35F213D47EDD-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/02/7639ECFD-D0E0-484F-AA9D-5A52B14FC0DD-scaled.jpg']","Minton Place is a modern purpose built office building located in the centre of Windsor within a short walk of all the local amenities, shops, cafes and restaurants and close to the main shopping areas of Peascod Street and Windsor Yards. In addition, on the ground floor is a large 24-hour gymnasium plus to childrens activity play centres on William Street. The offices provide one large open plan area to allow individual businesses to design their own hybrid way of working with plus a section of individual offices/meeting rooms. Air conditioning LED lighting with Suspended ceiling Raised floors Manned reception Capped off services for kitchen installation Carpeted throughout Male and Female WC’s Showers Cycle storage Location Minton Place is a modern purpose built office building located in the centre of Windsor within a short walk of all the local amenities, shops, cafes and restaurants and close to the main shopping areas of Peascod Street and Windsor Yards. In addition, on the ground floor is a large 24-hour gymnasium plus to childrens activity play centres on William Street. Accomodation ACCOMODATION Third Floor Suite 1 4,263.00 sq ft (396.00 sq m) Suite 2 1,890.00 sq ft (175.57 sq m) Total 6,153.00 sq ft (571.57 sq m) Terms TERMS The accommodation is being offered on very flexible lease terms by negotiation. Rent RENT Quoting rent – £32.00 psf. Viewings VIEWINGS Strictly by prior appointment via the sole agent Mark Potter T: 07970 783107 O: 01753 303322 E: mpotter@potterassociates.co.uk W: www.potterassociates.co.uk",6153.0,,SL4 1EG,['https://www.potterassociates.co.uk/wp-content/uploads/2024/02/Combined-Suites-Minton-Place-Windsor-Launch-Particulars-111022.pdf'],Potter Associates,Mark Potter,,mpotter@potterassociates.co.uk,07970 783107,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/27-william-street-windsor-berkshire-sl4-1bb-2/,27 William Street Windsor Berkshire SL4 1BB,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2025/02/IMG_2422-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/02/IMG_2428-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/02/IMG_2420-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/02/IMG_2419-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/02/IMG_2417-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/02/IMG_2421-scaled.jpg']","The unit comprises a former bar laid out as a large open plan area with fitted bar to the rear of the trading area. It is situated on the ground floor with excellent frontage on to William Street and a small, fenced patio area. The previous occupiers have left the bar in-situ and chiller unit, which could be left in place subject to negotiations. To the rear of the bar is a tiled kitchen area and storage room previously used as a beer cellar. Male and female WC’s and staff changing facilities/locker room and WCs are provided. Loading access is via double doors off James Street. Location Windsor is approximately 2 miles from junction 6 of the M4 motorway providing excellent access to the M25 and the nations motorway network. Heathrow Airport is a 15-minute drive. The town has two rail stations serving London Paddington/City (Elizabeth line) and London Waterloo and the Southwest. The unit is situated on William Street within the town centre and just of the main shopping area of Peascod Street and the popular Windsor Yards shopping centre. Local occupiers include The Royal Mail, Subway, Nationwide Bank, The Jelly Lounge and The Little Gym. Accommodation Ground floor bar Kitchen Store WC’s Staff locker room Total 5,313 SQ FT (493.60 SQ M). Terms The accommodation is being offered on a new lease terms for a maximum term certain of three years. Rent Guide rent £70,000 pax . VAT Unless otherwise stated rents and prices referred to or quoted in connection with this property do not include VAT which may be chargeable. Business Rates We are verbally advised by RBWM that the business rates from April 2023 are £47,000.00 pa. Please make your own enquiries 01753 683800 EPC Energy rating B38. Planning Use Sui Generis – Please make your own enquiries with RBWM for your proposed use 01753 683800.",5313.0,,SL4 1BB,['https://www.potterassociates.co.uk/wp-content/uploads/2025/02/27-William-Street-Windsor-Particulars-180225.pdf'],Potter Associates,,,,01753 683800,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/257/,"MINTON PLACE WINDSOR – SELF CONTAINED OFFICES – 4,263 SQ FT TO LET",,,"['https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_9c385bdef3fc4308b8f678b01d5b281fmv2.png', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_ccfe7a0e6a694608a2f4db820c1868b1mv2-e1679313725436.png', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_2a2102387d284c3fb9bd534510536b3fmv2.png', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_0acdc17054e240d99bc736891dcc4082mv2.png', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_ac1630aacd414457923e0a748b7bc993mv2.png', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/03/f818d1_fcb42914e1c84b1b9ea92927f9f90104mv2.png']","LOCATION Minton Place is situated in the heart of Windsor town centre. It is a short walk to Windsor & Eton Central station providing services into London Paddington, The City, Canary Wharf via the Elizabeth Line and to the West. Windsor and Eton Central Station provides services to London Waterloo. Junction 6 the M4 motorway is a 5-minute drive connecting with the M25 and the rest of the nations motorway network. Heathrow Airport is a 15 minute drive. DESCRIPTION Minton Place is a modern purpose built office building located in the centre of Windsor within a short walk of all the local amenities, shops, cafes and restaurants and close to the main shopping areas of Peascod Street and Windsor Yards. In addition, on the ground floor is a large 24-hour gymnasium plus to childrens activity play centres on William Street. The offices provide one large open plan area to allow individual businesses to design their own hybrid way of working with: • Air conditioning • LED lighting • Suspended ceiling • Raised floors • Manned reception • Capped off services for kitchen installation • Carpeted throughout • Male and Female WC’s • Showers • Cycle storage • ACCOMODATION Third Floor Suite 2 4,623.00 sq ft (429.44 sq m) Total 4,623.00 sq ft (429.44 sq m0 TERMS The accommodation is being offered on very flexible lease terms by negotiation. RENT Upon Application. VAT Unless otherwise stated rents an prices referred to or quoted in connection with this property do not include VAT which may be chargeable. BUSINESS RATES Please make your own enquiries with RBWM 01753 683800 EPC Energy rating E LEGAL COSTS Each party to bear their own VIEWINGS Strictly by prior appointment via the sole agent Mark Potter",4263.0,,,['https://www.potterassociates.co.uk/wp-content/uploads/2023/08/Minton-Place-Windsor-Launch-Particulars-111022.pdf'],Potter Associates,Mark Potter,,,01753 683800,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/unit-6-windsor-business-centre-vansittart-industrial-estate-windsor-berkshire-sl4-1sp/,Unit 6 Windsor Business Centre Vansittart Industrial Estate Windsor Berkshire SL4 1SP,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2024/09/IMG_1678-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/09/IMG_1679-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/09/IMG_1680-scaled.jpg']","The unit comprises a modern end of terrrace light industrial/warehouse unit with clear storage and ancillary offices. and end of terrace. Loading is via a roller shutter door. Location The unit is situated on the well establish Vansittart Industrial Estate being close to the M4 and M2 motorway access via rail is through the Windsor and Eton Central Station ( Elizabeth Line) and Windsor and Eton Riverside Station ( Waterloo). Windsor Town Centre i a 10 minute walk. Accommodation Ground Floor & First Floor 2,990 sq ft ( 277.75 sq m) Total 2,990 sq ft ( 277.75 sq m) Amenities 4 Parking Spaces Roller Shutter Dooor WC's Offices",3110.0,,SL4 1SP,['https://www.potterassociates.co.uk/wp-content/uploads/2024/09/Unit-6-Windsor-Business-Centre-Launch-280624-1.pdf'],Potter Associates,,,,,,,,,2026-02-20,Old
https://www.potterassociates.co.uk/property/suite-1-third-floor-minton-place-victoria-street-windsor-berkshire-sl4-1eg/,Suite 1 Third Floor -Minton Place Victoria Street Windsor Berkshire SL4 1EG,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2023/09/393CF873-6079-421D-A24E-35F213D47EDD-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000499-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000493-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/E405D3CE-0100-4119-87B3-4D8B08607DF0-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000495-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000501-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000496-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000497-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/73DD71A3-281F-440A-8987-C1FA75828CCC-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/09/L1000492-scaled.jpg']","We are offering Suite 1 on the third floor of 1,890 sq ft in Minton Place a modern purpose built office building located in the centre of Windsor within a short walk of all the local amenities, shops, cafes and restaurants and close to the main shopping areas of Peascod Street and Windsor Yards. I LOCATION Minton Place is situated in the heart of Windsor town centre. It is a short walk to Windsor & Eton Central station providing services into London Paddington, The City, Canary Wharf via the Elizabeth Line and to the West. Windsor and Eton Central Station provides services to London Waterloo. Junction 6 the M4 motorway is a 5-minute drive connecting with the M25 and the rest of the nations motorway network. Heathrow Airport is a 15 minute drive. DESCRIPTION Minton Place is a modern purpose built office building located in the centre of Windsor within a short walk of all the local amenities, shops, cafes and restaurants and close to the main shopping areas of Peascod Street and Windsor Yards. In addition, on the ground floor is a large 24-hour gymnasium plus to childrens activity play centres on William Street. The offices provide one large open plan area to allow individual businesses to design their own hybrid way of working with: Air conditioning LED lighting Suspended ceiling Raised floors Manned reception Capped off services for kitchen installation Carpeted throughout Male and Female WC’s Showers Cycle storage ACCOMMODATION Third Floor Suite 1 1,890.00 sq ft (175.56 sq m) TERMS Terms Available on a lease for a term to be agree at a quoting rent of £32.00 psf. VAT Terms Available on a lease for a term to be agree at a quoting rent of £32.00 psf. VAT Unless otherwise stated rents an prices referred to or quoted in connection with this property do not include VAT which may be chargeable. BUSINESS RATES We are verbally advised that the current business rates are £45,750. Please make your own enquiry with RBWM tel 01628 683800. VIEWING Through sole agents Potter Associates - Mark Potter Tel: 01753 303322 E: mpotter@potterassociates.co.uk",1890.0,,SL4 1EG,['https://www.potterassociates.co.uk/wp-content/uploads/2023/09/jpg2pdf.pdf'],Potter Associates,Mark Potter,,mpotter@potterassociates.co.uk,01628 683800,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/short-term-retail-unit-to-let-9-william-street-windsor-town-centre-location-parking-nearby/,9 William Street Windsor Berkshire SL4 1BB,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2025/04/IMG_0966-1-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/04/IMG_0965-1-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/04/IMG_0968-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/04/IMG_0964-1-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/04/IMG_0963-1-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/04/L1000522-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2025/04/L1000519-scaled.jpg']","TO LET SHORT TERM RETAIL UNIT WITH ANCILLARY FIRST FLOOR APPROX 1,808.52 (168 SQ M) Location Windsor is approximately 2 miles from junction 6 of the M4 motorway providing excellent access to the M25 and the nations motorway network. Heathrow Airport is a 15-minute drive. The town has two rail stations serving London Paddington/City (Elizabeth line) and London Waterloo and the South West. The unit is situated on William Street within the town centre and just of the main shopping area of Peascod Street and the popular Windsor Yards shopping centre. Local occupiers include The Royal Mail, Nationwide Bank, Berrys’ Jewellers, Greggs and Café Nero. Description The unit comprises a lock up retail unit with WC and ancillary first floor office/staff room. Formally occupied as a Subway sandwich shop. Loading access is via doors off J Accomodation Ground floor 1,528.63 sq ft (142.00 sq m) First floor 279.89 sq ft (26 sq m) Total 1,808.52 sq ft (168.00 sq m) ITZA 933.00 sq ft (86.67 sq m) Terms The accommodation is being offered on a new short term lease for up to five years with a rolling mutual break option at the end of year 2 subject to 6 months notice. Rent Guide rent is £42,500 pax. VAT The property is elected for VAT. Business Rates We are verbally advise by RBWM that the rateable value for the current year is £37,750.00 (April2025). Please make your own enquiries. EPC Energy rating D88 Planning Class E – Please confirm with RBWM for your proposed use Legal Costs Each party to bear their own Viewing Strictly by prior appointment via the sole agent Potter Associates: Mark Potter T: 01753 303322 or 07970 783107 E: mpotter@potterassociates.co.uk W: www.potterassociates.co.uk REF: PA0044",1802.52,,SL4 1BB,['https://www.potterassociates.co.uk/wp-content/uploads/2025/04/Launch-Particulars-090224.pdf'],Potter Associates,Mark Potter,,mpotter@potterassociates.co.uk,01753 303322,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/regency-house-4-clarence-road-windsor-berkshire-sl4-5ad/,Regency House 4 Clarence Road Windsor Berkshire SL4 5AD,,,['https://www.potterassociates.co.uk/wp-content/uploads/2023/04/IMG_9492-2-scaled.jpg'],"Excellent Budget town centre offices/studio with the ability for various uses Windsor Town Centre LOCATION Windsor is approximately 2 miles from junction 6 of the M4 motorway providing excellent access to the M25 and the nations motorway network. Heathrow Airport is a 15 minute drive. The town has two rail stations serving London Paddington/City ( Elizabeth line) and London Waterloo and the South West. DESCRIPTION The suite is situated at first floor level with its own front door and comprises a mainly open plan are with two self-contained offices to the front. Heating/ventilation is provided by a mixture of gas fired central heating and air conditioning. A kitchen is provided with a sink, built in fridge, ishwasher and microwave. ACCOMODATION First floor 1,400 sq ft (130.00 sq m) Total 1,400 sq ft (130.00 sq m) TERMS The accommodation is being offered on a new lease terms by negotiation. RENT £14,000.00 per annum exclusive. VAT Unless otherwise stated rents an prices referred to or quoted in connection with this property do not include VAT which may be chargeable. BUSINESS RATES We are verbally advise by RBWM that the rateable value for the current year is £22,000 Please make your own enquiries. EPC Energy rating E108 PLANNING USE Class E – Please confirm with RBWM for your proposed use. LEGAL COSTS Each party to bear their own VIEWINGS Strictly by prior appointment via the sole agent Mark Potter T: 07970 783107 E: mpotter@potterassociates.co.uk W: www.potterassociates.co.uk",1400.0,,SL4 5AD,['https://www.potterassociates.co.uk/wp-content/uploads/2025/04/Launch-Particulars-120425-1.pdf'],Potter Associates,Mark Potter,,mpotter@potterassociates.co.uk,07970 783107,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/11-william-street-windsor-berkshire-sl4-1bb/,11 William Street Windsor Berkshire SL4 1BB,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2023/07/IMG_0484-scaled.jpeg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/07/IMG_0487-scaled.jpeg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/07/IMG_0489-scaled.jpeg', 'https://www.potterassociates.co.uk/wp-content/uploads/2023/07/IMG_0236-scaled.jpeg']","The unit comprises a lock up retail unit with WC and small storage to the rear. Loading access is available through rear access doors off James Street. Location Windsor is approximately 2 miles from junction 6 of the M4 motorway providing excellent access to the M25 and the nations motorway network. Heathrow Airport is a 15-minute drive. The town has two rail stations serving London Paddington/City (Elizabeth line) and London Waterloo and the South West. The unit is situated on William Street within the town centre and just of the main shopping area of Peascod Street and the popular Windsor Yards shopping centre. Local occupiers include The Royal Mail, Subway, Nationwide Bank, Berrys’ Jewellers, and Café Nero. Parking may be available under a separate licence subject to availability Accomodation Ground floor 645.80 sq ft (59.9 sq m) Total 645.80 sq ft (59.9 sq m) ITZA 446.75 (41.5 sq m) approx Terms The accommodation is being offered on a new short term lease. Business Rates We are verbally advise by RBWM that the rateable value for the current year is £19,000.00 (April 2023). Please make your own enquiries. EPC Energy rating D82 Planning We are verbally advised that the planning use is Class E – Please confirm with RBWM for your proposed use",645.8,,SL4 1BB,['https://www.potterassociates.co.uk/wp-content/uploads/2023/04/2-scaled.jpg'],Potter Associates,,,,,,,,To Let,2026-02-20,Old
https://www.potterassociates.co.uk/property/689/,19 St Leonards Road Windsor Berkshire SL4 3BP,,,"['https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000566-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000561-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000557-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000565-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000562-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000553-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000552-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000571-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000567-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000568-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000560-scaled.jpg', 'https://www.potterassociates.co.uk/wp-content/uploads/2024/03/L1000554-scaled.jpg']","The property comprises an older style Victorian end of terrace retail unit at ground floor level together with internally accessed administrative and storage accommodation at first floor level. A small yard area is to the rear providing access to the car parking area.The property was previously used as an independent ladies fashion shop and is fitted out with shelving, ceramic tiles to the floor and is presented in very good condition. A WC is located on the ground floor. Parking is provided to the rear totalling 6 parking spaces. The first floor could be converted to residential use subject to gaining the necessary planning consent. Parking Six Spaces to the rear Lighting Various LED and Spot Lighting needs updating Security Metal security grills to all windows and door Accommodation Ground Floor 374.10 sq ft (34.80 sq m) First Floor 240.81 sq ft (22.37 sq m) Total 615.00 sq ft (57.17 sq m) Location Windsor is approximately 2 miles from junction 6 of the M4 motorway providing excellent access to the M25 and the nations motorway network. Heathrow Airport is a 15-minute drive. The town has two rail stations serving London Paddington/City (Elizabeth line) and London Waterloo and the South West. Terms The property is available for sale freehold with vacant possession with offers in excess of £495,000.00. Business Rates We are verbally advise by RBWM that the rateable value for the year 2024/25 is £14,000.00. Please make your own enquiries with www.voa.gov.uk EPC Energy rating 89D ( this could be improved with the installation of a modern heating system). VAT Unless otherwise stated prices referred to or quoted in connection with this property do not include VAT which may be chargeable.",615.0,,SL4 3BP,['https://www.potterassociates.co.uk/wp-content/uploads/2024/04/Launch-Particulars-180424.pdf'],Potter Associates,,,,,,,Freehold,For Sale,2026-02-20,Old
