listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://mypropertymarketplace.co.uk/property/69971a1ebc56cbb2b54c4447,"Draycott Avenue, Taunton, TA2 7QG",325000,HMO,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_9-1771510257096.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_12-1771510256664.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_3-1771510256742.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_1-1771510256777.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_14-1771510256813.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_17-1771510256853.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_5-1771510256888.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_22-1771510256952.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_13-1771510256985.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_5-1771510257026.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_12-1771510257064.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_18-1771510257133.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_10-1771510257165.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_8-1771510257201.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_12-1771510257233.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_6-1771510257269.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_13-1771510257303.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_3__Draycott_Avenue__Taunton__TA2_7QG_1-1771510257337.jpg']",,1055.0,,TA2 7QG,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/6996e071bc56cbb2b54bf154,"Church Road, Halewood, Liverpool, L26 6LB",488000,Housing Association,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_4__Church_Road__Halewood__Liverpool__L26_6LB_14-1771495064968.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_4__Church_Road__Halewood__Liverpool__L26_6LB_11-1771495065159.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_4__Church_Road__Halewood__Liverpool__L26_6LB_15-1771495065285.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_4__Church_Road__Halewood__Liverpool__L26_6LB_22-1771495065382.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_4__Church_Road__Halewood__Liverpool__L26_6LB_14-1771495065490.jpg']",,,,L26 6LB,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/6996e06fbc56cbb2b54bf140,"Wood Road, Liverpool, L26 1UZ",574000,Housing Association,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_8-1771493874744.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_10-1771493875174.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_14-1771493874410.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_15-1771493874534.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_20-1771493874635.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_19-1771493874846.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_19-1771493874952.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_8-1771493875064.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_14__Wood_Road__Liverpool__L26_1UZ_0-1771493874227.jpg']",,1572.0,,L26 1UZ,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/6995e75fbc56cbb2b54b385f,"Station Street, Barry, CF63 4LW",165000,Development Opportunity,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_21-1771431723303.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_20-1771431723554.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_7-1771431723667.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_13-1771431723776.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_8-1771431723896.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_7-1771431724008.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_19-1771431724167.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_10-1771431724275.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_0-1771431724386.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_0-1771431724505.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_0-1771431724675.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_0-1771431724771.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_8-1771431724868.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_21-1771431724988.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_21-1771431725109.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_11-1771431725226.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_77__Station_Street__Barry__CF63_4LW_9-1771431725354.png']",,1314.0,,CF63 4LW,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/6995e4eabc56cbb2b54b34bc,"Middle Road, Cwmbwrla, Abertawe, SA5 8HE",92000,Buy To Let,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_20-1771431136372.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_15-1771431136573.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_5-1771431136736.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_4-1771431136865.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_16-1771431136994.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_18-1771431137135.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_0-1771431137276.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_17-1771431137407.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_5-1771431137529.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_12-1771431137830.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_17-1771431137971.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_12-1771431138107.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_15-1771431138251.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_14-1771431138388.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_11-1771431138522.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_20-1771431138657.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_12-1771431138955.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_21-1771431138795.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_123__Middle_Road__Cwmbwrla__Abertawe__SA5_8HE_3-1771431137661.png']",,926.0,,SA5 8HE,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/6995d98abc56cbb2b54b2349,"Furness Street, Hartlepool, TS24 8DN",70000,Housing Association,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_19-1771428203397.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_1-1771428203190.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_22-1771428203093.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_11-1771428203220.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_2-1771428203249.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_18-1771428203003.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_17-1771428203362.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_19-1771428203157.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_16-1771428203334.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_16-1771428203130.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_14-1771428203477.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_17__Furness_Street__Hartlepool__TS24_8DN_2-1771428203275.jpeg']",,657.0,,TS24 8DN,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/6995aef1bc56cbb2b54af553,"Wells Road, Doncaster, DN2 4HQ",95000,Buy To Let,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_0-1771417298018.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_5-1771417297602.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_13-1771417297660.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_12-1771417297709.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_10-1771417297797.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_2-1771417297865.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_10-1771417297911.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_14-1771417297964.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_19-1771417298062.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_12-1771417298104.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_2__Wells_Road__Doncaster__DN2_4HQ_14-1771417297502.jpeg']",,711.0,,DN2 4HQ,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/699445d9bc56cbb2b549d425,"Spring Street, Dowlais, Merthyr Tudful, CF48 3RR",70000,Buy To Let,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_15-1771324760962.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_0-1771324761190.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_20-1771324761338.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_18-1771324761489.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_8-1771324761707.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_20-1771324761921.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_4-1771324762137.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_8-1771324762303.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_0-1771324762470.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_9-1771324762640.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_4-1771324762798.png', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_40__Spring_Street__Dowlais__Merthyr_Tudful__CF48_3RR_9-1771324762988.png']",,549.0,,CF48 3RR,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/698f5785bc56cbb2b544d43f,"Stranton Street, Stockton-on-tees, TS17 6LL",160000,HMO,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_2-1771001547797.jpg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_4-1771001392307.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_12-1771001392410.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_11-1771001392445.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_8-1771001392485.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_3-1771001392524.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_22-1771001392561.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_0-1771001392615.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_3-1771001392651.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_1-1771001392690.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_15-1771001392724.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_1-1771001392760.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_0-1771001392796.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_6__Stranton_Street__Stockton-on-tees__TS17_6LL_22-1771001392829.jpeg']",,1034.0,,TS17 6LL,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
https://mypropertymarketplace.co.uk/property/698f4fc5bc56cbb2b544bfbc,"London Street, Fleetwood, FY7 6EU",280000,Buy To Let,"['https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_109__London_Street__Fleetwood__FY7_6EU_16-1770999734258.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_109__London_Street__Fleetwood__FY7_6EU_7-1770999734357.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_109__London_Street__Fleetwood__FY7_6EU_10-1770999734394.jpeg', 'https://d2qk9p4i741zfu.cloudfront.net/uploads/whitelabel/tvamedias_109__London_Street__Fleetwood__FY7_6EU_1-1770999734434.jpeg']",,,,FY7 6EU,[],Property Sourcers 4 U,,,,,,,Freehold,For Sale,2026-02-20,Old
