listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://rarecommercialproperty.co.uk/find-a-property/properties/10350-inspired-bracknell,"Inspired, Easthampstead Road, Bracknell, RG12 1YQ",,Offices,"['https://as-images.imgix.net/fb555413463125a0072eec721a528651-screenshot-20240905-at-114720.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/a4cbeafc73a4ceb8e032daad2158cdea-screenshot-20240905-at-114729.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/7d0ecf22e4ce6baf603a26c9eecd8730-letting10350.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/99008ac1f347f52c8eece489414f5630-letting10350.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/a4bd267bc850cbb1b945bb692b9dd149-screenshot-20240118-at-162340.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/277770a4ba391bac3eb321302ead9ca3-screenshot-20240905-at-114705.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/e73bebc37f537e519f25c198776c5a53-screenshot-20240905-at-114740.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/b1582432a92da36e92ed7fd3d9a01178-screenshot-20240905-at-114734.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/65c17f3fb191453fb50f4ed23797a703-screenshot-20240118-at-162349.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/5408e7f81b59ce6a7310e7b90a4aa636-screenshot-20240118-at-162329.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/59cd9bd8e31236e7e7e9a5f908632fbc-screenshot-20240905-at-114712.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/dcea96c1a019bba43ea805bcd47468b1-screenshot-20240905-at-114659.png?h=1280&w=1920&fit=crop']","Recently Completed an Extensive Refurbishment Key Points Brand New VRF Air-Conditioning System Solar PV Cells being installed New Boiler System New Atrium Cafe New LED Lighting Two 10 person passenger lifts Description Bracknell has a highly skilled and affluent catchment area which boasts excellent leisure and educational facilities as well as access to the beautiful surrounding countryside. The town provides easy access to Heathrow and Gatwick airports, and a commuter train service facilitates access to Clapham Junction, London Waterloo and Reading. Inspired is prominently located on Easthampstead Road close to the town centre, which is currently being redeveloped. Available area Name sq ft sq m Tenure Availability 1st - Suite 2,843 264.12 To Let Available Ground - Refurbished 7,765 721.39 To Let Available",2843.0,,RG12 1YQ,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/cdf5b2ed347ed40c921e16ca19727124-inspired-brochure-feb-26.pdf'],Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/20824-one-forbury-place-forbury-road-reading,"ONE Forbury Place, Forbury Road, Reading, RG1 3JH",,Offices,"['https://as-images.imgix.net/eddcf368a098d66e337815e81c31e26a-gallery_office_22.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/b34ceaf37c628e8570cbb45b88e42b72-1%20Forbury%20Exterior.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/61e7129bdc56a7cc82a8fed9370e3e08-Screenshot%2020221019%20at%20171700.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/1cc28e21c7ad2fe740fed578e9a8eb56-gallery_office_32.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/307359da8ca8c09e4514508135b01f09-Screenshot%2020221019%20at%20171652.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/0d0cb37d3ecf31a7024666a5adb23752-IMG_1764.JPG?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/26a8984ff73c2ed2b89aa88c7ab5130a-gallery_office_42.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/a60806ecd08a084de40d8ba92b0eb6f0-gallery_office_6.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/0e7950e776d13623c4730ca0eb69a2eb-IMG_1763.JPG?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/f52fddaf0a7fec14926241d272811002-DJI_0158.jpeg?h=1280&w=1920&fit=crop']","One Forbury Place offers fully fitted Grade A office space of 4,390 - 58,744 SQFT & available on flexible leasing terms Available area The accommodation comprises of the following Name sq ft sq m Availability 2nd 27,177 2,524.83 Available 3rd 27,177 2,524.83 Available 6th - part floor 4,390 407.84 Available Total 58,744 5,457.50 Specifications One Forbury Place is an architecturally stunning office building offering: • Large flexible floor plates of 27,200 sq ft • Fully fitted “plug and play” workspace • ‘Spaceflex’ – a concept allowing occupiers to take ‘net-net’ space and use meeting room suite only when required • Impressive double height reception • On-site coffee shop serving Costa Coffee • On-site restaurant • Atrium business lounge • Use of conference centre and meeting room suite • Showers, lockers and cycle storage • 1:823 sq ft parking ratio – 71 spaces • Vehicle charging points • Flexible leases from just 24 months • Significant signage and branding opportunities • A short walk to Reading train station • Overlooking Forbury Gardens • Further space may be available",4390.0,,RG1 3JH,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/38923c58772c1acd195e9cf8f0c947a3-ONE%20Forbury%20Place%20Brochure.pdf'],Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/192074-the-forum-station-road-reading,"The Forum, Station Road, Forum, Reading, RG7 4RA",,Offices,"['https://as-images.imgix.net/d5264f76925a6ad44405729914df8097-image.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/cd84f733b17d1b3ac830ae89c33c1d21-image.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/20f423d3175f01783dff0d0f7e2a2311-image.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/25d9cc426deb85b505453b76a5ee0d6c-image.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/8ddf4e989d912b7199a9534a399e9644-image.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/039218472ece1d7aea0400284d3aa995-loxone.png?h=1280&w=1920&fit=crop']","Fully fitted Plug & Play Office Space Available on Flexible terms Description Plug & Play Office Space; Desks, Chairs & CAT 5 Wiring are all in place ready to go Comfort cooling Air Conditioning Suspended ceilings Parking 1:212 sqft (10 spaces) 24 Hour CCTV Monitored Security Kitchenette facilities Available area The accommodation comprises the following areas: Name sq ft sq m Availability Ground - Part Ground 2,122 197.14 Available Total 2,122 197.14 Location The Forum is within walking distance of Theale train station which provides a direct line to London Paddington, with a fastest journey time of 40 minutes. The Forum is located at Junction 12 of the M4 providing direct access routes to London, Heathrow Airport and the wider motorway network.",2122.0,,RG7 4RA,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/1a6880f359abf49bb5ec123818368a19-forum-brochure-nov-24.pdf'],Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/10358-benchmark-basing-view-basingstoke,"Benchmark, Basing View, Basingstoke, RG21 4HG",,Offices,"['https://as-images.imgix.net/7968f0ed7f4538f71123bf2de1ebf8c0-letting10358.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/23c4135b1677048eacfbbb051e805033-letting10358.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/05acfb024fd5132b09c3d27a57f4c195-EO9xyXMWoAI2TNr.jpeg?h=1280&w=1920&fit=crop']","Brand-new 5-storey circa 42,500 sq ft office building in the heart of Basing View available for Pre-Let Description - Brand-new 5-storey circa 40,000 sqft office building in the heart of Basing View, offering flexible internal floorplates. - Interior finished to full Cat A standard to include air conditioning, suspended metal ceilings, LED lighting and raised floors. - Contemporary reception area design. - Designed for occupational density of up to 1 person per 8 square meters. - 5m internal planning grid. - 150mm overall raised floor zone. - Finished floor to suspended ceiling height of 2.9m throughout. - WC Provision: Dedicated self-contained unisex toilets – 6 total per floor including accessible WC. - Ground floor shower facilities and BOH office. - Targeting BREEAM ‘Very Good’ 2018. - Low operating costs through the use of high sustainable technologies such as high efficiency LED lighting. - Secure parking for up to 130 cars. - Secure storage for 30 cycles with additional visitor cycle parking. - Dedicated Electrical Sub-Station and Refuse pavilion. Available area Name sq ft sq m Tenure Availability Ground 7,407 688.13 To Let Coming Soon",6541.0,,RG21 4HG,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/9a871ff28885126e2c1ff3977821bd9c-Benchmark%20Brochure.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/87ee3039545b5d8ed394089ef2dac4db-Benchmark%20%20Floor%20Area%20Document.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets/c88b68355c742dcbc6927817596672f9-letting10358.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets/a68390342c6e9029bee5331ee258276e-letting10358.pdf']",Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/10389-neon-basing-view-basingstoke,"NEON, Basing View, Basingstoke, RG21 4HG",,Offices,['https://as-images.imgix.net/9d07beab90eb6c5b965634b1f39d1890-letting10389.jpeg?h=1280&w=1920&fit=crop'],"45,000 Sq Ft Grade A Pre-Let Opportunity in Basingstoke with Business Lounge Description Neon is an exciting new development which will deliver high quality, energy efficient and flexible office space, designed around the needs of modern businesses. Located at the gateway to Upper Basing View, the 45,000 sq ft Grade A building has been designed to BREEAM Excellent and EPC A standards. A short walk from Basingstoke train station and the town’s main shopping facilities, Neon’s 57 cycle spaces, showers, drying and changing facilities make it easy for sustainable travel choices. The adjacent three-storey car park will be fitted with electric charging points and provide 130 car spaces, a ratio of 1:377 sq ft. Available area Name sq ft sq m Tenure Availability Ground 6,932 644 To Let Coming Soon",6932.0,,RG21 4HG,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/2300e4a10c50308453a2676d0473b849-Neon%20Basingstoke%20Brochure.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/4f69e467b9d6484269c8ab1a45404502-GA%20Plan%20%20Level%2004.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/98fdbf76f228842cdf4a13dbd546614f-GA%20Plan%20%20Level%2003.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/4000e454410cdc955de3d279e7636f3c-GA%20Plan%20%20Level%2002.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/9b403a653315c6e445f0fbb847ce27ab-GA%20Plan%20%20Level%2001.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/28b785b3565343442e4a24ca27b1240f-GA%20Plan%20%20Level%2000.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets/7350e95ace3534c61e9ec0dcd5be6e04-letting10389.pdf']",Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/10366-western-peninsula-bracknell,"Western Peninsula, Western Road, Bracknell, RG12 1RE",,Offices,"['https://as-images.imgix.net/9b8b32fb5f6a6d6fc3f90d030099ba14-Peninsula6.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/c10e4cd836f8352b9fc5b20e37981836-Peninsula4.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/f14f890d8777d91d8320adccaec2a89a-Peninsula1.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/325f187357fa4d84a892f40c10189b34-Peninsula3.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/b86b2bbc54ff3517d13950e655b1131c-Peninsula5.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/fca7a3683c4e7f5edc64b48fb1c8d6df-Peninsula2.jpg?h=1280&w=1920&fit=crop']","Grade A office accommodation in Bracknell’s Western Road business district. Key Points Last Suite Remaining - 2nd Floor - 8,999 sqft with splits from 3,100 sqft The Landlord can offer a fully fitted, plug and play office suite flexible to any tenants desired specification Double height reception with revolving door New M&E including VRF air conditioning New WCs and showers on all floors New metal suspended ceiling tiles New LG7 compliant light fittings Full access raised floors Impressive car parking ratio of 1:215 sq ft 11 person lift serving all floors New landscaping and box hedging EPC rating C Description Western Peninsula is located less than one mile West of Bracknell town centre and rail station. Bracknell town centre is currently undergoing a comprehensive regeneration due for completion in the summer of 2017. This will provide a new retail heart to the town with retailers such as Fenwicks, H&M, Primark and M&S already signed up to take space alongside a new leisure offer to include Cineworld, Carluccio's, Jamie's Italian and Zizzi. Bracknell is ideally located to provide access to both the M3 and M4 corridors and the highly skilled workforces that reside within them. Bracknell's good transport links also allow fast access to the surrounding areas of stunning countryside. Video Available area Splits available from 3,100 sqft Name sq ft sq m Tenure Availability 2nd - Second Floor Suite 8,999 836.03 - Available",3100.0,,RG12 1RE,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/8f5590c390235f451486936cf75b1cc8-WESTERN%20PENINSULA%20brochure.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets/10b30bd0c3ee3657005440cba5631456-letting10366.pdf']",Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/10335-unit-3-millars-brook-wokingham,"Unit 3 Millars Brook, Molly Millars Lane, Wokingham, RG41 2AD",,Offices,"['https://as-images.imgix.net/15f8f6234c49cca0b23686eb8774dbaa-letting10335.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/a14c6c21db94fc7baf1b1c48ad5c744c-IMG_20200113_122402%20%281%29.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/9c8a3c12fb5bd8ff41b58d6cf1fadc88-IMG_20200113_120208%20%281%29.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/e305083b08b7fed4b3e5e2a3c238f75f-IMG_20200113_122031%20%281%29.jpg?h=1280&w=1920&fit=crop']","Building Freehold (3,056 SQFT) and First Floor Leasehold (1,528 SQFT) Available Key Points Grade A specification Raised floors as standard Air conditioning 5 Parking Spaces per Floor Available area Name sq ft sq m Tenure Availability 1st 1,528 141.96 To Let Available Ground 1,528 141.96 For Sale Let",1528.0,,RG41 2AD,['https://s3-eu-west-1.amazonaws.com/agents-society-assets/c618c51aa4ee112e02c9fbceb83f4e90-letting10335.pdf'],Rare Commercial Property,,,,,,,Freehold,For Sale,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/10388-unit-4-winnersh-fields-winnersh,"Unit 4 Winnersh Fields, Winnersh, RG41 5QS",,Offices,"['https://as-images.imgix.net/05b6c7c9454f09d4300c2c8cd1ca0b42-letting10388.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/d1e440d57df4d1547947b76a5ae2f7d7-letting10388.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/a024dadb8af67256390209bb7e655f37-Winnersh%20Fields%20Marked%20View.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/be36af1ec316e7aa206ad03b087b7511-letting10388.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/09662b82a012e423a3c5e75d89004d27-letting10388.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/0254548c1ebd7ed86af358e73cfb2194-letting10388.jpeg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/0d759dc5255d8a5cfe4591090a5364fc-Winnersh%20Fields%20Aerial.png?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/238d4412df08e3c9c1741f4a608777dd-letting10388.jpeg?h=1280&w=1920&fit=crop']","Unit 4 Winnersh Fields provides 2,200 sqft of high quality open plan office space. Key Points Air Conditioning Raised Floors Suspended Ceilings Kitchenette 7 Parking Spaces Male, Female and disabled WCs DDA compliant lift Description Station Journey Time Available area The suite includes a kitchennette & 2 partitioned rooms suitable for private offices or meeting rooms. The exisitng furiture including desks and chairs are provided. Name Size Availability 1st 2,200 sq ft Let Location Winnersh Fields is situated in the heart of the Thames Valley, to the west of Bracknell. It is located on the A329 Reading Road, close to the junction with the A329(M) which connects Reading, Bracknell and M4 Junction 10. Winnersh Triangle station is a 3-4 minute walk and provides a regular service to Reading, London Waterloo and London Paddington (via Reading).",2200.0,,RG41 5QS,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/2c2c4d5b62d66e3b42ebffe4e49f96d8-No4%20Winnersh%20Fields%20Brochure%202021.pdf'],Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/83873-the-florence-building-sovereign-house-basingstoke,"The Florence Building, Sovereign House, Basing View, Basingstoke, RG21 4FA",,,['https://as-images.imgix.net/554a927d74912de3088d57a3b56e82d3-street_view_disposal_83873.jpg?h=1280&w=1920&fit=crop'],"Available area The accommodation comprises of the following Name sq ft sq m Availability Building 59,460 5,524.01 Let Total 59,460 5,524.01",,,RG21 4FA,[],Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
https://rarecommercialproperty.co.uk/find-a-property/properties/71951-100-berkshire-place-100-berkshire-place-wokingham,"100 Berkshire Place, 100 Berkshire Place, Wharfedale Road, Wokingham, RG41 5RD",,Offices,"['https://as-images.imgix.net/a067b5fc5681209ce4a206aadcd4f005-DSC_9642.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/c521f1cf17df225e120d310e82383eb1-customisingyourspacereading600x393.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/b5c4fc00c1c04ac6fd363a4932f55d66-DSC_9607HDR.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/9d3f3df915449905902bbd31e61e6c3c-DSC_0618.jpg?h=1280&w=1920&fit=crop', 'https://as-images.imgix.net/54f43320dd1c95fcbc5378e7214d6d71-workplacewellbeingreading600x393.jpg?h=1280&w=1920&fit=crop']","Highly Flexible and Customisable Space Available Available area The accommodation comprises of the following Name sq ft sq m Availability 2nd 16,969 1,576.47 Available Total 16,969 1,576.47",500.0,,RG41 5RD,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/3e2711cd503b24539abf3c471388779e-2nd%20floor%20Winnersh.pdf'],Rare Commercial Property,,,,,,,,To Let,2026-02-21,New
