listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.rkrealestate.co.uk/bedford-7-silver-street-mk40-1sy,"Bedford – 7 Silver Street, MK40 1SY",,New to the Market,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/b1474f38-9e11-4d9b-afaf-b4b5b01969ae/IMG_8890.jpg'],"Location Silver Street is the town’s prime, pedestrianised retail pitch along with The Harpur shopping centre. Tenant’s here, that anchor the town, include Primark, Boots, Tesco, Superdrug and Starbucks. Retailers close to the subject property include Costa Coffee who are opposite, Holland and Barrett, Ernest Jones, O2, Halifax and Hays Travel who are adjacent. Close to the property, Silver Street meets High Street where there are an impressive range of local and independent shops, restaurants and bars that drive regular footfall here. Description The property comprises ground floor retail and first floor office and storage space. The unit has rear servicing and refuse area. The premises provide the following approximate dimensions and areas: Description. Net Frontage Internal Width Shop Depth Ground Floor Sales Ground Floor Store Ground Floor Office/ Store First Floor WC Imperial. 15’7 16’4 42’3 565 17 361 Metric. 4.78 4.98 12.88 52.48 1.54 33.52 Lease Available by way of a new lease for 5 years plus. Rent £23,500pax Rates The VOA advise that the rates are: Rateable Value £21,500 Rates payable at .499p £10,728.50 Please note that individual concessions may apply and it is advisable to check with the local authority Legal Costs Each party are to bear their own associated legal costs. EPC To be provided following works. About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,MK40 1SY,['https://www.rkrealestate.co.uk/s/RK-Real-Estate_Bedford-7-Silver-Street-MK40-1SY-wfsm.pdf'],RK Real Estate,Ryan Kennedy,,,,,,,For Sale,2026-02-21,Old
https://www.rkrealestate.co.uk/barwick-street-birmingham,"Barwick Street, Birmingham, B3 2NT.",,Ideal For Retail/ Restaurant.,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/4f7d99ee-5644-47ea-a25e-384b65586ace/Barwick-Street-CGI.jpg'],"Location This prominent building stands at the corner of Barwick Street and Livery Street, just off Colmore Row. Snow Hill station is 2 minutes walk away in this Central Business District. Large office occupiers here include KPMG , Barclays , Gowling WLG , BT , JLL , Ernst and Young , Gleeds , Brown Shipley and Brewin Dolphin . The Grand Hotel is directly opposite along with restaurants including Primitivo , Tattu , Gusto and The Alchemist . Hotel du Vin is directly adjacent. Other restaurants close-by are Gaucho , The Ivy , Fazenda Rodrigo , Fumo and Purnells . Click for Streetview . Fl oor Plans & Goad About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,B3 2NT,"['https://www.rkrealestate.co.uk/s/Barwick-Street-Brochure-i-Brochure-January-2024.pdf', 'https://www.rkrealestate.co.uk/s/Goad-Barwick-Street-Birmingham.pdf', 'https://www.rkrealestate.co.uk/s/Barwick-Street-3813-SK15A-proposed-ground-floor-restaurant-demise.pdf']",RK Real Estate,Ryan Kennedy,,,,,,,To Let,2026-02-21,Old
https://www.rkrealestate.co.uk/bishops-waltham-the-square,"Bishops Waltham, nr. Southampton – The Square, SO32 1GH",,Ideal For Retail / Office / Restaurant.,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/1613646703977-3HKWPH60ONRHPA5CEZU3/Bishop%2BWaltham.jpg'],"Location The Bishops Waltham is a small, character town close to Southampton. The property is very prominently located on The Square in the town centre. Recognised retailers include Costa , Sainsbury’s , Co-op , Hays Travel , the Post Office and Lloyds Bank. There are also numerous local and regional retailers. Click for Streetview . Description A very prominent, listed, character building providing ground floor retail, basement storage and offices at upper parts. The property could be split either horizontally or vertically. The premises provide the following approximate dimensions and areas: Description. Principal Internal Width Built Depth Ground Floor First Floor Second Floor Basement Second Floor Imperial. 38’3 29’10 1,827 307 413 203 Metric. 11.67 9.11 169.7 28.6 38.3 18.8 Lease Available by way of a new lease for a term of 5 years or more. Rent The passing rent is £37,500 pax. Rates The VOA advise that the rates are: Rateable Value: £32,000 Rates Payable: £15,968 Legal Costs Each are to bear their own associated legal costs EPC Being prepared. About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,SO32 1GH,['https://www.rkrealestate.co.uk/s/Bishops-Waltham-The-Square-SO32-1GH.pdf'],RK Real Estate,Ryan Kennedy,,,,,,,To Let,2026-02-21,Old
https://www.rkrealestate.co.uk/bournemouth-3-5-royal-london-house,"Bournemouth – 3-5 Royal London House, BH8 8AA",,Takeaway and Late-Night Trading Licenced,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/98a475b5-e5f2-4706-bbf4-a1e3cf73731b/IMG_4798.JPEG'],"Location The property is located in a very busy secondary retail and leisure location on the edge of Bournemouth’s town centre. Bournemouth University have a campus directly opposite and others very close. The student union is within 50m. There are numerous student accommodation blocks immediately around this unit. There are numerous student accommodation blocks immediately around this unit. The immediate block provides convenience and service retail and hot food operators including Papa Johns and Subway . Click for Streetview . Description The property has the benefit of planning to allow retail, restaurant and take-away use including other uses. It has the additional benefit to allow late night sales of hot food and non-alcoholic drinks to be consumed on and off the premises with ‘take away only’ after 22:00. Late night trading hours: Monday to Saturday: 23:00 to 03:00 Sunday: 23:00 to 01:00 This prominent, corner property provides clear retail space at ground floor with a huge amount of glazing. The property is further prominent due to ceiling heights of 3.75m at the ground floor. Existing extract ducting. Rear loading via a servicing bay. On-street parking spaces along the parade’s shopfronts. The premises provide the following approximate dimensions and areas: Description. Ground Floor Ground Floor To Ceiling Basement Basement Floor To Ceiling Imperial. 1,609 12’4 1,393 9’ Metric. 149.5 3.75 129.4 2.75 Lease Available by way of a new, long lease with 5 yearly rent reviews. Rent £75,000pax Rates The VOA advise that the rates are: Rateable Value £28,500 Rates payable at .499p £14,331.50 Interested parties are advised to check the business rates directly. Certain concessions may apply. Service Charges There will be a small annual service charge, further details can be provided. Legal Costs Each party are to bear their own associated legal costs. EPC 90D About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,BH8 8AA,['https://www.rkrealestate.co.uk/s/Bournemouth-3-5-Royal-London-House_Sales-Paericulars.pdf'],RK Real Estate,Ryan Kennedy,,,,,,,For Sale,2026-02-21,Old
https://www.rkrealestate.co.uk/camden-177-high-street-nw1-7jy,Camden – 177 High,,Rent Reduction - Newly White-Boxed,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/d1507d22-1d4d-4b1c-801d-21cb1561e713/IMG_7823.jpg'],"Location The property is located on the High Street’s prime pitch, 1 minute’s walk from Camden Town underground station which drives strong footfall 7 days a week. Immediate neighbours are Boots, Laser Clinic and the recently opened Blank Street Coffee . Nearby retailers that anchor the High Street are Marks and Spencer , TKMaxx and Aldi Express. Other recent openings include Wendy’s, Chicken Shop and B-Bagel . Click for Streetview . Description Following decades with the previous tenant, the landlord has just completed a full white-boxing of all 3 floors – see photos to the rear. The property provides the following retail and storage space Plans are available if required The premises provide the following approximate dimensions and areas: Description. Internal Width Shop Depth Ground Floor First Floor Basement Imperial. 12’10 42’ 624 390 340 Metric. 3.9 12.8 57.8 36.2 31.6 Full White-Box Refurbishment 2025 Lease Available from May 2025, by way of new lease for a term of 10 years plus. Specification The Landlord is to strip the unit and present it to shell condition with the existing 3 phase power and shopfront. Rent £95,000pax Rates The VOA advise that the rates are: Rateable Value £56,500 Rates payable at .512p £39,168 Certain concessions may apply. Accordingly, interested parties are advised to make their own enquiries directly with the local authority Legal Costs Each party are to bear their own associated legal costs. EPC To be provided. About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,,['https://www.rkrealestate.co.uk/s/Camden-177-High-Street-NW1-7JY-0725.pdf'],RK Real Estate,Ryan Kennedy,,,,,,,To Let,2026-02-21,Old
https://www.rkrealestate.co.uk/coventry-63/64-hertford-street-cv1-1lb,"Coventry – 63/64 Hertford Street, CV1 1LB",,Prominent Double-Width Unit,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/d9987177-147c-4fea-a863-5b6f76f0d5d6/Coventry+Frontage.jpg'],"Location The property is located in the pedestrianised city centre as highlighted red on the Goad. The location is a principal retail and restaurant route that runs between the train station and Coventry city centre. It is a pedestrianised, covered mall at this point. Footfall driver CEX are located adjacent. Coventry has more than 50,000 students. Click for Streetview . Description A well shopfitted retail unit with basement servicing, goods lift and extensive upper floors for retail, leisure or storage uses. Benefits a wide and prominent shopfront The premises provide the following approximate dimensions and areas: Description. Internal Door Width Shop Depth Ground Floor Sales Ground Floor Stock Ground Floor Office Basement Stock Basement Floor To Ceiling First Floor Stock First Floor Height To Beam First Floor Height To Slab Second Floor Stock Total Area Imperial. 42’3 88’7 4,645 133 247 783 5,747 3,605 15,160 Metric. 12.85 27 431.5 12.39 22.94 72.7 3.1 534 2.9 3.2 335 1,408.4 Lease Available on a new lease . Rent £55,000pa + VAT. Rates The VOA advise that the rates are: Rateable Value £45,000 Rates payable at .499p £22,445 I nterested parties are advised to make their own enquiries with the Local Authority. Certain concessions may exist. Legal Costs Each party are to bear their own associated legal costs. EPC Available as required. Energy Rating D88. About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,CV1 1LB,['https://www.rkrealestate.co.uk/s/Coventry-6364-Hertford-Street-CV1-1LB.pdf'],RK Real Estate,Ryan Kennedy,,,07715 001 003 02476 374 949,,,,For Sale,2026-02-21,Old
https://www.rkrealestate.co.uk/ealing-15-17-19-new-broadway-w5-5aw,"Ealing – 15 & 17-19 New Broadway, W5 5AW",,Single or Double Unit,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/1726522685667-N5SOLETRIASLH4SHJRSC/IMG_6395.JPEG'],"Location These prominent Ealing Broadway properties benefit incredible day-time and night-time footfall. Ealing Broadway shopping centre is within 1 minute’s walk. The anchor tenants include Primark and Marks and Spencer .Nearby occupiers include Nando’s , Wingstop , Heavenly Desserts , Pret a Manger , Gail’s bakery and Holland and Barrett . The night-time footfall is further underpinned by 3 cinemas within 200 metres. Also Boom Battle Bar with it’s large footprint, offering a bar plus indoor golf, pool, shuffleboard and table tennis. Click for Streetview . Description Sitting onto a wide pavement and with the benefit of a glazed canopy. Street seating may be available by way of a licence from the Local Authority. The properties provide ground floor retail space and basement ancillary. The premises provide the following approximate dimensions and areas: Address. 15 17-19 Frontage. M/FT 3.5 / 11’6 9.9 / 32’6 Depth. M/FT 20.2 / 73’2 20.2 / 73’2 Ground Floor Area SQM/SQFT 854 / 909 183.8 / 1,978 Basement Area SQM/SQFT 43.1 / 464 78.9 / 849 In addition to these areas, both properties have WCs in the basements. Lease Available by way of new long leases. Rent 15 New Broadway £75,000pax 17-19 New Broadwa y £135,000pax VAT is payable on rents. Business Rates The VOA advise that the rates are: 15 New Broadway Rateable value: £42,740 Rates payable @.499p: £21,327 17-19 New Broadway Rateable value: £93,000 Rates payable @.512p: £47,616 I nterested parties are advised to check the business rates directly. Certain concessions may apply. Legal Costs Each party are to bear their own associated legal costs. EPC 15 New Broadway – 71C 17-19 New Broadway – 56C Goad Details Misrepresentation Act: These particulars do not constitute part of an offer or contract. They are intended as a guide to prospective purchasers or lessees. All reasonable care has been taken in the preparation of these particulars but their accuracy is not guaranteed. The purchaser or lessee should satisfy themselves as to the correctness. Neither the agent, vendors or lessors are to become under any liability or claim in respect of the particulars. These particulars are supplied on the understanding that all negotiations are conducted through this office. About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,W5 5AW,"['https://www.rkrealestate.co.uk/s/RK-Real-Estate_Ealing-15-17-19-New-Broadway-W5-5AW-2p98.pdf', 'https://www.rkrealestate.co.uk/s/Goad-Ealing.pdf']",RK Real Estate,Ryan Kennedy,,,,,,,To Let,2026-02-21,Old
https://www.rkrealestate.co.uk/hornchurch-144-and-146-high-street-rm12-6qx,Hornchurch –144 and 146 HighStreet. RM12 6QX,,Prime Pitch. Double-Width,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/364c1e77-61b1-4133-972f-382968a758f8/IMG_8711.JPEG'],"Location This double-width property is on the town’s prime retail pitch. It is adjacent to Starbucks and Greggs. Also close to anchor retailer Sainsbury’s. Other nearby retailers and occupiers include Costa, Holland and Barrett, Boots, Peacocks and Nando’s. Click for Streetview . Description Currently one prominent ground floor retail unit with a double-width frontage. Can also be split and leased as two retail units. The premises provide the following approximate dimensions and areas: AS A WHOLE Description. Maximum Shop Depth Ground Floor Area Ground Floor Store Imperial. 30’2 2,204 526 Metric. 15.5 205 49 144 HIGH STREET Description. Internal Width - Front Shop Depth Ground Floor Retail Area Ground Floor Storage Area Imperial. 32’4 49’10 1,443 432 Metric. 9.85 15.2 134 40.1 146 HIGH STREET Description. Internal Width - Front Shop Depth Ground Floor Retail Area Ground Floor Storage Area Imperial. 17’1 30’2 761 94 Metric. 5.2 15.5 70.7 8.7 Lease Available on new, long leases with 5 yearly rent reviws. Rent As a whole: £95,000 As split: 144 High Street: £62,500 146 High Street: £35,000 Rates The VOA advise that the rates are: Rateable Value £80,000 Rates payable at .512p £40.960 Interested parties are advised to check the business rates directly. Certain concessions may apply. Service Charge There will be a small annual service charge, further details can be provided Specification As existing, following current tenant’s strip-out. If split, the properties will be handed over in a developer’s shell specification with existing and/or capped services and hoarding to the shopfronts. Scale plans can be provided Legal Costs Each are to bear their own associated legal costs EPC Current rating is 93D. GOAD About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,RM12 6QX,"['https://www.rkrealestate.co.uk/s/Hornchurch-144-and-146-High-Street.pdf', 'https://www.rkrealestate.co.uk/s/Goad-Hornchurch-nw66.pdf']",RK Real Estate,Ryan Kennedy,,,07715 001 003,,,,To Let,2026-02-21,Old
https://www.rkrealestate.co.uk/camden-177-high-street-nw1-7jy-1-1,"Kingston upon Thames - 16 Castle Street, KT1 1SS",,New to the Market,['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/d75fef61-a190-42d8-b320-b1ccbfd4a31b/IMG_8958.jpg'],"Location Castle Street is part of Kingston town centre’s pedestriansed retail and dining circuit that includes the prime pitch of Clarence Street. Footfall is high throughout the day and evening. At the nearby junction with Clarence Street, Pret and Manger and Starbucks have corner units with long return frontages to Castle Street. 16 Clarence Street is adjacent to Subway and to Greggs and close to Kokoro , Foxtons , William Hill , Coral and many local grab and go operators with outside seating. Outside seating here may be possible via a licence from the council. Click To View Description The property comprises ground floor retail only. The unit has rear servicing (not vehicular) and refuse area. The premises provide the following approximate dimensions and areas: Description. Net Frontage Internal Width Shop Depth Ground Floor Sales Imperial. 15’11 16’1 52’6 889 Metric. 4.85 4.9 16 82.6 Lease Available by way of a new lease for 5 years plus. Rent £47,500pax Rates The VOA advise that the rates are: Rateable Value £35,750 Rates payable at .499p £17,839.25 Please note that individual concessions may apply and it is advisable to check with the local authority. Legal Costs Each party are to bear their own associated legal costs. EPC To be provided following works. About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,KT1 1SS,['https://www.rkrealestate.co.uk/s/Kingston-upon-Thames-16-Castle-Street-KT1-1SS-33s2.pdf'],RK Real Estate,Ryan Kennedy,,,,,,,For Sale,2026-02-21,Old
https://www.rkrealestate.co.uk/nuneaton-grayson-place-1,,,"5,300-9,600 SQ FT SPACE SUITED FOR A RANGE OF USES INCLUDING F&B, MEDICAL AND EDUCATION.",['https://images.squarespace-cdn.com/content/v1/5fb4f7f86b655c2dd15b1366/8e8682e6-ce38-45e6-a89c-81a9429272a1/7+Park+Row+2.png'],"Location Park Row famously connects the financial and retail districts of the City Centre and is one of the most sought-after business addresses in Leeds. With Pinsent Masons, Deloitte and Schroders as neighbours you also have Restaurant Bar & Grill, Gaucho and Head Of Steam to wine and dine. The office, retail and F&B footfall is at its highest in this location with the propertybenefiting from close proximity to Leeds station, multiple bus stops immediately adjacent and an abundance of public parking. Click for Streetview . About Services Available Property Contact Address 33 Broadwick St, London W1F 0DQ t: +44 (0) 7715 001003 e: ryan@rkrealestate.co.uk ©2025 rkrealestate. All rights reserved . Privacy Policy .",,,,['https://www.rkrealestate.co.uk/s/7-Park-Row-Leisure-Brochure.pdf'],RK Real Estate,Ryan Kennedy,,,,,,,,2026-02-21,Old
