listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://roger-hannah.co.uk/property-search/stalybridge-industrial-estate/,"Stalybridge Industrial Estate, Stanley Street, Stalybridge, Greater Manchester, SK15 1SS",,Industrial,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/f22acefe-0b99-4e8d-a20d-e44a7736bb40.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/fadc1841-fdb8-46f4-87a1-3e1e3dbf3327.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/bface7aa-3bb2-473c-8de2-80ae24a1505f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/68f78145-dfb9-436b-8cb9-b3f89042c9b2.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/fd61c2d4-2265-4b4c-b65f-8fc6bcadb71e.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/dbeaae8c-7736-40d5-9938-7cc61e5ac629.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/f065d8b6-70d5-4037-8a13-48b3448fea50.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/91af0e9f-3fb0-4902-815c-c6d6e87b4f44.jpg']","Stalybridge Industrial Estate Stalybridge Industrial Estate, Stanley Street, Stalybridge, Greater Manchester, SK15 1SS Up to 9.2m eaves ; Fully Secure Site ; Power Supply - Up to 3,000 kva ; Secure external yards with palisade fencing The property comprises of a number of buildings which are adjoining and can be sub-divided. The main building benefits from the following: 9.2 metres to the underside of the haunch 14.3 metres to the apex 4 level access loading doors Secure external yards with palisade fencing There is also a modern steel portal frame warehouse of approximately 11,582 sq ft. This unit comprises of the following: Built in 2005 2 electric level access loading doors Integral two storey offices a Approx. 5.7 metre eaves The property is accessed off either Stanley Street or Tame Street, which both lead to the B6431 and Stamford Street (A635) providing direct access to Junction 23 of the M60. Stalybridge is located in Cheshire in the North West of England and is approximately 8 miles from Manchester, 8 miles north of Stockport and 6 miles south of Oldham.",69244.0,,SK15 1SS,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/StalybridgeIE NEW'],Roger Hannah,Robyn Egan,,robynegan@roger-hannah.co.uk,,,,,To Let,2026-02-23,Old
https://roger-hannah.co.uk/property-search/bolton-road/,"Bridge Trading Estate, Bolton Road, Bury, Lancashire, BL8 2AQ",4750000,Industrial / Investment,"['https://roger-hannah.co.uk/wp-content/themes/_roger-hannah-theme/build/images/under-offer.png', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/521668eb-8e7b-4ebe-9785-30e215f85927-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/7b544f01-b8bd-4d04-a9bd-460cf8853b4d.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/1770b131-61d0-4a66-be7a-e4a7ce046f33.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/b4ffdce6-de93-4af6-802c-416546e47d87.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/8a4afed3-e70e-499b-acf4-70e77f154ff0.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/07301ebf-0f5f-4b9d-8891-9a57be3b36d5.jpg']","Bolton Road Bridge Trading Estate, Bolton Road, Bury, Lancashire, BL8 2AQ Genuine last mile urban location on the edge of Bury town centre ; Bury is located approximately 8 miles north of Manchester City Centre. ; The estate comprises 10 industrial / warehouse units totalling 49,880 sq. ft. ; Passing rent of £397,250 per annum, equating to a low average rent of £7.96 psf. ; Available upon request. Description: Bridge Trading Estate comprises an established purpose built multi-let industrial estate providing 10 units arranged in three terraces, with each unit providing a similar specification. The majority of the units benefit from refurbishment works to varying degrees. The total capital expenditure since 2018 totals £1,363,310 with approximately £600,000 of this going towards refurbishment of the units. In addition to the units, further income is generated via the lettings of land at the southern point of the estate and via an advertising hoarding to the front of the estate. The land offers the potential of an additional development opportunity as highlighted below, and subject to the necessary planning consents. Development: The plans highlight a potential development angle to erect a detached industrial unit with offices, reception, loading access and car parking. The indicative plans highlight a building footprint of approximately 6,512 sq ft, providing approximately 8,342 sq ft of internal accommodation. An alternative scheme providing approximately 7x small starter units each providing in the region of 1,200 sq ft, with parking and associated yard area. Bury is located in the North West of England and forms part of Greater Manchester. The metropolitan county of Greater Manchester combines 10 local authorities (including Manchester) and has a population of in excess of 2.8 million people and an economy larger than that of Wales and Northern Ireland. Manchester is well regarded as the UK’s second city and is the economic and cultural capital of the North West. The town of Bury lies approximately 7.9 miles north of Manchester City Centre and according to the ONS (Office of National Statistics), Bury has a population of 193,800 and has witnessed a 4.7% increase since 2011. As of 2021, Bury was ranked the 10th most densely populated of the North West’s 39 local authority areas.",49880.0,,BL8 2AQ,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/Bridge_Trading_Estate_Brochure Final'],Roger Hannah,Andrew Kerr,,andrewkerr@roger-hannah.co.uk,,,,,For Sale,2026-02-23,Old
https://roger-hannah.co.uk/property-search/land-at-2/,"Land At New Viaduct Street And 266 Bradford Road, Manchester, Greater Manchester, M40 7BT",1045000,Industrial / Investment,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/d50230cf-e3a0-4882-ba73-02ad66199d22.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/5ae6e358-301a-496a-aaeb-8b51ee529cd7.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/bf332803-f40a-45ef-af35-63b3b2615815.jpg']","Land At New Viaduct Street And 266 Bradford Road Land At New Viaduct Street And 266 Bradford Road, Manchester, Greater Manchester, M40 7BT Excellent situation within Holt Town, Sportcity and Etihad area of Manchester City Centre, approx.1 mile from the city centre. ; Comprising a secure site of approximately 1.1 acres (0.44 Hectares). The storage land is Let to Manchester Storage Ltd on a 6-year lease, expiring 1st July 2028. 3.5 years unexpired. ; Passing Rent £73,500 p.a. (£66,818 per acre). Additional land is available by separate negotiation. ; Freehold. The property comprises a secure self-contained site of approximately 1.1 acres (0.44 Hectares), prominently overlooking Bradford Road and accessed off New Viaduct Street and Barking Street. The site is secured with palisade perimeter fencing and benefits from CCTV and electricity. Currently utilised as Industrial Open Storage land and let to Manchester Storage Ltd who operate a self storage business across multiple storage containers. The site is held on one Freehold title and let on three separate leases. We understand that a gas pipe runs below the surface of part of the site. Further details are found within the dataroom. Manchester Manchester is widely considered as the second city of the UK, and in 2011 it was named as the best city in the UK and 3rd best city in the world by Time Out Magazine. The area represents the largest city region economy outside of London with a population of almost 12 million within a 50-mile radius. The Greater Manchester conurbation has a combined population of approximately 2.6 million people and represents the largest regional centre in the UK. Approximately 7 million people live within an hour’s drive of Manchester City Centre, allowing employers to draw upon a large and skilled workforce. 80 of the FTSE 100 companies have a base in Manchester. – Manchester’s tourist economy generates over £9 billion of additional value – Manchester has one the largest student populations in Europe Sportcity The largest concentration of sporting venues in Europe. Sportcity was developed for the 2002 Commonwealth Games and is now home to the 48,000 seat Etihad Stadium, the 6,500 National Squash Centre, English Institute of Sport, Manchester Velodrome and the Tennis Centre. It is now the chosen sports venue for over 400 events each year and receives over 4.5million visits annually. The Manchester City Eithad Campus consists of the Etihad Stadium, home to Manchester City Football Club. Further facilities include the Manchester Institute of Health and Performance, Connell College and the Academy Pitches. The Co-op Live music venue is also housed within the grounds of Sportcity, directly behind the subject site. Co-op Live is the UK’s largest entertainment venue by capacity and hosts over 120 performances per year.",,1.1,M40 7BT,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/Bradford Road Land Only'],Roger Hannah,Andrew Kerr,,andrewkerr@roger-hannah.co.uk,,,,Freehold,For Sale,2026-02-23,Old
https://roger-hannah.co.uk/property-search/epsom-avenue-stanley-green-trading-estate/,"Epsom Avenue - Stanley Green Trading Estate, Handforth, Wilmslow, Cheshire, SK9 3RN",,Industrial,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/49abf9d5-062e-4e42-ae0c-b63b44729f9f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/0c5f48c0-a066-4de9-bf37-2e1f76e2c5ba.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/e7ee3057-26d8-4ebf-babe-a0ced68b1209.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/56372951-8b52-45a8-941c-b5cc2a3bd9ac.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/259c3367-4b8a-415c-a6e0-239d112be2c7.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/65876a26-edf5-408d-af63-257646aee94c.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/b68ed0fa-8c45-4703-a0c7-b74cc204f113.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/daf9ccc1-720a-4a0a-ad98-0c2a5d17ba68.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/0f8a5a7a-6921-405e-8fbc-dad424b078a6.jpg']","Epsom Avenue – Stanley Green Trading Estate Epsom Avenue - Stanley Green Trading Estate, Handforth, Wilmslow, Cheshire, SK9 3RN Prominently Situated in the Heart of Stanley Green ; 6m Eaves Height ; 3-Phase Power ; Led Lighting 3x Loading Doors ; Available by way of a new lease. ; Available upon request. The property comprises a modern industrial warehouse building of steel portal frame construction over two bays to an eaves height of 6m. External elevations are clad predominantly in full height profile metal panels off a small brick/block footing. Loading access is provided to the Northern elevation by way of two insulated sectional loading doors having a width of 4.5m and a height of 5m. In addition, a further internal dock level loading facility has been installed. The whole is contained beneath a multi pitched profile metal clad roof incorporating translucent sheets, which is contained behind a parapet. Internally, the property comprises clear open warehouse accommodation save for the central columns supporting the steel frame. The floor is of solid concrete construction with LED lighting, three-phase power supply, and currently benefits from an office area incorporating a kitchenette, WC facilities, and accessible WC. Externally, the property benefits from a demised yard area (with part beneath a canopy area) secured by gates, together with an access road, turning circle, and 10 car parking spaces. The Property is located on Epsom Avenue in the Stanley Green area of Stockport, which lies between Cheadle to the North and Handforth to the South. The area benefits from excellent communication links, being situated within a short distance of the A34 which is one of the principal routes into Central Manchester, located some 10 miles to the North.",35945.0,,SK9 3RN,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/2025 11 Epsom Avenue, Handforth BROCHURE FINAL']",Roger Hannah,Dan Rodgers,,danrodgers@roger-hannah.co.uk,,,,Leasehold,To Let,2026-02-23,Old
https://roger-hannah.co.uk/property-search/ram-mill/,"Ram Mill, Gordon Street, Chadderton, Oldham, Lancashire, OL9 9RH",,Industrial / Office,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/c5f7647c-f4d1-4866-8c1a-95c29744c35f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/1c5bad03-352a-4745-b41f-25386f26ec7e.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/c9f8ac2a-03bb-4fb4-8a21-9494d463fc9e.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/a772e230-01f3-451d-ac46-ab9de2ff4f01.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/ff6e82bb-4dbd-4a17-952f-540f68ea810f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/d3230574-2435-44fb-be09-55aa7bc80066.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/f78ebbc4-6e3f-4b23-88a0-f469be9daf05.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/aa4c2ab5-0622-492c-8fe9-30284bb84862.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/fc5f56a6-8e78-429b-be94-43877c2f9205.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/31bf0b06-2436-4920-ac60-140106426a7a.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/f52c7419-52f5-4591-b491-681dd264ca1f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/0487cfb8-6eae-4c41-a751-bca4c1a26e83.jpg']","Ram Mill Ram Mill, Gordon Street, Chadderton, Oldham, Lancashire, OL9 9RH Manned Reception ; 2 Passenger Lifts + Goods Lift ; Gym & 1907 Café ; Secure on site parking ; An EPC certificate is available upon request, and is rated as B. Ram Mill has been comprehensively refurbished to provide modern and unique character office space with fantastic features such as high ceilings, exposed brickwork, excellent natural light and plentiful parking, as well as a new incredible main reception area. Office suites are available from less than 1,000 sq ft up to a full floor can be offered of around 33,500 sq ft. On floor 1, the offices have been created and provide the following : Self-contained offices New double glazed windows Air Conditioning Kitchenette area Security alarm system for each office Fully carpeted Data cabinet included Fully fitted out with ample data points Office furniture can be provided (may be chargeable) Suspended ceiling with integrated LED lighting Ram Mill is situated adjoining J21 of the M60 motorway, accessed via the A663 Broadway, providing swift access to Oldham town centre, Manchester and the region’s wider motorway network. Ram Mill is only a 10 minute drive to Oldham town centre, and also only 5 miles into Manchester City Centre via Broadway (A663) and Oldham Rd (A62). The M62 motorway is only 5 miles away via the M60, and runs East towards Leeds, and West towards Liverpool.",33500.0,,OL9 9RH,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/Ram Mill Business Centre Brochure 2025'],Roger Hannah,Maxine Miller,,maxinemiller@roger-hannah.co.uk,,,,,To Let,2026-02-23,Old
https://roger-hannah.co.uk/property-search/the-malt-house/,"The Malt House, Elevator Road, Trafford Park, Manchester, Greater Manchester, M17 1BR",,Office,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/255f7d1a-cc30-4b2f-a60b-e2cd59527ac1.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/289cd02b-f30d-4f26-9dc6-2078ad679c7b-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/d05ce988-66d0-4873-a53d-4324e2c7c6b4-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/b071c28d-024a-4ba4-b0c5-9dd401964863.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/25258109-b103-4b5f-83b6-c38272d747c6-scaled.jpg']","The Malt House The Malt House, Elevator Road, Trafford Park, Manchester, Greater Manchester, M17 1BR Self contained site with 132 parking spaces ; Modern Open Plan floorplates ; AC, Customer Lift, Raised Floors ; Close to Manchester and Motorway Network The property comprises a building of steel frame and brick construction which was built in 2006 and provides 27,939 sq ft of office accommodation arranged over ground, first and second floors, providing modern office accommodation and parking for 132 cars. The site is 1.47 acres The Malt House is well located just to the south of Manchester Ship Canal at the eastern end of Trafford Park and within 5 minutes drive of Junction 7 or 9 of the M60 Motorway. The property is of a fair and reasonable condition for a tenant to occupy.",27939.0,1.47,M17 1BR,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/2025 11 04 The Malt House New Brochure _v6'],Roger Hannah,Dan Rodgers,,danrodgers@roger-hannah.co.uk,,,,,To Let,2026-02-23,Old
https://roger-hannah.co.uk/property-search/phoenix-park-industrial-estate/,"Unit 602 - Phoenix Park Industrial Estate, Park Street, Heywood, Lancashire, OL10 2AB",1500000,Industrial,"['https://roger-hannah.co.uk/wp-content/themes/_roger-hannah-theme/build/images/under-offer.png', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/c012a8c4-ae91-4010-a1ae-f3edaba52ecd.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/a2cb7e89-c14a-4e80-80af-d88a630ffc59.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/87f1725f-5dc9-47b5-b776-5f9d5d468773.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/c7ffc741-fbf1-43f2-a1cb-ae5278f7f467.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/155585aa-4ae1-4843-8a7d-c9859fa5c591.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/74b11d6c-d57b-43fe-a9eb-1edaee817fb9.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/880885ec-d59d-49f4-af11-f87026ac2f53.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/a3d4dc49-d84f-4c71-b41d-2e332514967b.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/c61e772c-037a-40cf-8a4c-f4b4738c0527.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/17afe571-4531-45a6-b93a-cccd318a118d.jpg']","Unit 602 – Phoenix Park Industrial Estate Unit 602 - Phoenix Park Industrial Estate, Park Street, Heywood, Lancashire, OL10 2AB Only 1 Mile from Junction 19 - M62 Motorway ; Detached Facility ; 6.5M to Eaves High Quality Offices Provided ; Large Secure Yard with Loading Canopies Solar Roof Panels ; LEASE The property is available by way of a full repairing and insuring lease for a term of years to be agreed. ; Available on request. The property comprises a modern detached purpose built industrial/distribution facility with integral offices. The property is constructed by way of a traditional steel portal frame under a pitched roof. The exterior of the unit is clad with some brickwork at lower levels. Internally, the property comprises industrial/warehouse space which has the benefit of a level concrete floor and has an eaves height of 6.5 m (8m at apex). The industrial element is lit by way of LED lamp units throughout and has loading doors on two elevations which lead to the large fully secure service yard. All loading doors are electronically operated. There are high quality ground and first floor offices and boardroom facilities present together with staff canteen and amenity areas. Both male and female WC facilities are available for both warehouse and office staff. There is a high quality reception area at the entrance to the building. Externally, the property benefits from a large secure loading/parking area and is fully fenced and secure. Loading canopies are above the loading doors allowing loading/unloading in all weather. The property benefits from solar panels which are mounted on the roof providing up to 70KVA of power production. The Unit is situated on the popular Phoenix Park Industrial Estate which is located only 1 mile from J19 of the M62, which leads to the M60 and wider North West Motorway network. Access to the unit is via Green Lane which links to Middleton Road and the M62. This prime location allows rapid, easy access to the entire North West region and the TransPennine motorway network. It puts every major population centre from London to Edinburgh within a four hour drive and 20 million people within two hours. Nearby occupiers include AO.com, Howdens and Heywood Plumbase.",17220.0,,OL10 2AB,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/2025 06 27 Phoenix Industrial Park BROCHURE'],Roger Hannah,Dan Rodgers,,danrodgers@roger-hannah.co.uk,,,,Leasehold,For Sale,2026-02-23,Old
https://roger-hannah.co.uk/property-search/albert-house-units-1-3/,"Units 1 - 3 - Albert House, Albert Street, Hollinwood, Oldham, Lancashire, OL8 3QP",1150000,Investment,"['https://roger-hannah.co.uk/wp-content/themes/_roger-hannah-theme/build/images/under-offer.png', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/72b6e187-0c50-4193-8533-1026813b043e.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/2b093e2c-eb23-4198-9612-31aff8aa4d96.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/53822a31-cd16-409f-8bbe-d92a6544b632.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/499ffade-4d3e-4927-aeb4-0b6d58ad07de.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/1d795557-5a87-4c09-a352-fa88f3cd1038.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/67344127-d9cf-449b-abe2-162867eccf61.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/ba95f7e0-be09-47a6-947c-9659798c9393.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/cf06f20f-b9c6-4eae-9a16-d439675b7feb.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/92574b8e-eaf4-4e4b-8f0c-eeb9d9aa0beb.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/3db72eab-e325-4733-bafd-cb5f28855658.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/65af71c2-2d6d-4dcd-a6af-b0ea11962e7f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/a41493d6-21b8-4f8b-af79-28485193e00f.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/b9562bd8-caae-4715-88bb-c54b542f807c.jpg']","Albert House Units 1 - 3 - Albert House, Albert Street, Hollinwood, Oldham, Lancashire, OL8 3QP A highly reversionary, single-let industrial warehouse Investment opportunity. ; Comprising three interconnecting warehouse units providing 16,680 sq. ft. (1,549.60 sq. m.) of accommodation, plus 414 sq. ft canopy. ; Very low passing rent of £85,000 p.a. (average £5.86 psf). ; OMRV rent review 25th December 2026. ; The property has an Energy Performance Certificate rating of C-74. A certificate is available within the data room. A highly reversionary, single-let industrial warehouse Investment opportunity. Situated in a prominent and well-located position at Junction 22 of the M60 Motorway, Oldham, Greater Manchester. Comprising three interconnecting warehouse units providing 16,680 sq. ft. (1,549.60 sq. m.) of accommodation, plus 414 sq. ft canopy. Let to long term occupier Dawnvale Café Components Ltd – a well-established leisure fit-out company. D&B Rating 2A3. Let by way of two co-terminus 7-year FRI leases from 7th January 2025, expiring 7th January 2032, subject to a tenant’s break option in year 3. Very low passing rent of £85,000 p.a. (average £5.86 psf). OMRV rent review 25th December 2026. Highly reversionary based on a conservative ERV of £111,311 p.a. (average £7.50 psf). Site area of approximately 0.4 acres. Freehold The facility is strategically located on Albert Street in Hollinwood, which is located approximately one mile south of Oldham town centre. Albert Street provides direct access to Junction 22 of the M60 Motorway which in turn links to the regional and national motorway network. The premises overlook The Hollinwood Junction project – a Langtree development site forward funded by Indurent comprising 13 premium quality industrial/warehouse units ranging in size from 4,838 sq. ft. to 42,350 sq. ft. The area is a key gateway to Oldham town centre and the surrounding town of Greater Manchester. Oldham town centre is approximately 9 minutes drive from the property with Manchester City Centre being 17 minutes drive from the premises.",16680.0,0.4,OL8 3QP,"['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/Albert House, Hollinwood']",Roger Hannah,Andrew Kerr,,andrewkerr@roger-hannah.co.uk,,,,Freehold,For Sale,2026-02-23,Old
https://roger-hannah.co.uk/property-search/227-ayres-road/,"227 Ayres Road, Old Trafford, Manchester, M16 0NL",,Industrial / Office / Retail,"['https://roger-hannah.co.uk/wp-content/themes/_roger-hannah-theme/build/images/under-offer.png', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/22ad075e-360a-418a-b04d-59598b5c9c79.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/f7eaa471-87bb-4389-882b-74e338e7c7c3.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/d3149e65-2ae2-4038-9b74-b669fed752e9.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/621fc12b-1131-473b-8a54-e9cdaf326efd-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/509b687d-e754-4aef-8159-71c2a2336cf9.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/0c3fba48-a9ea-457c-a0e5-2100b545f1e6.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/dc767927-7feb-4b6f-8d26-a54d9c7f740c.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/0cbd37b5-1204-49c8-87af-0a67a90c61af-scaled.jpg']","227 Ayres Road 227 Ayres Road, Old Trafford, Manchester, M16 0NL Tram to City Centre, 2 Min Walk Away ; Hybrid Modern Work Space ; On Site Car Park ; Multiple Office Spaces & Meeting Rooms ; C (64) available upon request. Office, Showroom & Content Studio The property comprises a double storey brick built warehouse premises beneath a part pitched, part flat roof. Internally the accommodation is arranged over ground, first and second floor. The ground floor provides showroom space with an eaves height of 3.5 metres. The first floor provides high quality showroom space which is largely open plan in layout with laminate flooring and a suspended ceiling incorporating Cat II lighting. There is a separate office area, a kitchen/staffroom and WC facilities also on this floor. The second floor provides further showroom space with laminate flooring and spotlighting. The premises have double glazed windows throughout with electric roller shutter security, gas central heating and a goods lift. Please view the following link http://www.loft-interiors.co.uk/our-showroom. Externally, there is a secure car park for circa 10/12 cars. Ayres road is prominently situated in the heart of Old Trafford adjacent to old trafford cricket ground and hotel. Manchester city centre is a short tram ride and can be accessed via Old Trafford tram stop which is a 2 minute walk from the office, which provides convenient access to both the retail and office cores of the city. Metrolink stops at Old Trafford and Firswood are all within easy walking distance of the building, providing immediate access to north and south Manchester and all main business destinations. The building is approximately 2 minutes’ walk to Cafe Nero, 6 minutes’ to Tesco Extra and 10 minutes to White City Retail Park. 3 miles to Manchester City Centre 2 miles to Salford Quays 1.2 miles to Chorlton",12268.0,,M16 0NL,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/LOFT_Ayres Road_To Let Doc_070225'],Roger Hannah,Dan Rodgers,,danrodgers@roger-hannah.co.uk,,,,Leasehold,For Sale,2026-02-23,Old
https://roger-hannah.co.uk/property-search/7-moss-lane/,"7 Moss Lane, Whitefield, Manchester, M45 6QE",,Retail,"['https://roger-hannah.co.uk/wp-content/themes/_roger-hannah-theme/build/images/sold.png', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/7d10f033-a654-4d7b-bbf0-acdd347670c7-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/8d00ceb7-91ac-4aa8-b9d8-beec8dd3fea4-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/18f60ed2-b09d-4a70-ae0e-945ef7a3cf4a-scaled.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/17b1f242-3f68-43b9-ba4a-5b9d779769b6.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/30b173ed-0fa7-42c8-afb1-bf25a479c3ed.jpg', 'https://roger-hannah.co.uk/wp-content/uploads/properties_assets/87e8d9cf-74b4-475a-8e2e-d2853b2f743f.jpg']","7 Moss Lane 7 Moss Lane, Whitefield, Manchester, M45 6QE Electric Security Shutter ; Glazed Frontage ; Suitable for Various Uses (STP) ; External Parking ; EPC under re assessment The property comprises a two-storey retail unit, featuring a glazed ground floor frontage and a spacious open-plan first floor. The first floor is fitted with a W/C, kitchen and office accommodation, with a central heating system in place. The layout offers excellent potential for reconfiguration, making it suitable for office use or client-facing retail businesses. The property is assumed to benefit from mains supplies including single-phase electricity, gas and water. The property is prominently located at 7 Moss Lane, M45 6QE, occupying a highly visible corner position at the junction of Moss Lane and the busy arterial route of Bury New Road. This location provides excellent roadside exposure and strong passing traffic, making the unit particularly suitable for occupiers seeking high visibility. Bury New Road is a well-established commercial thoroughfare, offering convenient access to surrounding residential areas and onward connections to the wider Greater Manchester road network.",1000.0,,M45 6QE,['https://roger-hannah.co.uk/wp-content/uploads/properties_assets/7 Moss Lane Brochure 2026'],Roger Hannah,Harry Mason,,Harrymason@roger-hannah.co.uk,,,,,To Let,2026-02-23,New
